Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
2677,3022,BRFC_alpha_0_5_0_0_0_0_Hard.csv,0.84,1047,1903,0.6450847457627119,670573,5871,110487,15769,0.7286968576709797,0.046500760359903685
34290,35663,BRFC_alpha_0_5_0_0_0_0_Medium.csv,0.88,628,840,0.5722070844686649,670413,6031,118278,7978,0.5694910414733386,0.04776802686604993
158888,164232,BRFC_alpha_0_5_0_0_0_0_Easy.csv,0.8955714285714287,1,0,0.0,670131,6313,120868,5388,0.4604734638065123,0.05000158408313268
762316,782331,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Hard.csv,0.6190919,0,1,1.0,670131,6313,112442,13814,0.6863417300144085,0.05000158408313268
718559,732156,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Medium.csv,0.52116895,0,1,1.0,670131,6313,118699,7557,0.544844989185292,0.05000158408313268
172838,177605,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Easy.csv,0.35735065,10,2,0.16666666666666666,670132,6312,122465,3791,0.3752350786894982,0.04999366366746927
3013,3386,BRFC_alpha_0_5_0_0_0_1_Hard.csv,0.84,1142,1774,0.6083676268861454,670640,5804,111826,14430,0.7131560739349609,0.045970092510454946
38909,40312,BRFC_alpha_0_5_0_0_0_1_Medium.csv,0.885,112,134,0.5447154471544715,670185,6259,117667,8589,0.5784617456896551,0.049573881637308324
158888,164232,BRFC_alpha_0_5_0_0_0_1_Easy.csv,0.8955714285714287,1,0,0.0,670131,6313,120868,5388,0.4604734638065123,0.05000158408313268
761583,781479,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Hard.csv,0.6138284,1,0,0.0,670131,6313,112562,13694,0.6844604388464037,0.05000158408313268
714284,727981,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Medium.csv,0.51203334,1,1,0.5,670131,6313,118574,7682,0.5489103251161129,0.05000158408313268
172838,177605,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Easy.csv,0.35735065,10,2,0.16666666666666666,670132,6312,122465,3791,0.3752350786894982,0.04999366366746927
2831,3187,BRFC_alpha_0_5_0_0_1_0_Hard.csv,0.84,1164,1973,0.6289448517692062,670504,5940,110445,15811,0.7269091076272355,0.047047269040679254
38023,39540,BRFC_alpha_0_5_0_0_1_0_Medium.csv,0.88,643,830,0.5634758995247794,670196,6248,118142,8114,0.5649630970616906,0.049486757065010774
