Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
52,62,BRFC_alpha_0_5_0_0_0_0_Hard.csv,0.79,0.7998333333333334,2004,2275,0.5316662771675625,663364,13080,99865,26391,0.6686174659876871,0.2090276897731593,0.10359903687745532
107,109,BRFC_alpha_0_5_0_0_0_0_Medium.csv,0.9262142857142858,0.9498809523809524,1000,1493,0.5988768551945447,675368,1076,124299,1957,0.6452357401912298,0.015500253453301228,0.008522367253833481
124,126,BRFC_alpha_0_5_0_0_0_0_Easy.csv,0.9433333333333336,0.9635833333333332,1037,1002,0.491417361451692,675442,1002,125015,1241,0.5532768613464111,0.009829235838296793,0.007936256494740845
109,118,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Hard.csv,0.5721752,0.5877536,1000,1209,0.5473064735174287,668444,8000,110331,15925,0.6656217345872518,0.1261326194398682,0.06336332530731213
123,125,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Medium.csv,0.6068903,0.647021,1000,1263,0.5581087052585064,675444,1000,124496,1760,0.6376811594202898,0.013939931567608668,0.007920415663414017
125,127,KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Easy.csv,0.38157535,0.40491256,1627,1000,0.3806623524933384,674998,1446,125256,1000,0.4088307440719542,0.007920415663414017,0.011452921049296667
53,62,BRFC_alpha_0_5_0_0_0_1_Hard.csv,0.8,0.8098333333333333,1797,2253,0.5562962962962963,665040,11404,103883,22373,0.6623738046599758,0.1772034596375618,0.09032442022557344
109,111,BRFC_alpha_0_5_0_0_0_1_Medium.csv,0.93,0.9531666666666668,1324,2097,0.6129786612101724,675442,1002,124337,1919,0.656966792194454,0.015199277658091497,0.007936256494740845
124,126,BRFC_alpha_0_5_0_0_0_1_Easy.csv,0.9433333333333336,0.9635833333333332,1037,1002,0.491417361451692,675442,1002,125015,1241,0.5532768613464111,0.009829235838296793,0.007936256494740845
109,118,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Hard.csv,0.56586254,0.58134025,1000,1144,0.5335820895522388,668444,8000,110312,15944,0.6658870698296024,0.12628310733747308,0.06336332530731213
123,125,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Medium.csv,0.60023475,0.6432156,1000,1308,0.5667244367417678,675444,1000,124478,1778,0.6400287976961843,0.014082499049550121,0.007920415663414017
125,127,KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Easy.csv,0.38157535,0.40491256,1627,1000,0.3806623524933384,674998,1446,125256,1000,0.4088307440719542,0.007920415663414017,0.011452921049296667
52,62,BRFC_alpha_0_5_0_0_1_0_Hard.csv,0.79,0.7998333333333334,1903,2251,0.5418873375060183,663284,13160,99719,26537,0.6684888026803033,0.21018407046001775,0.10423267013052845
107,109,BRFC_alpha_0_5_0_0_1_0_Medium.csv,0.9288333333333332,0.9499999999999998,1000,1473,0.5956328346138293,675308,1136,124273,1983,0.6357806989419685,0.015706184260549993,0.008997592193638323
124,126,BRFC_alpha_0_5_0_0_1_0_Easy.csv,0.942899445583656,0.9638333333333334,1069,1000,0.4833252779120348,675444,1000,124977,1279,0.5612110574813515,0.010130211633506527,0.007920415663414017
109,118,KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Hard.csv,0.5615585,0.5778617,1000,1195,0.5444191343963554,668444,8000,110201,16055,0.6674288089794221,0.12716227347611203,0.06336332530731213
124,126,KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Medium.csv,0.59519535,0.63632435,1000,1180,0.5412844036697247,675444,1000,124514,1742,0.6353026987600292,0.013797364085667216,0.007920415663414017
125,127,KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Easy.csv,0.3821631,0.40682432,1623,1002,0.38171428571428573,675032,1412,125256,1000,0.41459369817578773,0.007920415663414017,0.01118362691674059
53,63,BRFC_alpha_0_5_0_0_1_1_Hard.csv,0.8,0.8099999999999998,1784,2214,0.5537768884442221,664956,11488,103332,22924,0.6661629664070673,0.1815676086681029,0.09098973514130021
111,113,BRFC_alpha_0_5_0_0_1_1_Medium.csv,0.9333333333333336,0.9549920634920634,1014,1465,0.590964098426785,675428,1016,124327,1929,0.6550084889643464,0.015278481814725638,0.00804714231402864
124,126,BRFC_alpha_0_5_0_0_1_1_Easy.csv,0.942899445583656,0.9638333333333334,1069,1000,0.4833252779120348,675444,1000,124977,1279,0.5612110574813515,0.010130211633506527,0.007920415663414017
110,119,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard.csv,0.5657708,0.58122194,1000,1144,0.5335820895522388,668444,8000,110363,15893,0.6651739003055288,0.12587916613863895,0.06336332530731213
123,125,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium.csv,0.60679257,0.6482868,1000,1321,0.5691512279190004,675444,1000,124552,1704,0.6301775147928994,0.013496388290457483,0.007920415663414017
125,127,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy.csv,0.3821631,0.40682432,1623,1002,0.38171428571428573,675032,1412,125256,1000,0.41459369817578773,0.007920415663414017,0.01118362691674059
52,62,BRFC_alpha_0_5_0_1_0_0_Hard.csv,0.79,0.7999999999999998,1951,2284,0.5393152302243212,663925,12519,100508,25748,0.6728512817832597,0.20393486250158407,0.09915568369028006
103,105,BRFC_alpha_0_5_0_1_0_0_Medium.csv,0.93,0.9499999999999998,1030,1411,0.5780417861532159,675394,1050,124304,1952,0.6502331778814124,0.015460651374984159,0.008316436446584717
124,126,BRFC_alpha_0_5_0_1_0_0_Easy.csv,0.942857142857143,0.9637301587301588,1073,1000,0.482392667631452,675443,1001,124990,1266,0.5584472871636524,0.010027246229882145,0.00792833607907743
109,118,KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Hard.csv,0.56603295,0.5823104,1000,1123,0.5289684408855393,668444,8000,110266,15990,0.6665277198832847,0.12664744645799011,0.06336332530731213
123,125,KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Medium.csv,0.59874463,0.64035904,1000,1292,0.5636998254799301,675444,1000,124524,1732,0.6339677891654466,0.013718159929033075,0.007920415663414017
125,127,KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Easy.csv,0.38143554,0.40458485,1661,1001,0.3760330578512397,674998,1446,125255,1001,0.40907233346955457,0.00792833607907743,0.011452921049296667
54,63,BRFC_alpha_0_5_0_1_0_1_Hard.csv,0.8,0.8099999999999998,1822,2106,0.5361507128309573,665120,11324,103790,22466,0.6648712636874815,0.1779400582942593,0.08969078697250031
110,112,BRFC_alpha_0_5_0_1_0_1_Medium.csv,0.9300000000000002,0.9512936507936506,1000,1465,0.5943204868154158,675444,1000,124306,1950,0.6610169491525424,0.01544481054365733,0.007920415663414017
124,126,BRFC_alpha_0_5_0_1_0_1_Easy.csv,0.942857142857143,0.9637301587301588,1073,1000,0.482392667631452,675443,1001,124990,1266,0.5584472871636524,0.010027246229882145,0.00792833607907743
109,118,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard.csv,0.55834913,0.5751913,1000,1339,0.5724668661821292,668444,8000,110328,15928,0.6656636576395855,0.12615638068685844,0.06336332530731213
123,125,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Medium.csv,0.5943476,0.6384828,1000,1309,0.56691208315288,675444,1000,124517,1739,0.6349032493610807,0.013773602838676974,0.007920415663414017
125,127,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Easy.csv,0.38143554,0.40458485,1661,1001,0.3760330578512397,674998,1446,125255,1001,0.40907233346955457,0.00792833607907743,0.011452921049296667
52,62,BRFC_alpha_0_5_0_1_1_0_Hard.csv,0.79,0.7999999999999998,1934,2313,0.5446197315752296,663592,12852,100201,26055,0.6696738376127689,0.20636643011025219,0.10179318210619694
