,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0282,"15,210",782,0.0489,"15,210","661,234",782,"125,474",0.1595,0.9938,5.2372
1,0.0282,0.0790,"16,901","1,000",0.0559,"32,111","644,333","1,782","124,474",0.1619,0.9859,5.1034
2,0.0790,0.1213,"15,528","1,000",0.0605,"47,639","628,805","2,782","123,474",0.1641,0.9780,4.9804
3,0.1213,0.1500,"12,886","1,000",0.0720,"60,525","615,919","3,782","122,474",0.1659,0.9700,4.8783
4,0.1500,0.1769,"13,231","1,000",0.0703,"73,756","602,688","4,782","121,474",0.1677,0.9621,4.7735
5,0.1769,0.1975,"11,791","1,000",0.0782,"85,547","590,897","5,782","120,474",0.1694,0.9542,4.6801
6,0.1975,0.2169,"12,541","1,000",0.0738,"98,088","578,356","6,782","119,474",0.1712,0.9463,4.5808
7,0.2169,0.2334,"11,324","1,005",0.0815,"109,412","567,032","7,787","118,469",0.1728,0.9383,4.4911
8,0.2334,0.2471,"11,541","1,000",0.0797,"120,953","555,491","8,787","117,469",0.1746,0.9304,4.3997
9,0.2471,0.2598,"11,416","1,000",0.0805,"132,369","544,075","9,787","116,469",0.1763,0.9225,4.3093
10,0.2598,0.2728,"11,295","1,000",0.0813,"143,664","532,780","10,787","115,469",0.1781,0.9146,4.2198
11,0.2729,0.2835,"10,845","1,001",0.0845,"154,509","521,935","11,788","114,468",0.1799,0.9066,4.1339
12,0.2835,0.2950,"10,275","1,005",0.0891,"164,784","511,660","12,793","113,463",0.1815,0.8987,4.0526
13,0.2950,0.3053,"9,261","1,000",0.0975,"174,045","502,399","13,793","112,463",0.1829,0.8908,3.9792
14,0.3053,0.3157,"9,423","1,000",0.0959,"183,468","492,976","14,793","111,463",0.1844,0.8828,3.9046
15,0.3157,0.3248,"9,080","1,003",0.0995,"192,548","483,896","15,796","110,460",0.1858,0.8749,3.8327
16,0.3249,0.3342,"8,994","1,001",0.1002,"201,542","474,902","16,797","109,459",0.1873,0.8670,3.7614
17,0.3342,0.3435,"8,697","1,005",0.1036,"210,239","466,205","17,802","108,454",0.1887,0.8590,3.6925
18,0.3435,0.3513,"8,482","1,001",0.1056,"218,721","457,723","18,803","107,453",0.1901,0.8511,3.6254
19,0.3513,0.3584,"8,023","1,000",0.1108,"226,744","449,700","19,803","106,453",0.1914,0.8432,3.5618
20,0.3584,0.3659,"7,878","1,000",0.1126,"234,622","441,822","20,803","105,453",0.1927,0.8352,3.4994
21,0.3659,0.3733,"8,382","1,003",0.1069,"243,004","433,440","21,806","104,450",0.1942,0.8273,3.4330
22,0.3733,0.3799,"7,327","1,000",0.1201,"250,331","426,113","22,806","103,450",0.1953,0.8194,3.3750
23,0.3799,0.3871,"8,110","1,000",0.1098,"258,441","418,003","23,806","102,450",0.1968,0.8114,3.3108
24,0.3871,0.3935,"7,187","1,000",0.1221,"265,628","410,816","24,806","101,450",0.1980,0.8035,3.2538
25,0.3935,0.4002,"7,755","1,000",0.1142,"273,383","403,061","25,806","100,450",0.1995,0.7956,3.1924
26,0.4002,0.4061,"7,001","1,002",0.1252,"280,384","396,060","26,808","99,448",0.2007,0.7877,3.1370
27,0.4061,0.4119,"7,150","1,000",0.1227,"287,534","388,910","27,808","98,448",0.2020,0.7797,3.0803
28,0.4119,0.4172,"6,971","1,001",0.1256,"294,505","381,939","28,809","97,447",0.2033,0.7718,3.0251
29,0.4172,0.4226,"6,628","1,000",0.1311,"301,133","375,311","29,809","96,447",0.2044,0.7639,2.9726
30,0.4227,0.4272,"6,643","1,007",0.1316,"307,776","368,668","30,816","95,440",0.2056,0.7559,2.9200
31,0.4272,0.4322,"6,781","1,001",0.1286,"314,557","361,887","31,817","94,439",0.2070,0.7480,2.8663
32,0.4322,0.4371,"6,377","1,002",0.1358,"320,934","355,510","32,819","93,437",0.2081,0.7401,2.8158
33,0.4371,0.4424,"6,656","1,001",0.1307,"327,590","348,854","33,820","92,436",0.2095,0.7321,2.7631
34,0.4424,0.4474,"6,387","1,018",0.1375,"333,977","342,467","34,838","91,418",0.2107,0.7241,2.7125
35,0.4474,0.4520,"6,477","1,000",0.1337,"340,454","335,990","35,838","90,418",0.2120,0.7161,2.6612
36,0.4520,0.4572,"6,293","1,004",0.1376,"346,747","329,697","36,842","89,414",0.2133,0.7082,2.6113
37,0.4572,0.4615,"6,396","1,009",0.1363,"353,143","323,301","37,851","88,405",0.2147,0.7002,2.5607
38,0.4615,0.4658,"6,074","1,000",0.1414,"359,217","317,227","38,851","87,405",0.2160,0.6923,2.5126
39,0.4658,0.4702,"6,098","1,002",0.1411,"365,315","311,129","39,853","86,403",0.2173,0.6843,2.4643
40,0.4702,0.4750,"6,180","1,003",0.1396,"371,495","304,949","40,856","85,400",0.2188,0.6764,2.4153
41,0.4750,0.4794,"5,745","1,006",0.1490,"377,240","299,204","41,862","84,394",0.2200,0.6684,2.3698
42,0.4794,0.4837,"5,689","1,009",0.1506,"382,929","293,515","42,871","83,385",0.2212,0.6604,2.3248
43,0.4837,0.4882,"5,978","1,001",0.1434,"388,907","287,537","43,872","82,384",0.2227,0.6525,2.2774
44,0.4882,0.4922,"5,421","1,001",0.1559,"394,328","282,116","44,873","81,383",0.2239,0.6446,2.2345
45,0.4922,0.4968,"5,456","1,002",0.1552,"399,784","276,660","45,875","80,381",0.2251,0.6367,2.1913
46,0.4968,0.5010,"5,342","1,000",0.1577,"405,126","271,318","46,875","79,381",0.2264,0.6287,2.1490
47,0.5010,0.5057,"5,666","1,000",0.1500,"410,792","265,652","47,875","78,381",0.2278,0.6208,2.1041
48,0.5057,0.5101,"5,439","1,000",0.1553,"416,231","260,213","48,875","77,381",0.2292,0.6129,2.0610
49,0.5101,0.5144,"5,098","1,000",0.1640,"421,329","255,115","49,875","76,381",0.2304,0.6050,2.0206
50,0.5144,0.5181,"5,091","1,008",0.1653,"426,420","250,024","50,883","75,373",0.2316,0.5970,1.9803
51,0.5181,0.5219,"5,015","1,000",0.1663,"431,435","245,009","51,883","74,373",0.2329,0.5891,1.9406
52,0.5219,0.5257,"4,779","1,001",0.1732,"436,214","240,230","52,884","73,372",0.2340,0.5811,1.9027
53,0.5257,0.5298,"4,982","1,002",0.1674,"441,196","235,248","53,886","72,370",0.2353,0.5732,1.8633
54,0.5298,0.5338,"4,850","1,000",0.1709,"446,046","230,398","54,886","71,370",0.2365,0.5653,1.8248
55,0.5338,0.5376,"4,863","1,012",0.1723,"450,909","225,535","55,898","70,358",0.2378,0.5573,1.7863
56,0.5376,0.5413,"4,757","1,001",0.1738,"455,666","220,778","56,899","69,357",0.2391,0.5493,1.7487
57,0.5413,0.5449,"4,847","1,005",0.1717,"460,513","215,931","57,904","68,352",0.2404,0.5414,1.7103
58,0.5449,0.5490,"4,953","1,000",0.1680,"465,466","210,978","58,904","67,352",0.2420,0.5335,1.6710
59,0.5490,0.5532,"4,849","1,002",0.1713,"470,315","206,129","59,906","66,350",0.2435,0.5255,1.6326
60,0.5532,0.5576,"4,888","1,001",0.1700,"475,203","201,241","60,907","65,349",0.2451,0.5176,1.5939
61,0.5576,0.5613,"4,620","1,000",0.1779,"479,823","196,621","61,907","64,349",0.2466,0.5097,1.5573
62,0.5613,0.5650,"4,525","1,000",0.1810,"484,348","192,096","62,907","63,349",0.2480,0.5018,1.5215
63,0.5650,0.5690,"4,459","1,003",0.1836,"488,807","187,637","63,910","62,346",0.2494,0.4938,1.4862
64,0.5690,0.5731,"4,587","1,004",0.1796,"493,394","183,050","64,914","61,342",0.2510,0.4859,1.4498
65,0.5731,0.5769,"4,446","1,000",0.1836,"497,840","178,604","65,914","60,342",0.2525,0.4779,1.4146
66,0.5769,0.5807,"4,491","1,002",0.1824,"502,331","174,113","66,916","59,340",0.2542,0.4700,1.3790
67,0.5807,0.5847,"4,435","1,000",0.1840,"506,766","169,678","67,916","58,340",0.2559,0.4621,1.3439
68,0.5847,0.5886,"4,206","1,001",0.1922,"510,972","165,472","68,917","57,339",0.2573,0.4541,1.3106
69,0.5886,0.5923,"4,647","1,001",0.1772,"515,619","160,825","69,918","56,338",0.2594,0.4462,1.2738
70,0.5923,0.5961,"4,545","1,000",0.1803,"520,164","156,280","70,918","55,338",0.2615,0.4383,1.2378
71,0.5961,0.6001,"4,117","1,000",0.1954,"524,281","152,163","71,918","54,338",0.2631,0.4304,1.2052
72,0.6001,0.6044,"4,282","1,004",0.1899,"528,563","147,881","72,922","53,334",0.2651,0.4224,1.1713
73,0.6044,0.6084,"4,088","1,003",0.1970,"532,651","143,793","73,925","52,331",0.2668,0.4145,1.1389
74,0.6084,0.6122,"4,073","1,000",0.1971,"536,724","139,720","74,925","51,331",0.2687,0.4066,1.1066
75,0.6122,0.6164,"3,961","1,009",0.2030,"540,685","135,759","75,934","50,322",0.2704,0.3986,1.0753
76,0.6164,0.6208,"4,004","1,000",0.1998,"544,689","131,755","76,934","49,322",0.2724,0.3907,1.0436
77,0.6208,0.6252,"3,795","1,000",0.2086,"548,484","127,960","77,934","48,322",0.2741,0.3827,1.0135
78,0.6252,0.6296,"4,042","1,000",0.1983,"552,526","123,918","78,934","47,322",0.2763,0.3748,0.9815
79,0.6296,0.6345,"4,180","1,002",0.1934,"556,706","119,738","79,936","46,320",0.2789,0.3669,0.9484
80,0.6345,0.6390,"3,678","1,000",0.2138,"560,384","116,060","80,936","45,320",0.2808,0.3590,0.9192
81,0.6390,0.6431,"3,474","1,005",0.2244,"563,858","112,586","81,941","44,315",0.2824,0.3510,0.8917
82,0.6431,0.6477,"3,814","1,002",0.2081,"567,672","108,772","82,943","43,313",0.2848,0.3431,0.8615
83,0.6477,0.6522,"3,516","1,002",0.2218,"571,188","105,256","83,945","42,311",0.2867,0.3351,0.8337
84,0.6522,0.6568,"3,587","1,000",0.2180,"574,775","101,669","84,945","41,311",0.2889,0.3272,0.8053
85,0.6568,0.6616,"3,462","1,000",0.2241,"578,237","98,207","85,945","40,311",0.2910,0.3193,0.7778
86,0.6616,0.6664,"3,523","1,000",0.2211,"581,760","94,684","86,945","39,311",0.2934,0.3114,0.7499
87,0.6664,0.6712,"3,702","1,000",0.2127,"585,462","90,982","87,945","38,311",0.2963,0.3034,0.7206
88,0.6712,0.6758,"3,292","1,000",0.2330,"588,754","87,690","88,945","37,311",0.2985,0.2955,0.6945
89,0.6758,0.6809,"3,449","1,014",0.2272,"592,203","84,241","89,959","36,297",0.3011,0.2875,0.6672
90,0.6809,0.6861,"3,513","1,000",0.2216,"595,716","80,728","90,959","35,297",0.3042,0.2796,0.6394
91,0.6861,0.6913,"3,346","1,003",0.2306,"599,062","77,382","91,962","34,294",0.3071,0.2716,0.6129
