,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.059965,"47,986","3,313",0.0646,"47,986","628,458","3,313","122,943",0.1636,0.9738,4.9776
1,0.060000,0.100000,"12,149","1,016",0.0772,"60,135","616,309","4,329","121,927",0.1652,0.9657,4.8814
2,0.100000,0.131660,"18,000","1,523",0.0780,"78,135","598,309","5,852","120,404",0.1675,0.9536,4.7389
3,0.131667,0.154587,"11,166","1,002",0.0823,"89,301","587,143","6,854","119,402",0.1690,0.9457,4.6504
4,0.154640,0.174965,"10,372","1,001",0.0880,"99,673","576,771","7,855","118,401",0.1703,0.9378,4.5683
5,0.175000,0.194431,"11,126","1,080",0.0885,"110,799","565,645","8,935","117,321",0.1718,0.9292,4.4801
6,0.194444,0.204965,"9,816","1,002",0.0926,"120,615","555,829","9,937","116,319",0.1731,0.9213,4.4024
7,0.205000,0.221429,"10,628","1,008",0.0866,"131,243","545,201","10,945","115,311",0.1746,0.9133,4.3182
8,0.221435,0.235821,"9,869","1,001",0.0921,"141,112","535,332","11,946","114,310",0.1760,0.9054,4.2401
9,0.235833,0.250000,"10,021","1,004",0.0911,"151,133","525,311","12,950","113,306",0.1774,0.8974,4.1607
10,0.250000,0.260000,"10,666","1,014",0.0868,"161,799","514,645","13,964","112,292",0.1791,0.8894,4.0762
11,0.260000,0.270000,"10,227","1,022",0.0909,"172,026","504,418","14,986","111,270",0.1807,0.8813,3.9952
12,0.270000,0.279848,"9,247","1,011",0.0986,"181,273","495,171","15,997","110,259",0.1821,0.8733,3.9220
13,0.279886,0.290000,"8,804","1,001",0.1021,"190,077","486,367","16,998","109,258",0.1834,0.8654,3.8522
14,0.290000,0.300000,"9,460","1,013",0.0967,"199,537","476,907","18,011","108,245",0.1850,0.8573,3.7773
15,0.300000,0.308326,"9,898","1,188",0.1072,"209,435","467,009","19,199","107,057",0.1865,0.8479,3.6989
16,0.308333,0.316911,"9,097","1,046",0.1031,"218,532","457,912","20,245","106,011",0.1880,0.8397,3.6269
17,0.316919,0.326040,"8,429","1,003",0.1063,"226,961","449,483","21,248","105,008",0.1894,0.8317,3.5601
18,0.326041,0.333810,"8,004","1,001",0.1112,"234,965","441,479","22,249","104,007",0.1907,0.8238,3.4967
19,0.333838,0.341667,"8,156","1,000",0.1092,"243,121","433,323","23,249","103,007",0.1921,0.8159,3.4321
20,0.341667,0.349989,"7,716","1,016",0.1164,"250,837","425,607","24,265","101,991",0.1933,0.8078,3.3710
21,0.350000,0.358316,"9,132","1,171",0.1137,"259,969","416,475","25,436","100,820",0.1949,0.7985,3.2987
22,0.358333,0.366665,"8,071","1,048",0.1149,"268,040","408,404","26,484","99,772",0.1963,0.7902,3.2347
23,0.366667,0.372855,"7,679","1,073",0.1226,"275,719","400,725","27,557","98,699",0.1976,0.7817,3.1739
24,0.372857,0.379200,"6,942","1,001",0.1260,"282,661","393,783","28,558","97,698",0.1988,0.7738,3.1189
25,0.379201,0.385963,"7,293","1,001",0.1207,"289,954","386,490","29,559","96,697",0.2001,0.7659,3.0612
26,0.385968,0.391955,"6,513","1,001",0.1332,"296,467","379,977","30,560","95,696",0.2012,0.7580,3.0096
27,0.392018,0.398205,"7,079","1,002",0.1240,"303,546","372,898","31,562","94,694",0.2025,0.7500,2.9535
28,0.398223,0.402381,"6,273","1,001",0.1376,"309,819","366,625","32,563","93,693",0.2035,0.7421,2.9038
29,0.402398,0.408373,"6,308","1,001",0.1370,"316,127","360,317","33,564","92,692",0.2046,0.7342,2.8539
30,0.408413,0.414872,"6,687","1,002",0.1303,"322,814","353,630","34,566","91,690",0.2059,0.7262,2.8009
31,0.414880,0.419762,"6,045","1,006",0.1427,"328,859","347,585","35,572","90,684",0.2069,0.7183,2.7530
32,0.419769,0.424987,"6,906","1,006",0.1271,"335,765","340,679","36,578","89,678",0.2084,0.7103,2.6983
33,0.425000,0.429802,"6,096","1,048",0.1467,"341,861","334,583","37,626","88,630",0.2094,0.7020,2.6500
34,0.429802,0.434580,"6,131","1,000",0.1402,"347,992","328,452","38,626","87,630",0.2106,0.6941,2.6015
35,0.434596,0.439813,"5,973","1,000",0.1434,"353,965","322,479","39,626","86,630",0.2118,0.6861,2.5542
36,0.439817,0.444872,"5,645","1,000",0.1505,"359,610","316,834","40,626","85,630",0.2128,0.6782,2.5095
37,0.444881,0.450000,"6,554","1,000",0.1324,"366,164","310,280","41,626","84,630",0.2143,0.6703,2.4575
38,0.450000,0.454921,"7,248","1,212",0.1433,"373,412","303,032","42,838","83,418",0.2159,0.6607,2.4001
39,0.454938,0.459722,"5,839","1,007",0.1471,"379,251","297,193","43,845","82,411",0.2171,0.6527,2.3539
40,0.459722,0.464423,"5,736","1,000",0.1485,"384,987","291,457","44,845","81,411",0.2183,0.6448,2.3085
41,0.464439,0.468739,"5,789","1,012",0.1488,"390,776","285,668","45,857","80,399",0.2196,0.6368,2.2626
42,0.468742,0.473512,"5,824","1,000",0.1465,"396,600","279,844","46,857","79,399",0.2210,0.6289,2.2165
43,0.473523,0.477222,"5,654","1,003",0.1507,"402,254","274,190","47,860","78,396",0.2223,0.6209,2.1717
44,0.477225,0.481746,"5,764","1,000",0.1478,"408,018","268,426","48,860","77,396",0.2238,0.6130,2.1260
45,0.481746,0.486071,"5,356","1,002",0.1576,"413,374","263,070","49,862","76,394",0.2250,0.6051,2.0836
46,0.486078,0.490832,"5,109","1,000",0.1637,"418,483","257,961","50,862","75,394",0.2262,0.5972,2.0432
47,0.490833,0.494822,"5,224","1,002",0.1609,"423,707","252,737","51,864","74,392",0.2274,0.5892,2.0018
48,0.494823,0.499583,"5,387","1,000",0.1566,"429,094","247,350","52,864","73,392",0.2288,0.5813,1.9591
49,0.499589,0.502201,"4,708","1,002",0.1755,"433,802","242,642","53,866","72,390",0.2298,0.5734,1.9218
50,0.502204,0.506746,"5,133","1,004",0.1636,"438,935","237,509","54,870","71,386",0.2311,0.5654,1.8812
51,0.506756,0.510425,"5,033","1,000",0.1658,"443,968","232,476","55,870","70,386",0.2324,0.5575,1.8413
52,0.510448,0.514960,"5,086","1,001",0.1644,"449,054","227,390","56,871","69,385",0.2338,0.5496,1.8010
53,0.514966,0.518624,"5,275","1,010",0.1607,"454,329","222,115","57,881","68,375",0.2354,0.5416,1.7592
54,0.518668,0.523279,"4,703","1,001",0.1755,"459,032","217,412","58,882","67,374",0.2366,0.5336,1.7220
55,0.523280,0.527045,"4,773","1,006",0.1741,"463,805","212,639","59,888","66,368",0.2379,0.5257,1.6842
56,0.527045,0.531768,"4,869","1,000",0.1704,"468,674","207,770","60,888","65,368",0.2393,0.5177,1.6456
57,0.531776,0.535332,"4,315","1,005",0.1889,"472,989","203,455","61,893","64,363",0.2403,0.5098,1.6114
58,0.535354,0.539643,"4,609","1,000",0.1783,"477,598","198,846","62,893","63,363",0.2417,0.5019,1.5749
59,0.539665,0.544078,"4,550","1,000",0.1802,"482,148","194,296","63,893","62,363",0.2430,0.4939,1.5389
60,0.544112,0.548278,"4,488","1,002",0.1825,"486,636","189,808","64,895","61,361",0.2443,0.4860,1.5034
61,0.548279,0.551667,"4,612","1,001",0.1783,"491,248","185,196","65,896","60,360",0.2458,0.4781,1.4668
62,0.551667,0.556624,"4,940","1,000",0.1684,"496,188","180,256","66,896","59,360",0.2477,0.4702,1.4277
63,0.556625,0.560313,"4,291","1,003",0.1895,"500,479","175,965","67,899","58,357",0.2490,0.4622,1.3937
64,0.560317,0.564794,"4,431","1,002",0.1844,"504,910","171,534","68,901","57,355",0.2506,0.4543,1.3586
65,0.564798,0.568333,"4,296","1,000",0.1888,"509,206","167,238","69,901","56,355",0.2520,0.4464,1.3246
66,0.568344,0.572567,"4,318","1,000",0.1880,"513,524","162,920","70,901","55,355",0.2536,0.4384,1.2904
67,0.572579,0.576410,"4,255","1,002",0.1906,"517,779","158,665","71,903","54,353",0.2552,0.4305,1.2567
68,0.576423,0.580935,"4,133","1,000",0.1948,"521,912","154,532","72,903","53,353",0.2566,0.4226,1.2240
69,0.580952,0.584838,"4,347","1,002",0.1873,"526,259","150,185","73,905","52,351",0.2585,0.4146,1.1895
70,0.584841,0.589518,"4,423","1,000",0.1844,"530,682","145,762","74,905","51,351",0.2605,0.4067,1.1545
71,0.589524,0.593939,"4,475","1,002",0.1829,"535,157","141,287","75,907","50,349",0.2627,0.3988,1.1191
72,0.593942,0.598279,"3,775","1,000",0.2094,"538,932","137,512","76,907","49,349",0.2641,0.3909,1.0892
73,0.598289,0.601190,"3,783","1,007",0.2102,"542,715","133,729","77,914","48,342",0.2655,0.3829,1.0592
74,0.601190,0.606066,"4,107","1,003",0.1963,"546,822","129,622","78,917","47,339",0.2675,0.3749,1.0267
75,0.606075,0.610476,"4,024","1,000",0.1990,"550,846","125,598","79,917","46,339",0.2695,0.3670,0.9948
76,0.610476,0.616180,"4,084","1,001",0.1969,"554,930","121,514","80,918","45,338",0.2717,0.3591,0.9624
77,0.616190,0.620359,"4,023","1,000",0.1991,"558,953","117,491","81,918","44,338",0.2740,0.3512,0.9306
78,0.620390,0.625000,"3,982","1,001",0.2009,"562,935","113,509","82,919","43,337",0.2763,0.3432,0.8990
79,0.625000,0.629759,"3,737","1,013",0.2133,"566,672","109,772","83,932","42,324",0.2783,0.3352,0.8694
80,0.629762,0.633728,"3,528","1,005",0.2217,"570,200","106,244","84,937","41,319",0.2800,0.3273,0.8415
81,0.633736,0.638735,"3,605","1,004",0.2178,"573,805","102,639","85,941","40,315",0.2820,0.3193,0.8129
82,0.638741,0.644030,"3,722","1,000",0.2118,"577,527","98,917","86,941","39,315",0.2844,0.3114,0.7835
83,0.644048,0.650000,"3,689","1,002",0.2136,"581,216","95,228","87,943","38,313",0.2869,0.3035,0.7542
84,0.650000,0.654405,"3,718","1,053",0.2207,"584,934","91,510","88,996","37,260",0.2894,0.2951,0.7248
85,0.654406,0.659143,"3,300","1,009",0.2342,"588,234","88,210","90,005","36,251",0.2913,0.2871,0.6987
86,0.659162,0.664993,"3,479","1,000",0.2233,"591,713","84,731","91,005","35,251",0.2938,0.2792,0.6711
87,0.665000,0.669928,"3,324","1,000",0.2313,"595,037","81,407","92,005","34,251",0.2961,0.2713,0.6448
88,0.669943,0.675641,"3,567","1,001",0.2191,"598,604","77,840","93,006","33,250",0.2993,0.2634,0.6165
89,0.675644,0.681667,"3,222","1,002",0.2372,"601,826","74,618","94,008","32,248",0.3018,0.2554,0.5910
90,0.681667,0.687839,"3,284","1,006",0.2345,"605,110","71,334","95,014","31,242",0.3046,0.2474,0.5650
91,0.687848,0.693741,"3,155","1,000",0.2407,"608,265","68,179","96,014","30,242",0.3073,0.2395,0.5400
92,0.693748,0.699957,"3,072","1,008",0.2471,"611,337","65,107","97,022","29,234",0.3099,0.2315,0.5157
93,0.700000,0.705755,"3,815","1,290",0.2527,"615,152","61,292","98,312","27,944",0.3131,0.2213,0.4855
94,0.705796,0.712143,"2,966","1,004",0.2529,"618,118","58,326","99,316","26,940",0.3160,0.2134,0.4620
95,0.712222,0.718134,"3,000","1,003",0.2506,"621,118","55,326","100,319","25,937",0.3192,0.2054,0.4382
96,0.718146,0.725000,"2,824","1,000",0.2615,"623,942","52,502","101,319","24,937",0.3220,0.1975,0.4158
97,0.725000,0.731127,"2,813","1,054",0.2726,"626,755","49,689","102,373","23,883",0.3246,0.1892,0.3936
98,0.731141,0.738095,"2,831","1,007",0.2624,"629,586","46,858","103,380","22,876",0.3280,0.1812,0.3711
99,0.738095,0.745020,"2,704","1,008",0.2716,"632,290","44,154","104,388","21,868",0.3312,0.1732,0.3497
100,0.745024,0.750171,"2,674","1,001",0.2724,"634,964","41,480","105,389","20,867",0.3347,0.1653,0.3285
101,0.750175,0.758333,"2,706","1,000",0.2698,"637,670","38,774","106,389","19,867",0.3388,0.1574,0.3071
102,0.758333,0.766651,"2,611","1,005",0.2779,"640,281","36,163","107,394","18,862",0.3428,0.1494,0.2864
103,0.766667,0.773918,"2,619","1,061",0.2883,"642,900","33,544","108,455","17,801",0.3467,0.1410,0.2657
104,0.773921,0.781667,"2,483","1,001",0.2873,"645,383","31,061","109,456","16,800",0.3510,0.1331,0.2460
105,0.781667,0.789286,"2,522","1,009",0.2858,"647,905","28,539","110,465","15,791",0.3562,0.1251,0.2260
106,0.789324,0.798764,"2,459","1,001",0.2893,"650,364","26,080","111,466","14,790",0.3619,0.1171,0.2066
107,0.798810,0.804147,"2,186","1,002",0.3143,"652,550","23,894","112,468","13,788",0.3659,0.1092,0.1893
108,0.804167,0.815256,"2,450","1,001",0.2901,"655,000","21,444","113,469","12,787",0.3736,0.1013,0.1698
109,0.815278,0.825000,"2,281","1,000",0.3048,"657,281","19,163","114,469","11,787",0.3808,0.0934,0.1518
110,0.825000,0.834460,"2,163","1,027",0.3219,"659,444","17,000","115,496","10,760",0.3876,0.0852,0.1346
111,0.834470,0.846667,"2,021","1,001",0.3312,"661,465","14,979","116,497","9,759",0.3945,0.0773,0.1186
112,0.846667,0.856984,"2,084","1,041",0.3331,"663,549","12,895","117,538","8,718",0.4034,0.0691,0.1021
113,0.857020,0.869810,"1,937","1,002",0.3409,"665,486","10,958","118,540","7,716",0.4132,0.0611,0.0868
114,0.869881,0.883247,"1,739","1,004",0.3660,"667,225","9,219","119,544","6,712",0.4213,0.0532,0.0730
115,0.883333,0.900000,"1,682","1,004",0.3738,"668,907","7,537","120,548","5,708",0.4310,0.0452,0.0597
116,0.900000,0.917179,"2,323","1,520",0.3955,"671,230","5,214","122,068","4,188",0.4454,0.0332,0.0413
117,0.917262,0.938092,"1,471","1,004",0.4057,"672,701","3,743","123,072","3,184",0.4597,0.0252,0.0296
118,0.938095,0.960833,"1,415","1,004",0.4150,"674,116","2,328","124,076","2,180",0.4836,0.0173,0.0184
119,0.961111,0.993750,"1,177","1,001",0.4596,"675,293","1,151","125,077","1,179",0.5060,0.0093,0.0091
120,1.000000,1.000000,"1,151","1,179",0.5060,"676,444",0,"126,256",0,nan,0.0000,0.0000
