,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.097500,"70,520","4,101",0.0550,"70,520","605,924","4,101","122,155",0.1678,0.9675,4.7992
1,0.100000,0.150000,"86,032","6,709",0.0723,"156,552","519,892","10,810","115,446",0.1817,0.9144,4.1178
2,0.150000,0.200000,"13,051","1,251",0.0875,"169,603","506,841","12,061","114,195",0.1839,0.9045,4.0144
3,0.200000,0.250000,"92,444","9,458",0.0928,"262,047","414,397","21,519","104,737",0.2018,0.8296,3.2822
4,0.250000,0.300000,"15,861","1,926",0.1083,"277,908","398,536","23,445","102,811",0.2051,0.8143,3.1566
5,0.300000,0.348571,"86,990","11,543",0.1171,"364,898","311,546","34,988","91,268",0.2266,0.7229,2.4676
6,0.350000,0.365909,"8,350","1,258",0.1309,"373,248","303,196","36,246","90,010",0.2289,0.7129,2.4014
7,0.366667,0.400000,"7,764","1,129",0.1270,"381,012","295,432","37,375","88,881",0.2313,0.7040,2.3399
8,0.400000,0.450000,"75,102","12,617",0.1438,"456,114","220,330","49,992","76,264",0.2571,0.6040,1.7451
9,0.450000,0.465714,"7,329","1,295",0.1502,"463,443","213,001","51,287","74,969",0.2603,0.5938,1.6871
10,0.466667,0.500000,"7,080","1,282",0.1533,"470,523","205,921","52,569","73,687",0.2635,0.5836,1.6310
11,0.500000,0.550000,"60,486","13,135",0.1784,"531,009","145,435","65,704","60,552",0.2940,0.4796,1.1519
12,0.550000,0.566190,"5,902","1,369",0.1883,"536,911","139,533","67,073","59,183",0.2978,0.4688,1.1052
13,0.566667,0.600000,"5,832","1,253",0.1769,"542,743","133,701","68,326","57,930",0.3023,0.4588,1.0590
14,0.600000,0.650000,"45,176","13,336",0.2279,"587,919","88,525","81,662","44,594",0.3350,0.3532,0.7012
15,0.650000,0.666190,"4,313","1,178",0.2145,"592,232","84,212","82,840","43,416",0.3402,0.3439,0.6670
16,0.666667,0.699286,"4,388","1,176",0.2114,"596,620","79,824","84,016","42,240",0.3460,0.3346,0.6322
17,0.700000,0.741667,"31,502","12,627",0.2861,"628,122","48,322","96,643","29,613",0.3800,0.2345,0.3827
18,0.741667,0.763333,"3,117","1,015",0.2456,"631,239","45,205","97,658","28,598",0.3875,0.2265,0.3580
19,0.763333,0.800000,"2,929","1,001",0.2547,"634,168","42,276","98,659","27,597",0.3950,0.2186,0.3348
20,0.800000,0.849643,"20,896","11,423",0.3534,"655,064","21,380","110,082","16,174",0.4307,0.1281,0.1693
21,0.850000,0.900000,"3,129","1,305",0.2943,"658,193","18,251","111,387","14,869",0.4489,0.1178,0.1446
22,0.900000,0.991667,"13,304","9,622",0.4197,"671,497","4,947","121,009","5,247",0.5147,0.0416,0.0392
23,1.000000,1.000000,"4,947","5,247",0.5147,"676,444",0,"126,256",0,nan,0.0000,0.0000
