,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0797,0.1632,"2,629",32,0.0120,"2,629","673,815",32,"126,224",0.1578,0.9997,5.3369
1,0.1632,0.2236,"31,628","1,000",0.0306,"34,257","642,187","1,032","125,224",0.1632,0.9918,5.0864
2,0.2236,0.2400,"23,054","1,000",0.0416,"57,311","619,133","2,032","124,224",0.1671,0.9839,4.9038
3,0.2400,0.2499,"18,918","1,000",0.0502,"76,229","600,215","3,032","123,224",0.1703,0.9760,4.7540
4,0.2499,0.2576,"17,707","1,000",0.0535,"93,936","582,508","4,032","122,224",0.1734,0.9681,4.6137
5,0.2576,0.2638,"15,994","1,000",0.0588,"109,930","566,514","5,032","121,224",0.1763,0.9601,4.4870
6,0.2638,0.2688,"14,082","1,000",0.0663,"124,012","552,432","6,032","120,224",0.1787,0.9522,4.3755
7,0.2688,0.2731,"13,143","1,000",0.0707,"137,155","539,289","7,032","119,224",0.1811,0.9443,4.2714
8,0.2731,0.2771,"12,854","1,000",0.0722,"150,009","526,435","8,032","118,224",0.1834,0.9364,4.1696
9,0.2771,0.2810,"13,047","1,000",0.0712,"163,056","513,388","9,032","117,224",0.1859,0.9285,4.0662
10,0.2810,0.2843,"11,766","1,000",0.0783,"174,822","501,622","10,032","116,224",0.1881,0.9205,3.9731
11,0.2843,0.2876,"11,842","1,000",0.0779,"186,664","489,780","11,032","115,224",0.1905,0.9126,3.8793
12,0.2876,0.2906,"11,741","1,000",0.0785,"198,405","478,039","12,032","114,224",0.1929,0.9047,3.7863
13,0.2906,0.2933,"10,072","1,000",0.0903,"208,477","467,967","13,032","113,224",0.1948,0.8968,3.7065
14,0.2933,0.2959,"10,298","1,000",0.0885,"218,775","457,669","14,032","112,224",0.1969,0.8889,3.6249
15,0.2959,0.2984,"10,271","1,000",0.0887,"229,046","447,398","15,032","111,224",0.1991,0.8809,3.5436
16,0.2984,0.3007,"9,728","1,000",0.0932,"238,774","437,670","16,032","110,224",0.2012,0.8730,3.4665
17,0.3007,0.3030,"9,684","1,000",0.0936,"248,458","427,986","17,032","109,224",0.2033,0.8651,3.3898
18,0.3030,0.3052,"9,406","1,000",0.0961,"257,864","418,580","18,032","108,224",0.2054,0.8572,3.3153
19,0.3052,0.3073,"8,628","1,000",0.1039,"266,492","409,952","19,032","107,224",0.2073,0.8493,3.2470
20,0.3073,0.3092,"8,483","1,000",0.1055,"274,975","401,469","20,032","106,224",0.2092,0.8413,3.1798
21,0.3092,0.3113,"8,962","1,000",0.1004,"283,937","392,507","21,032","105,224",0.2114,0.8334,3.1088
22,0.3113,0.3132,"8,562","1,001",0.1047,"292,499","383,945","22,033","104,223",0.2135,0.8255,3.0410
23,0.3132,0.3151,"8,084","1,000",0.1101,"300,583","375,861","23,033","103,223",0.2155,0.8176,2.9770
24,0.3151,0.3169,"7,999","1,000",0.1111,"308,582","367,862","24,033","102,223",0.2175,0.8096,2.9136
25,0.3169,0.3186,"7,627","1,000",0.1159,"316,209","360,235","25,033","101,223",0.2194,0.8017,2.8532
26,0.3186,0.3203,"7,458","1,000",0.1182,"323,667","352,777","26,033","100,223",0.2212,0.7938,2.7941
27,0.3203,0.3220,"7,499","1,000",0.1177,"331,166","345,278","27,033","99,223",0.2232,0.7859,2.7347
28,0.3220,0.3237,"7,066","1,000",0.1240,"338,232","338,212","28,033","98,223",0.2251,0.7780,2.6788
29,0.3237,0.3255,"7,884","1,000",0.1126,"346,116","330,328","29,033","97,223",0.2274,0.7700,2.6163
30,0.3255,0.3270,"6,534","1,000",0.1327,"352,650","323,794","30,033","96,223",0.2291,0.7621,2.5646
31,0.3270,0.3286,"7,082","1,000",0.1237,"359,732","316,712","31,033","95,223",0.2312,0.7542,2.5085
32,0.3286,0.3303,"7,216","1,000",0.1217,"366,948","309,496","32,033","94,223",0.2334,0.7463,2.4513
33,0.3303,0.3319,"6,853","1,001",0.1275,"373,801","302,643","33,034","93,222",0.2355,0.7384,2.3971
34,0.3319,0.3334,"6,312","1,000",0.1368,"380,113","296,331","34,034","92,222",0.2373,0.7304,2.3471
35,0.3334,0.3348,"6,291","1,000",0.1372,"386,404","290,040","35,034","91,222",0.2393,0.7225,2.2972
36,0.3348,0.3364,"6,652","1,000",0.1307,"393,056","283,388","36,034","90,222",0.2415,0.7146,2.2446
37,0.3364,0.3379,"6,509","1,000",0.1332,"399,565","276,879","37,034","89,222",0.2437,0.7067,2.1930
38,0.3379,0.3394,"5,960","1,000",0.1437,"405,525","270,919","38,034","88,222",0.2456,0.6988,2.1458
39,0.3394,0.3409,"6,354","1,001",0.1361,"411,879","264,565","39,035","87,221",0.2479,0.6908,2.0955
40,0.3409,0.3424,"6,145","1,000",0.1400,"418,024","258,420","40,035","86,221",0.2502,0.6829,2.0468
41,0.3424,0.3439,"5,815","1,000",0.1467,"423,839","252,605","41,035","85,221",0.2523,0.6750,2.0007
42,0.3439,0.3453,"5,757","1,000",0.1480,"429,596","246,848","42,035","84,221",0.2544,0.6671,1.9551
43,0.3453,0.3467,"5,498","1,000",0.1539,"435,094","241,350","43,035","83,221",0.2564,0.6591,1.9116
