,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0080,0.0668,"3,796",58,0.0150,"3,796","672,648",58,"126,198",0.1580,0.9995,5.3277
1,0.0668,0.1499,"31,297","1,000",0.0310,"35,093","641,351","1,058","125,198",0.1633,0.9916,5.0798
2,0.1499,0.1849,"24,033","1,000",0.0399,"59,126","617,318","2,058","124,198",0.1675,0.9837,4.8894
3,0.1849,0.2073,"18,795","1,000",0.0505,"77,921","598,523","3,058","123,198",0.1707,0.9758,4.7406
4,0.2073,0.2249,"16,868","1,000",0.0560,"94,789","581,655","4,058","122,198",0.1736,0.9679,4.6069
5,0.2249,0.2404,"15,728","1,000",0.0598,"110,517","565,927","5,058","121,198",0.1764,0.9599,4.4824
6,0.2404,0.2539,"14,765","1,000",0.0634,"125,282","551,162","6,058","120,198",0.1790,0.9520,4.3654
7,0.2539,0.2665,"14,493","1,000",0.0645,"139,775","536,669","7,058","119,198",0.1817,0.9441,4.2506
8,0.2665,0.2773,"12,967","1,000",0.0716,"152,742","523,702","8,058","118,198",0.1841,0.9362,4.1479
9,0.2773,0.2874,"12,797","1,000",0.0725,"165,539","510,905","9,058","117,198",0.1866,0.9283,4.0466
10,0.2874,0.2965,"11,541","1,000",0.0797,"177,080","499,364","10,058","116,198",0.1888,0.9203,3.9552
11,0.2965,0.3057,"11,885","1,000",0.0776,"188,965","487,479","11,058","115,198",0.1911,0.9124,3.8610
12,0.3057,0.3146,"11,875","1,000",0.0777,"200,840","475,604","12,058","114,198",0.1936,0.9045,3.7670
13,0.3146,0.3221,"10,127","1,000",0.0899,"210,967","465,477","13,058","113,198",0.1956,0.8966,3.6868
14,0.3221,0.3292,"9,655","1,000",0.0939,"220,622","455,822","14,058","112,198",0.1975,0.8887,3.6103
15,0.3292,0.3367,"10,232","1,000",0.0890,"230,854","445,590","15,058","111,198",0.1997,0.8807,3.5293
16,0.3367,0.3437,"9,861","1,000",0.0921,"240,715","435,729","16,058","110,198",0.2019,0.8728,3.4512
17,0.3437,0.3505,"9,543","1,000",0.0948,"250,258","426,186","17,058","109,198",0.2040,0.8649,3.3756
18,0.3505,0.3570,"9,096","1,000",0.0990,"259,354","417,090","18,058","108,198",0.2060,0.8570,3.3035
19,0.3570,0.3639,"10,002","1,000",0.0909,"269,356","407,088","19,058","107,198",0.2084,0.8491,3.2243
20,0.3639,0.3700,"8,858","1,000",0.1014,"278,214","398,230","20,058","106,198",0.2105,0.8411,3.1541
21,0.3700,0.3763,"8,909","1,000",0.1009,"287,123","389,321","21,058","105,198",0.2127,0.8332,3.0836
22,0.3763,0.3821,"8,288","1,000",0.1077,"295,411","381,033","22,058","104,198",0.2147,0.8253,3.0179
23,0.3821,0.3874,"7,563","1,000",0.1168,"302,974","373,470","23,058","103,198",0.2165,0.8174,2.9580
24,0.3874,0.3932,"8,121","1,000",0.1096,"311,095","365,349","24,058","102,198",0.2186,0.8095,2.8937
25,0.3932,0.3988,"8,006","1,000",0.1110,"319,101","357,343","25,058","101,198",0.2207,0.8015,2.8303
26,0.3988,0.4041,"7,645","1,000",0.1157,"326,746","349,698","26,058","100,198",0.2227,0.7936,2.7698
27,0.4041,0.4095,"7,645","1,000",0.1157,"334,391","342,053","27,058","99,198",0.2248,0.7857,2.7092
28,0.4095,0.4147,"7,255","1,000",0.1211,"341,646","334,798","28,058","98,198",0.2268,0.7778,2.6517
29,0.4147,0.4198,"7,086","1,000",0.1237,"348,732","327,712","29,058","97,198",0.2287,0.7698,2.5956
30,0.4198,0.4249,"7,100","1,000",0.1235,"355,832","320,612","30,058","96,198",0.2308,0.7619,2.5394
31,0.4249,0.4299,"6,942","1,000",0.1259,"362,774","313,670","31,058","95,198",0.2328,0.7540,2.4844
32,0.4299,0.4350,"7,023","1,000",0.1246,"369,797","306,647","32,058","94,198",0.2350,0.7461,2.4288
33,0.4350,0.4400,"6,841","1,001",0.1276,"376,638","299,806","33,059","93,197",0.2371,0.7382,2.3746
34,0.4400,0.4447,"6,449","1,000",0.1342,"383,087","293,357","34,059","92,197",0.2391,0.7302,2.3235
35,0.4447,0.4492,"6,171","1,000",0.1395,"389,258","287,186","35,059","91,197",0.2410,0.7223,2.2746
36,0.4492,0.4538,"6,206","1,000",0.1388,"395,464","280,980","36,059","90,197",0.2430,0.7144,2.2255
37,0.4538,0.4583,"6,062","1,000",0.1416,"401,526","274,918","37,059","89,197",0.2450,0.7065,2.1775
38,0.4583,0.4629,"6,078","1,000",0.1413,"407,604","268,840","38,059","88,197",0.2470,0.6986,2.1293
39,0.4629,0.4677,"6,171","1,000",0.1395,"413,775","262,669","39,059","87,197",0.2492,0.6906,2.0804
40,0.4677,0.4723,"6,047","1,000",0.1419,"419,822","256,622","40,059","86,197",0.2514,0.6827,2.0326
41,0.4723,0.4770,"5,968","1,000",0.1435,"425,790","250,654","41,059","85,197",0.2537,0.6748,1.9853
42,0.4770,0.4814,"5,533","1,000",0.1531,"431,323","245,121","42,059","84,197",0.2557,0.6669,1.9415
43,0.4814,0.4859,"5,587","1,000",0.1518,"436,910","239,534","43,059","83,197",0.2578,0.6590,1.8972
44,0.4859,0.4904,"5,586","1,000",0.1518,"442,496","233,948","44,059","82,197",0.2600,0.6510,1.8530
45,0.4904,0.4947,"5,558","1,000",0.1525,"448,054","228,390","45,059","81,197",0.2623,0.6431,1.8089
46,0.4947,0.4991,"5,390","1,000",0.1565,"453,444","223,000","46,059","80,197",0.2645,0.6352,1.7663
47,0.4991,0.5034,"5,005","1,000",0.1665,"458,449","217,995","47,059","79,197",0.2665,0.6273,1.7266
48,0.5034,0.5079,"5,377","1,000",0.1568,"463,826","212,618","48,059","78,197",0.2689,0.6194,1.6840
49,0.5079,0.5121,"5,027","1,000",0.1659,"468,853","207,591","49,059","77,197",0.2711,0.6114,1.6442
50,0.5121,0.5163,"5,238","1,000",0.1603,"474,091","202,353","50,059","76,197",0.2735,0.6035,1.6027
51,0.5163,0.5205,"4,867","1,000",0.1704,"478,958","197,486","51,059","75,197",0.2758,0.5956,1.5642
52,0.5205,0.5249,"4,967","1,000",0.1676,"483,925","192,519","52,059","74,197",0.2782,0.5877,1.5248
