,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0344,"17,412",872,0.0477,"17,412","659,032",872,"125,384",0.1598,0.9931,5.2198
1,0.0344,0.0850,"16,707","1,001",0.0565,"34,119","642,325","1,873","124,383",0.1622,0.9852,5.0875
2,0.0850,0.1253,"14,937","1,001",0.0628,"49,056","627,388","2,874","123,382",0.1643,0.9772,4.9692
3,0.1253,0.1577,"14,581","1,001",0.0642,"63,637","612,807","3,875","122,381",0.1665,0.9693,4.8537
4,0.1577,0.1820,"13,247","1,001",0.0703,"76,884","599,560","4,876","121,380",0.1684,0.9614,4.7488
5,0.1820,0.2034,"11,472","1,000",0.0802,"88,356","588,088","5,876","120,380",0.1699,0.9535,4.6579
6,0.2034,0.2217,"12,524","1,000",0.0739,"100,880","575,564","6,876","119,380",0.1718,0.9455,4.5587
7,0.2217,0.2369,"11,166","1,000",0.0822,"112,046","564,398","7,876","118,380",0.1734,0.9376,4.4703
8,0.2369,0.2499,"10,786","1,000",0.0848,"122,832","553,612","8,876","117,380",0.1749,0.9297,4.3848
9,0.2499,0.2613,"10,872","1,000",0.0842,"133,704","542,740","9,876","116,380",0.1766,0.9218,4.2987
10,0.2613,0.2731,"11,220","1,001",0.0819,"144,924","531,520","10,877","115,379",0.1784,0.9138,4.2099
11,0.2731,0.2847,"10,320","1,001",0.0884,"155,244","521,200","11,878","114,378",0.1800,0.9059,4.1281
12,0.2847,0.2959,"10,050","1,000",0.0905,"165,294","511,150","12,878","113,378",0.1815,0.8980,4.0485
13,0.2959,0.3063,"9,933","1,001",0.0915,"175,227","501,217","13,879","112,377",0.1831,0.8901,3.9698
14,0.3063,0.3167,"9,577","1,000",0.0945,"184,804","491,640","14,879","111,377",0.1847,0.8822,3.8940
15,0.3167,0.3265,"9,234","1,000",0.0977,"194,038","482,406","15,879","110,377",0.1862,0.8742,3.8209
16,0.3265,0.3362,"8,736","1,003",0.1030,"202,774","473,670","16,882","109,374",0.1876,0.8663,3.7517
17,0.3362,0.3443,"8,400","1,001",0.1065,"211,174","465,270","17,883","108,373",0.1889,0.8584,3.6851
18,0.3443,0.3519,"8,603","1,000",0.1041,"219,777","456,667","18,883","107,373",0.1904,0.8504,3.6170
19,0.3519,0.3596,"7,804","1,000",0.1136,"227,581","448,863","19,883","106,373",0.1916,0.8425,3.5552
20,0.3596,0.3659,"7,524","1,000",0.1173,"235,105","441,339","20,883","105,373",0.1927,0.8346,3.4956
21,0.3659,0.3731,"8,017","1,001",0.1110,"243,122","433,322","21,884","104,372",0.1941,0.8267,3.4321
22,0.3731,0.3801,"7,695","1,000",0.1150,"250,817","425,627","22,884","103,372",0.1954,0.8187,3.3711
23,0.3801,0.3870,"7,950","1,011",0.1128,"258,767","417,677","23,895","102,361",0.1968,0.8107,3.3082
24,0.3870,0.3932,"7,706","1,000",0.1149,"266,473","409,971","24,895","101,361",0.1982,0.8028,3.2471
25,0.3932,0.3996,"6,976","1,000",0.1254,"273,449","402,995","25,895","100,361",0.1994,0.7949,3.1919
26,0.3996,0.4055,"7,196","1,000",0.1220,"280,645","395,799","26,895","99,361",0.2007,0.7870,3.1349
27,0.4055,0.4115,"6,912","1,000",0.1264,"287,557","388,887","27,895","98,361",0.2019,0.7791,3.0801
28,0.4115,0.4170,"6,894","1,000",0.1267,"294,451","381,993","28,895","97,361",0.2031,0.7711,3.0255
29,0.4170,0.4220,"6,565","1,000",0.1322,"301,016","375,428","29,895","96,361",0.2042,0.7632,2.9735
30,0.4220,0.4271,"6,568","1,001",0.1322,"307,584","368,860","30,896","95,360",0.2054,0.7553,2.9215
31,0.4271,0.4327,"7,261","1,001",0.1212,"314,845","361,599","31,897","94,359",0.2069,0.7474,2.8640
32,0.4327,0.4376,"6,222","1,006",0.1392,"321,067","355,377","32,903","93,353",0.2080,0.7394,2.8147
33,0.4376,0.4420,"6,015","1,000",0.1426,"327,082","349,362","33,903","92,353",0.2091,0.7315,2.7671
34,0.4420,0.4470,"6,379","1,006",0.1362,"333,461","342,983","34,909","91,347",0.2103,0.7235,2.7166
35,0.4470,0.4518,"6,588","1,001",0.1319,"340,049","336,395","35,910","90,346",0.2117,0.7156,2.6644
36,0.4518,0.4565,"6,605","1,006",0.1322,"346,654","329,790","36,916","89,340",0.2132,0.7076,2.6121
37,0.4565,0.4610,"6,183","1,000",0.1392,"352,837","323,607","37,916","88,340",0.2144,0.6997,2.5631
38,0.4610,0.4653,"6,272","1,001",0.1376,"359,109","317,335","38,917","87,339",0.2158,0.6918,2.5134
39,0.4653,0.4707,"6,677","1,007",0.1311,"365,786","310,658","39,924","86,332",0.2175,0.6838,2.4605
40,0.4707,0.4749,"5,908","1,000",0.1448,"371,694","304,750","40,924","85,332",0.2188,0.6759,2.4137
41,0.4749,0.4795,"5,579","1,000",0.1520,"377,273","299,171","41,924","84,332",0.2199,0.6679,2.3696
42,0.4795,0.4837,"5,836","1,004",0.1468,"383,109","293,335","42,928","83,328",0.2212,0.6600,2.3233
43,0.4837,0.4886,"6,086","1,001",0.1412,"389,195","287,249","43,929","82,327",0.2228,0.6521,2.2751
44,0.4886,0.4926,"5,633","1,000",0.1508,"394,828","281,616","44,929","81,327",0.2241,0.6441,2.2305
45,0.4926,0.4971,"5,587","1,000",0.1518,"400,415","276,029","45,929","80,327",0.2254,0.6362,2.1863
46,0.4971,0.5015,"5,431","1,002",0.1558,"405,846","270,598","46,931","79,325",0.2267,0.6283,2.1432
47,0.5015,0.5062,"5,719","1,001",0.1490,"411,565","264,879","47,932","78,324",0.2282,0.6204,2.0980
48,0.5062,0.5102,"5,143","1,000",0.1628,"416,708","259,736","48,932","77,324",0.2294,0.6124,2.0572
49,0.5102,0.5145,"5,138","1,010",0.1643,"421,846","254,598","49,942","76,314",0.2306,0.6044,2.0165
50,0.5145,0.5185,"4,845","1,001",0.1712,"426,691","249,753","50,943","75,313",0.2317,0.5965,1.9781
51,0.5185,0.5227,"5,202","1,001",0.1614,"431,893","244,551","51,944","74,312",0.2331,0.5886,1.9369
