,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.070000,"7,940",237,0.0290,"7,940","668,504",237,"126,019",0.1586,0.9981,5.2948
1,0.070000,0.140000,"29,760","1,023",0.0332,"37,700","638,744","1,260","124,996",0.1637,0.9900,5.0591
2,0.140000,0.173333,"24,623","1,108",0.0431,"62,323","614,121","2,368","123,888",0.1679,0.9812,4.8641
3,0.173333,0.199048,"20,186","1,013",0.0478,"82,509","593,935","3,381","122,875",0.1714,0.9732,4.7042
4,0.199056,0.220000,"19,268","1,000",0.0493,"101,777","574,667","4,381","121,875",0.1750,0.9653,4.5516
5,0.220000,0.238286,"20,251","1,184",0.0552,"122,028","554,416","5,565","120,691",0.1788,0.9559,4.3912
6,0.238333,0.252500,"17,530","1,029",0.0554,"139,558","536,886","6,594","119,662",0.1823,0.9478,4.2524
7,0.252500,0.266000,"14,916","1,033",0.0648,"154,474","521,970","7,627","118,629",0.1852,0.9396,4.1342
8,0.266000,0.278667,"14,218","1,003",0.0659,"168,692","507,752","8,630","117,626",0.1881,0.9316,4.0216
9,0.278667,0.289964,"13,082","1,000",0.0710,"181,774","494,670","9,630","116,626",0.1908,0.9237,3.9180
10,0.290000,0.299976,"12,494","1,010",0.0748,"194,268","482,176","10,640","115,616",0.1934,0.9157,3.8190
11,0.300000,0.310000,"12,823","1,040",0.0750,"207,091","469,353","11,680","114,576",0.1962,0.9075,3.7175
12,0.310000,0.320000,"12,858","1,095",0.0785,"219,949","456,495","12,775","113,481",0.1991,0.8988,3.6156
13,0.320000,0.330000,"13,236","1,115",0.0777,"233,185","443,259","13,890","112,366",0.2022,0.8900,3.5108
14,0.330000,0.340000,"13,479","1,219",0.0829,"246,664","429,780","15,109","111,147",0.2055,0.8803,3.4040
15,0.340000,0.350000,"13,600","1,244",0.0838,"260,264","416,180","16,353","109,903",0.2089,0.8705,3.2963
16,0.350000,0.360000,"13,605","1,366",0.0912,"273,869","402,575","17,719","108,537",0.2124,0.8597,3.1886
17,0.360000,0.370000,"13,628","1,413",0.0939,"287,497","388,947","19,132","107,124",0.2159,0.8485,3.0806
18,0.370000,0.380000,"13,638","1,436",0.0953,"301,135","375,309","20,568","105,688",0.2197,0.8371,2.9726
19,0.380000,0.390000,"13,644","1,517",0.1001,"314,779","361,665","22,085","104,171",0.2236,0.8251,2.8645
20,0.390000,0.400000,"13,473","1,535",0.1023,"328,252","348,192","23,620","102,636",0.2277,0.8129,2.7578
21,0.400000,0.406952,"11,377","1,371",0.1075,"339,629","336,815","24,991","101,265",0.2312,0.8021,2.6677
22,0.407000,0.412310,"7,900","1,005",0.1129,"347,529","328,915","25,996","100,260",0.2336,0.7941,2.6051
23,0.412333,0.420000,"7,280","1,000",0.1208,"354,809","321,635","26,996","99,260",0.2358,0.7862,2.5475
24,0.420000,0.426619,"10,286","1,374",0.1178,"365,095","311,349","28,370","97,886",0.2392,0.7753,2.4660
25,0.426667,0.431667,"8,173","1,032",0.1121,"373,268","303,176","29,402","96,854",0.2421,0.7671,2.4013
26,0.431667,0.440000,"7,599","1,007",0.1170,"380,867","295,577","30,409","95,847",0.2449,0.7591,2.3411
27,0.440000,0.446667,"10,019","1,397",0.1224,"390,886","285,558","31,806","94,450",0.2485,0.7481,2.2617
28,0.446667,0.451250,"7,691","1,074",0.1225,"398,577","277,867","32,880","93,376",0.2515,0.7396,2.2008
29,0.451250,0.457976,"6,438","1,001",0.1346,"405,015","271,429","33,881","92,375",0.2539,0.7316,2.1498
30,0.458000,0.462500,"6,707","1,004",0.1302,"411,722","264,722","34,885","91,371",0.2566,0.7237,2.0967
31,0.462500,0.470000,"6,547","1,000",0.1325,"418,269","258,175","35,885","90,371",0.2593,0.7158,2.0449
32,0.470000,0.477500,"10,371","1,613",0.1346,"428,640","247,804","37,498","88,758",0.2637,0.7030,1.9627
33,0.477500,0.481667,"6,631","1,043",0.1359,"435,271","241,173","38,541","87,715",0.2667,0.6947,1.9102
34,0.481667,0.488310,"5,752","1,016",0.1501,"441,023","235,421","39,557","86,699",0.2692,0.6867,1.8646
35,0.488333,0.492500,"6,166","1,053",0.1459,"447,189","229,255","40,610","85,646",0.2720,0.6784,1.8158
36,0.492500,0.499000,"5,780","1,025",0.1506,"452,969","223,475","41,635","84,621",0.2747,0.6702,1.7700
37,0.499000,0.502665,"5,815","1,009",0.1479,"458,784","217,660","42,644","83,612",0.2775,0.6622,1.7240
38,0.502667,0.510000,"5,615","1,006",0.1519,"464,399","212,045","43,650","82,606",0.2804,0.6543,1.6795
