,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0205,0.0328,"2,641",91,0.0333,"2,641","673,803",91,"126,165",0.1577,0.9993,5.3368
1,0.0328,0.0511,"23,376","1,000",0.0410,"26,017","650,427","1,091","125,165",0.1614,0.9914,5.1517
2,0.0511,0.0589,"17,185","1,000",0.0550,"43,202","633,242","2,091","124,165",0.1639,0.9834,5.0155
3,0.0589,0.0644,"16,135","1,000",0.0584,"59,337","617,107","3,091","123,165",0.1664,0.9755,4.8877
4,0.0644,0.0693,"14,414","1,000",0.0649,"73,751","602,693","4,091","122,165",0.1685,0.9676,4.7736
5,0.0693,0.0740,"13,312","1,001",0.0699,"87,063","589,381","5,092","121,164",0.1705,0.9597,4.6681
6,0.0740,0.0787,"12,949","1,000",0.0717,"100,012","576,432","6,092","120,164",0.1725,0.9517,4.5656
7,0.0787,0.0826,"11,156","1,000",0.0823,"111,168","565,276","7,092","119,164",0.1741,0.9438,4.4772
8,0.0826,0.0864,"11,211","1,000",0.0819,"122,379","554,065","8,092","118,164",0.1758,0.9359,4.3884
9,0.0864,0.0898,"10,056","1,000",0.0904,"132,435","544,009","9,092","117,164",0.1772,0.9280,4.3088
10,0.0898,0.0929,"9,702","1,000",0.0934,"142,137","534,307","10,092","116,164",0.1786,0.9201,4.2319
11,0.0929,0.0958,"10,158","1,001",0.0897,"152,295","524,149","11,093","115,163",0.1801,0.9121,4.1515
12,0.0958,0.0983,"9,002","1,002",0.1002,"161,297","515,147","12,095","114,161",0.1814,0.9042,4.0802
13,0.0983,0.1008,"9,101","1,000",0.0990,"170,398","506,046","13,095","113,161",0.1828,0.8963,4.0081
14,0.1008,0.1030,"8,374","1,000",0.1067,"178,772","497,672","14,095","112,161",0.1839,0.8884,3.9418
15,0.1030,0.1053,"8,162","1,000",0.1091,"186,934","489,510","15,095","111,161",0.1851,0.8804,3.8771
16,0.1053,0.1075,"8,472","1,000",0.1056,"195,406","481,038","16,095","110,161",0.1863,0.8725,3.8100
17,0.1075,0.1097,"8,437","1,000",0.1060,"203,843","472,601","17,095","109,161",0.1876,0.8646,3.7432
18,0.1097,0.1115,"7,643","1,000",0.1157,"211,486","464,958","18,095","108,161",0.1887,0.8567,3.6827
19,0.1115,0.1132,"7,343","1,000",0.1199,"218,829","457,615","19,095","107,161",0.1897,0.8488,3.6245
20,0.1132,0.1149,"7,793","1,000",0.1137,"226,622","449,822","20,095","106,161",0.1909,0.8408,3.5628
21,0.1149,0.1166,"7,872","1,002",0.1129,"234,494","441,950","21,097","105,159",0.1922,0.8329,3.5004
22,0.1166,0.1183,"7,393","1,001",0.1193,"241,887","434,557","22,098","104,158",0.1933,0.8250,3.4419
23,0.1183,0.1201,"7,324","1,000",0.1201,"249,211","427,233","23,098","103,158",0.1945,0.8171,3.3839
24,0.1201,0.1216,"7,052","1,000",0.1242,"256,263","420,181","24,098","102,158",0.1956,0.8091,3.3280
25,0.1216,0.1233,"6,962","1,003",0.1259,"263,225","413,219","25,101","101,155",0.1967,0.8012,3.2729
26,0.1233,0.1249,"7,219","1,000",0.1217,"270,444","406,000","26,101","100,155",0.1979,0.7933,3.2157
27,0.1249,0.1266,"6,856","1,001",0.1274,"277,300","399,144","27,102","99,154",0.1990,0.7853,3.1614
