,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.009167,295,3,0.0101,295,"676,149",3,"126,253",0.1573,1.0000,5.3554
1,0.010000,0.012857,365,6,0.0162,660,"675,784",9,"126,247",0.1574,0.9999,5.3525
2,0.013333,0.014286,22,1,0.0435,682,"675,762",10,"126,246",0.1574,0.9999,5.3523
3,0.015000,0.020000,122,2,0.0161,804,"675,640",12,"126,244",0.1574,0.9999,5.3513
4,0.020000,0.020000,484,10,0.0202,"1,288","675,156",22,"126,234",0.1575,0.9998,5.3475
5,0.020101,0.022857,68,1,0.0145,"1,356","675,088",23,"126,233",0.1575,0.9998,5.3470
6,0.023333,0.023929,48,1,0.0204,"1,404","675,040",24,"126,232",0.1575,0.9998,5.3466
7,0.024000,0.025667,119,1,0.0083,"1,523","674,921",25,"126,231",0.1576,0.9998,5.3457
8,0.025714,0.025833,4,1,0.2000,"1,527","674,917",26,"126,230",0.1576,0.9998,5.3456
9,0.026000,0.026167,8,1,0.1111,"1,535","674,909",27,"126,229",0.1576,0.9998,5.3456
10,0.026250,0.026250,2,1,0.3333,"1,537","674,907",28,"126,228",0.1576,0.9998,5.3455
11,0.026667,0.029444,94,1,0.0105,"1,631","674,813",29,"126,227",0.1576,0.9998,5.3448
12,0.030000,0.033000,720,15,0.0204,"2,351","674,093",44,"126,212",0.1577,0.9997,5.3391
13,0.033333,0.034667,94,4,0.0408,"2,445","673,999",48,"126,208",0.1577,0.9996,5.3384
14,0.035000,0.035833,140,3,0.0210,"2,585","673,859",51,"126,205",0.1577,0.9996,5.3372
15,0.035952,0.036500,16,1,0.0588,"2,601","673,843",52,"126,204",0.1577,0.9996,5.3371
16,0.036667,0.037619,100,5,0.0476,"2,701","673,743",57,"126,199",0.1578,0.9995,5.3363
17,0.038000,0.040000,89,1,0.0111,"2,790","673,654",58,"126,198",0.1578,0.9995,5.3356
18,0.040000,0.040333,889,19,0.0209,"3,679","672,765",77,"126,179",0.1579,0.9994,5.3286
19,0.040667,0.040667,3,1,0.2500,"3,682","672,762",78,"126,178",0.1579,0.9994,5.3286
20,0.040833,0.041500,14,2,0.1250,"3,696","672,748",80,"126,176",0.1579,0.9994,5.3284
21,0.041667,0.041667,13,2,0.1333,"3,709","672,735",82,"126,174",0.1579,0.9994,5.3283
22,0.042000,0.042333,12,1,0.0769,"3,721","672,723",83,"126,173",0.1579,0.9993,5.3282
23,0.042440,0.042440,3,1,0.2500,"3,724","672,720",84,"126,172",0.1579,0.9993,5.3282
24,0.042500,0.043000,49,1,0.0200,"3,773","672,671",85,"126,171",0.1579,0.9993,5.3278
25,0.043333,0.044000,111,2,0.0177,"3,884","672,560",87,"126,169",0.1580,0.9993,5.3270
26,0.044167,0.045000,25,1,0.0385,"3,909","672,535",88,"126,168",0.1580,0.9993,5.3268
27,0.045000,0.046083,188,3,0.0157,"4,097","672,347",91,"126,165",0.1580,0.9993,5.3253
28,0.046111,0.046500,7,1,0.1250,"4,104","672,340",92,"126,164",0.1580,0.9993,5.3252
29,0.046667,0.047714,139,3,0.0211,"4,243","672,201",95,"126,161",0.1580,0.9992,5.3241
30,0.047833,0.048095,12,1,0.0769,"4,255","672,189",96,"126,160",0.1580,0.9992,5.3240
31,0.048333,0.050000,77,4,0.0494,"4,332","672,112",100,"126,156",0.1580,0.9992,5.3234
32,0.050000,0.050000,"1,026",18,0.0172,"5,358","671,086",118,"126,138",0.1582,0.9991,5.3153
33,0.050333,0.050667,12,1,0.0769,"5,370","671,074",119,"126,137",0.1582,0.9991,5.3152
34,0.050833,0.051143,20,1,0.0476,"5,390","671,054",120,"126,136",0.1582,0.9990,5.3150
35,0.051167,0.051500,3,1,0.2500,"5,393","671,051",121,"126,135",0.1582,0.9990,5.3150
36,0.051667,0.052222,54,1,0.0182,"5,447","670,997",122,"126,134",0.1582,0.9990,5.3146
37,0.052308,0.052308,1,1,0.5000,"5,448","670,996",123,"126,133",0.1582,0.9990,5.3146
38,0.052333,0.052333,1,1,0.5000,"5,449","670,995",124,"126,132",0.1582,0.9990,5.3146
39,0.052500,0.053000,60,2,0.0323,"5,509","670,935",126,"126,130",0.1582,0.9990,5.3141
40,0.053333,0.053864,112,3,0.0261,"5,621","670,823",129,"126,127",0.1583,0.9990,5.3132
41,0.054000,0.054333,37,1,0.0263,"5,658","670,786",130,"126,126",0.1583,0.9990,5.3129
42,0.054444,0.054556,2,1,0.3333,"5,660","670,784",131,"126,125",0.1583,0.9990,5.3129
43,0.054583,0.054667,2,1,0.3333,"5,662","670,782",132,"126,124",0.1583,0.9990,5.3129
44,0.054702,0.054857,10,1,0.0909,"5,672","670,772",133,"126,123",0.1583,0.9989,5.3128
45,0.055000,0.055750,201,8,0.0383,"5,873","670,571",141,"126,115",0.1583,0.9989,5.3112
46,0.055833,0.055833,10,1,0.0909,"5,883","670,561",142,"126,114",0.1583,0.9989,5.3111
47,0.056000,0.056413,22,2,0.0833,"5,905","670,539",144,"126,112",0.1583,0.9989,5.3109
48,0.056500,0.056500,5,1,0.1667,"5,910","670,534",145,"126,111",0.1583,0.9989,5.3109
