Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P
2442,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_1,Min,0.8,0.8092,0.009199999999999986,0.8,0.6660500072264778,664891,11553,103214,23042,0.09150456215942213
2473,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_1,Max,0.8,0.8092,0.009199999999999986,0.8092,0.6674335973904939,665025,11419,103339,22917,0.09044322646052465
2440,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_10,Min,0.7993,0.811,0.011700000000000044,0.7993,0.6571851867756706,663150,13294,101153,25103,0.10529400582942593
2478,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_10,Max,0.7993,0.811,0.011700000000000044,0.811,0.6763211202676109,666511,9933,105394,20862,0.07867348878469142
2438,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_20,Min,0.799,0.812,0.013000000000000012,0.799,0.657212013223992,663146,13298,101151,25105,0.10532568749207959
2482,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_20,Max,0.799,0.812,0.013000000000000012,0.812,0.6763592036540945,666515,9929,105398,20858,0.07864180712203776
2431,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_50,Min,0.7971,0.815,0.017899999999999916,0.7971,0.656790498349101,663141,13303,101131,25125,0.10536528957039666
2494,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_50,Max,0.7971,0.815,0.017899999999999916,0.815,0.676661981429972,666563,9881,105476,20780,0.07826162717019389
2434,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_100,Min,0.798,0.815,0.016999999999999904,0.798,0.6570187507634402,663144,13300,101144,25112,0.10534152832340642
2494,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_100,Max,0.798,0.815,0.016999999999999904,0.815,0.6766591168631582,666563,9881,105476,20780,0.07826162717019389
2440,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_200,Min,0.7993,0.8167,0.01739999999999997,0.7993,0.6569090169466454,663150,13294,101153,25103,0.10529400582942593
2504,BRFC_alpha_0_5_0_1_1_1_Hard_Round_4,Prec_200,Max,0.7993,0.8167,0.01739999999999997,0.8167,0.6766237206762507,666595,9849,105505,20751,0.07800817386896464
