,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.005000,144,nan,nan,144,"676,300",nan,nan,nan,nan,nan
1,0.010000,0.012500,246,2.0,0.0081,390,"676,054",2.0,"126,254.0",0.1574,1.0000,5.3546
2,0.020000,0.026667,552,6.0,0.0108,942,"675,502",8.0,"126,248.0",0.1575,0.9999,5.3503
3,0.030000,0.037500,893,5.0,0.0056,"1,835","674,609",13.0,"126,243.0",0.1576,0.9999,5.3432
4,0.040000,0.047500,"1,423",11.0,0.0077,"3,258","673,186",24.0,"126,232.0",0.1579,0.9998,5.3319
5,0.050000,0.057500,"1,942",14.0,0.0072,"5,200","671,244",38.0,"126,218.0",0.1583,0.9997,5.3165
6,0.060000,0.063333,"2,306",17.0,0.0073,"7,506","668,938",55.0,"126,201.0",0.1587,0.9996,5.2983
7,0.065000,0.068000,26,1.0,0.0370,"7,532","668,912",56.0,"126,200.0",0.1587,0.9996,5.2981
8,0.070000,0.073333,"2,912",35.0,0.0119,"10,444","666,000",91.0,"126,165.0",0.1593,0.9993,5.2750
9,0.075000,0.078000,43,1.0,0.0227,"10,487","665,957",92.0,"126,164.0",0.1593,0.9993,5.2747
10,0.080000,0.088333,"3,526",37.0,0.0104,"14,013","662,431",129.0,"126,127.0",0.1599,0.9990,5.2467
11,0.090000,0.096000,"4,002",41.0,0.0101,"18,015","658,429",170.0,"126,086.0",0.1607,0.9987,5.2150
12,0.096667,0.099091,27,1.0,0.0357,"18,042","658,402",171.0,"126,085.0",0.1607,0.9986,5.2148
13,0.100000,0.104286,"4,548",49.0,0.0107,"22,590","653,854",220.0,"126,036.0",0.1616,0.9983,5.1788
14,0.105000,0.110000,88,1.0,0.0112,"22,678","653,766",221.0,"126,035.0",0.1616,0.9982,5.1781
15,0.110000,0.112500,"5,226",96.0,0.0180,"27,904","648,540",317.0,"125,939.0",0.1626,0.9975,5.1367
16,0.113333,0.116000,98,1.0,0.0101,"28,002","648,442",318.0,"125,938.0",0.1626,0.9975,5.1359
