,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,Min_1,Max_1,TP_10,FP_10,Prec_10,Min_10,Max_10,TP_20,FP_20,Prec_20,Min_20,Max_20,TP_50,FP_50,Prec_50,Min_50,Max_50,TP_100,FP_100,Prec_100,Min_100,Max_100,TP_200,FP_200,Prec_200,Min_200,Max_200,TP_500,FP_500,Prec_500,Min_500,Max_500,TP_1000,FP_1000,Prec_1000,Min_1000,Max_1000,TP_2000,FP_2000,Prec_2000,Min_2000,Max_2000,mProb,Pos_1,Neg_1,mProb_1,p_Min_1,p_Max_1,Pos_10,Neg_10,mProb_10,p_Min_10,p_Max_10,Pos_20,Neg_20,mProb_20,p_Min_20,p_Max_20,Pos_50,Neg_50,mProb_50,p_Min_50,p_Max_50,Pos_100,Neg_100,mProb_100,p_Min_100,p_Max_100,Pos_200,Neg_200,mProb_200,p_Min_200,p_Max_200,Pos_500,Neg_500,mProb_500,p_Min_500,p_Max_500,Pos_1000,Neg_1000,mProb_1000,p_Min_1000,p_Max_1000,Pos_2000,Neg_2000,mProb_2000,p_Min_2000,p_Max_2000
0,0.0,1,163,1,163,676281,1,126255,5.356426625269294,0.15732004545590478,126255.0,676281.0,0.15732004545590478,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006097560975609756,1.0,163.0,0.006097560975609756,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,2,290,2,453,675991,3,126253,5.354129704726904,0.15737481364771816,126253.0,675991.0,0.15737481364771816,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00684931506849315,2.0,290.0,0.00684931506849315,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0114,0,1,0,454,675990,3,126253,5.354121784311241,0.15737500981622776,126253.0,675990.0,0.15737500981622776,,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0125,0,1,0,455,675989,3,126253,5.354113863895577,0.1573752059852264,126253.0,675989.0,0.1573752059852264,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02,5,549,5,1004,675440,8,126248,5.349765555696363,0.15747772200656615,126248.0,675440.0,0.15747772200656615,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009025270758122744,5.0,549.0,0.009025270758122744,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0229,0,1,0,1005,675439,8,126248,5.3497576352806995,0.15747791843949072,126248.0,675439.0,0.15747791843949072,,0.0229,126248.8,675488.4,0.1574690559450154,,0.0229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0229,15.0,2004.0,0.007429420505200594,,0.0229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.025,0,1,0,1006,675438,8,126248,5.349749714865036,0.15747811487290536,126248.0,675438.0,0.15747811487290536,,0.025,126247.4,675304.2,0.15750377143530123,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.025,14.0,1842.0,0.007543103448275862,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0267,0,3,0,1009,675435,8,126248,5.349725953618046,0.15747870417608956,126248.0,675435.0,0.15747870417608956,,0.0267,126246.2,675148.5,0.15753311071311055,,0.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,0.0267,12.0,1557.0,0.0076481835564053535,,0.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03,7,994,7,2003,674441,15,126241,5.341853060448613,0.1576668390197357,126241.0,674441.0,0.1576668390197357,,0.03,126245.0,674992.7,0.15756248114635646,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006993006993006993,7.0,994.0,0.006993006993006993,,0.03,12.0,1558.0,0.007643312101910828,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0333,0,1,0,2004,674440,15,126241,5.341845140032949,0.15766703593565978,126241.0,674440.0,0.15766703593565978,,0.0333,126243.2,674696.5,0.15761885695015493,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0333,18.0,2962.0,0.006040268456375839,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.034,0,1,0,2005,674439,15,126241,5.341837219617285,0.15766723285207573,126241.0,674439.0,0.15766723285207573,,0.034,126241.8,674455.1,0.1576649041603633,,0.034,126242.5,674466.7,0.1576633564345208,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.034,14.0,2414.0,0.005766062602965404,,0.034,22.0,3429.0,0.006374963778614894,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.035,0,5,0,2010,674434,15,126241,5.341797617538968,0.1576682174415337,126241.0,674434.0,0.1576682174415337,,0.035,126240.4,674213.5,0.15771101871075896,,0.035,126240.65,674210.35,0.15771190241501354,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,,0.035,14.0,2416.0,0.005761316872427984,,0.035,37.0,5127.0,0.007164988381099922,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0367,0,2,0,2012,674432,15,126241,5.341781776707641,0.15766861128076007,126241.0,674432.0,0.15766861128076007,,0.0367,126239.0,673971.8,0.15775718098281102,,0.0367,126238.9,673968.2,0.15775778545329078,,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,0.0367,14.0,2417.0,0.005758946935417524,,0.0367,35.0,4843.0,0.007175071750717507,,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.04,6,1405,6,3417,673027,21,126235,5.3306535927005445,0.15793944914183333,126235.0,673027.0,0.15793944914183333,,0.04,126237.6,673730.0,0.15780339103733704,,0.04,126237.15,673725.5,0.1578038049651443,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004252303330970942,6.0,1405.0,0.004252303330970942,,0.04,14.0,2418.0,0.005756578947368421,,0.04,35.0,4854.0,0.007158928206177132,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
