,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0,185,4600,185,4600,671844,185,126071,5.321283740970726,0.1580005389045199
1,0.0006,0,3,0,4603,671841,185,126071,5.321259979723736,0.15800113295701781
2,0.0007,0,10,0,4613,671831,185,126071,5.321180775567102,0.15800311316427332
3,0.0008,1,16,1,4629,671815,186,126070,5.321054048916487,0.15800522631707578
4,0.0009,1,23,1,4652,671792,187,126069,5.320871879356228,0.1580087258306898
5,0.001,0,40,0,4692,671752,187,126069,5.320555062729692,0.15801664784456665
6,0.0011,1,51,1,4743,671701,188,126068,5.320151121530858,0.15802569415457357
7,0.0012,1,43,1,4786,671658,189,126067,5.319810543657331,0.1580331567896205
8,0.0013,1,15,1,4801,671643,190,126066,5.31969173742238,0.1580350729401323
9,0.0014,2,35,2,4836,671608,192,126064,5.31941452287416,0.15803989609764416
10,0.0015,1,28,1,4864,671580,193,126063,5.319192751235585,0.1580443882789669
11,0.0016,0,25,0,4889,671555,193,126063,5.3189947408439995,0.15804934191555356
12,0.0017,3,75,3,4964,671480,196,126060,5.318400709669244,0.15806103769089952
13,0.0018,1,33,1,4997,671447,197,126059,5.318139335952351,0.15806652238353067
14,0.0019,3,15,3,5012,671432,200,126056,5.3180205297173995,0.15806632827077022
15,0.002,6,110,6,5122,671322,206,126050,5.317149283994424,0.15808179870875827
16,0.0021,4,40,4,5162,671282,210,126046,5.316832467367887,0.15808550558866616
17,0.0022,0,37,0,5199,671245,210,126046,5.316539411988341,0.15809284188583592
18,0.0023,0,8,0,5207,671237,210,126046,5.316476048663034,0.1580944282017803
19,0.0024,0,5,0,5212,671232,210,126046,5.316436446584717,0.15809541966541157
20,0.0025,3,88,3,5300,671144,213,126043,5.315739450006336,0.15810970324403184
21,0.0026,3,12,3,5312,671132,216,126040,5.315644405018375,0.15810891501457652
22,0.0027,2,35,2,5347,671097,218,126038,5.315367190470156,0.15811374484873955
23,0.0028,0,13,0,5360,671084,218,126038,5.315264225066532,0.1581163234736966
24,0.0029,4,65,4,5425,671019,222,126034,5.314749398048409,0.15812499294275287
25,0.003,1,51,1,5476,670968,223,126033,5.314345456849575,0.1581340550388268
26,0.0031,1,35,1,5511,670933,224,126032,5.314068242301356,0.15813994341031287
27,0.0032,1,42,1,5553,670891,225,126031,5.313735584843492,0.15814722143446913
28,0.0033,10,191,10,5744,670700,235,126021,5.31222278545178,0.1581745680106336
29,0.0034,0,4,0,5748,670696,235,126021,5.312191103789127,0.15817536214239183
30,0.0035,1,13,1,5761,670683,236,126020,5.312088138385502,0.15817688649346118
31,0.0036,1,18,1,5779,670665,237,126019,5.3119455709035615,0.15817940362803823
