,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.002469,0.009239,392,7,0.0175,392,"676,052",7,"126,249",0.1574,0.9999,5.3546
1,0.009240,0.011273,466,10,0.0210,858,"675,586",17,"126,239",0.1574,0.9999,5.3509
2,0.011278,0.013324,806,10,0.0123,"1,664","674,780",27,"126,229",0.1576,0.9998,5.3445
3,0.013326,0.014056,405,10,0.0241,"2,069","674,375",37,"126,219",0.1577,0.9997,5.3413
4,0.014057,0.014778,419,10,0.0233,"2,488","673,956",47,"126,209",0.1577,0.9996,5.3380
5,0.014782,0.015484,468,10,0.0209,"2,956","673,488",57,"126,199",0.1578,0.9995,5.3343
6,0.015490,0.016037,375,10,0.0260,"3,331","673,113",67,"126,189",0.1579,0.9995,5.3313
7,0.016037,0.016334,222,10,0.0431,"3,553","672,891",77,"126,179",0.1579,0.9994,5.3296
8,0.016335,0.017013,571,10,0.0172,"4,124","672,320",87,"126,169",0.1580,0.9993,5.3251
9,0.017014,0.017465,390,10,0.0250,"4,514","671,930",97,"126,159",0.1581,0.9992,5.3220
10,0.017465,0.017983,452,10,0.0216,"4,966","671,478",107,"126,149",0.1582,0.9992,5.3184
11,0.017984,0.018507,494,10,0.0198,"5,460","670,984",117,"126,139",0.1582,0.9991,5.3145
12,0.018508,0.018690,202,10,0.0472,"5,662","670,782",127,"126,129",0.1583,0.9990,5.3129
13,0.018691,0.019128,469,10,0.0209,"6,131","670,313",137,"126,119",0.1584,0.9989,5.3092
14,0.019128,0.019509,422,10,0.0231,"6,553","669,891",147,"126,109",0.1584,0.9988,5.3058
15,0.019509,0.019789,309,10,0.0313,"6,862","669,582",157,"126,099",0.1585,0.9988,5.3034
16,0.019791,0.020172,447,10,0.0219,"7,309","669,135",167,"126,089",0.1586,0.9987,5.2998
17,0.020173,0.020636,504,10,0.0195,"7,813","668,631",177,"126,079",0.1586,0.9986,5.2958
18,0.020636,0.020924,345,10,0.0282,"8,158","668,286",187,"126,069",0.1587,0.9985,5.2931
19,0.020927,0.021412,615,10,0.0160,"8,773","667,671",197,"126,059",0.1588,0.9984,5.2882
20,0.021415,0.021601,211,10,0.0452,"8,984","667,460",207,"126,049",0.1589,0.9984,5.2866
21,0.021603,0.021808,258,10,0.0373,"9,242","667,202",217,"126,039",0.1589,0.9983,5.2845
22,0.021809,0.022041,311,10,0.0312,"9,553","666,891",227,"126,029",0.1589,0.9982,5.2821
23,0.022042,0.022200,203,10,0.0469,"9,756","666,688",237,"126,019",0.1590,0.9981,5.2804
24,0.022201,0.022431,297,10,0.0326,"10,053","666,391",247,"126,009",0.1590,0.9980,5.2781
25,0.022431,0.022698,346,10,0.0281,"10,399","666,045",257,"125,999",0.1591,0.9980,5.2754
26,0.022699,0.023124,602,10,0.0163,"11,001","665,443",267,"125,989",0.1592,0.9979,5.2706
27,0.023124,0.023273,220,10,0.0435,"11,221","665,223",277,"125,979",0.1592,0.9978,5.2688
28,0.023273,0.023515,362,10,0.0269,"11,583","664,861",287,"125,969",0.1593,0.9977,5.2660
29,0.023515,0.023835,449,10,0.0218,"12,032","664,412",297,"125,959",0.1594,0.9976,5.2624
30,0.023835,0.024116,421,10,0.0232,"12,453","663,991",307,"125,949",0.1594,0.9976,5.2591
31,0.024116,0.024306,287,10,0.0337,"12,740","663,704",317,"125,939",0.1595,0.9975,5.2568
32,0.024308,0.024525,324,10,0.0299,"13,064","663,380",327,"125,929",0.1595,0.9974,5.2542
33,0.024526,0.024713,294,10,0.0329,"13,358","663,086",337,"125,919",0.1596,0.9973,5.2519
34,0.024713,0.024896,286,10,0.0338,"13,644","662,800",347,"125,909",0.1596,0.9973,5.2497
35,0.024896,0.025012,167,10,0.0565,"13,811","662,633",357,"125,899",0.1597,0.9972,5.2483
36,0.025013,0.025167,289,10,0.0334,"14,100","662,344",367,"125,889",0.1597,0.9971,5.2460
37,0.025167,0.025478,511,10,0.0192,"14,611","661,833",377,"125,879",0.1598,0.9970,5.2420
38,0.025478,0.025654,255,10,0.0377,"14,866","661,578",387,"125,869",0.1598,0.9969,5.2400
39,0.025654,0.025828,289,10,0.0334,"15,155","661,289",397,"125,859",0.1599,0.9969,5.2377
40,0.025829,0.026004,279,10,0.0346,"15,434","661,010",407,"125,849",0.1599,0.9968,5.2355
41,0.026006,0.026150,256,10,0.0376,"15,690","660,754",417,"125,839",0.1600,0.9967,5.2334
42,0.026150,0.026457,470,10,0.0208,"16,160","660,284",427,"125,829",0.1601,0.9966,5.2297
43,0.026458,0.026705,452,10,0.0216,"16,612","659,832",437,"125,819",0.1601,0.9965,5.2261
44,0.026707,0.026982,510,10,0.0192,"17,122","659,322",447,"125,809",0.1602,0.9965,5.2221
45,0.026982,0.027128,270,10,0.0357,"17,392","659,052",457,"125,799",0.1603,0.9964,5.2200
46,0.027129,0.027349,413,10,0.0236,"17,805","658,639",467,"125,789",0.1604,0.9963,5.2167
47,0.027350,0.027512,301,10,0.0322,"18,106","658,338",477,"125,779",0.1604,0.9962,5.2143
48,0.027512,0.027764,447,10,0.0219,"18,553","657,891",487,"125,769",0.1605,0.9961,5.2108
49,0.027764,0.027937,316,10,0.0307,"18,869","657,575",497,"125,759",0.1605,0.9961,5.2083
50,0.027937,0.028011,143,10,0.0654,"19,012","657,432",507,"125,749",0.1606,0.9960,5.2071
51,0.028011,0.028118,221,10,0.0433,"19,233","657,211",517,"125,739",0.1606,0.9959,5.2054
52,0.028118,0.028244,304,10,0.0318,"19,537","656,907",527,"125,729",0.1606,0.9958,5.2030
53,0.028245,0.028347,163,10,0.0578,"19,700","656,744",537,"125,719",0.1607,0.9957,5.2017
54,0.028348,0.028586,451,10,0.0217,"20,151","656,293",547,"125,709",0.1608,0.9957,5.1981
55,0.028586,0.028662,145,10,0.0645,"20,296","656,148",557,"125,699",0.1608,0.9956,5.1970
56,0.028662,0.028767,227,10,0.0422,"20,523","655,921",567,"125,689",0.1608,0.9955,5.1952
57,0.028768,0.028854,180,10,0.0526,"20,703","655,741",577,"125,679",0.1608,0.9954,5.1937
58,0.028854,0.028969,225,10,0.0426,"20,928","655,516",587,"125,669",0.1609,0.9954,5.1920
59,0.028970,0.029116,292,10,0.0331,"21,220","655,224",597,"125,659",0.1609,0.9953,5.1896
60,0.029117,0.029251,268,10,0.0360,"21,488","654,956",607,"125,649",0.1610,0.9952,5.1875
61,0.029251,0.029504,524,10,0.0187,"22,012","654,432",617,"125,639",0.1611,0.9951,5.1834
62,0.029505,0.029614,236,10,0.0407,"22,248","654,196",627,"125,629",0.1611,0.9950,5.1815
63,0.029616,0.029669,122,10,0.0758,"22,370","654,074",637,"125,619",0.1611,0.9950,5.1805
64,0.029669,0.029770,192,10,0.0495,"22,562","653,882",647,"125,609",0.1611,0.9949,5.1790
65,0.029770,0.029900,271,10,0.0356,"22,833","653,611",657,"125,599",0.1612,0.9948,5.1769
66,0.029900,0.029998,210,10,0.0455,"23,043","653,401",667,"125,589",0.1612,0.9947,5.1752
67,0.029998,0.030134,282,11,0.0375,"23,325","653,119",678,"125,578",0.1613,0.9946,5.1730
68,0.030136,0.030318,383,10,0.0254,"23,708","652,736",688,"125,568",0.1613,0.9946,5.1699
69,0.030318,0.030427,262,10,0.0368,"23,970","652,474",698,"125,558",0.1614,0.9945,5.1679
70,0.030428,0.030609,369,10,0.0264,"24,339","652,105",708,"125,548",0.1614,0.9944,5.1649
71,0.030610,0.030821,419,10,0.0233,"24,758","651,686",718,"125,538",0.1615,0.9943,5.1616
72,0.030821,0.030911,214,10,0.0446,"24,972","651,472",728,"125,528",0.1616,0.9942,5.1599
73,0.030912,0.031025,229,10,0.0418,"25,201","651,243",738,"125,518",0.1616,0.9942,5.1581
74,0.031025,0.031124,240,10,0.0400,"25,441","651,003",748,"125,508",0.1616,0.9941,5.1562
75,0.031124,0.031253,274,10,0.0352,"25,715","650,729",758,"125,498",0.1617,0.9940,5.1540
76,0.031253,0.031398,257,10,0.0375,"25,972","650,472",768,"125,488",0.1617,0.9939,5.1520
77,0.031398,0.031494,209,10,0.0457,"26,181","650,263",778,"125,478",0.1618,0.9938,5.1504
78,0.031494,0.031629,320,10,0.0303,"26,501","649,943",788,"125,468",0.1618,0.9938,5.1478
79,0.031630,0.031790,331,10,0.0293,"26,832","649,612",798,"125,458",0.1619,0.9937,5.1452
80,0.031791,0.031951,331,10,0.0293,"27,163","649,281",808,"125,448",0.1619,0.9936,5.1426
81,0.031951,0.032046,194,10,0.0490,"27,357","649,087",818,"125,438",0.1620,0.9935,5.1410
82,0.032047,0.032176,302,10,0.0321,"27,659","648,785",828,"125,428",0.1620,0.9934,5.1386
83,0.032176,0.032310,336,10,0.0289,"27,995","648,449",838,"125,418",0.1621,0.9934,5.1360
84,0.032312,0.032442,270,10,0.0357,"28,265","648,179",848,"125,408",0.1621,0.9933,5.1338
85,0.032442,0.032654,451,10,0.0217,"28,716","647,728",858,"125,398",0.1622,0.9932,5.1303
86,0.032654,0.032803,323,10,0.0300,"29,039","647,405",868,"125,388",0.1623,0.9931,5.1277
87,0.032803,0.032891,215,10,0.0444,"29,254","647,190",878,"125,378",0.1623,0.9930,5.1260
88,0.032891,0.033005,259,10,0.0372,"29,513","646,931",888,"125,368",0.1623,0.9930,5.1240
89,0.033005,0.033201,449,10,0.0218,"29,962","646,482",898,"125,358",0.1624,0.9929,5.1204
90,0.033201,0.033310,240,10,0.0400,"30,202","646,242",908,"125,348",0.1625,0.9928,5.1185
91,0.033310,0.033427,244,10,0.0394,"30,446","645,998",918,"125,338",0.1625,0.9927,5.1166
92,0.033428,0.033620,417,10,0.0234,"30,863","645,581",928,"125,328",0.1626,0.9926,5.1133
93,0.033620,0.033770,348,10,0.0279,"31,211","645,233",938,"125,318",0.1626,0.9926,5.1105
94,0.033771,0.033919,340,10,0.0286,"31,551","644,893",948,"125,308",0.1627,0.9925,5.1078
95,0.033919,0.034046,281,10,0.0344,"31,832","644,612",958,"125,298",0.1627,0.9924,5.1056
96,0.034046,0.034187,347,10,0.0280,"32,179","644,265",968,"125,288",0.1628,0.9923,5.1028
97,0.034188,0.034284,217,10,0.0441,"32,396","644,048",978,"125,278",0.1628,0.9923,5.1011
98,0.034284,0.034352,171,10,0.0552,"32,567","643,877",988,"125,268",0.1629,0.9922,5.0998
99,0.034352,0.034489,354,10,0.0275,"32,921","643,523",998,"125,258",0.1629,0.9921,5.0970
100,0.034490,0.034562,151,11,0.0679,"33,072","643,372","1,009","125,247",0.1630,0.9920,5.0958
101,0.034563,0.034638,163,10,0.0578,"33,235","643,209","1,019","125,237",0.1630,0.9919,5.0945
102,0.034639,0.034728,211,10,0.0452,"33,446","642,998","1,029","125,227",0.1630,0.9918,5.0928
103,0.034728,0.034806,183,10,0.0518,"33,629","642,815","1,039","125,217",0.1630,0.9918,5.0914
104,0.034806,0.034864,136,10,0.0685,"33,765","642,679","1,049","125,207",0.1631,0.9917,5.0903
105,0.034865,0.034971,285,10,0.0339,"34,050","642,394","1,059","125,197",0.1631,0.9916,5.0880
106,0.034971,0.035126,392,10,0.0249,"34,442","642,002","1,069","125,187",0.1632,0.9915,5.0849
107,0.035127,0.035202,166,10,0.0568,"34,608","641,836","1,079","125,177",0.1632,0.9915,5.0836
108,0.035202,0.035383,426,10,0.0229,"35,034","641,410","1,089","125,167",0.1633,0.9914,5.0802
109,0.035385,0.035497,271,10,0.0356,"35,305","641,139","1,099","125,157",0.1633,0.9913,5.0781
110,0.035497,0.035647,386,12,0.0302,"35,691","640,753","1,111","125,145",0.1634,0.9912,5.0750
111,0.035648,0.035715,198,10,0.0481,"35,889","640,555","1,121","125,135",0.1634,0.9911,5.0735
112,0.035716,0.035769,124,10,0.0746,"36,013","640,431","1,131","125,125",0.1634,0.9910,5.0725
113,0.035769,0.035863,199,10,0.0478,"36,212","640,232","1,141","125,115",0.1635,0.9910,5.0709
114,0.035863,0.035980,314,10,0.0309,"36,526","639,918","1,151","125,105",0.1635,0.9909,5.0684
115,0.035980,0.036096,270,10,0.0357,"36,796","639,648","1,161","125,095",0.1636,0.9908,5.0663
116,0.036096,0.036149,135,10,0.0690,"36,931","639,513","1,171","125,085",0.1636,0.9907,5.0652
117,0.036149,0.036215,169,10,0.0559,"37,100","639,344","1,181","125,075",0.1636,0.9906,5.0639
118,0.036216,0.036294,188,10,0.0505,"37,288","639,156","1,191","125,065",0.1637,0.9906,5.0624
119,0.036294,0.036474,429,10,0.0228,"37,717","638,727","1,201","125,055",0.1637,0.9905,5.0590
120,0.036474,0.036555,198,10,0.0481,"37,915","638,529","1,211","125,045",0.1638,0.9904,5.0574
