,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0,1,227,1,227,676217,1,126255,5.3559197186668355,0.15733259228982444
1,0.0017,0,3,0,230,676214,1,126255,5.355895957419845,0.157333180471769
2,0.002,0,1,0,231,676213,1,126255,5.355888037004182,0.15733337653339446
3,0.0025,0,3,0,234,676210,1,126255,5.355864275757192,0.15733396472120278
4,0.0029,0,4,0,238,676206,1,126255,5.355832594094538,0.15733474897845504
5,0.0033,1,16,1,254,676190,2,126254,5.355705867443923,0.1573368359661235
6,0.004,0,4,0,258,676186,2,126254,5.35567418578127,0.15733762025821246
7,0.0043,0,1,0,259,676185,2,126254,5.355666265365606,0.15733781633245641
8,0.0044,0,2,0,261,676183,2,126254,5.3556504245342795,0.15733820848241045
9,0.005,1,28,1,289,676155,3,126253,5.355428652895704,0.15734264862763084
10,0.0058,0,2,0,291,676153,3,126253,5.355412812064377,0.15734304080477962
11,0.006,0,2,0,293,676151,3,126253,5.35539697123305,0.15734343298388342
12,0.0067,0,5,0,298,676146,3,126253,5.355357369154733,0.1573444134401962
13,0.0075,0,1,0,299,676145,3,126253,5.35534944873907,0.15734460953292506
14,0.0083,0,2,0,301,676143,3,126253,5.355333607907743,0.15734500171984905
15,0.0087,1,4,1,305,676139,4,126252,5.355301926245089,0.15734473592051756
16,0.0092,0,4,0,309,676135,4,126252,5.355270244582436,0.15734552030379356
17,0.0094,0,1,0,310,676134,4,126252,5.355262324166772,0.1573457164008345
18,0.0096,0,1,0,311,676133,4,126252,5.3552544037511085,0.15734591249836424
19,0.01,8,346,8,657,675787,12,126244,5.352513939931567,0.157405387073567
20,0.0107,0,1,0,658,675786,12,126244,5.352506019515904,0.1574055833322943
21,0.0108,0,5,0,663,675781,12,126244,5.352466417437587,0.15740656463327202
22,0.0111,1,0,1,663,675781,13,126243,5.352466417437587,0.15740551404945488
23,0.0117,0,5,0,668,675776,13,126243,5.35242681535927,0.1574064953573419
24,0.012,0,6,0,674,675770,13,126243,5.352379292865289,0.1574076729429573
25,0.0122,0,3,0,677,675767,13,126243,5.352355531618299,0.1574082617423723
26,0.0123,0,6,0,683,675761,13,126243,5.352308009124319,0.15740943935441717
27,0.0124,0,1,0,684,675760,13,126243,5.352300088708655,0.1574096356248044
28,0.0125,0,11,0,695,675749,13,126243,5.352212964136358,0.1574117946313679
29,0.013,0,1,0,696,675748,13,126243,5.352205043720694,0.15741199090762864
30,0.0133,0,19,0,715,675729,13,126243,5.35205455582309,0.15741572024958478
31,0.014,0,9,0,724,675720,13,126243,5.351983272082119,0.15741748684166226
32,0.0142,0,3,0,727,675717,13,126243,5.351959510835129,0.15741807571449948
33,0.0147,0,1,0,728,675716,13,126243,5.351951590419465,0.15741827200642428
34,0.015,1,56,1,784,675660,14,126242,5.351508047142314,0.15742821442021593
35,0.0158,0,5,0,789,675655,14,126242,5.351468445063997,0.1574291960189401
36,0.016,0,2,0,791,675653,14,126242,5.35145260423267,0.15742958866185722
37,0.0164,0,2,0,793,675651,14,126242,5.3514367634013436,0.15742998130673294
38,0.0167,1,31,1,824,675620,15,126241,5.351191230515777,0.1574350167921872
