,count
0.38,14369
0.41,14189
0.39,14185
0.34,14125
0.35,14125
0.42,14050
0.36,14038
0.37,14016
0.33,14013
0.4,13975
0.31,13841
0.32,13831
0.43,13736
0.44,13699
0.45,13558
0.29,13486
0.46,13467
0.3,13397
0.47,13191
0.28,13033
0.48,12995
0.27,12883
0.49,12806
0.26,12593
0.5,12541
0.52,12107
0.25,12086
0.51,12060
0.24,11741
0.53,11620
0.54,11421
0.23,11268
0.55,11073
0.22,11054
0.56,10987
0.21,10654
0.57,10369
0.58,10144
0.2,10135
0.59,9639
0.19,9512
0.6,9269
0.18,9045
0.61,8873
0.62,8647
0.17,8422
0.63,8194
0.64,8149
0.16,7801
0.65,7646
0.15,7469
0.66,7228
0.14,6999
0.67,6917
0.68,6591
0.13,6394
0.69,6350
0.12,5940
0.7,5936
0.71,5714
0.72,5481
0.11,5305
0.73,5276
0.74,4899
0.75,4880
0.1,4735
0.76,4557
0.77,4359
0.78,4190
0.09,3993
0.79,3936
0.8,3705
0.81,3513
0.08,3420
0.82,3272
0.83,3142
0.84,2926
0.07,2850
0.85,2701
0.06,2428
0.86,2406
0.87,2139
0.88,1956
0.05,1767
0.89,1732
0.9,1542
0.91,1324
0.04,1313
0.92,1168
0.93,946
0.03,884
0.94,818
0.95,647
0.96,505
0.02,456
0.97,432
0.375,380
0.365,373
0.415,362
0.435,355
