,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.00306,0.01091,353,7,0.0194,353,"676,091",7,"126,249",0.1574,0.9999,5.3549
1,0.01091,0.02090,"5,225",100,0.0188,"5,578","670,866",107,"126,149",0.1583,0.9992,5.3135
2,0.02090,0.02405,"3,246",100,0.0299,"8,824","667,620",207,"126,049",0.1588,0.9984,5.2878
3,0.02405,0.02719,"3,978",100,0.0245,"12,802","663,642",307,"125,949",0.1595,0.9976,5.2563
4,0.02719,0.02965,"3,656",100,0.0266,"16,458","659,986",407,"125,849",0.1601,0.9968,5.2274
5,0.02965,0.03133,"2,731",100,0.0353,"19,189","657,255",507,"125,749",0.1606,0.9960,5.2057
6,0.03134,0.03312,"3,082",100,0.0314,"22,271","654,173",607,"125,649",0.1611,0.9952,5.1813
7,0.03312,0.03448,"2,591",100,0.0372,"24,862","651,582",707,"125,549",0.1616,0.9944,5.1608
8,0.03448,0.03568,"2,406",100,0.0399,"27,268","649,176",807,"125,449",0.1619,0.9936,5.1417
9,0.03568,0.03704,"2,913",100,0.0332,"30,181","646,263",907,"125,349",0.1625,0.9928,5.1187
10,0.03704,0.03819,"2,497",100,0.0385,"32,678","643,766","1,007","125,249",0.1629,0.9920,5.0989
11,0.03819,0.03941,"2,718",100,0.0355,"35,396","641,048","1,107","125,149",0.1633,0.9912,5.0774
12,0.03941,0.04044,"2,363",100,0.0406,"37,759","638,685","1,207","125,049",0.1637,0.9904,5.0587
13,0.04044,0.04156,"2,632",100,0.0366,"40,391","636,053","1,307","124,949",0.1642,0.9896,5.0378
14,0.04157,0.04258,"2,434",100,0.0395,"42,825","633,619","1,407","124,849",0.1646,0.9889,5.0185
15,0.04258,0.04339,"2,042",100,0.0467,"44,867","631,577","1,507","124,749",0.1649,0.9881,5.0024
16,0.04340,0.04429,"2,175",100,0.0440,"47,042","629,402","1,607","124,649",0.1653,0.9873,4.9851
17,0.04429,0.04523,"2,345",100,0.0409,"49,387","627,057","1,707","124,549",0.1657,0.9865,4.9666
18,0.04524,0.04609,"2,203",100,0.0434,"51,590","624,854","1,807","124,449",0.1661,0.9857,4.9491
19,0.04609,0.04700,"2,489",100,0.0386,"54,079","622,365","1,907","124,349",0.1665,0.9849,4.9294
20,0.04701,0.04773,"1,902",100,0.0500,"55,981","620,463","2,007","124,249",0.1668,0.9841,4.9143
21,0.04773,0.04855,"2,282",100,0.0420,"58,263","618,181","2,107","124,149",0.1672,0.9833,4.8963
22,0.04855,0.04934,"2,184",100,0.0438,"60,447","615,997","2,207","124,049",0.1676,0.9825,4.8790
23,0.04934,0.05008,"2,039",100,0.0468,"62,486","613,958","2,307","123,949",0.1680,0.9817,4.8628
24,0.05008,0.05067,"1,687",100,0.0560,"64,173","612,271","2,407","123,849",0.1682,0.9809,4.8494
25,0.05067,0.05133,"1,890",100,0.0503,"66,063","610,381","2,507","123,749",0.1686,0.9801,4.8345
26,0.05133,0.05204,"2,047",100,0.0466,"68,110","608,334","2,607","123,649",0.1689,0.9794,4.8183
27,0.05204,0.05268,"1,905",100,0.0499,"70,015","606,429","2,707","123,549",0.1693,0.9786,4.8032
28,0.05268,0.05322,"1,675",100,0.0563,"71,690","604,754","2,807","123,449",0.1695,0.9778,4.7899
29,0.05322,0.05384,"1,974",100,0.0482,"73,664","602,780","2,907","123,349",0.1699,0.9770,4.7743
30,0.05384,0.05438,"1,693",100,0.0558,"75,357","601,087","3,007","123,249",0.1702,0.9762,4.7609
31,0.05438,0.05496,"1,744",100,0.0542,"77,101","599,343","3,107","123,149",0.1705,0.9754,4.7470
32,0.05496,0.05558,"1,999",100,0.0476,"79,100","597,344","3,207","123,049",0.1708,0.9746,4.7312
33,0.05558,0.05610,"1,640",100,0.0575,"80,740","595,704","3,307","122,949",0.1711,0.9738,4.7182
34,0.05610,0.05665,"1,699",100,0.0556,"82,439","594,005","3,407","122,849",0.1714,0.9730,4.7048
35,0.05665,0.05722,"1,757",100,0.0539,"84,196","592,248","3,507","122,749",0.1717,0.9722,4.6909
36,0.05722,0.05774,"1,666",100,0.0566,"85,862","590,582","3,607","122,649",0.1720,0.9714,4.6777
37,0.05774,0.05841,"2,079",100,0.0459,"87,941","588,503","3,707","122,549",0.1723,0.9706,4.6612
38,0.05841,0.05897,"1,780",100,0.0532,"89,721","586,723","3,807","122,449",0.1727,0.9698,4.6471
39,0.05897,0.05947,"1,710",100,0.0552,"91,431","585,013","3,907","122,349",0.1730,0.9691,4.6335
40,0.05947,0.05992,"1,480",100,0.0633,"92,911","583,533","4,007","122,249",0.1732,0.9683,4.6218
41,0.05992,0.06041,"1,567",100,0.0600,"94,478","581,966","4,107","122,149",0.1735,0.9675,4.6094
42,0.06041,0.06084,"1,430",100,0.0654,"95,908","580,536","4,207","122,049",0.1737,0.9667,4.5981
43,0.06084,0.06132,"1,632",100,0.0577,"97,540","578,904","4,307","121,949",0.1740,0.9659,4.5852
44,0.06132,0.06186,"1,826",100,0.0519,"99,366","577,078","4,407","121,849",0.1743,0.9651,4.5707
45,0.06187,0.06234,"1,557",100,0.0604,"100,923","575,521","4,507","121,749",0.1746,0.9643,4.5584
46,0.06234,0.06273,"1,331",100,0.0699,"102,254","574,190","4,607","121,649",0.1748,0.9635,4.5478
47,0.06274,0.06315,"1,378",100,0.0677,"103,632","572,812","4,707","121,549",0.1751,0.9627,4.5369
48,0.06315,0.06354,"1,310",100,0.0709,"104,942","571,502","4,807","121,449",0.1753,0.9619,4.5265
49,0.06354,0.06402,"1,706",100,0.0554,"106,648","569,796","4,907","121,349",0.1756,0.9611,4.5130
50,0.06403,0.06442,"1,456",100,0.0643,"108,104","568,340","5,007","121,249",0.1758,0.9603,4.5015
51,0.06443,0.06496,"1,792",100,0.0529,"109,896","566,548","5,107","121,149",0.1762,0.9596,4.4873
52,0.06496,0.06539,"1,468",100,0.0638,"111,364","565,080","5,207","121,049",0.1764,0.9588,4.4757
53,0.06539,0.06583,"1,555",100,0.0604,"112,919","563,525","5,307","120,949",0.1767,0.9580,4.4634
54,0.06583,0.06625,"1,542",100,0.0609,"114,461","561,983","5,407","120,849",0.1770,0.9572,4.4511
55,0.06625,0.06665,"1,366",100,0.0682,"115,827","560,617","5,507","120,749",0.1772,0.9564,4.4403
56,0.06665,0.06707,"1,530",100,0.0613,"117,357","559,087","5,607","120,649",0.1775,0.9556,4.4282
57,0.06707,0.06752,"1,551",100,0.0606,"118,908","557,536","5,707","120,549",0.1778,0.9548,4.4159
58,0.06752,0.06791,"1,411",100,0.0662,"120,319","556,125","5,807","120,449",0.1780,0.9540,4.4047
59,0.06791,0.06836,"1,656",100,0.0569,"121,975","554,469","5,907","120,349",0.1783,0.9532,4.3916
60,0.06836,0.06871,"1,314",100,0.0707,"123,289","553,155","6,007","120,249",0.1786,0.9524,4.3812
61,0.06871,0.06905,"1,229",100,0.0752,"124,518","551,926","6,107","120,149",0.1788,0.9516,4.3715
62,0.06905,0.06941,"1,264",100,0.0733,"125,782","550,662","6,207","120,049",0.1790,0.9508,4.3615
63,0.06941,0.06984,"1,538",100,0.0611,"127,320","549,124","6,307","119,949",0.1793,0.9500,4.3493
64,0.06984,0.07027,"1,507",100,0.0622,"128,827","547,617","6,407","119,849",0.1796,0.9493,4.3374
65,0.07027,0.07059,"1,234",100,0.0750,"130,061","546,383","6,507","119,749",0.1798,0.9485,4.3276
66,0.07059,0.07097,"1,372",100,0.0679,"131,433","545,011","6,607","119,649",0.1800,0.9477,4.3167
67,0.07097,0.07134,"1,340",100,0.0694,"132,773","543,671","6,707","119,549",0.1803,0.9469,4.3061
68,0.07134,0.07173,"1,462",100,0.0640,"134,235","542,209","6,807","119,449",0.1805,0.9461,4.2945
69,0.07173,0.07215,"1,548",100,0.0607,"135,783","540,661","6,907","119,349",0.1808,0.9453,4.2823
70,0.07215,0.07249,"1,177",100,0.0783,"136,960","539,484","7,007","119,249",0.1810,0.9445,4.2729
71,0.07249,0.07285,"1,344",100,0.0693,"138,304","538,140","7,107","119,149",0.1813,0.9437,4.2623
72,0.07285,0.07319,"1,220",100,0.0758,"139,524","536,920","7,207","119,049",0.1815,0.9429,4.2526
73,0.07319,0.07359,"1,520",100,0.0617,"141,044","535,400","7,307","118,949",0.1818,0.9421,4.2406
74,0.07359,0.07398,"1,399",100,0.0667,"142,443","534,001","7,407","118,849",0.1820,0.9413,4.2295
75,0.07398,0.07432,"1,234",100,0.0750,"143,677","532,767","7,507","118,749",0.1823,0.9405,4.2197
76,0.07432,0.07467,"1,291",100,0.0719,"144,968","531,476","7,607","118,649",0.1825,0.9397,4.2095
77,0.07467,0.07513,"1,691",100,0.0558,"146,659","529,785","7,707","118,549",0.1829,0.9390,4.1961
78,0.07513,0.07548,"1,318",100,0.0705,"147,977","528,467","7,807","118,449",0.1831,0.9382,4.1857
79,0.07548,0.07584,"1,333",100,0.0698,"149,310","527,134","7,907","118,349",0.1833,0.9374,4.1751
80,0.07584,0.07619,"1,344",100,0.0693,"150,654","525,790","8,007","118,249",0.1836,0.9366,4.1645
81,0.07619,0.07650,"1,216",100,0.0760,"151,870","524,574","8,107","118,149",0.1838,0.9358,4.1548
82,0.07650,0.07682,"1,155",100,0.0797,"153,025","523,419","8,207","118,049",0.1840,0.9350,4.1457
83,0.07682,0.07712,"1,107",100,0.0829,"154,132","522,312","8,307","117,949",0.1842,0.9342,4.1369
84,0.07712,0.07741,"1,154",100,0.0797,"155,286","521,158","8,407","117,849",0.1844,0.9334,4.1278
85,0.07741,0.07780,"1,406",100,0.0664,"156,692","519,752","8,507","117,749",0.1847,0.9326,4.1167
86,0.07780,0.07808,"1,051",100,0.0869,"157,743","518,701","8,607","117,649",0.1849,0.9318,4.1083
87,0.07808,0.07841,"1,217",100,0.0759,"158,960","517,484","8,707","117,549",0.1851,0.9310,4.0987
88,0.07841,0.07871,"1,146",100,0.0803,"160,106","516,338","8,807","117,449",0.1853,0.9302,4.0896
89,0.07871,0.07899,988,100,0.0919,"161,094","515,350","8,907","117,349",0.1855,0.9295,4.0818
90,0.07899,0.07929,"1,115",100,0.0823,"162,209","514,235","9,007","117,249",0.1857,0.9287,4.0730
91,0.07929,0.07964,"1,300",100,0.0714,"163,509","512,935","9,107","117,149",0.1859,0.9279,4.0627
92,0.07964,0.07991,"1,047",100,0.0872,"164,556","511,888","9,207","117,049",0.1861,0.9271,4.0544
93,0.07991,0.08026,"1,321",100,0.0704,"165,877","510,567","9,307","116,949",0.1864,0.9263,4.0439
94,0.08026,0.08053,"1,032",100,0.0883,"166,909","509,535","9,407","116,849",0.1865,0.9255,4.0357
95,0.08053,0.08082,"1,138",100,0.0808,"168,047","508,397","9,507","116,749",0.1868,0.9247,4.0267
96,0.08082,0.08110,"1,067",100,0.0857,"169,114","507,330","9,607","116,649",0.1869,0.9239,4.0183
97,0.08110,0.08144,"1,259",100,0.0736,"170,373","506,071","9,707","116,549",0.1872,0.9231,4.0083
98,0.08144,0.08172,"1,116",100,0.0822,"171,489","504,955","9,807","116,449",0.1874,0.9223,3.9995
99,0.08172,0.08210,"1,564",100,0.0601,"173,053","503,391","9,907","116,349",0.1877,0.9215,3.9871
100,0.08210,0.08238,"1,122",100,0.0818,"174,175","502,269","10,007","116,249",0.1879,0.9207,3.9782
101,0.08238,0.08268,"1,116",100,0.0822,"175,291","501,153","10,107","116,149",0.1882,0.9199,3.9693
102,0.08268,0.08298,"1,144",100,0.0804,"176,435","500,009","10,207","116,049",0.1884,0.9192,3.9603
103,0.08298,0.08331,"1,228",100,0.0753,"177,663","498,781","10,307","115,949",0.1886,0.9184,3.9506
104,0.08331,0.08361,"1,142",100,0.0805,"178,805","497,639","10,407","115,849",0.1888,0.9176,3.9415
105,0.08361,0.08385,998,100,0.0911,"179,803","496,641","10,507","115,749",0.1890,0.9168,3.9336
106,0.08385,0.08410,985,100,0.0922,"180,788","495,656","10,607","115,649",0.1892,0.9160,3.9258
107,0.08410,0.08441,"1,232",100,0.0751,"182,020","494,424","10,707","115,549",0.1894,0.9152,3.9160
108,0.08441,0.08471,"1,159",100,0.0794,"183,179","493,265","10,807","115,449",0.1897,0.9144,3.9069
109,0.08471,0.08498,"1,078",100,0.0849,"184,257","492,187","10,907","115,349",0.1899,0.9136,3.8983
110,0.08498,0.08533,"1,358",100,0.0686,"185,615","490,829","11,007","115,249",0.1902,0.9128,3.8876
111,0.08533,0.08558,951,100,0.0951,"186,566","489,878","11,107","115,149",0.1903,0.9120,3.8800
112,0.08558,0.08587,"1,177",100,0.0783,"187,743","488,701","11,207","115,049",0.1906,0.9112,3.8707
113,0.08587,0.08615,"1,103",100,0.0831,"188,846","487,598","11,307","114,949",0.1908,0.9104,3.8620
114,0.08615,0.08638,921,100,0.0979,"189,767","486,677","11,407","114,849",0.1909,0.9097,3.8547
115,0.08638,0.08659,835,100,0.1070,"190,602","485,842","11,507","114,749",0.1911,0.9089,3.8481
