,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0216,0,4,0,4,676440,0,126256,5.357685971359777,0.15728993292603924
1,0.0232,0,3,0,7,676437,0,126256,5.357662210112787,0.15729052078440947
2,0.0233,0,2,0,9,676435,0,126256,5.3576463692814595,0.15729091269243084
3,0.0235,0,2,0,11,676433,0,126256,5.357630528450133,0.15729130460240517
4,0.0236,0,2,0,13,676431,0,126256,5.357614687618806,0.15729169651433247
5,0.0238,0,1,0,14,676430,0,126256,5.357606767203142,0.1572918924710285
6,0.0239,0,1,0,15,676429,0,126256,5.3575988467874796,0.15729208842821282
7,0.0243,0,4,0,19,676425,0,126256,5.357567165124825,0.15729287226183253
8,0.0246,1,3,1,22,676422,1,126255,5.357543403877836,0.1572924102721269
9,0.0247,0,4,0,26,676418,1,126255,5.357511722215182,0.1572931941151627
10,0.0248,0,5,0,31,676413,1,126255,5.3574721201368645,0.15729417392994363
11,0.0249,0,1,0,32,676412,1,126255,5.357464199721202,0.15729436989436466
12,0.025,0,3,0,35,676409,1,126255,5.357440438474211,0.15729495779055744
13,0.0252,0,8,0,43,676401,1,126255,5.357377075148904,0.15729652553522305
14,0.0254,0,3,0,46,676398,1,126255,5.357353313901913,0.15729711344752964
15,0.0256,0,3,0,49,676395,1,126255,5.357329552654924,0.157297701364231
16,0.0258,0,5,0,54,676390,1,126255,5.3572899505766065,0.15729868123516624
17,0.0259,1,6,1,60,676384,2,126254,5.357242428082626,0.15729880718331302
18,0.026,0,1,0,61,676383,2,126254,5.357234507666963,0.15729900316083112
19,0.0261,0,7,0,68,676376,2,126254,5.357179064757318,0.15730037501713118
20,0.0263,0,3,0,71,676373,2,126254,5.3571553035103285,0.15730096296287066
21,0.0264,1,3,1,74,676370,3,126253,5.357131542263338,0.15730050098240395
22,0.0265,1,8,1,82,676362,4,126252,5.357068178938031,0.1573010189206767
23,0.0266,0,7,0,89,676355,4,126252,5.357012736028387,0.15730239083387013
24,0.0267,0,4,0,93,676351,4,126252,5.3569810543657335,0.15730317479501074
25,0.0268,0,6,0,99,676345,4,126252,5.356933531871753,0.15730435075137336
26,0.0269,0,6,0,105,676339,4,126252,5.356886009377772,0.15730552672531836
27,0.027,2,6,2,111,676333,6,126250,5.356838486883792,0.1573046027638263
28,0.0271,1,20,1,131,676313,7,126249,5.356680078570523,0.1573074728182994
29,0.0272,0,1,0,132,676312,7,126249,5.3566721581548595,0.1573076688251734
30,0.0273,0,8,0,140,676304,7,126249,5.356608794829553,0.15730923689775006
31,0.0274,1,12,1,152,676292,8,126248,5.356513749841592,0.1573105390385526
32,0.0275,0,3,0,155,676289,8,126248,5.356489988594602,0.15731112708822148
33,0.0276,1,16,1,171,676273,9,126247,5.3563632619439865,0.15731321337785975
34,0.0277,1,25,1,196,676248,10,126246,5.356165251552402,0.15731706405281534
35,0.0278,2,26,2,222,676222,12,126244,5.355959320745153,0.15732006091223802
36,0.0279,0,9,0,231,676213,12,126244,5.355888037004182,0.1573218253439125
37,0.028,0,9,0,240,676204,12,126244,5.355816753263211,0.1573235898151656
38,0.0281,2,24,2,264,676180,14,126242,5.355626663287289,0.1573261949448046
39,0.0282,1,8,1,272,676172,15,126241,5.355563299961982,0.15732671330100584
40,0.0283,0,16,0,288,676156,15,126241,5.355436573311367,0.15732985043563225
41,0.0284,0,8,0,296,676148,15,126241,5.35537320998606,0.15733141904986234
42,0.0285,1,7,1,303,676141,16,126240,5.355317767076416,0.15733174140464443
43,0.0286,0,14,0,317,676127,16,126240,5.3552068812571285,0.15733448658780833
44,0.0287,2,19,2,336,676108,18,126238,5.355056393359524,0.15733611185199403
45,0.0288,1,22,1,358,676086,19,126237,5.354882144214929,0.15733937578755688
46,0.0289,0,16,0,374,676070,19,126237,5.354755417564314,0.15734251352661763
47,0.029,0,12,0,386,676058,19,126237,5.354660372576353,0.1573448669130432
48,0.0291,0,20,0,406,676038,19,126237,5.3545019642630844,0.15734878938020005
49,0.0292,0,19,0,425,676019,19,126237,5.35435147636548,0.15735251590514748
50,0.0293,2,22,2,447,675997,21,126235,5.354177227220885,0.15735473030245614
51,0.0294,3,36,3,483,675961,24,126232,5.353892092257001,0.15735864062638294
52,0.0295,2,40,2,523,675921,26,126230,5.353575275630465,0.15736438650578258
53,0.0296,3,61,3,584,675860,29,126227,5.353092130274997,0.15737320265756707
54,0.0297,1,27,1,611,675833,30,126226,5.352878279052085,0.15737744978860657
55,0.0298,0,28,0,639,675805,30,126226,5.352656507413509,0.15738294405079106
56,0.0299,1,22,1,661,675783,31,126225,5.352482258268914,0.15738621061136548
57,0.03,0,28,0,689,675755,31,126225,5.352260486630338,0.15739170552881618
58,0.0301,1,27,1,716,675728,32,126224,5.352046635407426,0.15739595387255098
