,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0021,0,1,0,1,676443,0,126256,5.357709732606767,0.15728934507206313
1,0.0029,0,1,0,2,676442,0,126256,5.357701812191104,0.15728954102290027
2,0.0032,0,1,0,3,676441,0,126256,5.35769389177544,0.15728973697422563
3,0.0035,0,1,0,4,676440,0,126256,5.357685971359777,0.15728993292603924
4,0.0036,0,1,0,5,676439,0,126256,5.357678050944114,0.1572901288783411
5,0.004,0,1,0,6,676438,0,126256,5.35767013052845,0.15729032483113117
6,0.0041,0,3,0,9,676435,0,126256,5.3576463692814595,0.15729091269243084
7,0.0042,0,1,0,10,676434,0,126256,5.357638448865797,0.15729110864717388
8,0.0043,0,1,0,11,676433,0,126256,5.357630528450133,0.15729130460240517
9,0.0044,0,1,0,12,676432,0,126256,5.35762260803447,0.1572915005581247
10,0.0045,0,2,0,14,676430,0,126256,5.357606767203142,0.1572918924710285
11,0.0046,0,1,0,15,676429,0,126256,5.3575988467874796,0.15729208842821282
12,0.0047,0,1,0,16,676428,0,126256,5.357590926371816,0.15729228438588536
13,0.0048,0,1,0,17,676427,0,126256,5.357583005956153,0.15729248034404616
14,0.005,0,1,0,18,676426,0,126256,5.357575085540489,0.15729267630269522
15,0.0051,0,2,0,20,676424,0,126256,5.3575592447091624,0.1572930682214581
16,0.0052,0,3,0,23,676421,0,126256,5.357535483462172,0.15729365610326446
17,0.0053,0,3,0,26,676418,0,126256,5.357511722215182,0.1572942439894652
18,0.0054,0,3,0,29,676415,0,126256,5.357487960968192,0.15729483188006044
19,0.0055,1,1,1,30,676414,1,126255,5.357480040552528,0.15729397796601088
20,0.0056,0,2,0,32,676412,1,126255,5.357464199721202,0.15729436989436466
21,0.0057,0,1,0,33,676411,1,126255,5.357456279305538,0.15729456585927398
22,0.0058,0,4,0,37,676407,1,126255,5.3574245976428845,0.15729534972379408
23,0.0059,0,3,0,40,676404,1,126255,5.357400836395894,0.15729593762731123
24,0.006,0,4,0,44,676400,1,126255,5.357369154733241,0.1572967215055036
25,0.0061,1,5,1,49,676395,2,126254,5.357329552654924,0.15729665146284366
26,0.0062,0,3,0,52,676392,2,126254,5.357305791407933,0.1572972393807482
27,0.0063,0,2,0,54,676390,2,126254,5.3572899505766065,0.15729763132845945
28,0.0064,1,9,1,63,676381,3,126253,5.357218666835635,0.15729834519843416
29,0.0065,1,3,1,66,676378,4,126252,5.357194905588646,0.15729788320895058
30,0.0066,0,2,0,68,676376,4,126252,5.357179064757318,0.15729827516607942
31,0.0067,0,6,0,74,676370,4,126252,5.357131542263338,0.1572994510491863
32,0.0068,0,10,0,84,676360,4,126252,5.357052338106704,0.15730141089343294
33,0.0069,0,7,0,91,676353,4,126252,5.35699689519706,0.15730278281346366
34,0.007,0,7,0,98,676346,4,126252,5.356941452287416,0.15730415475742526
35,0.0071,0,6,0,104,676340,4,126252,5.3568939297934355,0.15730533072843986
36,0.0072,0,2,0,106,676338,4,126252,5.356878088962109,0.1573057227226853
37,0.0073,0,12,0,118,676326,4,126252,5.356783043974148,0.1573080747291852
38,0.0074,0,10,0,128,676316,4,126252,5.356703839817514,0.15731003478832947
39,0.0075,0,4,0,132,676312,4,126252,5.3566721581548595,0.15731081882566375
40,0.0076,0,5,0,137,676307,4,126252,5.356632556076543,0.15731179888332197
