,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0037,"4,448",22,0.0049,"4,448","671,996",22,"126,234",0.1581,0.9998,5.3225
1,0.0037,0.0201,"60,659","1,000",0.0162,"65,107","611,337","1,022","125,234",0.1700,0.9919,4.8420
2,0.0201,0.0280,"35,945","1,000",0.0271,"101,052","575,392","2,022","124,234",0.1776,0.9840,4.5573
3,0.0280,0.0340,"26,981","1,000",0.0357,"128,033","548,411","3,022","123,234",0.1835,0.9761,4.3436
4,0.0340,0.0393,"23,104","1,000",0.0415,"151,137","525,307","4,022","122,234",0.1888,0.9681,4.1606
5,0.0393,0.0440,"20,131","1,000",0.0473,"171,268","505,176","5,022","121,234",0.1935,0.9602,4.0012
6,0.0440,0.0485,"18,289","1,000",0.0518,"189,557","486,887","6,022","120,234",0.1980,0.9523,3.8563
7,0.0485,0.0530,"18,183","1,000",0.0521,"207,740","468,704","7,022","119,234",0.2028,0.9444,3.7123
8,0.0530,0.0570,"15,289","1,000",0.0614,"223,029","453,415","8,022","118,234",0.2068,0.9365,3.5912
9,0.0570,0.0607,"14,039","1,000",0.0665,"237,068","439,376","9,022","117,234",0.2106,0.9285,3.4800
10,0.0607,0.0646,"13,823","1,000",0.0675,"250,891","425,553","10,022","116,234",0.2145,0.9206,3.3706
11,0.0646,0.0683,"13,322","1,000",0.0698,"264,213","412,231","11,022","115,234",0.2185,0.9127,3.2650
12,0.0683,0.0719,"11,889","1,000",0.0776,"276,102","400,342","12,022","114,234",0.2220,0.9048,3.1709
13,0.0719,0.0754,"11,670","1,000",0.0789,"287,772","388,672","13,022","113,234",0.2256,0.8969,3.0784
14,0.0754,0.0791,"11,447","1,000",0.0803,"299,219","377,225","14,022","112,234",0.2293,0.8889,2.9878
15,0.0791,0.0825,"10,706","1,000",0.0854,"309,925","366,519","15,022","111,234",0.2328,0.8810,2.9030
16,0.0825,0.0860,"10,439","1,000",0.0874,"320,364","356,080","16,022","110,234",0.2364,0.8731,2.8203
17,0.0860,0.0897,"10,661","1,000",0.0858,"331,025","345,419","17,022","109,234",0.2403,0.8652,2.7359
18,0.0897,0.0931,"9,493","1,000",0.0953,"340,518","335,926","18,022","108,234",0.2437,0.8573,2.6607
19,0.0931,0.0964,"8,984","1,000",0.1002,"349,502","326,942","19,022","107,234",0.2470,0.8493,2.5895
20,0.0964,0.1000,"9,145","1,000",0.0986,"358,647","317,797","20,022","106,234",0.2505,0.8414,2.5171
21,0.1000,0.1033,"8,440","1,000",0.1059,"367,087","309,357","21,022","105,234",0.2538,0.8335,2.4502
22,0.1033,0.1067,"8,425","1,000",0.1061,"375,512","300,932","22,022","104,234",0.2573,0.8256,2.3835
23,0.1067,0.1099,"7,541","1,000",0.1171,"383,053","293,391","23,022","103,234",0.2603,0.8177,2.3238
24,0.1099,0.1133,"7,830","1,000",0.1133,"390,883","285,561","24,022","102,234",0.2636,0.8097,2.2618
25,0.1133,0.1166,"7,393","1,000",0.1191,"398,276","278,168","25,022","101,234",0.2668,0.8018,2.2032
26,0.1166,0.1198,"7,094","1,000",0.1235,"405,370","271,074","26,022","100,234",0.2699,0.7939,2.1470
27,0.1198,0.1233,"7,257","1,000",0.1211,"412,627","263,817","27,022","99,234",0.2733,0.7860,2.0895
28,0.1233,0.1265,"6,801","1,000",0.1282,"419,428","257,016","28,022","98,234",0.2765,0.7781,2.0357
