,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0,1,163,1,163,676281,1,126255,5.356426625269294,0.15732004545590478
1,0.01,2,290,2,453,675991,3,126253,5.354129704726904,0.15737481364771816
2,0.0114,0,1,0,454,675990,3,126253,5.354121784311241,0.15737500981622776
3,0.0125,0,1,0,455,675989,3,126253,5.354113863895577,0.1573752059852264
4,0.02,5,549,5,1004,675440,8,126248,5.349765555696363,0.15747772200656615
5,0.0229,0,1,0,1005,675439,8,126248,5.3497576352806995,0.15747791843949072
6,0.025,0,1,0,1006,675438,8,126248,5.349749714865036,0.15747811487290536
7,0.0267,0,3,0,1009,675435,8,126248,5.349725953618046,0.15747870417608956
8,0.03,7,994,7,2003,674441,15,126241,5.341853060448613,0.1576668390197357
9,0.0333,0,1,0,2004,674440,15,126241,5.341845140032949,0.15766703593565978
10,0.034,0,1,0,2005,674439,15,126241,5.341837219617285,0.15766723285207573
11,0.035,0,5,0,2010,674434,15,126241,5.341797617538968,0.1576682174415337
12,0.0367,0,2,0,2012,674432,15,126241,5.341781776707641,0.15766861128076007
13,0.04,6,1405,6,3417,673027,21,126235,5.3306535927005445,0.15793944914183333
14,0.0429,1,1,1,3418,673026,22,126234,5.330645672284882,0.15793859319870882
15,0.0433,0,3,0,3421,673023,22,126234,5.330621911037891,0.15793918601901516
16,0.044,0,2,0,3423,673021,22,126234,5.3306060702065645,0.1579395812350251
17,0.045,0,4,0,3427,673017,22,126234,5.330574388543911,0.15794037167297884
18,0.0467,0,1,0,3428,673016,22,126234,5.330566468128247,0.15794056928370348
19,0.048,0,1,0,3429,673015,22,126234,5.330558547712584,0.15794076689492262
20,0.05,16,1861,16,5290,671154,38,126218,5.31581865416297,0.1582924908323844
21,0.0533,0,6,0,5296,671148,38,126218,5.31577113166899,0.15829368194781318
22,0.055,0,12,0,5308,671136,38,126218,5.315676086681029,0.15829606423244882
23,0.0567,0,2,0,5310,671134,38,126218,5.315660245849702,0.1582964612868595
24,0.0575,0,1,0,5311,671133,38,126218,5.315652325434039,0.1582966598148118
25,0.0583,0,2,0,5313,671131,38,126218,5.315636484602712,0.1582970568722103
26,0.06,24,2422,24,7735,668709,62,126194,5.296453237865923,0.1587539611751371
27,0.0614,0,1,0,7736,668708,62,126194,5.29644531745026,0.15875416089027328
28,0.0625,0,1,0,7737,668707,62,126194,5.296437397034596,0.15875436060591194
29,0.0633,0,3,0,7740,668704,62,126194,5.296413635787606,0.1587549597558429
30,0.065,0,12,0,7752,668692,62,126194,5.296318590799645,0.15875735640079205
31,0.066,0,1,0,7753,668691,62,126194,5.296310670383982,0.15875755612447084
32,0.0667,0,10,0,7763,668681,62,126194,5.296231466227348,0.15875955338889763
33,0.0683,0,2,0,7765,668679,62,126194,5.29621562539602,0.1587599528478134
34,0.07,24,2902,24,10667,665777,86,126170,5.273230579140793,0.15931621686804798
35,0.0714,0,1,0,10668,665776,86,126170,5.27322265872513,0.15931641803860364
36,0.072,0,1,0,10669,665775,86,126170,5.273214738309466,0.15931661920966733
37,0.0733,0,7,0,10676,665768,86,126170,5.2731592953998225,0.15931802742133855
38,0.075,0,12,0,10688,665756,86,126170,5.273064250411862,0.15932044155640804
39,0.076,0,2,0,10690,665754,86,126170,5.273048409580535,0.159320843919366
40,0.0767,0,11,0,10701,665743,86,126170,5.272961285008237,0.15932305695196317
41,0.0775,0,1,0,10702,665742,86,126170,5.272953364592574,0.1593232581397933
42,0.078,0,2,0,10704,665740,86,126170,5.272937523761247,0.15932366051697794
43,0.08,37,3390,37,14094,662350,123,126133,5.246087314662273,0.15996920669183737
44,0.0814,0,1,0,14095,662349,123,126133,5.24607939424661,0.15996940957434666
45,0.0833,0,9,0,14104,662340,123,126133,5.246008110505639,0.15997123554008824
46,0.084,0,6,0,14110,662334,123,126133,5.245960588011659,0.15997245287374107
