,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0411,"20,320","1,004",0.0471,"20,320","670,961","1,004","125,338",0.1574,0.9921,5.3107
1,0.0411,0.0905,"16,385","1,000",0.0575,"36,705","654,576","2,004","124,338",0.1596,0.9841,5.1810
2,0.0905,0.1262,"13,961","1,002",0.0670,"50,666","640,615","3,006","123,336",0.1614,0.9762,5.0705
3,0.1262,0.1570,"13,496","1,000",0.0690,"64,162","627,119","4,006","122,336",0.1632,0.9683,4.9637
4,0.1570,0.1811,"13,288","1,001",0.0701,"77,450","613,831","5,007","121,335",0.1650,0.9604,4.8585
5,0.1811,0.2021,"11,969","1,000",0.0771,"89,419","601,862","6,007","120,335",0.1666,0.9525,4.7638
6,0.2021,0.2201,"11,679","1,000",0.0789,"101,098","590,183","7,007","119,335",0.1682,0.9445,4.6713
7,0.2201,0.2357,"12,043","1,000",0.0767,"113,141","578,140","8,007","118,335",0.1699,0.9366,4.5760
8,0.2357,0.2488,"11,103","1,001",0.0827,"124,244","567,037","9,008","117,334",0.1714,0.9287,4.4881
9,0.2488,0.2621,"11,008","1,002",0.0834,"135,252","556,029","10,010","116,332",0.1730,0.9208,4.4010
10,0.2621,0.2739,"11,258","1,000",0.0816,"146,510","544,771","11,010","115,332",0.1747,0.9129,4.3119
11,0.2739,0.2860,"11,346","1,001",0.0811,"157,856","533,425","12,011","114,331",0.1765,0.9049,4.2221
12,0.2860,0.2983,"10,891","1,002",0.0843,"168,747","522,534","13,013","113,329",0.1782,0.8970,4.1359
13,0.2983,0.3096,"10,002","1,001",0.0910,"178,749","512,532","14,014","112,328",0.1798,0.8891,4.0567
14,0.3096,0.3193,"9,277","1,000",0.0973,"188,026","503,255","15,014","111,328",0.1811,0.8812,3.9833
15,0.3193,0.3285,"8,924","1,000",0.1008,"196,950","494,331","16,014","110,328",0.1825,0.8732,3.9126
16,0.3285,0.3367,"9,658","1,000",0.0938,"206,608","484,673","17,014","109,328",0.1841,0.8653,3.8362
