,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.4917060821497381,0.4927367590660501,"15,150",686,0.0433,"15,150","590,460",686,"107,270",0.1537,0.9936,5.4695
1,0.4927370082646857,0.4930222065075054,"29,130","1,600",0.0521,"44,280","561,330","2,286","105,670",0.1584,0.9788,5.1996
2,0.4930223460498439,0.4932163409802628,"26,064","1,600",0.0578,"70,344","535,266","3,886","104,070",0.1628,0.9640,4.9582
3,0.4932163509609335,0.4934284652638783,"23,147","1,601",0.0647,"93,491","512,119","5,487","102,469",0.1667,0.9492,4.7438
4,0.4934284734636525,0.4937683289354666,"21,466","1,600",0.0694,"114,957","490,653","7,087","100,869",0.1705,0.9344,4.5449
5,0.4937683468794426,0.4940978087811168,"16,756","1,600",0.0872,"131,713","473,897","8,687","99,269",0.1732,0.9195,4.3897
6,0.494097912814485,0.4942909869918815,"14,932","1,601",0.0968,"146,645","458,965","10,288","97,668",0.1755,0.9047,4.2514
7,0.4942910570227122,0.4944376570155945,"15,618","1,600",0.0929,"162,263","443,347","11,888","96,068",0.1781,0.8899,4.1067
8,0.4944376856144319,0.4945567228770332,"15,037","1,600",0.0962,"177,300","428,310","13,488","94,468",0.1807,0.8751,3.9674
9,0.494556759626061,0.4946520451625169,"12,875","1,600",0.1105,"190,175","415,435","15,088","92,868",0.1827,0.8602,3.8482
10,0.4946520639285929,0.4947482768864318,"13,663","1,603",0.1050,"203,838","401,772","16,691","91,265",0.1851,0.8454,3.7216
11,0.4947482799714444,0.4948368324878778,"12,787","1,602",0.1113,"216,625","388,985","18,293","89,663",0.1873,0.8306,3.6032
12,0.4948368699069906,0.4949175973625572,"12,124","1,601",0.1166,"228,749","376,861","19,894","88,062",0.1894,0.8157,3.4909
13,0.4949176041431782,0.4949921851609801,"12,252","1,602",0.1156,"241,001","364,609","21,496","86,460",0.1917,0.8009,3.3774
14,0.4949922013773238,0.4950614270867162,"11,341","1,602",0.1238,"252,342","353,268","23,098","84,858",0.1937,0.7860,3.2723
15,0.4950614688717663,0.4951221373560885,"10,683","1,601",0.1303,"263,025","342,585","24,699","83,257",0.1955,0.7712,3.1734
16,0.4951221389399185,0.4951824066100335,"10,873","1,600",0.1283,"273,898","331,712","26,299","81,657",0.1975,0.7564,3.0727
17,0.4951824206395221,0.4952414089877756,"10,848","1,600",0.1285,"284,746","320,864","27,899","80,057",0.1997,0.7416,2.9722
