,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.4860154909398923,0.4889432773166725,"3,069",25,0.0081,"3,069","602,541",25,"107,931",0.1519,0.9998,5.5814
1,0.4889436730738299,0.4906911658985545,"25,580",400,0.0154,"28,649","576,961",425,"107,531",0.1571,0.9961,5.3444
2,0.4906912075994172,0.4912160108928401,"18,190",400,0.0215,"46,839","558,771",825,"107,131",0.1609,0.9924,5.1759
3,0.4912160110394178,0.4915292522193903,"14,111",400,0.0276,"60,950","544,660","1,225","106,731",0.1639,0.9887,5.0452
4,0.4915293162656364,0.4917926098080231,"13,720",400,0.0283,"74,670","530,940","1,625","106,331",0.1669,0.9849,4.9181
5,0.4917926240624464,0.4919896738548591,"11,462",400,0.0337,"86,132","519,478","2,025","105,931",0.1694,0.9812,4.8119
6,0.4919896846332116,0.4921566090234658,"10,336",400,0.0373,"96,468","509,142","2,425","105,531",0.1717,0.9775,4.7162
7,0.4921566092173168,0.4923061481938345,"9,994",400,0.0385,"106,462","499,148","2,825","105,131",0.1740,0.9738,4.6236
8,0.4923061750587347,0.4924530912508009,"10,496",400,0.0367,"116,958","488,652","3,225","104,731",0.1765,0.9701,4.5264
9,0.4924531013446286,0.4925660620129198,"8,254",400,0.0462,"125,212","480,398","3,625","104,331",0.1784,0.9664,4.4499
10,0.4925660745891796,0.492669991141262,"7,797",400,0.0488,"133,009","472,601","4,025","103,931",0.1803,0.9627,4.3777
11,0.4926700023128946,0.4927666617962191,"7,913",400,0.0481,"140,922","464,688","4,425","103,531",0.1822,0.9590,4.3044
12,0.4927666741890817,0.4928664260847583,"8,205",400,0.0465,"149,127","456,483","4,825","103,131",0.1843,0.9553,4.2284
13,0.4928664306292676,0.4929488581973644,"6,869",400,0.0550,"155,996","449,614","5,225","102,731",0.1860,0.9516,4.1648
14,0.4929488715599279,0.4930212351707542,"6,138",400,0.0612,"162,134","443,476","5,625","102,331",0.1875,0.9479,4.1079
