,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0363,"13,574",694,0.0486,"13,574","592,036",694,"107,262",0.1534,0.9936,5.4840
1,0.0363,0.0926,"16,421","1,000",0.0574,"29,995","575,615","1,694","106,262",0.1558,0.9843,5.3319
2,0.0927,0.1355,"16,389","1,000",0.0575,"46,384","559,226","2,694","105,262",0.1584,0.9750,5.1801
3,0.1355,0.1666,"15,300","1,000",0.0613,"61,684","543,926","3,694","104,262",0.1609,0.9658,5.0384
4,0.1666,0.1908,"14,890","1,000",0.0629,"76,574","529,036","4,694","103,262",0.1633,0.9565,4.9005
5,0.1908,0.2126,"13,938","1,000",0.0669,"90,512","515,098","5,694","102,262",0.1656,0.9473,4.7714
6,0.2126,0.2304,"12,332","1,004",0.0753,"102,844","502,766","6,698","101,258",0.1676,0.9380,4.6571
7,0.2304,0.2472,"12,596","1,000",0.0736,"115,440","490,170","7,698","100,258",0.1698,0.9287,4.5405
8,0.2472,0.2619,"12,065","1,000",0.0765,"127,505","478,105","8,698","99,258",0.1719,0.9194,4.4287
9,0.2619,0.2767,"11,584","1,000",0.0795,"139,089","466,521","9,698","98,258",0.1740,0.9102,4.3214
10,0.2767,0.2891,"10,385","1,001",0.0879,"149,474","456,136","10,699","97,257",0.1757,0.9009,4.2252
11,0.2891,0.3022,"10,521","1,000",0.0868,"159,995","445,615","11,699","96,257",0.1776,0.8916,4.1277
12,0.3022,0.3136,"10,009","1,000",0.0908,"170,004","435,606","12,699","95,257",0.1794,0.8824,4.0350
13,0.3137,0.3253,"9,971","1,000",0.0911,"179,975","425,635","13,699","94,257",0.1813,0.8731,3.9427
14,0.3253,0.3360,"8,999","1,002",0.1002,"188,974","416,636","14,701","93,255",0.1829,0.8638,3.8593
15,0.3361,0.3467,"8,785","1,001",0.1023,"197,759","407,851","15,702","92,254",0.1845,0.8546,3.7779
16,0.3467,0.3567,"8,939","1,004",0.1010,"206,698","398,912","16,706","91,250",0.1862,0.8453,3.6951
17,0.3567,0.3663,"8,879","1,000",0.1012,"215,577","390,033","17,706","90,250",0.1879,0.8360,3.6129
18,0.3663,0.3745,"7,806","1,000",0.1136,"223,383","382,227","18,706","89,250",0.1893,0.8267,3.5406
19,0.3745,0.3835,"8,198","1,003",0.1090,"231,581","374,029","19,709","88,247",0.1909,0.8174,3.4646
20,0.3835,0.3913,"7,706","1,001",0.1150,"239,287","366,323","20,710","87,246",0.1924,0.8082,3.3933
21,0.3913,0.3989,"7,758","1,002",0.1144,"247,045","358,565","21,712","86,244",0.1939,0.7989,3.3214
22,0.3989,0.4059,"7,382","1,000",0.1193,"254,427","351,183","22,712","85,244",0.1953,0.7896,3.2530
23,0.4059,0.4124,"7,263","1,001",0.1211,"261,690","343,920","23,713","84,243",0.1968,0.7803,3.1857
24,0.4124,0.4200,"8,143","1,003",0.1097,"269,833","335,777","24,716","83,240",0.1987,0.7711,3.1103
25,0.4200,0.4264,"7,063","1,000",0.1240,"276,896","328,714","25,716","82,240",0.2001,0.7618,3.0449
26,0.4264,0.4324,"6,961","1,000",0.1256,"283,857","321,753","26,716","81,240",0.2016,0.7525,2.9804
27,0.4324,0.4384,"7,205","1,000",0.1219,"291,062","314,548","27,716","80,240",0.2032,0.7433,2.9137
28,0.4384,0.4448,"7,540","1,000",0.1171,"298,602","307,008","28,716","79,240",0.2052,0.7340,2.8438
29,0.4448,0.4507,"6,773","1,000",0.1287,"305,375","300,235","29,716","78,240",0.2067,0.7247,2.7811
30,0.4507,0.4568,"6,530","1,000",0.1328,"311,905","293,705","30,716","77,240",0.2082,0.7155,2.7206
31,0.4568,0.4623,"6,198","1,001",0.1390,"318,103","287,507","31,717","76,239",0.2096,0.7062,2.6632
32,0.4623,0.4682,"6,525","1,000",0.1329,"324,628","280,982","32,717","75,239",0.2112,0.6969,2.6027
33,0.4682,0.4736,"6,419","1,001",0.1349,"331,047","274,563","33,718","74,238",0.2128,0.6877,2.5433
34,0.4736,0.4786,"6,020","1,001",0.1426,"337,067","268,543","34,719","73,237",0.2143,0.6784,2.4875
35,0.4786,0.4835,"6,293","1,005",0.1377,"343,360","262,250","35,724","72,232",0.2160,0.6691,2.4292
36,0.4835,0.4889,"6,113","1,000",0.1406,"349,473","256,137","36,724","71,232",0.2176,0.6598,2.3726
37,0.4889,0.4941,"5,920","1,000",0.1445,"355,393","250,217","37,724","70,232",0.2192,0.6506,2.3178
38,0.4942,0.4989,"5,598","1,003",0.1519,"360,991","244,619","38,727","69,229",0.2206,0.6413,2.2659
39,0.4989,0.5043,"5,921","1,000",0.1445,"366,912","238,698","39,727","68,229",0.2223,0.6320,2.2111
40,0.5043,0.5093,"6,025","1,000",0.1423,"372,937","232,673","40,727","67,229",0.2242,0.6227,2.1553
41,0.5094,0.5143,"5,711","1,000",0.1490,"378,648","226,962","41,727","66,229",0.2259,0.6135,2.1024
42,0.5143,0.5190,"5,534","1,006",0.1538,"384,182","221,428","42,733","65,223",0.2275,0.6042,2.0511
43,0.5190,0.5247,"5,891","1,000",0.1451,"390,073","215,537","43,733","64,223",0.2296,0.5949,1.9965
44,0.5247,0.5299,"5,174","1,001",0.1621,"395,247","210,363","44,734","63,222",0.2311,0.5856,1.9486
45,0.5299,0.5349,"5,441","1,005",0.1559,"400,688","204,922","45,739","62,217",0.2329,0.5763,1.8982
46,0.5349,0.5402,"5,215","1,000",0.1609,"405,903","199,707","46,739","61,217",0.2346,0.5671,1.8499
