,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0167,"1,306",6,0.0046,"1,306","604,304",6,"107,950",0.1516,0.9999,5.5977
1,0.0200,0.0890,"19,421",201,0.0102,"20,727","584,883",207,"107,749",0.1556,0.9981,5.4178
2,0.0900,0.1183,"17,205",240,0.0138,"37,932","567,678",447,"107,509",0.1592,0.9959,5.2584
3,0.1200,0.1393,"14,078",258,0.0180,"52,010","553,600",705,"107,251",0.1623,0.9935,5.1280
4,0.1400,0.1600,"15,779",323,0.0201,"67,789","537,821","1,028","106,928",0.1658,0.9905,4.9819
5,0.1600,0.1620,"8,081",200,0.0242,"75,870","529,740","1,228","106,728",0.1677,0.9886,4.9070
6,0.1625,0.1790,"9,148",200,0.0214,"85,018","520,592","1,428","106,528",0.1699,0.9868,4.8223
7,0.1800,0.1897,"9,175",224,0.0238,"94,193","511,417","1,652","106,304",0.1721,0.9847,4.7373
8,0.1900,0.1992,"9,642",278,0.0280,"103,835","501,775","1,930","106,026",0.1744,0.9821,4.6480
9,0.2000,0.2100,"9,743",270,0.0270,"113,578","492,032","2,200","105,756",0.1769,0.9796,4.5577
10,0.2100,0.2200,"10,126",339,0.0324,"123,704","481,906","2,539","105,417",0.1795,0.9765,4.4639
11,0.2200,0.2300,"10,292",336,0.0316,"133,996","471,614","2,875","105,081",0.1822,0.9734,4.3686
12,0.2300,0.2400,"10,565",393,0.0359,"144,561","461,049","3,268","104,688",0.1850,0.9697,4.2707
13,0.2400,0.2500,"10,727",416,0.0373,"155,288","450,322","3,684","104,272",0.1880,0.9659,4.1713
14,0.2500,0.2593,"10,971",429,0.0376,"166,259","439,351","4,113","103,843",0.1912,0.9619,4.0697
15,0.2600,0.2700,"11,241",473,0.0404,"177,500","428,110","4,586","103,370",0.1945,0.9575,3.9656
16,0.2700,0.2800,"11,078",533,0.0459,"188,578","417,032","5,119","102,837",0.1978,0.9526,3.8630
17,0.2800,0.2897,"11,562",622,0.0511,"200,140","405,470","5,741","102,215",0.2013,0.9468,3.7559
18,0.2900,0.2993,"11,492",647,0.0533,"211,632","393,978","6,388","101,568",0.2050,0.9408,3.6494
19,0.3000,0.3100,"11,691",635,0.0515,"223,323","382,287","7,023","100,933",0.2089,0.9349,3.5411
20,0.3100,0.3200,"11,675",745,0.0600,"234,998","370,612","7,768","100,188",0.2128,0.9280,3.4330
21,0.3200,0.3297,"11,700",734,0.0590,"246,698","358,912","8,502","99,454",0.2170,0.9212,3.3246
22,0.3300,0.3400,"11,614",764,0.0617,"258,312","347,298","9,266","98,690",0.2213,0.9142,3.2170
23,0.3400,0.3493,"11,795",863,0.0682,"270,107","335,503","10,129","97,827",0.2258,0.9062,3.1078
24,0.3500,0.3593,"11,757",898,0.0710,"281,864","323,746","11,027","96,929",0.2304,0.8979,2.9989
25,0.3600,0.3696,"11,582",924,0.0739,"293,446","312,164","11,951","96,005",0.2352,0.8893,2.8916
26,0.3700,0.3800,"11,347",978,0.0794,"304,793","300,817","12,929","95,027",0.2401,0.8802,2.7865
27,0.3800,0.3897,"11,794","1,027",0.0801,"316,587","289,023","13,956","94,000",0.2454,0.8707,2.6772
28,0.3900,0.3993,"11,380","1,050",0.0845,"327,967","277,643","15,006","92,950",0.2508,0.8610,2.5718
29,0.4000,0.4100,"11,490","1,143",0.0905,"339,457","266,153","16,149","91,807",0.2565,0.8504,2.4654
30,0.4100,0.4200,"11,172","1,214",0.0980,"350,629","254,981","17,363","90,593",0.2622,0.8392,2.3619
