,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.009833,459,10,0.0213,459,"605,151",10,"107,946",0.1514,0.9999,5.6055
1,0.010000,0.029833,"1,616",30,0.0182,"2,075","603,535",40,"107,916",0.1517,0.9996,5.5906
2,0.030000,0.040000,"1,193",31,0.0253,"3,268","602,342",71,"107,885",0.1519,0.9993,5.5795
3,0.040000,0.050000,"1,594",40,0.0245,"4,862","600,748",111,"107,845",0.1522,0.9990,5.5647
4,0.050000,0.052381,974,26,0.0260,"5,836","599,774",137,"107,819",0.1524,0.9987,5.5557
5,0.052500,0.059833,897,25,0.0271,"6,733","598,877",162,"107,794",0.1525,0.9985,5.5474
6,0.060000,0.065000,"1,510",39,0.0252,"8,243","597,367",201,"107,755",0.1528,0.9981,5.5334
7,0.065000,0.070000,869,25,0.0280,"9,112","596,498",226,"107,730",0.1530,0.9979,5.5254
8,0.070000,0.071667,"1,473",39,0.0258,"10,585","595,025",265,"107,691",0.1532,0.9975,5.5117
9,0.071944,0.075833,742,25,0.0326,"11,327","594,283",290,"107,666",0.1534,0.9973,5.5049
10,0.076000,0.080000,551,25,0.0434,"11,878","593,732",315,"107,641",0.1535,0.9971,5.4998
11,0.080000,0.084833,"2,000",67,0.0324,"13,878","591,732",382,"107,574",0.1538,0.9965,5.4812
12,0.085000,0.090000,"1,141",30,0.0256,"15,019","590,591",412,"107,544",0.1540,0.9962,5.4707
13,0.090000,0.090238,"1,533",35,0.0223,"16,552","589,058",447,"107,509",0.1543,0.9959,5.4565
14,0.090333,0.094000,658,25,0.0366,"17,210","588,400",472,"107,484",0.1545,0.9956,5.4504
15,0.094000,0.096500,741,25,0.0326,"17,951","587,659",497,"107,459",0.1546,0.9954,5.4435
16,0.096667,0.100000,682,29,0.0408,"18,633","586,977",526,"107,430",0.1547,0.9951,5.4372
17,0.100000,0.101595,"1,871",61,0.0316,"20,504","585,106",587,"107,369",0.1551,0.9946,5.4199
18,0.101667,0.104881,708,32,0.0432,"21,212","584,398",619,"107,337",0.1552,0.9943,5.4133
19,0.105000,0.107833,"1,121",41,0.0353,"22,333","583,277",660,"107,296",0.1554,0.9939,5.4029
20,0.107857,0.110000,327,25,0.0710,"22,660","582,950",685,"107,271",0.1554,0.9937,5.3999
21,0.110000,0.113214,"2,398",71,0.0288,"25,058","580,552",756,"107,200",0.1559,0.9930,5.3777
22,0.113333,0.115952,"1,115",31,0.0271,"26,173","579,437",787,"107,169",0.1561,0.9927,5.3673
23,0.116000,0.120000,994,25,0.0245,"27,167","578,443",812,"107,144",0.1563,0.9925,5.3581
24,0.120000,0.122381,"2,388",64,0.0261,"29,555","576,055",876,"107,080",0.1567,0.9919,5.3360
25,0.122500,0.125000,741,27,0.0352,"30,296","575,314",903,"107,053",0.1569,0.9916,5.3292
26,0.125000,0.125310,614,26,0.0406,"30,910","574,700",929,"107,027",0.1570,0.9914,5.3235
27,0.125333,0.127500,600,25,0.0400,"31,510","574,100",954,"107,002",0.1571,0.9912,5.3179
28,0.127500,0.130000,642,31,0.0461,"32,152","573,458",985,"106,971",0.1572,0.9909,5.3120
29,0.130000,0.132381,"2,545",98,0.0371,"34,697","570,913","1,083","106,873",0.1577,0.9900,5.2884
