,0
0.34,4239
0.37,4194
0.36,4192
0.38,4188
0.32,4149
0.33,4143
0.3,4139
0.4,4050
0.35,4040
0.28,4033
0.29,3994
0.31,3975
0.27,3952
0.39,3943
0.41,3940
0.44,3886
0.43,3856
0.26,3839
0.42,3812
0.25,3778
0.45,3708
0.24,3690
0.46,3682
0.47,3663
0.22,3596
0.23,3555
0.48,3468
0.5,3453
0.49,3438
0.21,3395
0.51,3335
0.2,3244
0.52,3239
0.19,3155
0.53,3152
0.54,3052
0.55,2991
0.56,2987
0.18,2953
0.57,2846
0.17,2794
0.16,2759
0.59,2702
0.58,2696
0.6,2687
0.61,2608
0.15,2535
0.62,2475
0.63,2452
0.14,2419
0.64,2374
0.65,2320
0.66,2239
0.69,2209
0.13,2168
0.67,2162
0.68,2153
0.7,2072
0.71,2072
0.72,2033
0.12,2025
0.74,1986
0.73,1958
0.77,1944
0.78,1927
0.11,1893
0.75,1876
0.76,1870
0.81,1838
0.8,1807
0.79,1802
0.1,1789
0.83,1718
0.355,1681
0.82,1636
0.385,1634
0.375,1627
0.395,1616
0.415,1603
0.325,1597
0.405,1589
0.445,1588
0.295,1582
0.335,1581
0.345,1580
0.365,1576
0.84,1570
0.435,1563
0.09,1561
0.85,1533
0.425,1525
0.305,1519
0.315,1514
0.285,1493
0.475,1483
0.265,1457
0.275,1435
0.255,1430
0.455,1418
0.08,1409
