,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.00000,0.00286,"3,740",145,0.0373,"3,740","601,870",145,"107,811",0.1519,0.9987,5.5751
1,0.00294,0.01946,"3,437",200,0.0550,"7,177","598,433",345,"107,611",0.1524,0.9968,5.5433
2,0.01952,0.04046,"3,871",200,0.0491,"11,048","594,562",545,"107,411",0.1530,0.9950,5.5074
3,0.04046,0.05790,"3,091",201,0.0611,"14,139","591,471",746,"107,210",0.1534,0.9931,5.4788
4,0.05792,0.07619,"3,312",200,0.0569,"17,451","588,159",946,"107,010",0.1539,0.9912,5.4481
5,0.07620,0.09323,"3,005",201,0.0627,"20,456","585,154","1,147","106,809",0.1544,0.9894,5.4203
6,0.09326,0.11030,"2,906",200,0.0644,"23,362","582,248","1,347","106,609",0.1548,0.9875,5.3934
7,0.11030,0.12673,"3,035",200,0.0618,"26,397","579,213","1,547","106,409",0.1552,0.9857,5.3653
8,0.12673,0.14272,"2,708",202,0.0694,"29,105","576,505","1,749","106,207",0.1556,0.9838,5.3402
9,0.14273,0.15716,"2,526",201,0.0737,"31,631","573,979","1,950","106,006",0.1559,0.9819,5.3168
10,0.15717,0.17244,"2,782",200,0.0671,"34,413","571,197","2,150","105,806",0.1563,0.9801,5.2910
11,0.17244,0.18547,"2,445",200,0.0756,"36,858","568,752","2,350","105,606",0.1566,0.9782,5.2684
12,0.18550,0.19923,"2,434",200,0.0759,"39,292","566,318","2,550","105,406",0.1569,0.9764,5.2458
13,0.19924,0.21356,"2,798",200,0.0667,"42,090","563,520","2,750","105,206",0.1573,0.9745,5.2199
14,0.21356,0.22490,"1,998",200,0.0910,"44,088","561,522","2,950","105,006",0.1575,0.9727,5.2014
15,0.22490,0.23740,"2,688",200,0.0693,"46,776","558,834","3,150","104,806",0.1579,0.9708,5.1765
16,0.23740,0.24989,"2,421",200,0.0763,"49,197","556,413","3,350","104,606",0.1582,0.9690,5.1541
17,0.24990,0.26079,"2,321",200,0.0793,"51,518","554,092","3,550","104,406",0.1586,0.9671,5.1326
18,0.26080,0.27346,"2,662",200,0.0699,"54,180","551,430","3,750","104,206",0.1589,0.9653,5.1079
19,0.27346,0.28385,"2,253",200,0.0815,"56,433","549,177","3,950","104,006",0.1592,0.9634,5.0870
20,0.28386,0.29414,"2,314",200,0.0796,"58,747","546,863","4,150","103,806",0.1595,0.9616,5.0656
21,0.29415,0.30509,"2,466",200,0.0750,"61,213","544,397","4,350","103,606",0.1599,0.9597,5.0428
22,0.30511,0.31385,"2,056",200,0.0887,"63,269","542,341","4,550","103,406",0.1601,0.9579,5.0237
23,0.31386,0.32295,"2,243",200,0.0819,"65,512","540,098","4,750","103,206",0.1604,0.9560,5.0029
24,0.32296,0.33149,"2,076",201,0.0883,"67,588","538,022","4,951","103,005",0.1607,0.9541,4.9837
25,0.33151,0.33959,"2,161",200,0.0847,"69,749","535,861","5,151","102,805",0.1610,0.9523,4.9637
26,0.33959,0.34911,"2,407",201,0.0771,"72,156","533,454","5,352","102,604",0.1613,0.9504,4.9414
27,0.34913,0.35733,"2,060",200,0.0885,"74,216","531,394","5,552","102,404",0.1616,0.9486,4.9223
28,0.35733,0.36481,"1,986",200,0.0915,"76,202","529,408","5,752","102,204",0.1618,0.9467,4.9039
29,0.36482,0.37413,"2,394",200,0.0771,"78,596","527,014","5,952","102,004",0.1622,0.9449,4.8817
30,0.37414,0.38182,"2,141",200,0.0854,"80,737","524,873","6,152","101,804",0.1625,0.9430,4.8619
31,0.38182,0.38910,"2,289",201,0.0807,"83,026","522,584","6,353","101,603",0.1628,0.9412,4.8407
32,0.38910,0.39777,"2,127",200,0.0859,"85,153","520,457","6,553","101,403",0.1631,0.9393,4.8210
33,0.39777,0.40494,"2,084",200,0.0876,"87,237","518,373","6,753","101,203",0.1633,0.9374,4.8017
34,0.40495,0.41129,"1,871",200,0.0966,"89,108","516,502","6,953","101,003",0.1636,0.9356,4.7844
35,0.41130,0.41836,"2,156",200,0.0849,"91,264","514,346","7,153","100,803",0.1639,0.9337,4.7644
36,0.41836,0.42501,"2,113",201,0.0869,"93,377","512,233","7,354","100,602",0.1642,0.9319,4.7448
37,0.42502,0.43164,"1,925",200,0.0941,"95,302","510,308","7,554","100,402",0.1644,0.9300,4.7270
38,0.43167,0.43759,"2,118",200,0.0863,"97,420","508,190","7,754","100,202",0.1647,0.9282,4.7074
39,0.43759,0.44401,"2,122",200,0.0861,"99,542","506,068","7,954","100,002",0.1650,0.9263,4.6877
40,0.44401,0.45008,"1,842",203,0.0993,"101,384","504,226","8,157","99,799",0.1652,0.9244,4.6707
41,0.45012,0.45634,"2,087",202,0.0882,"103,471","502,139","8,359","99,597",0.1655,0.9226,4.6513
