,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000,0.150,"64,494",895,0.0137,"64,494","541,116",895,"107,061",0.1652,0.9917,5.0124
1,0.150,0.300,"163,972","6,442",0.0378,"228,466","377,144","7,337","100,619",0.2106,0.9320,3.4935
2,0.300,0.370,"84,210","6,436",0.0710,"312,676","292,934","13,773","94,183",0.2433,0.8724,2.7135
3,0.370,0.430,"67,652","7,354",0.0980,"380,328","225,282","21,127","86,829",0.2782,0.8043,2.0868
4,0.430,0.480,"50,079","7,306",0.1273,"430,407","175,203","28,433","79,523",0.3122,0.7366,1.6229
5,0.480,0.520,"35,334","6,564",0.1567,"465,741","139,869","34,997","72,959",0.3428,0.6758,1.2956
6,0.520,0.560,"30,990","7,275",0.1901,"496,731","108,879","42,272","65,684",0.3763,0.6084,1.0085
7,0.560,0.600,"26,253","7,413",0.2202,"522,984","82,626","49,685","58,271",0.4136,0.5398,0.7654
8,0.600,0.640,"21,560","7,571",0.2599,"544,544","61,066","57,256","50,700",0.4536,0.4696,0.5657
9,0.640,0.680,"17,286","7,291",0.2967,"561,830","43,780","64,547","43,409",0.4979,0.4021,0.4055
10,0.680,0.720,"13,196","7,153",0.3515,"575,026","30,584","71,700","36,256",0.5424,0.3358,0.2833
11,0.720,0.760,"10,025","6,844",0.4057,"585,051","20,559","78,544","29,412",0.5886,0.2724,0.1904
12,0.760,0.798,"7,249","6,427",0.4699,"592,300","13,310","84,971","22,985",0.6333,0.2129,0.1233
13,0.798,0.850,"6,435","7,966",0.5532,"598,735","6,875","92,937","15,019",0.6860,0.1391,0.0637
14,0.850,1.000,"6,875","15,019",0.6860,"605,610",0,"107,956",0,nan,0.0000,0.0000
