,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,TP_10,FP_10,Prec_10,TP_20,FP_20,Prec_20,TP_50,FP_50,Prec_50,TP_100,FP_100,Prec_100,TP_200,FP_200,Prec_200,TP_500,FP_500,Prec_500,TP_1000,FP_1000,Prec_1000,TP_2000,FP_2000,Prec_2000,mProb,Pos_1,Neg_1,mProb_1,Pos_10,Neg_10,mProb_10,Pos_20,Neg_20,mProb_20,Pos_50,Neg_50,mProb_50,Pos_100,Neg_100,mProb_100,Pos_200,Neg_200,mProb_200,Pos_500,Neg_500,mProb_500,Pos_1000,Neg_1000,mProb_1000,Pos_2000,Neg_2000,mProb_2000
0,0.0,4,435,4,435,605175,4,107952,5.605756048760606,0.15137836598530136,107952.0,605175.0,0.15137836598530136,,,,,,,,,,,,,,,,,,,,,,,,,0.009111617312072893,4.0,435.0,0.009111617312072893,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0065,0,1,0,436,605174,4,107952,5.6057467857275185,0.1513785782596624,107952.0,605174.0,0.1513785782596624,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0092,0,1,0,437,605173,4,107952,5.605737522694431,0.15137879053461875,107952.0,605173.0,0.15137879053461875,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,0.01,2,737,2,1174,604436,6,107950,5.598910667308903,0.15153301721257859,107950.0,604436.0,0.15153301721257859,,,,,,,,,,,,,,,,,,,,,,,,,0.0027063599458728013,2.0,737.0,0.0027063599458728013,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0185,0,4,0,1178,604432,6,107950,5.5988736151765535,0.15153386806516728,107950.0,604432.0,0.15153386806516728,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0192,0,1,0,1179,604431,6,107950,5.598864352143466,0.15153408077980743,107950.0,604431.0,0.15153408077980743,107948.6,604207.4,0.15157999090087004,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,11.0,2301.0,0.004757785467128028,,,,,,,,,,,,,,,,,,,,,
6,0.02,5,1115,5,2294,603316,11,107945,5.588536070250843,0.1517656668930252,107945.0,603316.0,0.1517656668930252,107947.9,604020.7,0.15161890566522174,,,,,,,,,,,,,,,,,,,,,,0.004464285714285714,5.0,1115.0,0.004464285714285714,7.0,1867.0,0.003735325506937033,,,,,,,,,,,,,,,,,,,,,
7,0.0274,0,1,0,2295,603315,11,107945,5.588526807217756,0.1517658802688187,107945.0,603315.0,0.1517658802688187,107947.2,603833.9,0.15165786222758654,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,7.0,1868.0,0.0037333333333333333,,,,,,,,,,,,,,,,,,,,,
8,0.0279,0,2,0,2297,603313,11,107945,5.58850828115158,0.15176630702220573,107945.0,603313.0,0.15176630702220573,107945.5,603496.5,0.1517277585523486,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,17.0,3374.0,0.005013270421704512,,,,,,,,,,,,,,,,,,,,,
9,0.0285,0,4,0,2301,603309,11,107945,5.58847122901923,0.15176716053617975,107945.0,603309.0,0.15176716053617975,107944.0,603232.3,0.1517823358286827,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,15.0,2642.0,0.005645464809936018,,,,,,,,,,,,,,,,,,,,,
