,0
0.31,12197
0.33,12112
0.36,12071
0.32,11997
0.3,11987
0.34,11965
0.35,11943
0.29,11877
0.37,11789
0.28,11748
0.27,11674
0.26,11666
0.38,11663
0.39,11532
0.4,11466
0.25,11462
0.24,11411
0.41,11219
0.22,11101
0.43,10962
0.23,10949
0.42,10919
0.44,10903
0.2,10626
0.21,10572
0.45,10521
0.46,10299
0.19,10051
0.48,9995
0.47,9969
0.18,9750
0.49,9686
0.5,9551
0.17,9501
0.51,9249
0.16,9120
0.52,9086
0.53,8777
0.15,8769
0.54,8540
0.14,8313
0.55,8266
0.56,8069
0.57,7872
0.13,7862
0.58,7659
0.59,7366
0.12,7349
0.6,7096
0.61,6790
0.11,6719
0.62,6478
0.63,6208
0.64,6118
0.1,6050
0.65,5806
0.66,5479
0.09,5440
0.67,5245
0.68,4927
0.08,4675
0.69,4628
0.7,4519
0.71,4381
0.72,4166
0.07,4020
0.73,3989
0.74,3762
0.75,3545
0.06,3375
0.76,3364
0.77,3223
0.79,3107
0.78,3094
0.8,2896
0.81,2744
0.05,2690
0.82,2546
0.83,2532
0.84,2285
0.85,2267
0.86,2148
0.87,2070
0.04,2046
0.88,1863
0.89,1838
0.9,1753
0.91,1619
0.03,1583
0.92,1473
0.93,1270
0.94,1168
0.02,1129
0.95,926
0.96,795
0.01,746
0.97,534
0.0,512
0.3984870915934895,384
0.3884870915934895,373
