,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.009573,360,2,0.0055,360,"605,250",2,"107,954",0.1514,1.0000,5.6065
1,0.010000,0.019573,611,12,0.0193,971,"604,639",14,"107,942",0.1515,0.9999,5.6008
2,0.020000,0.029752,870,16,0.0181,"1,841","603,769",30,"107,926",0.1516,0.9997,5.5927
3,0.030000,0.038080,929,21,0.0221,"2,770","602,840",51,"107,905",0.1518,0.9995,5.5841
4,0.038143,0.039334,226,10,0.0424,"2,996","602,614",61,"107,895",0.1519,0.9994,5.5820
5,0.039439,0.041291,801,10,0.0123,"3,797","601,813",71,"107,885",0.1520,0.9993,5.5746
6,0.041573,0.048363,385,10,0.0253,"4,182","601,428",81,"107,875",0.1521,0.9992,5.5710
7,0.048427,0.049656,303,10,0.0319,"4,485","601,125",91,"107,865",0.1521,0.9992,5.5682
8,0.050000,0.055838,"1,107",27,0.0238,"5,592","600,018",118,"107,838",0.1523,0.9989,5.5580
9,0.055859,0.058377,364,11,0.0293,"5,956","599,654",129,"107,827",0.1524,0.9988,5.5546
10,0.058487,0.059960,437,17,0.0374,"6,393","599,217",146,"107,810",0.1525,0.9986,5.5506
11,0.060000,0.067582,"1,832",43,0.0229,"8,225","597,385",189,"107,767",0.1528,0.9982,5.5336
12,0.067669,0.068621,345,10,0.0282,"8,570","597,040",199,"107,757",0.1529,0.9982,5.5304
13,0.068730,0.069746,214,10,0.0446,"8,784","596,826",209,"107,747",0.1529,0.9981,5.5284
14,0.070000,0.072111,"1,290",36,0.0271,"10,074","595,536",245,"107,711",0.1532,0.9977,5.5165
15,0.072115,0.075461,262,10,0.0368,"10,336","595,274",255,"107,701",0.1532,0.9976,5.5140
16,0.075559,0.076737,214,11,0.0489,"10,550","595,060",266,"107,690",0.1532,0.9975,5.5121
17,0.076778,0.078473,345,10,0.0282,"10,895","594,715",276,"107,680",0.1533,0.9974,5.5089
18,0.078487,0.079967,568,19,0.0324,"11,463","594,147",295,"107,661",0.1534,0.9973,5.5036
19,0.080000,0.084458,"1,660",32,0.0189,"13,123","592,487",327,"107,629",0.1537,0.9970,5.4882
20,0.084469,0.086377,304,10,0.0318,"13,427","592,183",337,"107,619",0.1538,0.9969,5.4854
21,0.086406,0.087242,205,10,0.0465,"13,632","591,978",347,"107,609",0.1538,0.9968,5.4835
22,0.087261,0.088380,348,10,0.0279,"13,980","591,630",357,"107,599",0.1539,0.9967,5.4803
23,0.088487,0.088928,419,11,0.0256,"14,399","591,211",368,"107,588",0.1540,0.9966,5.4764
24,0.088938,0.089758,296,12,0.0390,"14,695","590,915",380,"107,576",0.1540,0.9965,5.4737
25,0.090000,0.095838,"1,992",57,0.0278,"16,687","588,923",437,"107,519",0.1544,0.9960,5.4552
26,0.095859,0.097365,356,12,0.0326,"17,043","588,567",449,"107,507",0.1544,0.9958,5.4519
27,0.097372,0.098457,388,15,0.0372,"17,431","588,179",464,"107,492",0.1545,0.9957,5.4483
28,0.098487,0.099178,551,19,0.0333,"17,982","587,628",483,"107,473",0.1546,0.9955,5.4432
29,0.099182,0.099910,277,11,0.0382,"18,259","587,351",494,"107,462",0.1547,0.9954,5.4407
30,0.100000,0.101690,"1,862",44,0.0231,"20,121","585,489",538,"107,418",0.1550,0.9950,5.4234
31,0.101696,0.103823,183,10,0.0518,"20,304","585,306",548,"107,408",0.1551,0.9949,5.4217
32,0.103865,0.105286,201,10,0.0474,"20,505","585,105",558,"107,398",0.1551,0.9948,5.4198
33,0.105287,0.106516,321,10,0.0302,"20,826","584,784",568,"107,388",0.1551,0.9947,5.4169
34,0.106548,0.107365,183,10,0.0518,"21,009","584,601",578,"107,378",0.1552,0.9946,5.4152
35,0.107372,0.107755,320,11,0.0332,"21,329","584,281",589,"107,367",0.1552,0.9945,5.4122
36,0.107759,0.108430,122,10,0.0758,"21,451","584,159",599,"107,357",0.1552,0.9945,5.4111
37,0.108487,0.109012,554,23,0.0399,"22,005","583,605",622,"107,334",0.1553,0.9942,5.4060
38,0.109182,0.109908,331,10,0.0293,"22,336","583,274",632,"107,324",0.1554,0.9941,5.4029
39,0.110000,0.110184,"2,051",52,0.0247,"24,387","581,223",684,"107,272",0.1558,0.9937,5.3839
40,0.110244,0.113031,170,10,0.0556,"24,557","581,053",694,"107,262",0.1558,0.9936,5.3823
41,0.113063,0.114726,211,10,0.0452,"24,768","580,842",704,"107,252",0.1559,0.9935,5.3804
42,0.114744,0.115843,263,10,0.0366,"25,031","580,579",714,"107,242",0.1559,0.9934,5.3779
43,0.115859,0.117077,465,13,0.0272,"25,496","580,114",727,"107,229",0.1560,0.9933,5.3736
44,0.117108,0.117653,283,10,0.0341,"25,779","579,831",737,"107,219",0.1561,0.9932,5.3710
45,0.117669,0.118486,275,11,0.0385,"26,054","579,556",748,"107,208",0.1561,0.9931,5.3684
46,0.118487,0.119175,634,12,0.0186,"26,688","578,922",760,"107,196",0.1562,0.9930,5.3626
47,0.119182,0.119982,417,10,0.0234,"27,105","578,505",770,"107,186",0.1563,0.9929,5.3587
48,0.120000,0.122147,"2,268",65,0.0279,"29,373","576,237",835,"107,121",0.1568,0.9923,5.3377
49,0.122148,0.124260,278,10,0.0347,"29,651","575,959",845,"107,111",0.1568,0.9922,5.3351
50,0.124263,0.124998,135,10,0.0690,"29,786","575,824",855,"107,101",0.1568,0.9921,5.3339
51,0.125003,0.126099,396,10,0.0246,"30,182","575,428",865,"107,091",0.1569,0.9920,5.3302
52,0.126152,0.126548,198,10,0.0481,"30,380","575,230",875,"107,081",0.1569,0.9919,5.3284
53,0.126553,0.127345,257,12,0.0446,"30,637","574,973",887,"107,069",0.1570,0.9918,5.3260
54,0.127372,0.127394,266,17,0.0601,"30,903","574,707",904,"107,052",0.1570,0.9916,5.3235
55,0.127425,0.128480,346,10,0.0281,"31,249","574,361",914,"107,042",0.1571,0.9915,5.3203
56,0.128487,0.128570,619,19,0.0298,"31,868","573,742",933,"107,023",0.1572,0.9914,5.3146
57,0.128621,0.129217,343,10,0.0283,"32,211","573,399",943,"107,013",0.1573,0.9913,5.3114
58,0.129229,0.129959,157,10,0.0599,"32,368","573,242",953,"107,003",0.1573,0.9912,5.3100
59,0.130000,0.131509,"2,298",61,0.0259,"34,666","570,944","1,014","106,942",0.1578,0.9906,5.2887
60,0.131509,0.132659,117,10,0.0787,"34,783","570,827","1,024","106,932",0.1578,0.9905,5.2876
61,0.132671,0.134328,277,10,0.0348,"35,060","570,550","1,034","106,922",0.1578,0.9904,5.2850
62,0.134346,0.135287,245,10,0.0392,"35,305","570,305","1,044","106,912",0.1579,0.9903,5.2828
63,0.135298,0.136511,452,10,0.0216,"35,757","569,853","1,054","106,902",0.1580,0.9902,5.2786
64,0.136516,0.136848,203,12,0.0558,"35,960","569,650","1,066","106,890",0.1580,0.9901,5.2767
65,0.136850,0.137365,191,10,0.0498,"36,151","569,459","1,076","106,880",0.1580,0.9900,5.2749
66,0.137372,0.137592,347,13,0.0361,"36,498","569,112","1,089","106,867",0.1581,0.9899,5.2717
67,0.137669,0.138473,316,18,0.0539,"36,814","568,796","1,107","106,849",0.1581,0.9897,5.2688
68,0.138487,0.139147,835,28,0.0324,"37,649","567,961","1,135","106,821",0.1583,0.9895,5.2610
69,0.139182,0.139958,452,17,0.0362,"38,101","567,509","1,152","106,804",0.1584,0.9893,5.2569
70,0.140000,0.140862,"2,469",81,0.0318,"40,570","565,040","1,233","106,723",0.1589,0.9886,5.2340
71,0.140878,0.142391,138,10,0.0676,"40,708","564,902","1,243","106,713",0.1589,0.9885,5.2327
72,0.142412,0.143625,175,10,0.0541,"40,883","564,727","1,253","106,703",0.1589,0.9884,5.2311
73,0.143655,0.144893,285,10,0.0339,"41,168","564,442","1,263","106,693",0.1590,0.9883,5.2284
74,0.144900,0.145852,307,11,0.0346,"41,475","564,135","1,274","106,682",0.1590,0.9882,5.2256
75,0.145859,0.146489,293,16,0.0518,"41,768","563,842","1,290","106,666",0.1591,0.9881,5.2229
76,0.146516,0.147365,405,13,0.0311,"42,173","563,437","1,303","106,653",0.1592,0.9879,5.2191
77,0.147372,0.147637,366,12,0.0317,"42,539","563,071","1,315","106,641",0.1592,0.9878,5.2157
78,0.147662,0.148476,332,10,0.0292,"42,871","562,739","1,325","106,631",0.1593,0.9877,5.2127
79,0.148487,0.149175,847,42,0.0472,"43,718","561,892","1,367","106,589",0.1594,0.9873,5.2048
80,0.149182,0.149979,510,19,0.0359,"44,228","561,382","1,386","106,570",0.1595,0.9872,5.2001
81,0.150000,0.150749,"2,729",104,0.0367,"46,957","558,653","1,490","106,466",0.1601,0.9862,5.1748
82,0.150762,0.152353,173,10,0.0546,"47,130","558,480","1,500","106,456",0.1601,0.9861,5.1732
83,0.152362,0.153228,163,10,0.0578,"47,293","558,317","1,510","106,446",0.1601,0.9860,5.1717
84,0.153231,0.154183,203,11,0.0514,"47,496","558,114","1,521","106,435",0.1602,0.9859,5.1698
85,0.154184,0.154480,116,10,0.0794,"47,612","557,998","1,531","106,425",0.1602,0.9858,5.1688
86,0.154497,0.155215,222,10,0.0431,"47,834","557,776","1,541","106,415",0.1602,0.9857,5.1667
87,0.155262,0.155852,245,11,0.0430,"48,079","557,531","1,552","106,404",0.1603,0.9856,5.1644
88,0.155859,0.156462,324,13,0.0386,"48,403","557,207","1,565","106,391",0.1603,0.9855,5.1614
89,0.156516,0.156959,300,11,0.0354,"48,703","556,907","1,576","106,380",0.1604,0.9854,5.1586
90,0.156974,0.157365,223,12,0.0511,"48,926","556,684","1,588","106,368",0.1604,0.9853,5.1566
91,0.157372,0.157664,405,18,0.0426,"49,331","556,279","1,606","106,350",0.1605,0.9851,5.1528
92,0.157669,0.158377,330,12,0.0351,"49,661","555,949","1,618","106,338",0.1606,0.9850,5.1498
93,0.158487,0.159175,925,36,0.0375,"50,586","555,024","1,654","106,302",0.1607,0.9847,5.1412
94,0.159182,0.159985,502,23,0.0438,"51,088","554,522","1,677","106,279",0.1608,0.9845,5.1366
95,0.160000,0.160825,"2,717",98,0.0348,"53,805","551,805","1,775","106,181",0.1614,0.9836,5.1114
96,0.160840,0.162519,259,10,0.0372,"54,064","551,546","1,785","106,171",0.1614,0.9835,5.1090
97,0.162526,0.163506,180,10,0.0526,"54,244","551,366","1,795","106,161",0.1615,0.9834,5.1073
98,0.163521,0.164335,203,10,0.0469,"54,447","551,163","1,805","106,151",0.1615,0.9833,5.1054
99,0.164346,0.164962,177,10,0.0535,"54,624","550,986","1,815","106,141",0.1615,0.9832,5.1038
100,0.165003,0.165453,175,12,0.0642,"54,799","550,811","1,827","106,129",0.1616,0.9831,5.1022
101,0.165461,0.165852,172,10,0.0549,"54,971","550,639","1,837","106,119",0.1616,0.9830,5.1006
102,0.165859,0.166140,223,14,0.0591,"55,194","550,416","1,851","106,105",0.1616,0.9829,5.0985
103,0.166156,0.166548,253,12,0.0453,"55,447","550,163","1,863","106,093",0.1617,0.9827,5.0962
104,0.166553,0.166955,160,10,0.0588,"55,607","550,003","1,873","106,083",0.1617,0.9827,5.0947
105,0.166974,0.167365,222,10,0.0431,"55,829","549,781","1,883","106,073",0.1617,0.9826,5.0926
106,0.167372,0.167380,353,11,0.0302,"56,182","549,428","1,894","106,062",0.1618,0.9825,5.0894
107,0.167389,0.167879,238,10,0.0403,"56,420","549,190","1,904","106,052",0.1619,0.9824,5.0872
108,0.167890,0.168473,229,11,0.0458,"56,649","548,961","1,915","106,041",0.1619,0.9823,5.0850
109,0.168487,0.169178,981,38,0.0373,"57,630","547,980","1,953","106,003",0.1621,0.9819,5.0760
110,0.169182,0.169370,350,22,0.0591,"57,980","547,630","1,975","105,981",0.1621,0.9817,5.0727
111,0.169375,0.169930,239,10,0.0402,"58,219","547,391","1,985","105,971",0.1622,0.9816,5.0705
112,0.170000,0.170899,"2,862",122,0.0409,"61,081","544,529","2,107","105,849",0.1627,0.9805,5.0440
113,0.170899,0.172367,206,10,0.0463,"61,287","544,323","2,117","105,839",0.1628,0.9804,5.0421
114,0.172374,0.173209,173,11,0.0598,"61,460","544,150","2,128","105,828",0.1628,0.9803,5.0405
115,0.173214,0.174043,217,10,0.0441,"61,677","543,933","2,138","105,818",0.1629,0.9802,5.0385
116,0.174046,0.174673,192,10,0.0495,"61,869","543,741","2,148","105,808",0.1629,0.9801,5.0367
117,0.174680,0.174998,105,10,0.0870,"61,974","543,636","2,158","105,798",0.1629,0.9800,5.0357
118,0.175003,0.175859,409,11,0.0262,"62,383","543,227","2,169","105,787",0.1630,0.9799,5.0319
119,0.175859,0.176151,208,12,0.0545,"62,591","543,019","2,181","105,775",0.1630,0.9798,5.0300
120,0.176156,0.176553,288,10,0.0336,"62,879","542,731","2,191","105,765",0.1631,0.9797,5.0273
121,0.176553,0.176963,186,10,0.0510,"63,065","542,545","2,201","105,755",0.1631,0.9796,5.0256
122,0.176974,0.177365,275,14,0.0484,"63,340","542,270","2,215","105,741",0.1632,0.9795,5.0231
