,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.016364,"28,787","1,905",0.0621,"28,787","576,823","1,905","106,051",0.1553,0.9824,5.3431
1,0.016667,0.024930,871,62,0.0665,"29,658","575,952","1,967","105,989",0.1554,0.9818,5.3351
2,0.025000,0.032971,"1,184",114,0.0878,"30,842","574,768","2,081","105,875",0.1556,0.9807,5.3241
3,0.033333,0.040000,"1,692",143,0.0779,"32,534","573,076","2,224","105,732",0.1558,0.9794,5.3084
4,0.040000,0.042698,682,54,0.0734,"33,216","572,394","2,278","105,678",0.1559,0.9789,5.3021
5,0.042857,0.049906,"1,020",55,0.0512,"34,236","571,374","2,333","105,623",0.1560,0.9784,5.2927
6,0.050000,0.052468,"2,530",219,0.0797,"36,766","568,844","2,552","105,404",0.1563,0.9764,5.2692
7,0.052500,0.056250,713,51,0.0668,"37,479","568,131","2,603","105,353",0.1564,0.9759,5.2626
8,0.056364,0.059821,715,50,0.0654,"38,194","567,416","2,653","105,303",0.1565,0.9754,5.2560
9,0.060000,0.061359,631,66,0.0947,"38,825","566,785","2,719","105,237",0.1566,0.9748,5.2501
10,0.061364,0.066384,964,50,0.0493,"39,789","565,821","2,769","105,187",0.1568,0.9744,5.2412
11,0.066667,0.067778,"1,335",118,0.0812,"41,124","564,486","2,887","105,069",0.1569,0.9733,5.2289
12,0.067857,0.071313,703,51,0.0676,"41,827","563,783","2,938","105,018",0.1570,0.9728,5.2223
13,0.071429,0.074978,689,64,0.0850,"42,516","563,094","3,002","104,954",0.1571,0.9722,5.2160
14,0.075000,0.078547,"1,431",126,0.0809,"43,947","561,663","3,128","104,828",0.1573,0.9710,5.2027
15,0.078571,0.080000,792,55,0.0649,"44,739","560,871","3,183","104,773",0.1574,0.9705,5.1954
16,0.080032,0.083302,720,51,0.0661,"45,459","560,151","3,234","104,722",0.1575,0.9700,5.1887
17,0.083333,0.084359,647,55,0.0783,"46,106","559,504","3,289","104,667",0.1576,0.9695,5.1827
18,0.084366,0.086774,740,50,0.0633,"46,846","558,764","3,339","104,617",0.1577,0.9691,5.1758
