,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0,1901,27874,1901,27874,577736,1901,106055,5.351587683871207,0.15509856081755974
1,0.0032,0,4,0,27878,577732,1901,106055,5.351550631738856,0.15509946810922115
2,0.0034,0,4,0,27882,577728,1901,106055,5.3515135796065065,0.15510037541149752
3,0.0036,0,5,0,27887,577723,1901,106055,5.351467264441069,0.15510150955427054
4,0.0038,0,3,0,27890,577720,1901,106055,5.351439475341806,0.15510219004789588
5,0.0042,0,1,0,27891,577719,1901,106055,5.351430212308719,0.15510241688043125
6,0.0043,0,8,0,27899,577711,1901,106055,5.351356108044018,0.1551042315645996
7,0.0044,0,2,0,27901,577709,1901,106055,5.351337581977843,0.15510468524227658
8,0.0045,0,1,0,27902,577708,1901,106055,5.351328318944756,0.15510491208211033
9,0.0048,0,8,0,27910,577700,1901,106055,5.351254214680055,0.15510672682466672
10,0.005,0,1,0,27911,577699,1901,106055,5.351244951646967,0.15510695367047214
11,0.0053,0,4,0,27915,577695,1901,106055,5.351207899514617,0.15510786106032906
12,0.0056,2,18,2,27933,577677,1903,106053,5.3510411649190415,0.15510947303760256
13,0.0059,1,9,1,27942,577668,1904,106052,5.350957797621253,0.15511027906160416
14,0.0062,1,16,1,27958,577652,1905,106051,5.350809589091853,0.15511267319289224
15,0.0067,0,8,0,27966,577644,1905,106051,5.350735484827152,0.15511448818552132
16,0.0071,1,8,1,27974,577636,1906,106050,5.350661380562451,0.1551150674432415
17,0.0077,0,18,0,27992,577618,1906,106050,5.350494645966875,0.1551191514009724
18,0.008,0,1,0,27993,577617,1906,106050,5.350485382933788,0.15511937829381847
19,0.0083,0,20,0,28013,577597,1906,106050,5.350300122272037,0.1551239162901322
20,0.0087,0,4,0,28017,577593,1906,106050,5.350263070139687,0.15512482392125715
21,0.0091,0,32,0,28049,577561,1906,106050,5.349966653080885,0.15513208535263476
22,0.0093,0,1,0,28050,577560,1906,106050,5.3499573900477975,0.15513231228331945
23,0.0095,0,4,0,28054,577556,1906,106050,5.349920337915447,0.15513322001269736
24,0.01,7,62,7,28116,577494,1913,106043,5.3493460298640185,0.15513863916657036
25,0.0101,0,1,0,28117,577493,1913,106043,5.349336766830931,0.15513886613141079
26,0.0103,0,10,0,28127,577483,1913,106043,5.349244136500055,0.15514113581634056
27,0.0105,0,2,0,28129,577481,1913,106043,5.349225610433881,0.15514158976129588
28,0.0109,0,5,0,28134,577476,1913,106043,5.349179295268443,0.1551427246353064
29,0.0111,5,70,5,28204,577406,1918,106038,5.348530882952314,0.1551524338497375
30,0.0118,1,7,1,28211,577399,1919,106037,5.348466041720701,0.15515278680081238
31,0.0119,0,2,0,28213,577397,1919,106037,5.3484475156545255,0.15515324083964216
32,0.012,0,2,0,28215,577395,1919,106037,5.348428989588351,0.15515369488112937
33,0.0125,11,121,11,28336,577274,1930,106026,5.347308162584757,0.1551675691497146
34,0.0128,0,3,0,28339,577271,1930,106026,5.347280373485494,0.155168250409412
35,0.013,0,8,0,28347,577263,1930,106026,5.347206269220794,0.1551700671311846
36,0.0133,0,35,0,28382,577228,1930,106026,5.346882063062729,0.15517801578915016
37,0.0136,0,6,0,28388,577222,1930,106026,5.346826484864204,0.1551793784979978
38,0.0138,0,1,0,28389,577221,1930,106026,5.346817221831117,0.15517960561846594
39,0.0139,0,2,0,28391,577219,1930,106026,5.346798695764941,0.1551800598613967
40,0.0141,0,1,0,28392,577218,1930,106026,5.346789432731854,0.15518028698385936
41,0.0143,9,138,9,28530,577080,1939,106017,5.345511134165771,0.15520050593107568
42,0.0144,0,3,0,28533,577077,1939,106017,5.3454833450665085,0.15520118753787912
43,0.0149,0,2,0,28535,577075,1939,106017,5.345464819000333,0.15520164194574085
44,0.015,1,8,1,28543,577067,1940,106016,5.345390714735633,0.15520222286310742
45,0.0153,0,1,0,28544,577066,1940,106016,5.345381451702545,0.1552024500718801
46,0.0154,0,11,0,28555,577055,1940,106016,5.345279558338582,0.15520494941228657
47,0.0158,0,1,0,28556,577054,1940,106016,5.345270295305495,0.1552051766290424
48,0.0159,0,2,0,28558,577052,1940,106016,5.3452517692393196,0.15520563106454993
49,0.016,0,3,0,28561,577049,1940,106016,5.345223980140057,0.15520631272280092
50,0.0162,0,1,0,28562,577048,1940,106016,5.34521471710697,0.1552065399435485
51,0.0165,0,4,0,28566,577044,1940,106016,5.345177664974619,0.15520744883319182
52,0.0167,13,231,13,28797,576813,1953,106003,5.3430379043313945,0.15524387243415502
53,0.0171,0,4,0,28801,576809,1953,106003,5.343000852199044,0.15524478187260915
54,0.0172,0,4,0,28805,576805,1953,106003,5.342963800066694,0.15524569132171856
55,0.0174,0,13,0,28818,576792,1953,106003,5.342843380636555,0.15524864710491437
56,0.0175,0,3,0,28821,576789,1953,106003,5.342815591537293,0.15524932922471266
57,0.0176,0,8,0,28829,576781,1953,106003,5.342741487272592,0.15525114824014621
58,0.0177,0,2,0,28831,576779,1953,106003,5.342722961206418,0.15525160300066493
59,0.0179,1,30,1,28861,576749,1954,106002,5.342445070213791,0.15525718746658737
60,0.018,0,1,0,28862,576748,1954,106002,5.342435807180704,0.15525741486634934
61,0.0182,5,46,5,28908,576702,1959,105997,5.342009707658676,0.15526168926569395
62,0.0183,0,1,0,28909,576701,1959,105997,5.342000444625588,0.1552619166893707
63,0.0184,0,1,0,28910,576700,1959,105997,5.3419911815925,0.1552621441137137
64,0.0187,1,1,1,28911,576699,1960,105996,5.341981918559413,0.15526113418144266
65,0.0188,0,9,0,28920,576690,1960,105996,5.341898551261625,0.15526318102319367
66,0.0189,0,4,0,28924,576686,1960,105996,5.3418614991292745,0.1552640907479617
67,0.019,1,13,1,28937,576673,1961,105995,5.341741079699137,0.15526581002771478
68,0.0191,0,1,0,28938,576672,1961,105995,5.341731816666049,0.15526603746775514
69,0.0196,0,2,0,28940,576670,1961,105995,5.341713290599874,0.15526649234983483
70,0.02,34,388,34,29328,576282,1995,105961,5.338119233761903,0.1553126965025658
71,0.0204,0,1,0,29329,576281,1995,105961,5.338109970728816,0.15531292415301315
72,0.0208,1,28,1,29357,576253,1996,105960,5.337850605802364,0.15531806048843982
73,0.021,0,1,0,29358,576252,1996,105960,5.337841342769276,0.15531828815676066
74,0.0211,0,4,0,29362,576248,1996,105960,5.337804290636926,0.1553191988367184
75,0.0212,0,1,0,29363,576247,1996,105960,5.337795027603838,0.1553194265083765
76,0.0213,0,4,0,29367,576243,1996,105960,5.337757975471488,0.15532033720168337
77,0.0214,0,6,0,29373,576237,1996,105960,5.337702397272963,0.1553217032616678
78,0.0217,1,4,1,29377,576233,1997,105959,5.337665345140612,0.15532137580036118
79,0.022,0,1,0,29378,576232,1997,105959,5.337656082107525,0.15532160348055016
80,0.0222,1,70,1,29448,576162,1998,105958,5.337007669791396,0.15533630446255792
81,0.0225,0,3,0,29451,576159,1998,105958,5.336979880692134,0.15533698764288237
82,0.0227,0,1,0,29452,576158,1998,105958,5.336970617659047,0.15533721537099263
83,0.0229,0,6,0,29458,576152,1998,105958,5.336915039460521,0.1553385817536761
84,0.023,0,1,0,29459,576151,1998,105958,5.336905776427433,0.15533880948646037
85,0.0231,4,19,4,29478,576132,2002,105954,5.3367297787987695,0.1553381831616541
86,0.0233,1,41,1,29519,576091,2003,105953,5.33634999444218,0.15534628264452147
87,0.0235,1,11,1,29530,576080,2004,105952,5.336248101078217,0.15534754967508857
88,0.0236,3,37,3,29567,576043,2007,105949,5.335905368853978,0.155352262196624
89,0.0237,0,1,0,29568,576042,2007,105949,5.33589610582089,0.15535248998887083
90,0.0238,0,1,0,29569,576041,2007,105949,5.335886842787803,0.15535271778178567
91,0.024,0,3,0,29572,576038,2007,105949,5.33585905368854,0.15535340116453833
92,0.0241,1,5,1,29577,576033,2008,105948,5.335812738523102,0.15535330163157038
93,0.0244,0,1,0,29578,576032,2008,105948,5.335803475490015,0.1553535294290155
94,0.025,53,684,53,30262,575348,2061,105895,5.329467560858127,0.15544379905554992
95,0.0253,0,1,0,30263,575347,2061,105895,5.32945829782504,0.15544402723261339
96,0.0254,0,1,0,30264,575346,2061,105895,5.329449034791952,0.1554442554103467
97,0.0255,0,2,0,30266,575344,2061,105895,5.329430508725777,0.15544471176782304
98,0.0256,1,2,1,30268,575342,2062,105894,5.329411982659602,0.15544392838898707
99,0.0258,0,3,0,30271,575339,2062,105894,5.329384193560339,0.15544461292979053
100,0.026,0,3,0,30274,575336,2062,105894,5.329356404461077,0.15544529747662317
101,0.0261,0,11,0,30285,575325,2062,105894,5.329254511097114,0.15544780753326023
102,0.0262,1,31,1,30316,575294,2063,105893,5.3289673570714,0.15545364195147587
103,0.0263,0,19,0,30335,575275,2063,105893,5.328791359442736,0.1554579780612125
104,0.0265,0,3,0,30338,575272,2063,105893,5.328763570343473,0.1554586627322308
105,0.0267,1,31,1,30369,575241,2064,105892,5.328476416317759,0.15546449812298038
106,0.0268,0,1,0,30370,575240,2064,105892,5.328467153284672,0.1554647263672827
107,0.0269,0,2,0,30372,575238,2064,105892,5.3284486272184965,0.1554651828578979
108,0.027,0,1,0,30373,575237,2064,105892,5.328439364185409,0.1554654111042108
109,0.0271,0,15,0,30388,575222,2064,105892,5.328300418689095,0.15546883487933003
110,0.0273,5,49,5,30437,575173,2069,105887,5.327846530067806,0.15547382022141956
111,0.0275,0,4,0,30441,575169,2069,105887,5.327809477935455,0.15547473335526008
112,0.0278,0,4,0,30445,575165,2069,105887,5.327772425803105,0.15547564649982673
113,0.0279,1,26,1,30471,575139,2070,105886,5.327531586942828,0.15548034213134612
114,0.028,0,1,0,30472,575138,2070,105886,5.327522323909741,0.1554805704351095
115,0.0282,0,4,0,30476,575134,2070,105886,5.327485271777391,0.15548148365686765
116,0.0283,0,2,0,30478,575132,2070,105886,5.327466745711216,0.15548194027176962
117,0.0286,24,221,24,30699,574911,2094,105862,5.325419615398866,0.15550264184977958
118,0.0289,3,23,3,30722,574888,2097,105859,5.325206565637853,0.15550417409110873
119,0.0293,0,1,0,30723,574887,2097,105859,5.3251973026047645,0.15550440252311434
120,0.0294,1,14,1,30737,574873,2098,105858,5.325067620141539,0.1555063600746844
121,0.0296,0,2,0,30739,574871,2098,105858,5.325049094075364,0.1555068169565275
122,0.0297,0,2,0,30741,574869,2098,105858,5.325030568009189,0.15550727384105523
123,0.0298,0,3,0,30744,574866,2098,105858,5.325002778909926,0.15550795917288063
124,0.03,6,79,6,30823,574787,2104,105852,5.32427099929601,0.1555185641727847
125,0.0301,0,2,0,30825,574785,2104,105852,5.324252473229834,0.15551902115224414
126,0.0302,0,5,0,30830,574780,2104,105852,5.3242061580643965,0.15552016361264237
127,0.0303,0,1,0,30831,574779,2104,105852,5.324196895031309,0.15552039210673624
128,0.0306,1,3,1,30834,574776,2105,105851,5.324169105932047,0.15551983685631043
129,0.0308,2,43,2,30877,574733,2107,105849,5.323770795509281,0.15552718114789987
130,0.031,0,28,0,30905,574705,2107,105849,5.32351143058283,0.15553357999512163
131,0.0311,0,1,0,30906,574704,2107,105849,5.3235021675497425,0.15553380853511775
132,0.0312,1,28,1,30934,574676,2108,105848,5.323242802623291,0.15553896703128767
133,0.0313,0,26,0,30960,574650,2108,105848,5.323001963763015,0.155544909757266
134,0.0316,1,5,1,30965,574645,2109,105847,5.322955648597577,0.15554481169506768
135,0.0317,0,32,0,30997,574613,2109,105847,5.322659231538775,0.15555212650265995
136,0.0318,0,5,0,31002,574608,2109,105847,5.3226129163733376,0.155553269503494
137,0.0319,0,3,0,31005,574605,2109,105847,5.322585127274075,0.1555539553120573
138,0.0321,1,25,1,31030,574580,2110,105846,5.322353551446886,0.1555584295720622
139,0.0322,0,2,0,31032,574578,2110,105846,5.322335025380711,0.15555888681175267
140,0.0324,1,27,1,31059,574551,2111,105845,5.322084923487346,0.1555638187173352
141,0.0325,0,3,0,31062,574548,2111,105845,5.322057134388084,0.15556450463188187
142,0.0328,1,25,1,31087,574523,2112,105844,5.321825558560895,0.15556897968302402
143,0.0329,0,1,0,31088,574522,2112,105844,5.321816295527808,0.1555692083378652
144,0.0331,0,1,0,31089,574521,2112,105844,5.32180703249472,0.15556943699337855
145,0.0333,85,1042,85,32131,573479,2197,105759,5.312154952017488,0.15570241947594216
146,0.0334,0,1,0,32132,573478,2197,105759,5.312145688984401,0.15570264870729952
147,0.0338,0,1,0,32133,573477,2197,105759,5.312136425951313,0.15570287793933182
148,0.0339,0,1,0,32134,573476,2197,105759,5.312127162918226,0.15570310717203914
149,0.034,0,6,0,32140,573470,2197,105759,5.312071584719701,0.15570448258245748
150,0.0342,0,2,0,32142,573468,2197,105759,5.312053058653525,0.15570494105799682
