,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0857,"76,323","2,163",0.0276,"76,323","529,287","2,163","105,793",0.1666,0.9800,4.9028
1,0.1000,0.1400,"96,223","4,470",0.0444,"172,546","433,064","6,633","101,323",0.1896,0.9386,4.0115
2,0.1500,0.1950,658,37,0.0532,"173,204","432,406","6,670","101,286",0.1898,0.9382,4.0054
3,0.2000,0.2417,"99,177","7,338",0.0689,"272,381","333,229","14,008","93,948",0.2199,0.8702,3.0867
4,0.2500,0.2600,490,44,0.0824,"272,871","332,739","14,052","93,904",0.2201,0.8698,3.0822
5,0.2667,0.2857,354,35,0.0900,"273,225","332,385","14,087","93,869",0.2202,0.8695,3.0789
6,0.3000,0.3417,"91,289","9,973",0.0985,"364,514","241,096","24,060","83,896",0.2581,0.7771,2.2333
7,0.3500,0.3607,514,67,0.1153,"365,028","240,582","24,127","83,829",0.2584,0.7765,2.2285
8,0.3667,0.3857,438,61,0.1222,"365,466","240,144","24,188","83,768",0.2586,0.7759,2.2245
9,0.4000,0.4000,"78,285","12,252",0.1353,"443,751","161,859","36,440","71,516",0.3064,0.6625,1.4993
10,0.4167,0.4467,110,25,0.1852,"443,861","161,749","36,465","71,491",0.3065,0.6622,1.4983
11,0.4500,0.4600,436,89,0.1695,"444,297","161,313","36,554","71,402",0.3068,0.6614,1.4942
12,0.4667,0.4667,220,41,0.1571,"444,517","161,093","36,595","71,361",0.3070,0.6610,1.4922
13,0.4750,0.4933,125,29,0.1883,"444,642","160,968","36,624","71,332",0.3071,0.6608,1.4911
14,0.5000,0.5417,"60,392","13,523",0.1830,"505,034","100,576","50,147","57,809",0.3650,0.5355,0.9316
15,0.5500,0.5600,393,103,0.2077,"505,427","100,183","50,250","57,706",0.3655,0.5345,0.9280
16,0.5667,0.5733,165,53,0.2431,"505,592","100,018","50,303","57,653",0.3657,0.5340,0.9265
17,0.5750,0.5917,119,33,0.2171,"505,711","99,899","50,336","57,620",0.3658,0.5337,0.9254
18,0.6000,0.6125,"42,566","13,904",0.2462,"548,277","57,333","64,240","43,716",0.4326,0.4049,0.5311
19,0.6167,0.6467,81,28,0.2569,"548,358","57,252","64,268","43,688",0.4328,0.4047,0.5303
20,0.6500,0.6600,251,114,0.3123,"548,609","57,001","64,382","43,574",0.4332,0.4036,0.5280
21,0.6667,0.6714,155,43,0.2172,"548,764","56,846","64,425","43,531",0.4337,0.4032,0.5266
22,0.6750,0.6967,83,30,0.2655,"548,847","56,763","64,455","43,501",0.4339,0.4030,0.5258
23,0.7000,0.7333,"27,749","13,389",0.3255,"576,596","29,014","77,844","30,112",0.5093,0.2789,0.2688
24,0.7333,0.7500,30,30,0.5000,"576,626","28,984","77,874","30,082",0.5093,0.2787,0.2685
25,0.7500,0.7631,188,99,0.3449,"576,814","28,796","77,973","29,983",0.5101,0.2777,0.2667
26,0.7633,0.7667,53,25,0.3205,"576,867","28,743","77,998","29,958",0.5103,0.2775,0.2662
27,0.7667,0.7714,44,27,0.3803,"576,911","28,699","78,025","29,931",0.5105,0.2773,0.2658
28,0.7750,0.8000,67,40,0.3738,"576,978","28,632","78,065","29,891",0.5108,0.2769,0.2652
29,0.8000,0.8167,"16,389","12,474",0.4322,"593,367","12,243","90,539","17,417",0.5872,0.1613,0.1134
30,0.8167,0.8467,46,25,0.3521,"593,413","12,197","90,564","17,392",0.5878,0.1611,0.1130
31,0.8500,0.8600,99,71,0.4176,"593,512","12,098","90,635","17,321",0.5888,0.1604,0.1121
32,0.8667,0.8714,55,48,0.4660,"593,567","12,043","90,683","17,273",0.5892,0.1600,0.1116
33,0.8750,0.8917,36,27,0.4286,"593,603","12,007","90,710","17,246",0.5895,0.1598,0.1112
34,0.9000,0.9467,"8,608","10,438",0.5480,"602,211","3,399","101,148","6,808",0.6670,0.0631,0.0315
35,0.9500,0.9524,40,46,0.5349,"602,251","3,359","101,194","6,762",0.6681,0.0626,0.0311
36,0.9600,0.9875,26,49,0.6533,"602,277","3,333","101,243","6,713",0.6682,0.0622,0.0309
37,1.0000,1.0000,"3,333","6,713",0.6682,"605,610",0,"107,956",0,nan,0.0000,0.0000
