,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000,0.098,"63,033","3,370",0.0508,"63,033","542,577","3,370","104,586",0.1616,0.9688,5.0259
1,0.100,0.200,"90,018","6,675",0.0690,"153,051","452,559","10,045","97,911",0.1779,0.9070,4.1921
2,0.200,0.300,"98,699","9,647",0.0890,"251,750","353,860","19,692","88,264",0.1996,0.8176,3.2778
3,0.300,0.400,"94,078","11,919",0.1124,"345,828","259,782","31,611","76,345",0.2271,0.7072,2.4064
4,0.400,0.500,"80,405","13,313",0.1421,"426,233","179,377","44,924","63,032",0.2600,0.5839,1.6616
5,0.500,0.600,"63,794","13,661",0.1764,"490,027","115,583","58,585","49,371",0.2993,0.4573,1.0706
6,0.600,0.700,"46,593","13,447",0.2240,"536,620","68,990","72,032","35,924",0.3424,0.3328,0.6391
7,0.700,0.800,"32,562","12,605",0.2791,"569,182","36,428","84,637","23,319",0.3903,0.2160,0.3374
8,0.800,0.900,"20,826","10,726",0.3399,"590,008","15,602","95,363","12,593",0.4466,0.1166,0.1445
9,0.900,0.992,"11,291","8,083",0.4172,"601,299","4,311","103,446","4,510",0.5113,0.0418,0.0399
10,1.000,1.000,"4,311","4,510",0.5113,"605,610",0,"107,956",0,nan,0.0000,0.0000
