,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,TP_10,FP_10,Prec_10,TP_20,FP_20,Prec_20,TP_50,FP_50,Prec_50,TP_100,FP_100,Prec_100,TP_200,FP_200,Prec_200,TP_500,FP_500,Prec_500,TP_1000,FP_1000,Prec_1000,TP_2000,FP_2000,Prec_2000,mProb,Pos_1,Neg_1,mProb_1,Pos_10,Neg_10,mProb_10,Pos_20,Neg_20,mProb_20,Pos_50,Neg_50,mProb_50,Pos_100,Neg_100,mProb_100,Pos_200,Neg_200,mProb_200,Pos_500,Neg_500,mProb_500,Pos_1000,Neg_1000,mProb_1000,Pos_2000,Neg_2000,mProb_2000
0,0.0,2759,54189,2759,54189,551421,2759,105197,5.107830968172219,0.16021035061481714,105197.0,551421.0,0.16021035061481714,,,,,,,,,,,,,,,,,,,,,,,,,0.048447706679778046,2759.0,54189.0,0.048447706679778046,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,0,1,0,54190,551420,2759,105197,5.107821705139131,0.1602105946084247,105197.0,551420.0,0.1602105946084247,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0111,0,3,0,54193,551417,2759,105197,5.107793916039868,0.1602113265937065,105197.0,551417.0,0.1602113265937065,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0125,0,3,0,54196,551414,2759,105197,5.107766126940605,0.16021205858567705,105197.0,551414.0,0.16021205858567705,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0143,2,8,2,54204,551406,2761,105195,5.107692022675905,0.16021145261734296,105195.0,551406.0,0.16021145261734296,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2.0,8.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0167,1,36,1,54240,551370,2762,105194,5.107358553484753,0.16021895809090964,105194.0,551370.0,0.16021895809090964,105192.5,551318.9,0.16022951010447037,,,,,,,,,,,,,,,,,,,,,,0.02702702702702703,1.0,36.0,0.02702702702702703,2774.0,54550.0,0.0483915986323355,,,,,,,,,,,,,,,,,,,,,
6,0.02,2,64,2,54304,551306,2764,105192,5.106765719367149,0.16023201898558717,105192.0,551306.0,0.16023201898558717,105190.9,551282.8,0.16023627450726508,,,,,,,,,,,,,,,,,,,,,,0.030303030303030304,2.0,64.0,0.030303030303030304,16.0,361.0,0.042440318302387266,,,,,,,,,,,,,,,,,,,,,
7,0.0222,0,1,0,54305,551305,2764,105192,5.106756456334062,0.16023226305679997,105192.0,551305.0,0.16023226305679997,105189.3,551246.7,0.1602430396870373,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,16.0,361.0,0.042440318302387266,,,,,,,,,,,,,,,,,,,,,
8,0.025,10,235,10,54540,551070,2774,105182,5.104579643558487,0.160276844870568,105182.0,551070.0,0.160276844870568,105181.6,551117.7,0.16026468411592093,,,,,,,,,,,,,,,,,,,,,,0.04081632653061224,10.0,235.0,0.04081632653061224,77.0,1290.0,0.056327724945135334,,,,,,,,,,,,,,,,,,,,,
9,0.0286,0,10,0,54550,551060,2774,105182,5.104487013227612,0.16027928721416795,105182.0,551060.0,0.16027928721416795,105173.9,550988.9,0.1602862887076195,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,0.0,77.0,1288.0,0.05641025641025641,,,,,,,,,,,,,,,,,,,,,
