,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.47208,124,2029,124,2029,603581,124,107832,5.590990774019045,0.1515744019296808
1,0.47216,117,2078,117,4107,601503,241,107715,5.571742191263107,0.15187854792179556
2,0.47232,67,1115,67,5222,600388,308,107648,5.561413909370485,0.15203746702145088
3,0.47242,247,3660,247,8882,596728,555,107401,5.5275112082700355,0.15253028919416756
4,0.47256,131,2118,131,11000,594610,686,107270,5.507892104190597,0.15283239300165272
5,0.47263,179,3916,179,14916,590694,865,107091,5.471618066619734,0.15347277456523142
6,0.47264,104,2075,104,16991,588619,969,106987,5.452397272963059,0.15380402124190992
7,0.47279,231,3718,231,20709,584901,1200,106756,5.417957315943532,0.15434818125168978
8,0.4729,225,3744,225,24453,581157,1425,106531,5.383276520063729,0.15491182047672783
9,0.47314,250,4829,250,29282,576328,1675,106281,5.33854533328393,0.1556982108351926
10,0.47329,111,1920,111,31202,574408,1786,106170,5.320760309755826,0.15599975315099812
11,0.47336,69,1109,69,32311,573299,1855,106101,5.310487606061729,0.15616867824551076
12,0.47337,99,2011,99,34322,571288,1954,106002,5.291859646522657,0.15650902862880006
13,0.4734,442,7541,442,41863,563747,2396,105560,5.222007114009411,0.15771536828391156
14,0.47341,113,2006,113,43869,561741,2509,105447,5.203425469635778,0.15804690731847695
15,0.4735,87,1802,87,45671,559939,2596,105360,5.186733484012005,0.15836488556273196
16,0.47353,46,961,46,46632,558978,2642,105314,5.177831709214865,0.15853570417828305
17,0.47355,94,1840,94,48472,557138,2736,105220,5.160787728333766,0.15885669079259251
18,0.47362,116,2014,116,50486,555124,2852,105104,5.1421319796954315,0.1591934907335042
19,0.47374,287,5036,287,55522,550088,3139,104817,5.0954833450665085,0.1600491674364984
20,0.47381,267,3964,267,59486,546124,3406,104550,5.058764681907443,0.16067954152156072
21,0.47397,109,1946,109,61432,544178,3515,104441,5.040738819519063,0.16102056831514341
22,0.47402,77,1772,77,63204,542406,3592,104364,5.024324724887918,0.1613618442413841
23,0.47427,256,3883,256,67087,538523,3848,104108,4.988356367408945,0.16200276675105932
24,0.47433,117,2123,117,69210,536400,3965,103991,4.968690948164067,0.16238672935753312
25,0.47435,241,3881,241,73091,532519,4206,103750,4.932741116751269,0.1630599636317344
26,0.47453,56,1008,56,74099,531511,4262,103694,4.923403979399015,0.16324493667398715
27,0.47459,128,1871,128,75970,529640,4390,103566,4.906072844492201,0.16355814695375598
28,0.47468,48,1039,48,77009,528601,4438,103518,4.896448553114232,0.16376346858740207
29,0.47474,47,1013,47,78022,527588,4485,103471,4.88706510059654,0.16396406675128633
30,0.4748,128,1926,128,79948,525662,4613,103343,4.86922449886991,0.1642959912878276
31,0.47491,138,1828,138,81776,523834,4751,103205,4.852291674385861,0.16459103819698614
32,0.475,122,1837,122,83613,521997,4873,103083,4.835275482604024,0.16491169130351316
33,0.4751,251,3827,251,87440,518170,5124,102832,4.7998258549779536,0.16559044898406125
34,0.47589,28,403,28,87843,517767,5152,102804,4.796092852643669,0.16566033540078412
35,0.47597,28,430,28,88273,517337,5180,102776,4.7921097484160216,0.16573753493314927
36,0.47616,73,1130,73,89403,516207,5253,102703,4.781642521027085,0.16594173627829573
37,0.4762,28,438,28,89841,515769,5281,102675,4.777585312534736,0.16602149911713915
38,0.47621,17,299,17,90140,515470,5298,102658,4.774815665641557,0.16607887039577562
39,0.47639,21,400,21,90540,515070,5319,102637,4.771110452406536,0.1661580652315742
40,0.47644,67,1141,67,91681,513929,5386,102570,4.760541331653637,0.16637496573392657
41,0.47654,57,948,57,92629,512981,5443,102513,4.751759976286635,0.16655402002294092
42,0.47665,66,1061,66,93690,511920,5509,102447,4.741931898180741,0.16675212047522084
43,0.47687,19,260,19,93950,511660,5528,102428,4.739523509577976,0.16679694115501362
44,0.47703,76,1132,76,95082,510528,5604,102352,4.729037756122865,0.1670016969064091
45,0.47711,18,247,18,95329,510281,5622,102334,4.726749786950239,0.16704455489989634
46,0.47714,57,606,57,95935,509675,5679,102277,4.721136388899181,0.16713238946845504
47,0.47715,37,523,37,96458,509152,5716,102240,4.71629182259439,0.1672249555113577
48,0.47718,37,507,37,96965,508645,5753,102203,4.711595464819,0.16731330871182357
49,0.47726,59,566,59,97531,508079,5812,102144,4.706352588091445,0.16738798767008126
50,0.47728,39,462,39,97993,507617,5851,102105,4.702073066804995,0.16746156445068408
51,0.47731,172,2275,172,100268,505342,6023,101933,4.680999666530809,0.16785311432217695
52,0.47737,44,609,44,100877,504733,6067,101889,4.675358479380488,0.1679612674779352
53,0.47738,118,1522,118,102399,503211,6185,101771,4.661260143021231,0.16822153386381744
54,0.47742,20,232,20,102631,502979,6205,101751,4.659111119344918,0.1682585616721512
55,0.47755,84,1268,84,103899,501711,6289,101667,4.6473655933899,0.16849636546244642
56,0.47762,55,617,55,104516,501094,6344,101612,4.641650301974878,0.16859297899805212
57,0.47777,29,540,29,105056,500554,6373,101583,4.636648264107599,0.1687041321161131
58,0.47802,98,1244,98,106300,499310,6471,101485,4.625125050946682,0.16891785051473465
59,0.47824,141,1774,141,108074,497536,6612,101344,4.608692430249361,0.169222548757681
60,0.47826,15,262,15,108336,497274,6627,101329,4.6062655155804215,0.1692757971476922
61,0.47833,19,261,19,108597,497013,6646,101310,4.60384786394457,0.16932325850752855
62,0.47847,37,623,37,109220,496390,6683,101273,4.598076994331024,0.16944833459658704
63,0.47849,18,282,18,109502,496108,6701,101255,4.595464819000333,0.16950330033832026
64,0.47853,46,624,46,110126,495484,6747,101209,4.589684686353699,0.16961653647688174
65,0.47856,55,649,55,110775,494835,6802,101154,4.583672977879877,0.16972460901124015
66,0.47875,56,635,56,111410,494200,6858,101098,4.57779095186928,0.16982754855551338
67,0.47901,89,1248,89,112658,492952,6947,101009,4.566230686576012,0.17005998710353037
68,0.48032,41,421,41,113079,492531,6988,100968,4.562330949646152,0.170123285801661
69,0.48047,19,209,19,113288,492322,7007,100949,4.560394975730853,0.17015664005151104
70,0.48061,15,240,15,113528,492082,7022,100934,4.558171847789841,0.17020451387483643
71,0.48068,18,225,18,113753,491857,7040,100916,4.5560876653451405,0.17024392136618907
