,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.436799,0.455850,"29,353",614,0.0205,"29,353","576,257",614,"107,342",0.1570,0.9943,5.3379
1,0.455927,0.461745,"28,814","1,001",0.0336,"58,167","547,443","1,615","106,341",0.1627,0.9850,5.0710
2,0.461745,0.467538,"26,001","1,001",0.0371,"84,168","521,442","2,616","105,340",0.1681,0.9758,4.8301
3,0.467582,0.468610,"19,252","1,005",0.0496,"103,420","502,190","3,621","104,335",0.1720,0.9665,4.6518
4,0.468632,0.471259,"16,636","1,009",0.0572,"120,056","485,554","4,630","103,326",0.1755,0.9571,4.4977
5,0.471307,0.475171,"18,613","1,009",0.0514,"138,669","466,941","5,639","102,317",0.1797,0.9478,4.3253
6,0.475289,0.476271,"15,835","1,112",0.0656,"154,504","451,106","6,751","101,205",0.1832,0.9375,4.1786
7,0.476277,0.476671,"13,717","1,003",0.0681,"168,221","437,389","7,754","100,202",0.1864,0.9282,4.0515
8,0.476724,0.478458,"16,353","1,073",0.0616,"184,574","421,036","8,827","99,129",0.1906,0.9182,3.9001
9,0.478485,0.480329,"13,401","1,037",0.0718,"197,975","407,635","9,864","98,092",0.1940,0.9086,3.7759
10,0.480352,0.482943,"11,256","1,022",0.0832,"209,231","396,379","10,886","97,070",0.1967,0.8992,3.6717
11,0.482958,0.484350,"10,159","1,000",0.0896,"219,390","386,220","11,886","96,070",0.1992,0.8899,3.5776
12,0.484358,0.484602,"11,598","1,218",0.0950,"230,988","374,622","13,104","94,852",0.2020,0.8786,3.4701
13,0.484620,0.484899,"12,416","1,318",0.0960,"243,404","362,206","14,422","93,534",0.2052,0.8664,3.3551
14,0.484929,0.485013,"10,672","1,047",0.0893,"254,076","351,534","15,469","92,487",0.2083,0.8567,3.2563
15,0.485019,0.485191,"10,556","1,034",0.0892,"264,632","340,978","16,503","91,453",0.2115,0.8471,3.1585
16,0.485200,0.485701,"11,108","1,107",0.0906,"275,740","329,870","17,610","90,346",0.2150,0.8369,3.0556
17,0.485707,0.486276,"11,463","1,264",0.0993,"287,203","318,407","18,874","89,082",0.2186,0.8252,2.9494
18,0.486316,0.487250,"11,624","1,157",0.0905,"298,827","306,783","20,031","87,925",0.2228,0.8145,2.8417
19,0.487257,0.488709,"8,898","1,003",0.1013,"307,725","297,885","21,034","86,922",0.2259,0.8052,2.7593
20,0.488741,0.491342,"8,359","1,052",0.1118,"316,084","289,526","22,086","85,870",0.2287,0.7954,2.6819
21,0.491350,0.492349,"7,832","1,056",0.1188,"323,916","281,694","23,142","84,814",0.2314,0.7856,2.6093
22,0.492359,0.492876,"7,724","1,166",0.1312,"331,640","273,970","24,308","83,648",0.2339,0.7748,2.5378
23,0.492885,0.493257,"8,160","1,073",0.1162,"339,800","265,810","25,381","82,575",0.2370,0.7649,2.4622
24,0.493287,0.493941,"7,246","1,048",0.1264,"347,046","258,564","26,429","81,527",0.2397,0.7552,2.3951
25,0.493950,0.494045,"11,782","1,820",0.1338,"358,828","246,782","28,249","79,707",0.2441,0.7383,2.2859
26,0.494069,0.494181,"8,457","1,168",0.1214,"367,285","238,325","29,417","78,539",0.2479,0.7275,2.2076
27,0.494182,0.494329,"6,503","1,030",0.1367,"373,788","231,822","30,447","77,509",0.2506,0.7180,2.1474
28,0.494376,0.494864,"8,543","1,301",0.1322,"382,331","223,279","31,748","76,208",0.2545,0.7059,2.0682
29,0.494906,0.496175,"6,373","1,009",0.1367,"388,704","216,906","32,757","75,199",0.2574,0.6966,2.0092
30,0.496320,0.497200,"5,784","1,006",0.1482,"394,488","211,122","33,763","74,193",0.2600,0.6873,1.9556
31,0.497248,0.499412,"5,464","1,000",0.1547,"399,952","205,658","34,763","73,193",0.2625,0.6780,1.9050
32,0.499415,0.500055,"5,584","1,057",0.1592,"405,536","200,074","35,820","72,136",0.2650,0.6682,1.8533
33,0.500101,0.500661,"6,011","1,035",0.1469,"411,547","194,063","36,855","71,101",0.2681,0.6586,1.7976
34,0.500739,0.500996,"7,153","1,410",0.1647,"418,700","186,910","38,265","69,691",0.2716,0.6456,1.7314
35,0.501073,0.501348,"6,715","1,368",0.1692,"425,415","180,195","39,633","68,323",0.2749,0.6329,1.6692
36,0.501348,0.501772,"5,331","1,074",0.1677,"430,746","174,864","40,707","67,249",0.2778,0.6229,1.6198
37,0.501781,0.502011,"5,059","1,011",0.1666,"435,805","169,805","41,718","66,238",0.2806,0.6136,1.5729
38,0.502080,0.502244,"6,570","1,256",0.1605,"442,375","163,235","42,974","64,982",0.2847,0.6019,1.5121
39,0.502254,0.502732,"7,079","1,293",0.1544,"449,454","156,156","44,267","63,689",0.2897,0.5900,1.4465
40,0.502735,0.503269,"6,850","1,277",0.1571,"456,304","149,306","45,544","62,412",0.2948,0.5781,1.3830
41,0.503284,0.504115,"4,658","1,043",0.1830,"460,962","144,648","46,587","61,369",0.2979,0.5685,1.3399
42,0.504131,0.506665,"4,022","1,046",0.2064,"464,984","140,626","47,633","60,323",0.3002,0.5588,1.3026
43,0.506703,0.507700,"3,863","1,020",0.2089,"468,847","136,763","48,653","59,303",0.3025,0.5493,1.2668
44,0.507704,0.508461,"4,673","1,215",0.2064,"473,520","132,090","49,868","58,088",0.3054,0.5381,1.2236
45,0.508479,0.508833,"4,491","1,043",0.1885,"478,011","127,599","50,911","57,045",0.3089,0.5284,1.1820
46,0.508880,0.509095,"5,015","1,451",0.2244,"483,026","122,584","52,362","55,594",0.3120,0.5150,1.1355
47,0.509103,0.509205,"3,660","1,197",0.2464,"486,686","118,924","53,559","54,397",0.3139,0.5039,1.1016
48,0.509216,0.509403,"3,786","1,017",0.2117,"490,472","115,138","54,576","53,380",0.3168,0.4945,1.0665
49,0.509418,0.510415,"3,663","1,014",0.2168,"494,135","111,475","55,590","52,366",0.3196,0.4851,1.0326
50,0.510425,0.510425,"4,361","1,357",0.2373,"498,496","107,114","56,947","51,009",0.3226,0.4725,0.9922
51,0.510430,0.510430,"4,256","1,294",0.2332,"502,752","102,858","58,241","49,715",0.3258,0.4605,0.9528
52,0.510453,0.510802,"6,914","2,008",0.2251,"509,666","95,944","60,249","47,707",0.3321,0.4419,0.8887
53,0.510834,0.510912,"5,478","1,696",0.2364,"515,144","90,466","61,945","46,011",0.3371,0.4262,0.8380
54,0.510921,0.511767,"7,179","2,249",0.2385,"522,323","83,287","64,194","43,762",0.3444,0.4054,0.7715
55,0.511777,0.512868,"3,845","1,032",0.2116,"526,168","79,442","65,226","42,730",0.3498,0.3958,0.7359
56,0.512906,0.513900,"2,235","1,003",0.3098,"528,403","77,207","66,229","41,727",0.3508,0.3865,0.7152
57,0.513908,0.515880,"3,647","1,177",0.2440,"532,050","73,560","67,406","40,550",0.3554,0.3756,0.6814
58,0.515974,0.516935,"3,360","1,044",0.2371,"535,410","70,200","68,450","39,506",0.3601,0.3659,0.6503
59,0.516945,0.517256,"4,143","1,230",0.2289,"539,553","66,057","69,680","38,276",0.3669,0.3546,0.6119
60,0.517261,0.517642,"3,944","1,146",0.2251,"543,497","62,113","70,826","37,130",0.3741,0.3439,0.5754
61,0.517650,0.518683,"3,165","1,190",0.2732,"546,662","58,948","72,016","35,940",0.3788,0.3329,0.5460
62,0.518686,0.519099,"2,496","1,083",0.3026,"549,158","56,452","73,099","34,857",0.3817,0.3229,0.5229
63,0.519158,0.520750,"2,091","1,008",0.3253,"551,249","54,361","74,107","33,849",0.3837,0.3135,0.5035
64,0.520754,0.521482,"2,272","1,062",0.3185,"553,521","52,089","75,169","32,787",0.3863,0.3037,0.4825
65,0.521505,0.523218,"2,677","1,108",0.2927,"556,198","49,412","76,277","31,679",0.3907,0.2934,0.4577
66,0.523266,0.524170,"2,422","1,000",0.2922,"558,620","46,990","77,277","30,679",0.3950,0.2842,0.4353
67,0.524261,0.524756,"2,211","1,004",0.3123,"560,831","44,779","78,281","29,675",0.3986,0.2749,0.4148
68,0.524805,0.525272,"2,221","1,010",0.3126,"563,052","42,558","79,291","28,665",0.4025,0.2655,0.3942
69,0.525282,0.525312,"2,193","1,088",0.3316,"565,245","40,365","80,379","27,577",0.4059,0.2554,0.3739
70,0.525414,0.525655,"3,169","1,612",0.3372,"568,414","37,196","81,991","25,965",0.4111,0.2405,0.3445
71,0.525656,0.525814,"3,572","1,659",0.3171,"571,986","33,624","83,650","24,306",0.4196,0.2251,0.3115
72,0.525823,0.527152,"3,069","1,628",0.3466,"575,055","30,555","85,278","22,678",0.4260,0.2101,0.2830
73,0.527189,0.528439,"1,587","1,001",0.3868,"576,642","28,968","86,279","21,677",0.4280,0.2008,0.2683
74,0.528517,0.529689,"1,830","1,013",0.3563,"578,472","27,138","87,292","20,664",0.4323,0.1914,0.2514
75,0.529693,0.530896,"1,690","1,083",0.3906,"580,162","25,448","88,375","19,581",0.4349,0.1814,0.2357
76,0.530911,0.532788,"1,868","1,116",0.3740,"582,030","23,580","89,491","18,465",0.4392,0.1710,0.2184
77,0.532903,0.533311,"1,927","1,312",0.4051,"583,957","21,653","90,803","17,153",0.4420,0.1589,0.2006
78,0.533315,0.533607,"1,692","1,128",0.4000,"585,649","19,961","91,931","16,025",0.4453,0.1484,0.1849
79,0.533653,0.534289,"1,754","1,087",0.3826,"587,403","18,207","93,018","14,938",0.4507,0.1384,0.1687
80,0.534297,0.536183,"1,430","1,076",0.4294,"588,833","16,777","94,094","13,862",0.4524,0.1284,0.1554
81,0.536230,0.537666,"1,462","1,005",0.4074,"590,295","15,315","95,099","12,857",0.4564,0.1191,0.1419
82,0.537809,0.539603,"1,966","1,023",0.3423,"592,261","13,349","96,122","11,834",0.4699,0.1096,0.1237
83,0.539681,0.540202,"1,646","1,027",0.3842,"593,907","11,703","97,149","10,807",0.4801,0.1001,0.1084
84,0.540255,0.543307,"2,116","1,344",0.3884,"596,023","9,587","98,493","9,463",0.4967,0.0877,0.0888
85,0.543345,0.544893,"1,149","1,044",0.4761,"597,172","8,438","99,537","8,419",0.4994,0.0780,0.0782
86,0.545040,0.547968,"1,116","1,010",0.4751,"598,288","7,322","100,547","7,409",0.5030,0.0686,0.0678
87,0.548026,0.548360,"1,651","1,610",0.4937,"599,939","5,671","102,157","5,799",0.5056,0.0537,0.0525
88,0.548364,0.549867,"1,337","1,199",0.4728,"601,276","4,334","103,356","4,600",0.5149,0.0426,0.0401
89,0.549893,0.552362,"1,061","1,023",0.4909,"602,337","3,273","104,379","3,577",0.5222,0.0331,0.0303
90,0.552372,0.558614,"1,180","1,013",0.4619,"603,517","2,093","105,392","2,564",0.5506,0.0238,0.0194
91,0.558851,0.566831,"1,007","1,006",0.4998,"604,524","1,086","106,398","1,558",0.5893,0.0144,0.0101
92,0.566886,0.591692,"1,086","1,558",0.5893,"605,610",0,"107,956",0,nan,0.0000,0.0000
