,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,TP_10,FP_10,Prec_10,TP_20,FP_20,Prec_20,TP_50,FP_50,Prec_50,TP_100,FP_100,Prec_100,TP_200,FP_200,Prec_200,TP_500,FP_500,Prec_500,TP_1000,FP_1000,Prec_1000,TP_2000,FP_2000,Prec_2000,mProb,Pos_1,Neg_1,mProb_1,Pos_10,Neg_10,mProb_10,Pos_20,Neg_20,mProb_20,Pos_50,Neg_50,mProb_50,Pos_100,Neg_100,mProb_100,Pos_200,Neg_200,mProb_200,Pos_500,Neg_500,mProb_500,Pos_1000,Neg_1000,mProb_1000,Pos_2000,Neg_2000,mProb_2000
0,0.4368,8,607,8,607,605003,8,107948,5.604162807069547,0.15141012495949932,107948.0,605003.0,0.15141012495949932,,,,,,,,,,,,,,,,,,,,,,,,,0.013008130081300813,8.0,607.0,0.013008130081300813,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4369,4,628,4,1235,604375,12,107944,5.598345622290563,0.15153884706149914,107944.0,604375.0,0.15153884706149914,,,,,,,,,,,,,,,,,,,,,,,,,0.006329113924050633,4.0,628.0,0.006329113924050633,,,,,,,,,,,,,,,,,,,,,,,,
2,0.4372,5,640,5,1875,603735,17,107939,5.592417281114528,0.15166916312806145,107939.0,603735.0,0.15166916312806145,,,,,,,,,,,,,,,,,,,,,,,,,0.007751937984496124,5.0,640.0,0.007751937984496124,,,,,,,,,,,,,,,,,,,,,,,,
3,0.4376,2,647,2,2522,603088,19,107937,5.586424098706881,0.15180478886115115,107937.0,603088.0,0.15180478886115115,,,,,,,,,,,,,,,,,,,,,,,,,0.0030816640986132513,2.0,647.0,0.0030816640986132513,,,,,,,,,,,,,,,,,,,,,,,,
4,0.4379,8,746,8,3268,602342,27,107929,5.579513876023565,0.15195467645448005,107929.0,602342.0,0.15195467645448005,,,,,,,,,,,,,,,,,,,,,,,,,0.010610079575596816,8.0,746.0,0.010610079575596816,,,,,,,,,,,,,,,,,,,,,,,,
5,0.4386,0,103,0,3371,602239,27,107929,5.578559783615547,0.15197671536875781,107929.0,602239.0,0.15197671536875781,107933.0,602871.9,0.15184616763334075,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,103.0,0.0,34.0,3865.0,0.008720184662734035,,,,,,,,,,,,,,,,,,,,,
6,0.439,0,100,0,3471,602139,27,107929,5.577633480306791,0.15199811849006012,107929.0,602139.0,0.15199811849006012,107929.8,602511.5,0.15191937743484224,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,0.0,32.0,3604.0,0.0088008800880088,,,,,,,,,,,,,,,,,,,,,
7,0.4397,2,102,2,3573,602037,29,107927,5.576688650931861,0.15201756708790867,107927.0,602037.0,0.15201756708790867,107926.4,602185.5,0.15198506038273685,,,,,,,,,,,,,,,,,,,,,,0.019230769230769232,2.0,102.0,0.019230769230769232,34.0,3260.0,0.010321797207043109,,,,,,,,,,,,,,,,,,,,,
8,0.4409,1,21,1,3594,602016,30,107926,5.576494127237022,0.15202086931045072,107926.0,602016.0,0.15202086931045072,107923.1,601913.3,0.15203939950106812,,,,,,,,,,,,,,,,,,,,,,0.045454545454545456,1.0,21.0,0.045454545454545456,33.0,2722.0,0.011978221415607986,,,,,,,,,,,,,,,,,,,,,
9,0.4425,4,271,4,3865,601745,34,107922,5.573983845270296,0.1520741418158094,107922.0,601745.0,0.1520741418158094,107919.3,601666.8,0.15208767477265972,,,,,,,,,,,,,,,,,,,,,,0.014545454545454545,4.0,271.0,0.014545454545454545,38.0,2465.0,0.015181781861765881,,,,,,,,,,,,,,,,,,,,,
10,0.4427,6,346,6,4211,601399,40,107916,5.570778835822002,0.152141150264692,107916.0,601399.0,0.152141150264692,107915.1,601462.9,0.15212636986204817,107908.05,601501.0,0.15210977362073405,,,,,,,,,,,,,,,,,,,0.017045454545454544,6.0,346.0,0.017045454545454544,42.0,2039.0,0.020182604517059107,104.0,6751.0,0.015171407731582787,,,,,,,,,,,,,,,,,,
