,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.454082,0.462971,"8,777",329,0.0361,"8,777","596,833",329,"107,627",0.1528,0.9970,5.5285
1,0.463001,0.463768,"13,145",543,0.0397,"21,922","583,688",872,"107,084",0.1550,0.9919,5.4067
2,0.463998,0.468663,"9,035",419,0.0443,"30,957","574,653","1,291","106,665",0.1566,0.9880,5.3230
3,0.468675,0.469263,"8,581",447,0.0495,"39,538","566,072","1,738","106,218",0.1580,0.9839,5.2435
4,0.469271,0.469792,"11,514",591,0.0488,"51,052","554,558","2,329","105,627",0.1600,0.9784,5.1369
5,0.469793,0.470576,"10,199",545,0.0507,"61,251","544,359","2,874","105,082",0.1618,0.9734,5.0424
6,0.470657,0.471274,"10,460",563,0.0511,"71,711","533,899","3,437","104,519",0.1637,0.9682,4.9455
7,0.471277,0.472534,"9,005",501,0.0527,"80,716","524,894","3,938","104,018",0.1654,0.9635,4.8621
8,0.472582,0.475545,"5,551",428,0.0716,"86,267","519,343","4,366","103,590",0.1663,0.9596,4.8107
9,0.475607,0.476404,"6,802",461,0.0635,"93,069","512,541","4,827","103,129",0.1675,0.9553,4.7477
10,0.476521,0.476948,"7,598",546,0.0670,"100,667","504,943","5,373","102,583",0.1689,0.9502,4.6773
11,0.477013,0.477194,"8,280",617,0.0693,"108,947","496,663","5,990","101,966",0.1703,0.9445,4.6006
12,0.477244,0.477550,"6,045",438,0.0676,"114,992","490,618","6,428","101,528",0.1715,0.9405,4.5446
13,0.477596,0.478783,"5,039",420,0.0769,"120,031","485,579","6,848","101,108",0.1723,0.9366,4.4979
14,0.478797,0.479384,"7,917",622,0.0728,"127,948","477,662","7,470","100,486",0.1738,0.9308,4.4246
15,0.479394,0.479699,"9,234",692,0.0697,"137,182","468,428","8,162","99,794",0.1756,0.9244,4.3391
16,0.479804,0.480822,"6,969",566,0.0751,"144,151","461,459","8,728","99,228",0.1770,0.9192,4.2745
17,0.480895,0.482027,"4,477",410,0.0839,"148,628","456,982","9,138","98,818",0.1778,0.9154,4.2330
18,0.482165,0.483446,"4,472",406,0.0832,"153,100","452,510","9,544","98,412",0.1786,0.9116,4.1916
19,0.483506,0.484644,"4,366",421,0.0879,"157,466","448,144","9,965","97,991",0.1794,0.9077,4.1512
20,0.484670,0.484934,"5,443",448,0.0760,"162,909","442,701","10,413","97,543",0.1806,0.9035,4.1008
21,0.485000,0.485295,"6,860",663,0.0881,"169,769","435,841","11,076","96,880",0.1819,0.8974,4.0372
22,0.485334,0.485566,"5,330",516,0.0883,"175,099","430,511","11,592","96,364",0.1829,0.8926,3.9878
23,0.485618,0.485969,"6,892",651,0.0863,"181,991","423,619","12,243","95,713",0.1843,0.8866,3.9240
24,0.485974,0.486575,"3,636",405,0.1002,"185,627","419,983","12,648","95,308",0.1850,0.8828,3.8903
25,0.486657,0.487107,"4,237",447,0.0954,"189,864","415,746","13,095","94,861",0.1858,0.8787,3.8511
26,0.487137,0.487243,"6,113",608,0.0905,"195,977","409,633","13,703","94,253",0.1871,0.8731,3.7944
27,0.487260,0.487489,"4,193",448,0.0965,"200,170","405,440","14,151","93,805",0.1879,0.8689,3.7556
28,0.487521,0.488538,"6,127",676,0.0994,"206,297","399,313","14,827","93,129",0.1891,0.8627,3.6988
29,0.488588,0.488726,"9,768","1,107",0.1018,"216,065","389,545","15,934","92,022",0.1911,0.8524,3.6084
30,0.488751,0.489263,"9,391","1,078",0.1030,"225,456","380,154","17,012","90,944",0.1930,0.8424,3.5214
31,0.489288,0.489310,"8,296",917,0.0995,"233,752","371,858","17,929","90,027",0.1949,0.8339,3.4445
32,0.489318,0.489318,"8,395",908,0.0976,"242,147","363,463","18,837","89,119",0.1969,0.8255,3.3668
33,0.489517,0.490009,"10,697","1,287",0.1074,"252,844","352,766","20,124","87,832",0.1993,0.8136,3.2677
34,0.490042,0.490801,"2,947",405,0.1208,"255,791","349,819","20,529","87,427",0.1999,0.8098,3.2404
35,0.490843,0.491605,"3,215",424,0.1165,"259,006","346,604","20,953","87,003",0.2006,0.8059,3.2106
