,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,TP_10,FP_10,Prec_10,TP_20,FP_20,Prec_20,TP_50,FP_50,Prec_50,TP_100,FP_100,Prec_100,TP_200,FP_200,Prec_200,TP_500,FP_500,Prec_500,TP_1000,FP_1000,Prec_1000,TP_2000,FP_2000,Prec_2000,mProb,Pos_1,Neg_1,mProb_1,Pos_10,Neg_10,mProb_10,Pos_20,Neg_20,mProb_20,Pos_50,Neg_50,mProb_50,Pos_100,Neg_100,mProb_100,Pos_200,Neg_200,mProb_200,Pos_500,Neg_500,mProb_500,Pos_1000,Neg_1000,mProb_1000,Pos_2000,Neg_2000,mProb_2000
0,0.4541,17,430,17,430,605180,17,107939,5.605802363926044,0.15136183442034218,107939.0,605180.0,0.15136183442034218,,,,,,,,,,,,,,,,,,,,,,,,,0.03803131991051454,17.0,430.0,0.03803131991051454,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4545,14,447,14,877,604733,31,107925,5.601661788135908,0.15144010170376254,107925.0,604733.0,0.15144010170376254,,,,,,,,,,,,,,,,,,,,,,,,,0.03036876355748373,14.0,447.0,0.03036876355748373,,,,,,,,,,,,,,,,,,,,,,,,
2,0.4552,4,40,4,917,604693,35,107921,5.601291266812405,0.15144383916117282,107921.0,604693.0,0.15144383916117282,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,4.0,40.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,
3,0.4557,10,453,10,1370,604240,45,107911,5.597095112823743,0.15152825734991596,107911.0,604240.0,0.15152825734991596,,,,,,,,,,,,,,,,,,,,,,,,,0.02159827213822894,10.0,453.0,0.02159827213822894,,,,,,,,,,,,,,,,,,,,,,,,
4,0.4572,1,46,1,1416,604194,46,107910,5.596669013301716,0.1515368541673688,107910.0,604194.0,0.1515368541673688,,,,,,,,,,,,,,,,,,,,,,,,,0.02127659574468085,1.0,46.0,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,
5,0.4589,13,462,13,1878,603732,59,107897,5.592389492015266,0.15161973444027715,107897.0,603732.0,0.15161973444027715,107903.0,603942.4,0.15158207105082086,,,,,,,,,,,,,,,,,,,,,,0.02736842105263158,13.0,462.0,0.02736842105263158,77.0,2698.0,0.02774774774774775,,,,,,,,,,,,,,,,,,,,,
6,0.4591,14,397,14,2275,603335,73,107883,5.588712067879507,0.1516876681973741,107883.0,603335.0,0.1516876681973741,107896.4,603702.1,0.15162538987926477,,,,,,,,,,,,,,,,,,,,,,0.0340632603406326,14.0,397.0,0.0340632603406326,66.0,2403.0,0.026731470230862697,,,,,,,,,,,,,,,,,,,,,
7,0.4598,0,34,0,2309,603301,73,107883,5.58839712475453,0.15169492002069787,107883.0,603301.0,0.15169492002069787,107890.7,603495.1,0.15166271241287077,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,34.0,0.0,57.0,2070.0,0.02679830747531735,,,,,,,,,,,,,,,,,,,,,
8,0.4599,1,197,1,2506,603104,74,107882,5.586572307236281,0.15173575851001286,107882.0,603104.0,0.15173575851001286,107885.4,603289.9,0.15170015044110782,,,,,,,,,,,,,,,,,,,,,,0.005050505050505051,1.0,197.0,0.005050505050505051,53.0,2052.0,0.02517814726840855,,,,,,,,,,,,,,,,,,,,,
9,0.4603,3,192,3,2698,602912,77,107879,5.584793804883471,0.15177316538898214,107879.0,602912.0,0.15177316538898214,107880.5,603112.5,0.15173215488760086,,,,,,,,,,,,,,,,,,,,,,0.015384615384615385,3.0,192.0,0.015384615384615385,49.0,1774.0,0.026878771256171146,,,,,,,,,,,,,,,,,,,,,
10,0.4606,6,135,6,2833,602777,83,107873,5.583543295416651,0.15179483571378316,107873.0,602777.0,0.15179483571378316,107875.6,602939.3,0.15176327901961537,107856.9,602599.5,0.15181353845218368,,,,,,,,,,,,,,,,,,,0.0425531914893617,6.0,135.0,0.0425531914893617,49.0,1732.0,0.027512633352049412,328.0,8759.0,0.036095521074061845,,,,,,,,,,,,,,,,,,
11,0.4608,5,114,5,2947,602663,88,107868,5.58248730964467,0.1518132213795035,107868.0,602663.0,0.1518132213795035,107870.4,602770.9,0.15179303538930258,107832.6,601999.4,0.1519128469835116,,,,,,,,,,,,,,,,,,,0.04201680672268908,5.0,114.0,0.04201680672268908,52.0,1684.0,0.029953917050691243,486.0,12002.0,0.03891736066623959,,,,,,,,,,,,,,,,,,
12,0.461,0,22,0,2969,602641,88,107868,5.582283522916744,0.1518179220812122,107868.0,602641.0,0.1518179220812122,107866.3,602629.9,0.1518182644748839,107808.95,601420.95,0.15200846721211275,,,,,,,,,,,,,,,,,,,0.0,0.0,22.0,0.0,41.0,1410.0,0.028256374913852515,473.0,11569.0,0.03927918950340475,,,,,,,,,,,,,,,,,,
13,0.4614,6,175,6,3144,602466,94,107862,5.580662492126422,0.15184816028651552,107862.0,602466.0,0.15184816028651552,107860.6,602455.7,0.15184869050590563,107784.7,600824.1,0.15210748158927748,,,,,,,,,,,,,,,,,,,0.03314917127071823,6.0,175.0,0.03314917127071823,57.0,1742.0,0.03168426903835464,485.0,11937.0,0.03904363226533569,,,,,,,,,,,,,,,,,,
14,0.4616,1,4,1,3148,602462,95,107861,5.580625439994072,0.15184782134324806,107861.0,602462.0,0.15184782134324806,107835.9,601862.7,0.151946051464664,107744.0,599816.95,0.15227522095446336,,,,,,,,,,,,,,,,,,,0.2,1.0,4.0,0.2,247.0,5930.0,0.03998704872915655,814.0,20143.0,0.03884143722861096,,,,,,,,,,,,,,,,,,
15,0.4618,16,414,16,3562,602048,111,107845,5.576790544295824,0.1519172607702851,107845.0,602048.0,0.1519172607702851,107810.8,601256.6,0.15204591270166984,107703.3,598811.75,0.15244303712992383,,,,,,,,,,,,,,,,,,,0.037209302325581395,16.0,414.0,0.037209302325581395,251.0,6061.0,0.03976552598225602,814.0,20104.0,0.038913854096949994,,,,,,,,,,,,,,,,,,
16,0.462,3,123,3,3685,601925,114,107842,5.575651191226055,0.1519400028460044,107842.0,601925.0,0.1519400028460044,107768.8,600296.7,0.15220173839849563,107663.1,597828.15,0.1526072789705046,,,,,,,,,,,,,,,,,,,0.023809523809523808,3.0,123.0,0.023809523809523808,420.0,9599.0,0.04192035133246831,804.0,19672.0,0.039265481539363156,,,,,,,,,,,,,,,,,,
17,0.4623,16,366,16,4051,601559,130,107826,5.57226092111601,0.1519992669706859,107826.0,601559.0,0.1519992669706859,107727.2,599346.8,0.15235633045480387,107623.15,596845.8,0.1527720277806424,,,,,,,,,,,,,,,,,,,0.041884816753926704,16.0,366.0,0.041884816753926704,416.0,9499.0,0.04195663136661624,799.0,19647.0,0.03907854837131958,,,,,,,,,,,,,,,,,,
18,0.4628,191,4385,191,8436,597174,321,107635,5.531642521027085,0.15271513275227758,107635.0,597174.0,0.15271513275227758,107684.0,598358.3,0.152517774076709,107573.25,595624.6,0.15297721686720175,,,,,,,,,,,,,,,,,,,0.04173951048951049,191.0,4385.0,0.04173951048951049,432.0,9885.0,0.041872637394591454,998.0,24424.0,0.03925733616552592,,,,,,,,,,,,,,,,,,
19,0.4629,7,323,7,8759,596851,328,107628,5.528650561339805,0.1527767328763526,107628.0,596851.0,0.1527767328763526,107607.5,596521.4,0.15282358102330412,107523.4,594413.0,0.15318111441435434,,,,,,,,,,,,,,,,,,,0.021212121212121213,7.0,323.0,0.021212121212121213,765.0,18369.0,0.03998118532455315,997.0,24232.0,0.039518014982757935,,,,,,,,,,,,,,,,,,
20,0.463,175,3673,175,12432,593178,503,107453,5.494627440809219,0.15336603718647904,107453.0,593178.0,0.15336603718647904,107531.0,594684.2,0.15313111991879413,107471.35,593188.25,0.15338596659490572,,,,,,,,,,,,,,,,,,,0.04547817047817048,175.0,3673.0,0.04547817047817048,765.0,18372.0,0.039974917698698854,1041.0,24495.0,0.04076597744360902,,,,,,,,,,,,,,,,,,
