Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
683074,705474,AdaBoost_Hard_Run_0,0.4998501330627418,1,0,0.0,594814,10796,96181,11775,0.5216871206415312,0.10000370521323503
683285,705652,AdaBoost_Hard_Run_1,0.4998434562891684,1,0,0.0,594814,10796,96188,11768,0.521538734266974,0.10000370521323503
621213,640991,AdaBoost_Medium_Run_0,0.4992610063922129,1,0,0.0,594814,10796,98336,9620,0.4711990595611285,0.10000370521323503
618267,638009,AdaBoost_Medium_Run_1,0.4992677559233505,1,0,0.0,594814,10796,98353,9603,0.4707583705083582,0.10000370521323503
139578,144949,AdaBoost_Easy_Run_0,0.498148019074435,6,1,0.14285714285714285,594814,10796,102763,5193,0.3247857902307837,0.10000370521323503
139762,145065,AdaBoost_Easy_Run_1,0.4981527510708554,2,0,0.0,594815,10795,102765,5191,0.32472163142749905,0.09999444218014747
240,265,BalBag_Hard_Run_0,0.8916666666666668,2,0,0.0,593491,12119,90986,16970,0.5833820344460106,0.11225869798806921
224,252,BalBag_Hard_Run_1,0.8883333333333333,1,0,0.0,593603,12007,90709,17247,0.5895604019963082,0.11122123828226314
2238,2362,BalBag_Medium_Run_0,0.8999999999999998,3,1,0.25,590046,15564,95105,12851,0.4522611296850255,0.1441698469746934
2242,2362,BalBag_Medium_Run_1,0.8999999999999998,3,0,0.0,590008,15602,95363,12593,0.4466394750842348,0.14452184223202044
47836,49935,BalBag_Easy_Run_0,0.8540241702741703,4,3,0.42857142857142855,594813,10797,101373,6583,0.3787686996547756,0.10001296824632258
47722,49825,BalBag_Easy_Run_1,0.8530725079873687,2,0,0.0,594815,10795,101406,6550,0.3776304410492937,0.09999444218014747
3298,3845,BRFC_alpha_0_5_Hard_Run_0,0.81,1336,1521,0.5323766188309416,594922,10688,87467,20489,0.6571831799082657,0.09900329763977916
3277,3807,BRFC_alpha_0_5_Hard_Run_1,0.81,1366,1514,0.5256944444444445,594823,10787,87484,20472,0.6549153843693016,0.09992033791544704
34733,37041,BRFC_alpha_0_5_Medium_Run_0,0.8539999999999999,1,0,0.0,594810,10800,96397,11559,0.5169730309942305,0.10004075734558524
34980,37259,BRFC_alpha_0_5_Medium_Run_1,0.8542857142857143,2,1,0.3333333333333333,594815,10795,96592,11364,0.5128390270319058,0.09999444218014747
128898,136657,BRFC_alpha_0_5_Easy_Run_0,0.8485039682539682,1,0,0.0,594814,10796,100946,7010,0.39368752106031674,0.10000370521323503
128845,136745,BRFC_alpha_0_5_Easy_Run_1,0.8480558608058607,2,2,0.5,594814,10796,100709,7247,0.40165161004267586,0.10000370521323503
4943,5723,BRFC_alpha_balanced_Hard_Run_0,0.8102539389834889,0,1,1.0,595155,10455,88244,19712,0.6534292438757583,0.09684501093037905
4917,5705,BRFC_alpha_balanced_Hard_Run_1,0.81,1242,1528,0.551624548736462,595182,10428,88248,19708,0.6539686753384656,0.09659490903701508
115008,120344,BRFC_alpha_balanced_Medium_Run_0,0.8695733632206185,15,8,0.34782608695652173,594818,10792,97657,10299,0.48831255037693805,0.0999666530808848
114346,119692,BRFC_alpha_balanced_Medium_Run_1,0.869969498863101,1,0,0.0,594745,10865,97687,10269,0.4858994984385351,0.10064285449627626
137889,143622,BRFC_alpha_balanced_Easy_Run_0,0.9542016798007832,8,1,0.1111111111111111,594814,10796,101098,6858,0.3884672029001926,0.10000370521323503
138013,143767,BRFC_alpha_balanced_Easy_Run_1,0.9543345687390378,2,1,0.3333333333333333,594815,10795,100928,7028,0.39432194355607925,0.09999444218014747
2605,3015,EEC_Hard_Run_0,0.5405293846102863,525,330,0.38596491228070173,595031,10579,97898,10058,0.48737704123661385,0.09799362703323576
2593,3005,EEC_Hard_Run_1,0.5401975017133003,482,347,0.41857659831121835,594967,10643,97879,10077,0.48634169884169887,0.09858646115083923
2123,2499,EEC_Medium_Run_0,0.5350047898215599,829,497,0.37481146304675717,594989,10621,99445,8511,0.44485678444490906,0.09838267442291304
3710,4286,EEC_Medium_Run_1,0.5351567127677108,799,515,0.3919330289193303,595123,10487,99460,8496,0.4475583416741295,0.09714142798918078
842,900,EEC_Easy_Run_0,0.524934721699263,247,88,0.2626865671641791,594822,10788,102847,5109,0.32138139271560673,0.09992960094853459
1043,1120,EEC_Easy_Run_1,0.5248349277684033,164,77,0.31950207468879666,594804,10806,102857,5099,0.32059100911662997,0.10009633554411056
668028,695080,KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,0.5310709,1,0,0.0,594814,10796,91414,16542,0.6050918135928012,0.10000370521323503
666875,694179,KBFC_alpha_0_5_gamma_0_0_Hard_Run_1,0.5209831,1,0,0.0,594814,10796,91155,16801,0.6087980577599015,0.10000370521323503
619983,640914,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.452173,1,0,0.0,594814,10796,97149,10807,0.5002545942693144,0.10000370521323503
618628,639395,KBFC_alpha_0_5_gamma_0_0_Medium_Run_1,0.45867303,1,0,0.0,594814,10796,97215,10741,0.4987231276408042,0.10000370521323503
