p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,$\frac{\text{FP}}{\text{P}}$
0.0,0,0,nan,0,"605,610",0,"107,956",0.15,1.00,5.61
0.05,"2,023",335,0.14,"2,023","603,587",335,"107,621",0.15,1.00,5.59
0.1,"16,358",543,0.03,"18,381","587,229",878,"107,078",0.15,0.99,5.44
0.15,"39,293",703,0.02,"57,674","547,936","1,581","106,375",0.16,0.99,5.08
0.2,"59,401","1,043",0.02,"117,075","488,535","2,624","105,332",0.18,0.98,4.53
0.25,"70,773","1,425",0.02,"187,848","417,762","4,049","103,907",0.20,0.96,3.87
0.3,"72,995","1,964",0.03,"260,843","344,767","6,013","101,943",0.23,0.94,3.19
0.35,"69,060","2,689",0.04,"329,903","275,707","8,702","99,254",0.26,0.92,2.55
0.4,"61,352","3,481",0.05,"391,255","214,355","12,183","95,773",0.31,0.89,1.99
0.45,"51,555","4,662",0.08,"442,810","162,800","16,845","91,111",0.36,0.84,1.51
0.5,"41,321","5,982",0.13,"484,131","121,479","22,827","85,129",0.41,0.79,1.13
0.55,"32,207","7,523",0.19,"516,338","89,272","30,350","77,606",0.47,0.72,0.83
0.6,"24,821","9,145",0.27,"541,159","64,451","39,495","68,461",0.52,0.63,0.60
0.65,"23,407","10,854",0.32,"564,566","41,044","50,349","57,607",0.58,0.53,0.38
0.7,"13,521","11,983",0.47,"578,087","27,523","62,332","45,624",0.62,0.42,0.25
0.75,"9,789","13,320",0.58,"587,876","17,734","75,652","32,304",0.65,0.30,0.16
0.8,"6,998","12,001",0.63,"594,874","10,736","87,653","20,303",0.65,0.19,0.10
0.85,"4,918","10,163",0.67,"599,792","5,818","97,816","10,140",0.64,0.09,0.05
0.9,"3,443","6,847",0.67,"603,235","2,375","104,663","3,293",0.58,0.03,0.02
0.95,"2,375","2,909",0.55,"605,610",0,"107,572",384,1.00,0.00,0.00
1.0,0,384,1.00,"605,610",0,"107,956",0,nan,0.00,0.00
