p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.0,0,0,nan,0,"85,000",0,"15,000",0.15,1.00,5.67,1.00
0.01,6,19,0.76,6,"84,994",19,"14,981",0.15,1.00,5.67,1.00
0.02,141,21,0.13,147,"84,853",40,"14,960",0.15,1.00,5.66,1.00
0.03,355,25,0.07,502,"84,498",65,"14,935",0.15,1.00,5.63,0.99
0.04,754,27,0.03,"1,256","83,744",92,"14,908",0.15,0.99,5.58,0.99
0.05,"1,225",45,0.04,"2,481","82,519",137,"14,863",0.15,0.99,5.50,0.97
0.06,"1,699",50,0.03,"4,180","80,820",187,"14,813",0.15,0.99,5.39,0.96
0.07,"2,245",44,0.02,"6,425","78,575",231,"14,769",0.16,0.98,5.24,0.93
0.08,"2,774",38,0.01,"9,199","75,801",269,"14,731",0.16,0.98,5.05,0.91
0.09,"3,085",59,0.02,"12,284","72,716",328,"14,672",0.17,0.98,4.85,0.87
0.1,"3,465",69,0.02,"15,749","69,251",397,"14,603",0.17,0.97,4.62,0.84
0.11,"3,674",72,0.02,"19,423","65,577",469,"14,531",0.18,0.97,4.37,0.80
0.12,"3,809",91,0.02,"23,232","61,768",560,"14,440",0.19,0.96,4.12,0.76
0.13,"4,058",89,0.02,"27,290","57,710",649,"14,351",0.20,0.96,3.85,0.72
0.14,"3,844",101,0.03,"31,134","53,866",750,"14,250",0.21,0.95,3.59,0.68
0.15,"4,023",116,0.03,"35,157","49,843",866,"14,134",0.22,0.94,3.32,0.64
0.16,"3,889",146,0.04,"39,046","45,954","1,012","13,988",0.23,0.93,3.06,0.60
0.17,"3,758",156,0.04,"42,804","42,196","1,168","13,832",0.25,0.92,2.81,0.56
0.18,"3,651",208,0.05,"46,455","38,545","1,376","13,624",0.26,0.91,2.57,0.52
0.19,"3,515",207,0.06,"49,970","35,030","1,583","13,417",0.28,0.89,2.34,0.48
0.2,"3,241",224,0.06,"53,211","31,789","1,807","13,193",0.29,0.88,2.12,0.45
0.21,"3,030",235,0.07,"56,241","28,759","2,042","12,958",0.31,0.86,1.92,0.42
0.22,"2,957",293,0.09,"59,198","25,802","2,335","12,665",0.33,0.84,1.72,0.38
0.23,"2,645",318,0.11,"61,843","23,157","2,653","12,347",0.35,0.82,1.54,0.36
0.24,"2,423",384,0.14,"64,266","20,734","3,037","11,963",0.37,0.80,1.38,0.33
0.25,"2,207",369,0.14,"66,473","18,527","3,406","11,594",0.38,0.77,1.24,0.30
0.26,"1,985",407,0.17,"68,458","16,542","3,813","11,187",0.40,0.75,1.10,0.28
0.27,"1,795",449,0.20,"70,253","14,747","4,262","10,738",0.42,0.72,0.98,0.25
0.28,"1,693",481,0.22,"71,946","13,054","4,743","10,257",0.44,0.68,0.87,0.23
0.29,"1,490",471,0.24,"73,436","11,564","5,214","9,786",0.46,0.65,0.77,0.21
0.3,"1,339",530,0.28,"74,775","10,225","5,744","9,256",0.48,0.62,0.68,0.19
0.31,"1,229",585,0.32,"76,004","8,996","6,329","8,671",0.49,0.58,0.60,0.18
0.32,"1,727",618,0.26,"77,731","7,269","6,947","8,053",0.53,0.54,0.48,0.15
0.33,969,674,0.41,"78,700","6,300","7,621","7,379",0.54,0.49,0.42,0.14
0.34,850,681,0.44,"79,550","5,450","8,302","6,698",0.55,0.45,0.36,0.12
0.35,739,687,0.48,"80,289","4,711","8,989","6,011",0.56,0.40,0.31,0.11
0.36,674,690,0.51,"80,963","4,037","9,679","5,321",0.57,0.35,0.27,0.09
0.37,582,690,0.54,"81,545","3,455","10,369","4,631",0.57,0.31,0.23,0.08
0.38,542,677,0.56,"82,087","2,913","11,046","3,954",0.58,0.26,0.19,0.07
0.39,442,655,0.60,"82,529","2,471","11,701","3,299",0.57,0.22,0.16,0.06
0.4,420,642,0.60,"82,949","2,051","12,343","2,657",0.56,0.18,0.14,0.05
0.41,342,573,0.63,"83,291","1,709","12,916","2,084",0.55,0.14,0.11,0.04
