,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0046,0.0542,"48,742","2,320",0.0454,"48,742","556,868","2,320","105,636",0.1594,0.9785,5.1583
1,0.0542,0.0715,"47,811","3,201",0.0627,"96,553","509,057","5,521","102,435",0.1675,0.9489,4.7154
2,0.0715,0.0866,"36,901","3,200",0.0798,"133,454","472,156","8,721","99,235",0.1737,0.9192,4.3736
3,0.0866,0.0977,"31,492","3,202",0.0923,"164,946","440,664","11,923","96,033",0.1789,0.8896,4.0819
4,0.0977,0.1065,"28,394","3,201",0.1013,"193,340","412,270","15,124","92,832",0.1838,0.8599,3.8189
5,0.1065,0.1139,"25,645","3,202",0.1110,"218,985","386,625","18,326","89,630",0.1882,0.8302,3.5813
6,0.1139,0.1203,"23,859","3,201",0.1183,"242,844","362,766","21,527","86,429",0.1924,0.8006,3.3603
7,0.1203,0.1267,"23,879","3,200",0.1182,"266,723","338,887","24,727","83,229",0.1972,0.7710,3.1391
8,0.1267,0.1325,"21,281","3,204",0.1309,"288,004","317,606","27,931","80,025",0.2013,0.7413,2.9420
9,0.1325,0.1385,"21,537","3,202",0.1294,"309,541","296,069","31,133","76,823",0.2060,0.7116,2.7425
10,0.1385,0.1440,"19,745","3,200",0.1395,"329,286","276,324","34,333","73,623",0.2104,0.6820,2.5596
11,0.1440,0.1497,"19,650","3,200",0.1400,"348,936","256,674","37,533","70,423",0.2153,0.6523,2.3776
12,0.1497,0.1560,"18,914","3,204",0.1449,"367,850","237,760","40,737","67,219",0.2204,0.6227,2.2024
13,0.1560,0.1624,"17,955","3,200",0.1513,"385,805","219,805","43,937","64,019",0.2256,0.5930,2.0361
14,0.1624,0.1685,"16,157","3,200",0.1653,"401,962","203,648","47,137","60,819",0.2300,0.5634,1.8864
15,0.1685,0.1749,"15,944","3,200",0.1672,"417,906","187,704","50,337","57,619",0.2349,0.5337,1.7387
16,0.1749,0.1817,"15,909","3,203",0.1676,"433,815","171,795","53,540","54,416",0.2406,0.5041,1.5913
17,0.1817,0.1885,"14,148","3,200",0.1845,"447,963","157,647","56,740","51,216",0.2452,0.4744,1.4603
18,0.1885,0.1955,"13,743","3,200",0.1889,"461,706","143,904","59,940","48,016",0.2502,0.4448,1.3330
19,0.1955,0.2031,"13,827","3,201",0.1880,"475,533","130,077","63,141","44,815",0.2562,0.4151,1.2049
20,0.2031,0.2106,"12,487","3,200",0.2040,"488,020","117,590","66,341","41,615",0.2614,0.3855,1.0892
21,0.2106,0.2184,"12,302","3,201",0.2065,"500,322","105,288","69,542","38,414",0.2673,0.3558,0.9753
22,0.2184,0.2263,"11,498","3,200",0.2177,"511,820","93,790","72,742","35,214",0.2730,0.3262,0.8688
23,0.2263,0.2343,"10,642","3,200",0.2312,"522,462","83,148","75,942","32,014",0.2780,0.2965,0.7702
24,0.2343,0.2428,"10,166","3,202",0.2395,"532,628","72,982","79,144","28,812",0.2830,0.2669,0.6760
25,0.2428,0.2517,"10,069","3,203",0.2413,"542,697","62,913","82,347","25,609",0.2893,0.2372,0.5828
26,0.2517,0.2617,"9,870","3,200",0.2448,"552,567","53,043","85,547","22,409",0.2970,0.2076,0.4913
27,0.2617,0.2715,"9,192","3,207",0.2586,"561,759","43,851","88,754","19,202",0.3045,0.1779,0.4062
28,0.2715,0.2823,"8,640","3,201",0.2703,"570,399","35,211","91,955","16,001",0.3124,0.1482,0.3262
29,0.2823,0.2942,"7,862","3,200",0.2893,"578,261","27,349","95,155","12,801",0.3188,0.1186,0.2533
30,0.2942,0.3087,"7,663","3,200",0.2946,"585,924","19,686","98,355","9,601",0.3278,0.0889,0.1824
31,0.3087,0.3292,"7,475","3,201",0.2998,"593,399","12,211","101,556","6,400",0.3439,0.0593,0.1131
32,0.3292,0.3628,"6,605","3,200",0.3264,"600,004","5,606","104,756","3,200",0.3634,0.0296,0.0519
33,0.3628,0.7637,"5,606","3,200",0.3634,"605,610",0,"107,956",0,nan,0.0000,0.0000
