,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0,0,2,0,2,605608,0,107956,5.609766942087517,0.15129126469384666
1,0.0003,0,1,0,3,605607,0,107956,5.60975767905443,0.1512914767161414
2,0.0004,0,1,0,4,605606,0,107956,5.609748416021342,0.15129168873903037
3,0.0005,0,1,0,5,605605,0,107956,5.609739152988254,0.15129190076251364
4,0.0006,0,1,0,6,605604,0,107956,5.609729889955167,0.1512921127865912
5,0.0007,0,2,0,8,605602,0,107956,5.609711363888992,0.15129253683652905
6,0.0008,0,2,0,10,605600,0,107956,5.609692837822816,0.15129296088884403
7,0.0009,0,2,0,12,605598,0,107956,5.609674311756642,0.15129338494353617
8,0.001,0,1,0,13,605597,0,107956,5.609665048723554,0.15129359697177364
9,0.0011,0,2,0,15,605595,0,107956,5.609646522657379,0.15129402103003148
10,0.0014,0,1,0,16,605594,0,107956,5.609637259624291,0.15129423306005185
11,0.0016,0,1,0,17,605593,0,107956,5.609627996591204,0.1512944450906665
12,0.0017,0,1,0,18,605592,0,107956,5.609618733558117,0.15129465712187548
13,0.0018,0,4,0,22,605588,0,107956,5.609581681425766,0.15129550525265437
14,0.002,0,3,0,25,605585,0,107956,5.609553892326503,0.15129614135697877
15,0.0021,0,5,0,30,605580,0,107956,5.609507577161065,0.15129720154273926
16,0.0022,0,1,0,31,605579,0,107956,5.609498314127978,0.15129741358167434
17,0.0025,0,2,0,33,605577,0,107956,5.609479788061803,0.1512978376613275
18,0.0026,0,3,0,36,605574,0,107956,5.60945199896254,0.15129847378526481
19,0.0027,0,2,0,38,605572,0,107956,5.609433472896365,0.1512988978708614
20,0.0029,0,2,0,40,605570,0,107956,5.60941494683019,0.15129932195883541
21,0.003,0,2,0,42,605568,0,107956,5.609396420764015,0.15129974604918686
22,0.0031,0,2,0,44,605566,0,107956,5.60937789469784,0.15130017014191574
23,0.0032,0,4,0,48,605562,0,107956,5.60934084256549,0.15130101833450593
24,0.0033,0,1,0,49,605561,0,107956,5.609331579532402,0.15130123038413942
25,0.0035,0,4,0,53,605557,0,107956,5.609294527400052,0.15130207858861716
26,0.0036,0,3,0,56,605554,0,107956,5.609266738300789,0.15130271474821658
27,0.0037,0,3,0,59,605551,0,107956,5.609238949201527,0.15130335091316555
28,0.0038,0,3,0,62,605548,0,107956,5.609211160102264,0.15130398708346415
29,0.0039,0,3,0,65,605545,0,107956,5.6091833710030015,0.15130462325911245
30,0.004,0,4,0,69,605541,0,107956,5.609146318870651,0.1513054715016321
31,0.0041,0,2,0,71,605539,0,107956,5.609127792804476,0.1513058956264585
32,0.0042,0,1,0,72,605538,0,107956,5.609118529771388,0.15130610768976333
33,0.0043,0,3,0,75,605535,0,107956,5.6090907406721255,0.1513067438832445
34,0.0044,0,2,0,77,605533,0,107956,5.60907221460595,0.15130716801520416
35,0.0045,0,4,0,81,605529,0,107956,5.6090351624736,0.1513080162862569
36,0.0046,0,3,0,84,605526,0,107956,5.609007373374338,0.15130865249578826
37,0.0047,0,4,0,88,605522,0,107956,5.608970321241988,0.15130950078348596
38,0.0048,0,2,0,90,605520,0,107956,5.6089517951758125,0.15130992493090167
39,0.0049,1,4,1,94,605516,1,107955,5.608914743043462,0.15130958371118097
40,0.005,0,3,0,97,605513,1,107955,5.608886953944199,0.15131021993978708
41,0.0051,0,2,0,99,605511,1,107955,5.608868427878025,0.15131064409516362
42,0.0052,0,4,0,103,605507,1,107955,5.608831375745674,0.15131149241305072
43,0.0053,0,4,0,107,605503,1,107955,5.608794323613324,0.15131234074045002
44,0.0054,0,5,0,112,605498,1,107955,5.608748008447886,0.1513134011630759
45,0.0055,0,8,0,120,605490,1,107955,5.608673904183186,0.1513150978701932
46,0.0056,0,3,0,123,605487,1,107955,5.608646115083923,0.15131573414517227
47,0.0057,0,3,0,126,605484,1,107955,5.6086183259846605,0.1513163704255024
48,0.0058,0,2,0,128,605482,1,107955,5.608599799918485,0.15131679461536196
49,0.0059,0,1,0,129,605481,1,107955,5.608590536885398,0.15131700671118362
50,0.006,0,1,0,130,605480,1,107955,5.60858127385231,0.15131721880759985
51,0.0061,0,2,0,132,605478,1,107955,5.608562747786135,0.15131764300221603
52,0.0062,0,3,0,135,605475,1,107955,5.608534958686873,0.15131827929859973
53,0.0063,0,1,0,136,605474,1,107955,5.608525695653785,0.15131849139858347
54,0.0064,0,4,0,140,605470,1,107955,5.608488643521435,0.15131933980446438
55,0.0065,0,5,0,145,605465,1,107955,5.608442328355997,0.15132040032519414
56,0.0066,0,3,0,148,605462,1,107955,5.608414539256734,0.15132103664476737
57,0.0067,0,1,0,149,605461,1,107955,5.608405276223647,0.151321248752481
58,0.0068,0,3,0,152,605458,1,107955,5.608377487124384,0.15132188507918976
59,0.0069,0,2,0,154,605456,1,107955,5.608358961058209,0.15132230929996873
60,0.007,0,1,0,155,605455,1,107955,5.608349698025122,0.1513225214112502
61,0.0071,0,2,0,157,605453,1,107955,5.608331171958946,0.15132294563559703
62,0.0072,0,3,0,160,605450,1,107955,5.608303382859684,0.1513235819765771
63,0.0073,0,5,0,165,605445,1,107955,5.608257067694246,0.1513246425567704
64,0.0074,0,2,0,167,605443,1,107955,5.6082385416280705,0.15132506679301036
65,0.0075,0,4,0,171,605439,1,107955,5.608201489495721,0.15132591527262634
66,0.0076,0,8,0,179,605431,1,107955,5.60812738523102,0.1513276122604032
67,0.0077,0,4,0,183,605427,1,107955,5.60809033309867,0.15132846076856438
68,0.0078,0,5,0,188,605422,1,107955,5.608044017933232,0.1513295214171469
69,0.0079,0,1,0,189,605421,1,107955,5.608034754900144,0.15132973354864757
70,0.008,0,3,0,192,605418,1,107955,5.6080069658008815,0.15133036994671792
71,0.0081,0,4,0,196,605414,1,107955,5.607969913668532,0.1513312184858047
72,0.0082,0,5,0,201,605409,1,107955,5.607923598503094,0.1513322791730449
73,0.0083,0,4,0,205,605405,1,107955,5.607886546370744,0.15133312773354268
74,0.0084,0,9,0,214,605396,1,107955,5.607803179072955,0.15133503702945675
75,0.0085,0,3,0,217,605393,1,107955,5.607775389973693,0.15133567347213422
76,0.0086,0,5,0,222,605388,1,107955,5.6077290748082556,0.15133673422182597
77,0.0087,0,2,0,224,605386,1,107955,5.60771054874208,0.15133715852586632
78,0.0088,0,4,0,228,605382,1,107955,5.6076734966097295,0.15133800714108478
79,0.0089,0,8,0,236,605374,1,107955,5.60759939234503,0.15133970440007347
80,0.009,0,8,0,244,605366,1,107955,5.607525288080329,0.15134140169713214
81,0.0091,0,3,0,247,605363,1,107955,5.607497498981067,0.15134203819334435
82,0.0092,0,4,0,251,605359,1,107955,5.607460446848716,0.1513428868632888
83,0.0093,0,10,0,261,605349,1,107955,5.607367816517841,0.15134500857979208
84,0.0094,0,6,0,267,605343,1,107955,5.607312238319316,0.15134628163824937
85,0.0095,0,4,0,271,605339,1,107955,5.607275186186965,0.15134713035578598
86,0.0096,0,4,0,275,605335,1,107955,5.607238134054615,0.15134797908284148
87,0.0097,0,4,0,279,605331,1,107955,5.607201081922264,0.15134882781941605
88,0.0098,0,1,0,280,605330,1,107955,5.607191818889177,0.15134904000504706
89,0.0099,0,7,0,287,605323,1,107955,5.607126977657564,0.15135052532112303
90,0.01,0,3,0,290,605320,1,107955,5.607099188558301,0.15135116189408013
91,0.0101,0,3,0,293,605317,1,107955,5.607071399459039,0.15135179847239202
92,0.0102,0,7,0,300,605310,1,107955,5.607006558227426,0.1513532838426111
93,0.0103,1,5,1,305,605305,2,107954,5.606960243061988,0.151353155025033
94,0.0104,0,6,0,311,605299,2,107954,5.606904664863463,0.15135442823233833
95,0.0105,0,2,0,313,605297,2,107954,5.606886138797288,0.15135485263953363
96,0.0106,0,8,0,321,605289,2,107954,5.606812034532587,0.15135655029211642
97,0.0107,0,5,0,326,605284,2,107954,5.606765719367149,0.15135761134431985
98,0.0108,0,4,0,330,605280,2,107954,5.606728667234799,0.15135846019679375
99,0.0109,0,5,0,335,605275,2,107954,5.606682352069361,0.15135952127577537
100,0.011,0,6,0,341,605269,2,107954,5.606626773870836,0.15136079459019128
101,0.0111,0,7,0,348,605262,2,107954,5.606561932639224,0.15136228015075376
102,0.0112,0,6,0,354,605256,2,107954,5.606506354440698,0.15136355351158845
103,0.0113,0,4,0,358,605252,2,107954,5.606469302308348,0.15136440243071428
104,0.0114,0,8,0,366,605244,2,107954,5.606395198043647,0.15136610029753308
105,0.0115,0,5,0,371,605239,2,107954,5.606348882878209,0.15136716148363766
106,0.0116,0,3,0,374,605236,2,107954,5.606321093778947,0.15136779820244256
107,0.0117,0,5,0,379,605231,2,107954,5.60627477861351,0.15136885941235445
108,0.0118,0,6,0,385,605225,2,107954,5.606219200414984,0.1513701328838903
109,0.0119,0,5,0,390,605220,2,107954,5.6061728852495465,0.15137119412653854
110,0.012,0,5,0,395,605215,2,107954,5.6061265700841085,0.15137225538406746
111,0.0121,0,3,0,398,605212,2,107954,5.606098780984846,0.15137289214572763
112,0.0122,0,3,0,401,605209,2,107954,5.606070991885583,0.15137352891274505
113,0.0123,0,5,0,406,605204,2,107954,5.606024676720145,0.15137459020301253
114,0.0124,1,5,1,411,605199,3,107953,5.605978361554707,0.1513744615453648
115,0.0125,0,2,0,413,605197,3,107953,5.605959835488532,0.15137488606884947
116,0.0126,0,3,0,416,605194,3,107953,5.6059320463892695,0.15137552285854108
117,0.0127,0,3,0,419,605191,3,107953,5.605904257290007,0.1513761596535903
118,0.0128,0,9,0,428,605182,3,107953,5.605820889992219,0.1513780700708842
119,0.0129,0,9,0,437,605173,3,107953,5.605737522694431,0.1513799805363989
