,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000145,0.073588,"1,339",3,0.0022,"1,339","604,271",3,"107,953",0.1516,1.0000,5.5974
1,0.073620,0.084843,"1,059",10,0.0094,"2,398","603,212",13,"107,943",0.1518,0.9999,5.5876
2,0.084854,0.096733,"1,891",10,0.0053,"4,289","601,321",23,"107,933",0.1522,0.9998,5.5701
3,0.096740,0.100600,867,10,0.0114,"5,156","600,454",33,"107,923",0.1524,0.9997,5.5620
4,0.100603,0.104263,919,10,0.0108,"6,075","599,535",43,"107,913",0.1525,0.9996,5.5535
5,0.104273,0.108668,"1,241",10,0.0080,"7,316","598,294",53,"107,903",0.1528,0.9995,5.5420
6,0.108676,0.112754,"1,374",10,0.0072,"8,690","596,920",63,"107,893",0.1531,0.9994,5.5293
7,0.112756,0.114550,671,10,0.0147,"9,361","596,249",73,"107,883",0.1532,0.9993,5.5231
8,0.114550,0.117447,"1,151",10,0.0086,"10,512","595,098",83,"107,873",0.1535,0.9992,5.5124
9,0.117449,0.119145,719,10,0.0137,"11,231","594,379",93,"107,863",0.1536,0.9991,5.5058
10,0.119146,0.120980,836,10,0.0118,"12,067","593,543",103,"107,853",0.1538,0.9990,5.4980
11,0.120986,0.123082,998,10,0.0099,"13,065","592,545",113,"107,843",0.1540,0.9990,5.4888
12,0.123085,0.124397,648,10,0.0152,"13,713","591,897",123,"107,833",0.1541,0.9989,5.4828
13,0.124397,0.126059,909,10,0.0109,"14,622","590,988",133,"107,823",0.1543,0.9988,5.4743
14,0.126062,0.128037,"1,133",10,0.0087,"15,755","589,855",143,"107,813",0.1545,0.9987,5.4638
15,0.128039,0.130270,"1,268",10,0.0078,"17,023","588,587",153,"107,803",0.1548,0.9986,5.4521
16,0.130273,0.131842,987,10,0.0100,"18,010","587,600",163,"107,793",0.1550,0.9985,5.4430
17,0.131847,0.132973,694,10,0.0142,"18,704","586,906",173,"107,783",0.1552,0.9984,5.4365
18,0.132973,0.134368,899,10,0.0110,"19,603","586,007",183,"107,773",0.1553,0.9983,5.4282
19,0.134369,0.136114,"1,225",10,0.0081,"20,828","584,782",193,"107,763",0.1556,0.9982,5.4169
20,0.136114,0.137537,967,10,0.0102,"21,795","583,815",203,"107,753",0.1558,0.9981,5.4079
21,0.137541,0.138347,606,10,0.0162,"22,401","583,209",213,"107,743",0.1559,0.9980,5.4023
22,0.138347,0.139169,591,10,0.0166,"22,992","582,618",223,"107,733",0.1561,0.9979,5.3968
23,0.139169,0.140630,"1,132",10,0.0088,"24,124","581,486",233,"107,723",0.1563,0.9978,5.3863
24,0.140631,0.141233,466,10,0.0210,"24,590","581,020",243,"107,713",0.1564,0.9977,5.3820
25,0.141233,0.141829,464,10,0.0211,"25,054","580,556",253,"107,703",0.1565,0.9977,5.3777
26,0.141830,0.142733,723,10,0.0136,"25,777","579,833",263,"107,693",0.1566,0.9976,5.3710
27,0.142733,0.143101,304,10,0.0318,"26,081","579,529",273,"107,683",0.1567,0.9975,5.3682
28,0.143103,0.143762,522,10,0.0188,"26,603","579,007",283,"107,673",0.1568,0.9974,5.3634
29,0.143765,0.144771,830,10,0.0119,"27,433","578,177",293,"107,663",0.1570,0.9973,5.3557
30,0.144771,0.145751,784,10,0.0126,"28,217","577,393",303,"107,653",0.1571,0.9972,5.3484
31,0.145753,0.147211,"1,236",10,0.0080,"29,453","576,157",313,"107,643",0.1574,0.9971,5.3370
32,0.147211,0.147932,653,10,0.0151,"30,106","575,504",323,"107,633",0.1576,0.9970,5.3309
33,0.147932,0.148565,581,10,0.0169,"30,687","574,923",333,"107,623",0.1577,0.9969,5.3255
34,0.148565,0.149203,565,10,0.0174,"31,252","574,358",343,"107,613",0.1578,0.9968,5.3203
35,0.149206,0.149565,305,10,0.0317,"31,557","574,053",353,"107,603",0.1579,0.9967,5.3175
36,0.149565,0.150213,586,10,0.0168,"32,143","573,467",363,"107,593",0.1580,0.9966,5.3120
37,0.150213,0.151021,745,10,0.0132,"32,888","572,722",373,"107,583",0.1581,0.9965,5.3051
38,0.151022,0.151832,771,10,0.0128,"33,659","571,951",383,"107,573",0.1583,0.9965,5.2980
39,0.151832,0.152767,929,10,0.0106,"34,588","571,022",393,"107,563",0.1585,0.9964,5.2894
40,0.152769,0.153169,381,10,0.0256,"34,969","570,641",403,"107,553",0.1586,0.9963,5.2859
41,0.153170,0.153819,633,10,0.0156,"35,602","570,008",413,"107,543",0.1587,0.9962,5.2800
42,0.153819,0.154396,572,10,0.0172,"36,174","569,436",423,"107,533",0.1588,0.9961,5.2747
43,0.154396,0.154875,500,11,0.0215,"36,674","568,936",434,"107,522",0.1589,0.9960,5.2701
