,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.046,0.256,"111,999","5,050",0.0431,"111,999","493,611","5,050","102,906",0.1725,0.9532,4.5723
1,0.256,0.283,"81,521","6,400",0.0728,"193,520","412,090","11,450","96,506",0.1897,0.8939,3.8172
2,0.283,0.302,"64,133","6,400",0.0907,"257,653","347,957","17,850","90,106",0.2057,0.8347,3.2231
3,0.302,0.317,"53,691","6,400",0.1065,"311,344","294,266","24,250","83,706",0.2215,0.7754,2.7258
4,0.317,0.329,"45,103","6,400",0.1243,"356,447","249,163","30,650","77,306",0.2368,0.7161,2.3080
5,0.329,0.341,"39,668","6,400",0.1389,"396,115","209,495","37,050","70,906",0.2529,0.6568,1.9406
6,0.341,0.353,"34,709","6,400",0.1557,"430,824","174,786","43,450","64,506",0.2696,0.5975,1.6190
7,0.353,0.364,"30,604","6,400",0.1730,"461,428","144,182","49,850","58,106",0.2872,0.5382,1.3356
8,0.364,0.376,"26,737","6,400",0.1931,"488,165","117,445","56,250","51,706",0.3057,0.4790,1.0879
9,0.376,0.388,"24,039","6,400",0.2103,"512,204","93,406","62,650","45,306",0.3266,0.4197,0.8652
10,0.388,0.402,"21,121","6,400",0.2325,"533,325","72,285","69,050","38,906",0.3499,0.3604,0.6696
11,0.402,0.416,"18,184","6,400",0.2603,"551,509","54,101","75,450","32,506",0.3753,0.3011,0.5011
12,0.416,0.432,"15,417","6,400",0.2933,"566,926","38,684","81,850","26,106",0.4029,0.2418,0.3583
13,0.432,0.451,"13,359","6,400",0.3239,"580,285","25,325","88,250","19,706",0.4376,0.1825,0.2346
14,0.451,0.474,"10,724","6,400",0.3737,"591,009","14,601","94,650","13,306",0.4768,0.1233,0.1352
15,0.474,0.504,"8,201","6,400",0.4383,"599,210","6,400","101,050","6,906",0.5190,0.0640,0.0593
16,0.504,0.780,"6,400","6,906",0.5190,"605,610",0,"107,956",0,nan,0.0000,0.0000
