,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0488,"24,484",264,0.0107,"24,484","581,126",264,"107,692",0.1563,0.9976,5.3830
1,0.0488,0.1115,"53,782","1,000",0.0183,"78,266","527,344","1,264","106,692",0.1683,0.9883,4.8848
2,0.1115,0.1457,"32,193","1,000",0.0301,"110,459","495,151","2,264","105,692",0.1759,0.9790,4.5866
3,0.1457,0.1728,"25,810","1,000",0.0373,"136,269","469,341","3,264","104,692",0.1824,0.9698,4.3475
4,0.1728,0.1961,"22,317","1,000",0.0429,"158,586","447,024","4,264","103,692",0.1883,0.9605,4.1408
5,0.1961,0.2170,"19,861","1,000",0.0479,"178,447","427,163","5,264","102,692",0.1938,0.9512,3.9568
6,0.2170,0.2371,"18,943","1,000",0.0501,"197,390","408,220","6,264","101,692",0.1994,0.9420,3.7814
7,0.2371,0.2536,"15,488","1,000",0.0607,"212,878","392,732","7,264","100,692",0.2041,0.9327,3.6379
8,0.2536,0.2696,"15,151","1,000",0.0619,"228,029","377,581","8,264","99,692",0.2089,0.9235,3.4975
9,0.2696,0.2839,"12,945","1,000",0.0717,"240,974","364,636","9,264","98,692",0.2130,0.9142,3.3776
10,0.2839,0.2976,"12,386","1,000",0.0747,"253,360","352,250","10,264","97,692",0.2171,0.9049,3.2629
11,0.2976,0.3110,"12,073","1,000",0.0765,"265,433","340,177","11,264","96,692",0.2213,0.8957,3.1511
12,0.3110,0.3235,"11,340","1,000",0.0810,"276,773","328,837","12,264","95,692",0.2254,0.8864,3.0460
13,0.3235,0.3357,"10,842","1,000",0.0844,"287,615","317,995","13,264","94,692",0.2295,0.8771,2.9456
14,0.3357,0.3474,"10,356","1,000",0.0881,"297,971","307,639","14,264","93,692",0.2335,0.8679,2.8497
15,0.3474,0.3587,"9,948","1,000",0.0913,"307,919","297,691","15,264","92,692",0.2374,0.8586,2.7575
16,0.3587,0.3698,"9,595","1,000",0.0944,"317,514","288,096","16,264","91,692",0.2414,0.8493,2.6686
17,0.3698,0.3807,"9,285","1,000",0.0972,"326,799","278,811","17,264","90,692",0.2454,0.8401,2.5826
18,0.3807,0.3910,"8,798","1,000",0.1021,"335,597","270,013","18,264","89,692",0.2493,0.8308,2.5011
19,0.3910,0.4009,"8,346","1,000",0.1070,"343,943","261,667","19,264","88,692",0.2531,0.8216,2.4238
20,0.4009,0.4106,"8,046","1,000",0.1105,"351,989","253,621","20,264","87,692",0.2569,0.8123,2.3493
21,0.4106,0.4206,"8,356","1,000",0.1069,"360,345","245,265","21,264","86,692",0.2612,0.8030,2.2719
22,0.4206,0.4294,"7,163","1,000",0.1225,"367,508","238,102","22,264","85,692",0.2646,0.7938,2.2055
23,0.4294,0.4378,"6,693","1,000",0.1300,"374,201","231,409","23,264","84,692",0.2679,0.7845,2.1435
24,0.4378,0.4464,"6,797","1,000",0.1283,"380,998","224,612","24,264","83,692",0.2715,0.7752,2.0806
25,0.4464,0.4552,"6,765","1,000",0.1288,"387,763","217,847","25,264","82,692",0.2751,0.7660,2.0179
26,0.4552,0.4637,"6,579","1,000",0.1319,"394,342","211,268","26,264","81,692",0.2789,0.7567,1.9570
27,0.4637,0.4721,"6,457","1,000",0.1341,"400,799","204,811","27,264","80,692",0.2826,0.7475,1.8972
28,0.4721,0.4804,"6,277","1,000",0.1374,"407,076","198,534","28,264","79,692",0.2864,0.7382,1.8390
29,0.4804,0.4882,"5,805","1,000",0.1470,"412,881","192,729","29,264","78,692",0.2899,0.7289,1.7853
30,0.4882,0.4959,"5,904","1,000",0.1448,"418,785","186,825","30,264","77,692",0.2937,0.7197,1.7306
31,0.4959,0.5038,"5,678","1,000",0.1497,"424,463","181,147","31,264","76,692",0.2974,0.7104,1.6780
32,0.5038,0.5110,"5,244","1,000",0.1602,"429,707","175,903","32,264","75,692",0.3008,0.7011,1.6294
33,0.5110,0.5180,"4,889","1,000",0.1698,"434,596","171,014","33,264","74,692",0.3040,0.6919,1.5841
34,0.5180,0.5250,"5,111","1,000",0.1636,"439,707","165,903","34,264","73,692",0.3076,0.6826,1.5368
35,0.5250,0.5321,"4,958","1,000",0.1678,"444,665","160,945","35,264","72,692",0.3111,0.6733,1.4908
36,0.5321,0.5391,"4,936","1,000",0.1685,"449,601","156,009","36,264","71,692",0.3149,0.6641,1.4451
37,0.5391,0.5461,"4,765","1,000",0.1735,"454,366","151,244","37,264","70,692",0.3185,0.6548,1.4010
38,0.5461,0.5531,"4,735","1,000",0.1744,"459,101","146,509","38,264","69,692",0.3223,0.6456,1.3571
39,0.5531,0.5596,"4,356","1,000",0.1867,"463,457","142,153","39,264","68,692",0.3258,0.6363,1.3168
40,0.5596,0.5663,"4,398","1,000",0.1853,"467,855","137,755","40,264","67,692",0.3295,0.6270,1.2760
41,0.5663,0.5726,"4,104","1,000",0.1959,"471,959","133,651","41,264","66,692",0.3329,0.6178,1.2380
42,0.5726,0.5790,"4,099","1,000",0.1961,"476,058","129,552","42,264","65,692",0.3365,0.6085,1.2000
43,0.5790,0.5853,"3,977","1,000",0.2009,"480,035","125,575","43,264","64,692",0.3400,0.5992,1.1632
44,0.5853,0.5916,"4,003","1,000",0.1999,"484,038","121,572","44,264","63,692",0.3438,0.5900,1.1261
45,0.5916,0.5976,"3,730","1,000",0.2114,"487,768","117,842","45,264","62,692",0.3473,0.5807,1.0916
46,0.5976,0.6041,"3,986","1,000",0.2006,"491,754","113,856","46,264","61,692",0.3514,0.5715,1.0547
47,0.6041,0.6102,"3,741","1,000",0.2109,"495,495","110,115","47,264","60,692",0.3553,0.5622,1.0200
48,0.6102,0.6163,"3,657","1,000",0.2147,"499,152","106,458","48,264","59,692",0.3593,0.5529,0.9861
49,0.6163,0.6221,"3,435","1,000",0.2255,"502,587","103,023","49,264","58,692",0.3629,0.5437,0.9543
50,0.6221,0.6284,"3,628","1,000",0.2161,"506,215","99,395","50,264","57,692",0.3673,0.5344,0.9207
51,0.6284,0.6344,"3,566","1,000",0.2190,"509,781","95,829","51,264","56,692",0.3717,0.5251,0.8877
52,0.6344,0.6402,"3,284","1,000",0.2334,"513,065","92,545","52,264","55,692",0.3757,0.5159,0.8572
53,0.6402,0.6462,"3,245","1,000",0.2356,"516,310","89,300","53,264","54,692",0.3798,0.5066,0.8272
54,0.6462,0.6520,"3,122","1,000",0.2426,"519,432","86,178","54,264","53,692",0.3839,0.4974,0.7983
55,0.6520,0.6578,"3,181","1,000",0.2392,"522,613","82,997","55,264","52,692",0.3883,0.4881,0.7688
56,0.6578,0.6635,"2,928","1,000",0.2546,"525,541","80,069","56,264","51,692",0.3923,0.4788,0.7417
57,0.6635,0.6693,"3,013","1,000",0.2492,"528,554","77,056","57,264","50,692",0.3968,0.4696,0.7138
58,0.6693,0.6749,"2,738","1,000",0.2675,"531,292","74,318","58,264","49,692",0.4007,0.4603,0.6884
59,0.6749,0.6806,"2,765","1,000",0.2656,"534,057","71,553","59,264","48,692",0.4049,0.4510,0.6628
60,0.6806,0.6865,"2,906","1,000",0.2560,"536,963","68,647","60,264","47,692",0.4099,0.4418,0.6359
61,0.6865,0.6923,"2,852","1,000",0.2596,"539,815","65,795","61,264","46,692",0.4151,0.4325,0.6095
62,0.6923,0.6980,"2,739","1,000",0.2675,"542,554","63,056","62,264","45,692",0.4202,0.4232,0.5841
63,0.6980,0.7036,"2,448","1,000",0.2900,"545,002","60,608","63,264","44,692",0.4244,0.4140,0.5614
