,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0019,0.0587,"4,012",59,0.0145,"4,012","601,598",59,"107,897",0.1521,0.9995,5.5726
1,0.0587,0.1188,"16,767",400,0.0233,"20,779","584,831",459,"107,497",0.1553,0.9957,5.4173
2,0.1188,0.1445,"12,176",400,0.0318,"32,955","572,655",859,"107,097",0.1576,0.9920,5.3045
3,0.1445,0.1638,"10,940",400,0.0353,"43,895","561,715","1,259","106,697",0.1596,0.9883,5.2032
4,0.1638,0.1779,"8,843",400,0.0433,"52,738","552,872","1,659","106,297",0.1613,0.9846,5.1213
5,0.1779,0.1911,"9,194",400,0.0417,"61,932","543,678","2,059","105,897",0.1630,0.9809,5.0361
6,0.1911,0.2021,"8,257",400,0.0462,"70,189","535,421","2,459","105,497",0.1646,0.9772,4.9596
7,0.2021,0.2116,"7,567",400,0.0502,"77,756","527,854","2,859","105,097",0.1660,0.9735,4.8895
8,0.2116,0.2197,"6,726",400,0.0561,"84,482","521,128","3,259","104,697",0.1673,0.9698,4.8272
9,0.2197,0.2275,"6,595",400,0.0572,"91,077","514,533","3,659","104,297",0.1685,0.9661,4.7661
10,0.2275,0.2354,"6,833",400,0.0553,"97,910","507,700","4,059","103,897",0.1699,0.9624,4.7028
11,0.2354,0.2425,"6,514",400,0.0579,"104,424","501,186","4,459","103,497",0.1712,0.9587,4.6425
12,0.2425,0.2496,"6,582",400,0.0573,"111,006","494,604","4,859","103,097",0.1725,0.9550,4.5815
13,0.2496,0.2555,"5,678",400,0.0658,"116,684","488,926","5,259","102,697",0.1736,0.9513,4.5289
14,0.2555,0.2618,"6,329",400,0.0594,"123,013","482,597","5,659","102,297",0.1749,0.9476,4.4703
15,0.2618,0.2673,"5,645",400,0.0662,"128,658","476,952","6,059","101,897",0.1760,0.9439,4.4180
16,0.2673,0.2726,"5,350",400,0.0696,"134,008","471,602","6,459","101,497",0.1771,0.9402,4.3685
17,0.2726,0.2778,"5,668",400,0.0659,"139,676","465,934","6,859","101,097",0.1783,0.9365,4.3160
18,0.2778,0.2826,"5,102",400,0.0727,"144,778","460,832","7,259","100,697",0.1793,0.9328,4.2687
19,0.2826,0.2870,"4,868",400,0.0759,"149,646","455,964","7,659","100,297",0.1803,0.9291,4.2236
20,0.2870,0.2918,"5,350",401,0.0697,"154,996","450,614","8,060","99,896",0.1815,0.9253,4.1741
21,0.2918,0.2965,"5,106",400,0.0726,"160,102","445,508","8,460","99,496",0.1826,0.9216,4.1268
22,0.2965,0.3009,"5,021",400,0.0738,"165,123","440,487","8,860","99,096",0.1837,0.9179,4.0802
23,0.3009,0.3052,"5,019",400,0.0738,"170,142","435,468","9,260","98,696",0.1848,0.9142,4.0338
24,0.3052,0.3092,"4,609",400,0.0799,"174,751","430,859","9,660","98,296",0.1858,0.9105,3.9911
25,0.3092,0.3134,"4,909",400,0.0753,"179,660","425,950","10,060","97,896",0.1869,0.9068,3.9456
26,0.3134,0.3171,"4,310",400,0.0849,"183,970","421,640","10,460","97,496",0.1878,0.9031,3.9057
27,0.3171,0.3209,"4,406",400,0.0832,"188,376","417,234","10,860","97,096",0.1888,0.8994,3.8649
28,0.3209,0.3251,"5,051",400,0.0734,"193,427","412,183","11,260","96,696",0.1900,0.8957,3.8181
29,0.3251,0.3289,"4,549",400,0.0808,"197,976","407,634","11,660","96,296",0.1911,0.8920,3.7759
30,0.3289,0.3327,"4,480",400,0.0820,"202,456","403,154","12,060","95,896",0.1922,0.8883,3.7344
31,0.3327,0.3362,"4,175",400,0.0874,"206,631","398,979","12,460","95,496",0.1931,0.8846,3.6958
32,0.3362,0.3399,"4,564",400,0.0806,"211,195","394,415","12,860","95,096",0.1943,0.8809,3.6535
33,0.3399,0.3433,"4,003",400,0.0908,"215,198","390,412","13,260","94,696",0.1952,0.8772,3.6164
34,0.3433,0.3465,"3,799",400,0.0953,"218,997","386,613","13,660","94,296",0.1961,0.8735,3.5812
35,0.3465,0.3499,"4,111",400,0.0887,"223,108","382,502","14,060","93,896",0.1971,0.8698,3.5431
36,0.3499,0.3532,"4,046",401,0.0902,"227,154","378,456","14,461","93,495",0.1981,0.8660,3.5057
37,0.3532,0.3563,"3,722",400,0.0970,"230,876","374,734","14,861","93,095",0.1990,0.8623,3.4712
38,0.3563,0.3597,"4,233",401,0.0865,"235,109","370,501","15,262","92,694",0.2001,0.8586,3.4320
39,0.3597,0.3630,"4,024",400,0.0904,"239,133","366,477","15,662","92,294",0.2012,0.8549,3.3947
40,0.3630,0.3660,"3,767",400,0.0960,"242,900","362,710","16,062","91,894",0.2021,0.8512,3.3598
41,0.3660,0.3692,"3,991",400,0.0911,"246,891","358,719","16,462","91,494",0.2032,0.8475,3.3228
42,0.3692,0.3721,"3,496",400,0.1027,"250,387","355,223","16,862","91,094",0.2041,0.8438,3.2904
43,0.3721,0.3748,"3,403",400,0.1052,"253,790","351,820","17,262","90,694",0.2050,0.8401,3.2589
44,0.3748,0.3777,"3,624",400,0.0994,"257,414","348,196","17,662","90,294",0.2059,0.8364,3.2254
45,0.3777,0.3807,"3,563",400,0.1009,"260,977","344,633","18,062","89,894",0.2069,0.8327,3.1923
46,0.3807,0.3837,"3,733",400,0.0968,"264,710","340,900","18,462","89,494",0.2079,0.8290,3.1578
47,0.3837,0.3865,"3,508",400,0.1024,"268,218","337,392","18,862","89,094",0.2089,0.8253,3.1253
48,0.3865,0.3891,"3,130",400,0.1133,"271,348","334,262","19,262","88,694",0.2097,0.8216,3.0963
49,0.3891,0.3917,"3,457",400,0.1037,"274,805","330,805","19,662","88,294",0.2107,0.8179,3.0643
50,0.3917,0.3945,"3,374",400,0.1060,"278,179","327,431","20,062","87,894",0.2116,0.8142,3.0330
51,0.3945,0.3971,"3,379",400,0.1058,"281,558","324,052","20,462","87,494",0.2126,0.8105,3.0017
52,0.3971,0.4000,"3,432",400,0.1044,"284,990","320,620","20,862","87,094",0.2136,0.8068,2.9699
53,0.4000,0.4024,"2,990",400,0.1180,"287,980","317,630","21,262","86,694",0.2144,0.8030,2.9422
54,0.4024,0.4050,"3,319",400,0.1076,"291,299","314,311","21,662","86,294",0.2154,0.7993,2.9115
55,0.4050,0.4076,"3,099",400,0.1143,"294,398","311,212","22,062","85,894",0.2163,0.7956,2.8828
56,0.4076,0.4102,"3,200",400,0.1111,"297,598","308,012","22,462","85,494",0.2173,0.7919,2.8531
57,0.4102,0.4128,"3,205",400,0.1110,"300,803","304,807","22,862","85,094",0.2182,0.7882,2.8234
58,0.4128,0.4152,"2,889",400,0.1216,"303,692","301,918","23,262","84,694",0.2191,0.7845,2.7967
59,0.4152,0.4177,"2,998",400,0.1177,"306,690","298,920","23,662","84,294",0.2200,0.7808,2.7689
60,0.4177,0.4202,"3,079",401,0.1152,"309,769","295,841","24,063","83,893",0.2209,0.7771,2.7404
61,0.4202,0.4226,"2,913",400,0.1207,"312,682","292,928","24,463","83,493",0.2218,0.7734,2.7134
62,0.4226,0.4251,"3,057",400,0.1157,"315,739","289,871","24,863","83,093",0.2228,0.7697,2.6851
63,0.4251,0.4276,"3,017",400,0.1171,"318,756","286,854","25,263","82,693",0.2238,0.7660,2.6571
64,0.4276,0.4301,"3,017",400,0.1171,"321,773","283,837","25,663","82,293",0.2248,0.7623,2.6292
65,0.4301,0.4324,"2,750",400,0.1270,"324,523","281,087","26,063","81,893",0.2256,0.7586,2.6037
66,0.4324,0.4349,"2,932",400,0.1200,"327,455","278,155","26,463","81,493",0.2266,0.7549,2.5766
67,0.4349,0.4373,"2,782",400,0.1257,"330,237","275,373","26,863","81,093",0.2275,0.7512,2.5508
68,0.4373,0.4399,"3,154",400,0.1125,"333,391","272,219","27,263","80,693",0.2286,0.7475,2.5216
69,0.4399,0.4423,"2,959",400,0.1191,"336,350","269,260","27,663","80,293",0.2297,0.7438,2.4942
70,0.4423,0.4447,"2,753",400,0.1269,"339,103","266,507","28,063","79,893",0.2306,0.7401,2.4687
71,0.4447,0.4471,"2,914",400,0.1207,"342,017","263,593","28,463","79,493",0.2317,0.7363,2.4417
72,0.4471,0.4494,"2,843",400,0.1233,"344,860","260,750","28,863","79,093",0.2327,0.7326,2.4153
73,0.4495,0.4517,"2,542",400,0.1360,"347,402","258,208","29,263","78,693",0.2336,0.7289,2.3918
74,0.4517,0.4540,"2,779",400,0.1258,"350,181","255,429","29,663","78,293",0.2346,0.7252,2.3660
75,0.4540,0.4562,"2,584",400,0.1340,"352,765","252,845","30,063","77,893",0.2355,0.7215,2.3421
76,0.4562,0.4584,"2,562",400,0.1350,"355,327","250,283","30,463","77,493",0.2364,0.7178,2.3184
77,0.4584,0.4606,"2,525",400,0.1368,"357,852","247,758","30,863","77,093",0.2373,0.7141,2.2950
78,0.4606,0.4626,"2,321",400,0.1470,"360,173","245,437","31,263","76,693",0.2381,0.7104,2.2735
79,0.4626,0.4650,"2,659",400,0.1308,"362,832","242,778","31,663","76,293",0.2391,0.7067,2.2489
80,0.4650,0.4670,"2,467",400,0.1395,"365,299","240,311","32,063","75,893",0.2400,0.7030,2.2260
81,0.4671,0.4693,"2,588",400,0.1339,"367,887","237,723","32,463","75,493",0.2410,0.6993,2.2020
82,0.4693,0.4716,"2,617",400,0.1326,"370,504","235,106","32,863","75,093",0.2421,0.6956,2.1778
