Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
RFC_Hard,713566,458530,248307,193711,248307,80947,248307,248307,
RFC_Medium,713566,212979,152444,127605,152444,59846,152444,152444,
RFC_Easy,713566,32332,31450,30324,31450,21129,31450,31450,
BRFC_alpha_0_5_Hard,713566,3793,3172,2746,3172,1630,3172,3172,
BRFC_alpha_0_5_Medium,713566,37250,30075,27187,30075,12771,30075,30075,
BRFC_alpha_0_5_Easy,713566,136783,121288,112251,121288,53837,121288,121288,
BRFC_alpha_balanced_Hard,713566,5789,4287,3530,4287,2001,4287,4287,
BRFC_alpha_balanced_Medium,713566,119999,77306,65335,77306,27211,77306,77306,
BRFC_alpha_balanced_Easy,713566,143634,122702,112521,122702,54388,122702,122702,
LogReg_alpha_0_5_Hard,713566,706940,169761,89528,169761,80696,169761,169761,
LogReg_alpha_0_5_Medium,713566,654707,230679,153990,230679,85378,230679,230679,
LogReg_alpha_0_5_Easy,713566,144949,126712,116338,126712,54846,126712,126712,
LogReg_alpha_balanced_Hard,713566,706940,169693,89507,169693,80649,169693,169693,
LogReg_alpha_balanced_Medium,713566,654707,230499,153715,230499,85480,230499,230499,
LogReg_alpha_balanced_Easy,713566,144949,126739,116360,126739,54809,126739,126739,
AdaBoost_Hard,713566,705474,172309,91992,172309,80989,172309,172309,
AdaBoost_Medium,713566,640991,237872,163027,237872,85497,237872,237872,
AdaBoost_Easy,713566,144949,126781,116391,126781,54856,126781,126781,
BalBag_Hard,713566,266,240,218,240,152,240,240,
BalBag_Medium,713566,2396,2168,2020,2168,1118,2168,2168,
BalBag_Easy,713566,49640,48485,47128,48485,32527,48485,48485,
EEC_Hard,713566,3093,3061,2982,3061,2508,3061,3061,
EEC_Medium,713566,4475,4362,4183,4362,3313,4362,4362,
EEC_Easy,713566,1453,1454,1448,1454,1407,1454,1454,
RUSBoost_Hard,713566,706938,170038,89677,170038,80824,170038,170038,
RUSBoost_Medium,713566,653560,240154,158552,240154,90498,240154,240154,
RUSBoost_Easy,713566,144949,126657,116196,126657,54960,126657,126657,
KBFC_alpha_0_5_gamma_0_0_Hard,713566,694099,180387,105226,180387,78023,180387,180387,
KBFC_alpha_0_5_gamma_0_0_Medium,713566,640324,241203,167901,241203,84738,241203,241203,
KBFC_alpha_0_5_gamma_0_0_Easy,713566,144031,126324,116064,126324,54657,126324,126324,
KBFC_alpha_balanced_gamma_0_0_Hard,713566,695119,177944,102638,177944,78503,177944,177944,
KBFC_alpha_balanced_gamma_0_0_Medium,713566,640517,240438,167268,240438,85035,240438,240438,
KBFC_alpha_balanced_gamma_0_0_Easy,713566,143896,126130,115948,126130,54664,126130,126130,
KBFC_alpha_0_5_gamma_1_0_Hard,713566,689866,184847,110425,184847,78390,184847,184847,
KBFC_alpha_0_5_gamma_1_0_Medium,713566,632673,246789,174982,246789,85041,246789,246789,
KBFC_alpha_0_5_gamma_1_0_Easy,713566,143498,125922,115724,125922,54588,125922,125922,
KBFC_alpha_0_5_gamma_2_0_Hard,713566,680575,194635,121972,194635,78717,194635,194635,
KBFC_alpha_0_5_gamma_2_0_Medium,713566,622336,253957,183878,253957,85420,253957,253957,
KBFC_alpha_0_5_gamma_2_0_Easy,713566,142607,125388,115325,125388,54500,125388,125388,
