,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0364,0.0527,"14,502",683,0.0450,"14,502","591,108",683,"107,273",0.1536,0.9937,5.4755
1,0.0527,0.0584,"28,856","1,600",0.0525,"43,358","562,252","2,283","105,673",0.1582,0.9789,5.2082
2,0.0584,0.0628,"26,183","1,601",0.0576,"69,541","536,069","3,884","104,072",0.1626,0.9640,4.9656
3,0.0628,0.0680,"23,610","1,605",0.0637,"93,151","512,459","5,489","102,467",0.1666,0.9492,4.7469
4,0.0680,0.0766,"21,444","1,600",0.0694,"114,595","491,015","7,089","100,867",0.1704,0.9343,4.5483
5,0.0766,0.0865,"16,911","1,601",0.0865,"131,506","474,104","8,690","99,266",0.1731,0.9195,4.3916
6,0.0865,0.0926,"14,941","1,601",0.0968,"146,447","459,163","10,291","97,665",0.1754,0.9047,4.2532
7,0.0926,0.0976,"15,096","1,601",0.0959,"161,543","444,067","11,892","96,064",0.1779,0.8898,4.1134
8,0.0976,0.1019,"15,261","1,601",0.0949,"176,804","428,806","13,493","94,463",0.1805,0.8750,3.9720
9,0.1019,0.1055,"13,463","1,600",0.1062,"190,267","415,343","15,093","92,863",0.1827,0.8602,3.8473
10,0.1055,0.1094,"13,344","1,600",0.1071,"203,611","401,999","16,693","91,263",0.1850,0.8454,3.7237
11,0.1094,0.1128,"12,677","1,602",0.1122,"216,288","389,322","18,295","89,661",0.1872,0.8305,3.6063
12,0.1128,0.1161,"12,509","1,600",0.1134,"228,797","376,813","19,895","88,061",0.1894,0.8157,3.4904
13,0.1161,0.1192,"11,965","1,600",0.1180,"240,762","364,848","21,495","86,461",0.1916,0.8009,3.3796
14,0.1192,0.1221,"11,375","1,600",0.1233,"252,137","353,473","23,095","84,861",0.1936,0.7861,3.2742
15,0.1221,0.1249,"10,767","1,602",0.1295,"262,904","342,706","24,697","83,259",0.1955,0.7712,3.1745
16,0.1249,0.1274,"10,799","1,600",0.1290,"273,703","331,907","26,297","81,659",0.1975,0.7564,3.0745
17,0.1274,0.1301,"10,809","1,600",0.1289,"284,512","321,098","27,897","80,059",0.1996,0.7416,2.9743
18,0.1301,0.1328,"10,288","1,600",0.1346,"294,800","310,810","29,497","78,459",0.2016,0.7268,2.8790
19,0.1328,0.1355,"10,567","1,600",0.1315,"305,367","300,243","31,097","76,859",0.2038,0.7119,2.7812
20,0.1355,0.1382,"9,991","1,604",0.1383,"315,358","290,252","32,701","75,255",0.2059,0.6971,2.6886
21,0.1382,0.1410,"10,243","1,605",0.1355,"325,601","280,009","34,306","73,650",0.2083,0.6822,2.5937
22,0.1410,0.1437,"9,509","1,606",0.1445,"335,110","270,500","35,912","72,044",0.2103,0.6673,2.5057
23,0.1437,0.1464,"9,172","1,600",0.1485,"344,282","261,328","37,512","70,444",0.2123,0.6525,2.4207
