,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0036,0.0173,"9,123",97,0.0105,"9,123","596,487",97,"107,859",0.1531,0.9991,5.5253
1,0.0173,0.0334,"46,196","1,000",0.0212,"55,319","550,291","1,097","106,859",0.1626,0.9898,5.0974
2,0.0334,0.0415,"31,146","1,000",0.0311,"86,465","519,145","2,097","105,859",0.1694,0.9806,4.8089
3,0.0415,0.0478,"24,731","1,000",0.0389,"111,196","494,414","3,097","104,859",0.1750,0.9713,4.5798
4,0.0478,0.0534,"22,647","1,000",0.0423,"133,843","471,767","4,097","103,859",0.1804,0.9620,4.3700
5,0.0534,0.0580,"18,401","1,000",0.0515,"152,244","453,366","5,097","102,859",0.1849,0.9528,4.1995
6,0.0580,0.0623,"17,098","1,000",0.0553,"169,342","436,268","6,097","101,859",0.1893,0.9435,4.0412
7,0.0623,0.0663,"15,530","1,000",0.0605,"184,872","420,738","7,097","100,859",0.1934,0.9343,3.8973
8,0.0663,0.0702,"14,763","1,000",0.0634,"199,635","405,975","8,097","99,859",0.1974,0.9250,3.7606
9,0.0702,0.0738,"13,426","1,000",0.0693,"213,061","392,549","9,097","98,859",0.2012,0.9157,3.6362
10,0.0738,0.0773,"12,799","1,000",0.0725,"225,860","379,750","10,097","97,859",0.2049,0.9065,3.5176
11,0.0773,0.0809,"12,895","1,000",0.0720,"238,755","366,855","11,097","96,859",0.2089,0.8972,3.3982
12,0.0809,0.0841,"11,173","1,000",0.0821,"249,928","355,682","12,097","95,859",0.2123,0.8879,3.2947
13,0.0841,0.0873,"10,613","1,000",0.0861,"260,541","345,069","13,097","94,859",0.2156,0.8787,3.1964
14,0.0873,0.0904,"10,152","1,000",0.0897,"270,693","334,917","14,097","93,859",0.2189,0.8694,3.1023
15,0.0904,0.0935,"10,122","1,000",0.0899,"280,815","324,795","15,097","92,859",0.2223,0.8602,3.0086
16,0.0935,0.0966,"9,517","1,000",0.0951,"290,332","315,278","16,097","91,859",0.2256,0.8509,2.9204
17,0.0966,0.0996,"8,953","1,000",0.1005,"299,285","306,325","17,097","90,859",0.2288,0.8416,2.8375
18,0.0996,0.1025,"8,330","1,000",0.1072,"307,615","297,995","18,097","89,859",0.2317,0.8324,2.7603
19,0.1025,0.1054,"8,340","1,000",0.1071,"315,955","289,655","19,097","88,859",0.2348,0.8231,2.6831
20,0.1054,0.1084,"8,347","1,000",0.1070,"324,302","281,308","20,097","87,859",0.2380,0.8138,2.6058
21,0.1084,0.1112,"7,550","1,000",0.1170,"331,852","273,758","21,097","86,859",0.2409,0.8046,2.5358
22,0.1112,0.1141,"7,825","1,000",0.1133,"339,677","265,933","22,097","85,859",0.2441,0.7953,2.4633
23,0.1141,0.1170,"7,217","1,000",0.1217,"346,894","258,716","23,097","84,859",0.2470,0.7861,2.3965
24,0.1170,0.1199,"7,049","1,000",0.1242,"353,943","251,667","24,097","83,859",0.2499,0.7768,2.3312
25,0.1199,0.1226,"6,769","1,000",0.1287,"360,712","244,898","25,097","82,859",0.2528,0.7675,2.2685
26,0.1226,0.1256,"6,917","1,000",0.1263,"367,629","237,981","26,097","81,859",0.2559,0.7583,2.2044
27,0.1256,0.1287,"6,959","1,000",0.1256,"374,588","231,022","27,097","80,859",0.2593,0.7490,2.1400
28,0.1287,0.1317,"6,548","1,000",0.1325,"381,136","224,474","28,097","79,859",0.2624,0.7397,2.0793
29,0.1317,0.1345,"6,139","1,000",0.1401,"387,275","218,335","29,097","78,859",0.2653,0.7305,2.0224
30,0.1345,0.1374,"6,237","1,000",0.1382,"393,512","212,098","30,097","77,859",0.2685,0.7212,1.9647
31,0.1374,0.1403,"5,897","1,000",0.1450,"399,409","206,201","31,097","76,859",0.2715,0.7119,1.9100
32,0.1403,0.1432,"5,911","1,000",0.1447,"405,320","200,290","32,097","75,859",0.2747,0.7027,1.8553
33,0.1432,0.1462,"5,624","1,000",0.1510,"410,944","194,666","33,097","74,859",0.2777,0.6934,1.8032
34,0.1462,0.1492,"5,533","1,000",0.1531,"416,477","189,133","34,097","73,859",0.2808,0.6842,1.7519
35,0.1492,0.1524,"5,712","1,000",0.1490,"422,189","183,421","35,097","72,859",0.2843,0.6749,1.6990
36,0.1524,0.1554,"5,138","1,000",0.1629,"427,327","178,283","36,097","71,859",0.2873,0.6656,1.6514
37,0.1554,0.1585,"5,306","1,000",0.1586,"432,633","172,977","37,097","70,859",0.2906,0.6564,1.6023
38,0.1585,0.1615,"4,730","1,000",0.1745,"437,363","168,247","38,097","69,859",0.2934,0.6471,1.5585
39,0.1615,0.1644,"4,487","1,000",0.1822,"441,850","163,760","39,097","68,859",0.2960,0.6378,1.5169
40,0.1644,0.1674,"4,687","1,000",0.1758,"446,537","159,073","40,097","67,859",0.2990,0.6286,1.4735
41,0.1674,0.1704,"4,573","1,000",0.1794,"451,110","154,500","41,097","66,859",0.3020,0.6193,1.4311
42,0.1704,0.1737,"4,722","1,000",0.1748,"455,832","149,778","42,097","65,859",0.3054,0.6101,1.3874
43,0.1737,0.1769,"4,444","1,000",0.1837,"460,276","145,334","43,097","64,859",0.3086,0.6008,1.3462
