,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0099,0.0397,"22,232",684,0.0298,"22,232","583,378",684,"107,272",0.1553,0.9937,5.4038
1,0.0397,0.0479,"23,758","1,000",0.0404,"45,990","559,620","1,684","106,272",0.1596,0.9844,5.1838
2,0.0479,0.0537,"18,920","1,000",0.0502,"64,910","540,700","2,684","105,272",0.1630,0.9751,5.0085
3,0.0537,0.0590,"18,000","1,000",0.0526,"82,910","522,700","3,684","104,272",0.1663,0.9659,4.8418
4,0.0590,0.0634,"15,459","1,000",0.0608,"98,369","507,241","4,684","103,272",0.1692,0.9566,4.6986
5,0.0634,0.0675,"15,039","1,000",0.0623,"113,408","492,202","5,684","102,272",0.1720,0.9473,4.5593
6,0.0675,0.0713,"13,717","1,000",0.0679,"127,125","478,485","6,684","101,272",0.1747,0.9381,4.4322
7,0.0713,0.0747,"12,445","1,000",0.0744,"139,570","466,040","7,684","100,272",0.1771,0.9288,4.3169
8,0.0747,0.0781,"12,538","1,000",0.0739,"152,108","453,502","8,684","99,272",0.1796,0.9196,4.2008
9,0.0781,0.0815,"12,244","1,000",0.0755,"164,352","441,258","9,684","98,272",0.1821,0.9103,4.0874
10,0.0815,0.0845,"11,438","1,000",0.0804,"175,790","429,820","10,684","97,272",0.1845,0.9010,3.9814
11,0.0845,0.0873,"10,279","1,000",0.0887,"186,069","419,541","11,684","96,272",0.1866,0.8918,3.8862
12,0.0873,0.0903,"11,545","1,000",0.0797,"197,614","407,996","12,684","95,272",0.1893,0.8825,3.7793
13,0.0903,0.0929,"9,798","1,000",0.0926,"207,412","398,198","13,684","94,272",0.1914,0.8732,3.6885
14,0.0929,0.0956,"9,735","1,000",0.0932,"217,147","388,463","14,684","93,272",0.1936,0.8640,3.5983
15,0.0956,0.0982,"9,607","1,000",0.0943,"226,754","378,856","15,684","92,272",0.1959,0.8547,3.5094
16,0.0982,0.1007,"9,496","1,000",0.0953,"236,250","369,360","16,684","91,272",0.1981,0.8455,3.4214
17,0.1007,0.1031,"8,824","1,000",0.1018,"245,074","360,536","17,684","90,272",0.2002,0.8362,3.3397
18,0.1031,0.1055,"8,829","1,000",0.1017,"253,903","351,707","18,684","89,272",0.2024,0.8269,3.2579
19,0.1055,0.1077,"8,196","1,000",0.1087,"262,099","343,511","19,684","88,272",0.2044,0.8177,3.1820
20,0.1077,0.1101,"8,720","1,000",0.1029,"270,819","334,791","20,684","87,272",0.2068,0.8084,3.1012
21,0.1101,0.1123,"7,842","1,000",0.1131,"278,661","326,949","21,684","86,272",0.2088,0.7991,3.0285
22,0.1123,0.1144,"7,599","1,000",0.1163,"286,260","319,350","22,684","85,272",0.2107,0.7899,2.9581
23,0.1144,0.1166,"7,895","1,000",0.1124,"294,155","311,455","23,684","84,272",0.2130,0.7806,2.8850
24,0.1166,0.1189,"7,782","1,000",0.1139,"301,937","303,673","24,684","83,272",0.2152,0.7714,2.8129
25,0.1189,0.1209,"7,150","1,000",0.1227,"309,087","296,523","25,684","82,272",0.2172,0.7621,2.7467
26,0.1209,0.1230,"6,791","1,000",0.1284,"315,878","289,732","26,684","81,272",0.2191,0.7528,2.6838
27,0.1230,0.1251,"7,170","1,000",0.1224,"323,048","282,562","27,684","80,272",0.2212,0.7436,2.6174
28,0.1251,0.1273,"7,134","1,000",0.1229,"330,182","275,428","28,684","79,272",0.2235,0.7343,2.5513
29,0.1273,0.1294,"6,745","1,000",0.1291,"336,927","268,683","29,684","78,272",0.2256,0.7250,2.4888
30,0.1294,0.1315,"6,535","1,000",0.1327,"343,462","262,148","30,684","77,272",0.2277,0.7158,2.4283
31,0.1315,0.1336,"6,756","1,000",0.1289,"350,218","255,392","31,684","76,272",0.2300,0.7065,2.3657
32,0.1337,0.1357,"5,955","1,000",0.1438,"356,173","249,437","32,684","75,272",0.2318,0.6972,2.3105
33,0.1357,0.1378,"6,355","1,000",0.1360,"362,528","243,082","33,684","74,272",0.2340,0.6880,2.2517
34,0.1378,0.1399,"6,367","1,000",0.1357,"368,895","236,715","34,684","73,272",0.2364,0.6787,2.1927
35,0.1399,0.1421,"6,205","1,000",0.1388,"375,100","230,510","35,684","72,272",0.2387,0.6695,2.1352
36,0.1421,0.1441,"5,808","1,000",0.1469,"380,908","224,702","36,684","71,272",0.2408,0.6602,2.0814
37,0.1441,0.1462,"5,586","1,000",0.1518,"386,494","219,116","37,684","70,272",0.2428,0.6509,2.0297
38,0.1462,0.1483,"5,704","1,000",0.1492,"392,198","213,412","38,684","69,272",0.2451,0.6417,1.9768
39,0.1483,0.1504,"5,480","1,000",0.1543,"397,678","207,932","39,684","68,272",0.2472,0.6324,1.9261
40,0.1504,0.1525,"5,531","1,000",0.1531,"403,209","202,401","40,684","67,272",0.2495,0.6231,1.8748
41,0.1525,0.1545,"5,397","1,000",0.1563,"408,606","197,004","41,684","66,272",0.2517,0.6139,1.8249
42,0.1545,0.1567,"5,201","1,000",0.1613,"413,807","191,803","42,684","65,272",0.2539,0.6046,1.7767
43,0.1567,0.1588,"5,377","1,001",0.1569,"419,184","186,426","43,685","64,271",0.2564,0.5953,1.7269
44,0.1588,0.1610,"4,985","1,000",0.1671,"424,169","181,441","44,685","63,271",0.2586,0.5861,1.6807
45,0.1610,0.1633,"5,443","1,000",0.1552,"429,612","175,998","45,685","62,271",0.2613,0.5768,1.6303
46,0.1633,0.1655,"4,959","1,000",0.1678,"434,571","171,039","46,685","61,271",0.2637,0.5676,1.5843
47,0.1655,0.1678,"4,893","1,000",0.1697,"439,464","166,146","47,685","60,271",0.2662,0.5583,1.5390
48,0.1678,0.1700,"4,651","1,000",0.1770,"444,115","161,495","48,685","59,271",0.2685,0.5490,1.4959
49,0.1700,0.1722,"4,784","1,000",0.1729,"448,899","156,711","49,685","58,271",0.2711,0.5398,1.4516
50,0.1722,0.1746,"4,864","1,000",0.1705,"453,763","151,847","50,685","57,271",0.2739,0.5305,1.4066
51,0.1746,0.1770,"4,875","1,000",0.1702,"458,638","146,972","51,685","56,271",0.2769,0.5212,1.3614
52,0.1770,0.1793,"4,431","1,000",0.1841,"463,069","142,541","52,685","55,271",0.2794,0.5120,1.3204
53,0.1793,0.1818,"4,339","1,000",0.1873,"467,408","138,202","53,685","54,271",0.2820,0.5027,1.2802
54,0.1818,0.1841,"4,074","1,000",0.1971,"471,482","134,128","54,685","53,271",0.2843,0.4935,1.2424
55,0.1841,0.1865,"3,974","1,000",0.2010,"475,456","130,154","55,685","52,271",0.2865,0.4842,1.2056
56,0.1865,0.1891,"4,323","1,000",0.1879,"479,779","125,831","56,685","51,271",0.2895,0.4749,1.1656
57,0.1891,0.1917,"4,318","1,000",0.1880,"484,097","121,513","57,685","50,271",0.2926,0.4657,1.1256
58,0.1917,0.1943,"3,799","1,000",0.2084,"487,896","117,714","58,685","49,271",0.2951,0.4564,1.0904
59,0.1943,0.1970,"3,919","1,000",0.2033,"491,815","113,795","59,685","48,271",0.2978,0.4471,1.0541
60,0.1970,0.2000,"4,210","1,000",0.1919,"496,025","109,585","60,685","47,271",0.3014,0.4379,1.0151
61,0.2000,0.2027,"3,726","1,000",0.2116,"499,751","105,859","61,685","46,271",0.3042,0.4286,0.9806
62,0.2027,0.2055,"3,737","1,000",0.2111,"503,488","102,122","62,685","45,271",0.3071,0.4193,0.9460
63,0.2055,0.2084,"3,645","1,000",0.2153,"507,133","98,477","63,685","44,271",0.3101,0.4101,0.9122
64,0.2084,0.2114,"3,783","1,000",0.2091,"510,916","94,694","64,685","43,271",0.3136,0.4008,0.8772
65,0.2114,0.2145,"3,577","1,000",0.2185,"514,493","91,117","65,685","42,271",0.3169,0.3916,0.8440
66,0.2145,0.2176,"3,465","1,000",0.2240,"517,958","87,652","66,685","41,271",0.3201,0.3823,0.8119
67,0.2176,0.2209,"3,436","1,000",0.2254,"521,394","84,216","67,685","40,271",0.3235,0.3730,0.7801
68,0.2209,0.2241,"3,341","1,001",0.2305,"524,735","80,875","68,686","39,270",0.3269,0.3638,0.7491
69,0.2241,0.2274,"3,227","1,000",0.2366,"527,962","77,648","69,686","38,270",0.3301,0.3545,0.7193
70,0.2274,0.2311,"3,551","1,000",0.2197,"531,513","74,097","70,686","37,270",0.3347,0.3452,0.6864
71,0.2311,0.2347,"3,131","1,000",0.2421,"534,644","70,966","71,686","36,270",0.3382,0.3360,0.6574
72,0.2347,0.2385,"3,213","1,000",0.2374,"537,857","67,753","72,686","35,270",0.3424,0.3267,0.6276
73,0.2385,0.2422,"3,013","1,000",0.2492,"540,870","64,740","73,686","34,270",0.3461,0.3174,0.5997
74,0.2422,0.2461,"2,856","1,000",0.2593,"543,726","61,884","74,686","33,270",0.3496,0.3082,0.5732
75,0.2461,0.2502,"2,950","1,001",0.2534,"546,676","58,934","75,687","32,269",0.3538,0.2989,0.5459
76,0.2502,0.2547,"2,904","1,000",0.2561,"549,580","56,030","76,687","31,269",0.3582,0.2896,0.5190
77,0.2547,0.2591,"2,802","1,000",0.2630,"552,382","53,228","77,687","30,269",0.3625,0.2804,0.4931
78,0.2591,0.2641,"2,785","1,000",0.2642,"555,167","50,443","78,687","29,269",0.3672,0.2711,0.4673
79,0.2641,0.2692,"2,841","1,000",0.2603,"558,008","47,602","79,687","28,269",0.3726,0.2619,0.4409
80,0.2692,0.2745,"2,617","1,000",0.2765,"560,625","44,985","80,687","27,269",0.3774,0.2526,0.4167
81,0.2745,0.2797,"2,439","1,000",0.2908,"563,064","42,546","81,687","26,269",0.3817,0.2433,0.3941
82,0.2797,0.2854,"2,473","1,000",0.2879,"565,537","40,073","82,687","25,269",0.3867,0.2341,0.3712
83,0.2854,0.2912,"2,392","1,000",0.2948,"567,929","37,681","83,687","24,269",0.3918,0.2248,0.3490
84,0.2912,0.2975,"2,248","1,000",0.3079,"570,177","35,433","84,687","23,269",0.3964,0.2155,0.3282
85,0.2975,0.3040,"2,304","1,000",0.3027,"572,481","33,129","85,687","22,269",0.4020,0.2063,0.3069
86,0.3040,0.3109,"2,065","1,000",0.3263,"574,546","31,064","86,687","21,269",0.4064,0.1970,0.2877
87,0.3109,0.3183,"2,111","1,000",0.3214,"576,657","28,953","87,687","20,269",0.4118,0.1878,0.2682
88,0.3183,0.3258,"1,968","1,000",0.3369,"578,625","26,985","88,687","19,269",0.4166,0.1785,0.2500
89,0.3258,0.3340,"1,959","1,000",0.3380,"580,584","25,026","89,687","18,269",0.4220,0.1692,0.2318
90,0.3340,0.3428,"1,940","1,000",0.3401,"582,524","23,086","90,687","17,269",0.4279,0.1600,0.2138
91,0.3428,0.3527,"2,049","1,001",0.3282,"584,573","21,037","91,688","16,268",0.4361,0.1507,0.1949
92,0.3527,0.3614,"1,571","1,000",0.3890,"586,144","19,466","92,688","15,268",0.4396,0.1414,0.1803
93,0.3614,0.3713,"1,666","1,000",0.3751,"587,810","17,800","93,688","14,268",0.4449,0.1322,0.1649
94,0.3713,0.3821,"1,606","1,000",0.3837,"589,416","16,194","94,688","13,268",0.4503,0.1229,0.1500
95,0.3821,0.3931,"1,531","1,000",0.3951,"590,947","14,663","95,688","12,268",0.4555,0.1136,0.1358
96,0.3931,0.4047,"1,520","1,000",0.3968,"592,467","13,143","96,688","11,268",0.4616,0.1044,0.1217
97,0.4047,0.4172,"1,542","1,000",0.3934,"594,009","11,601","97,688","10,268",0.4695,0.0951,0.1075
98,0.4172,0.4298,"1,385","1,000",0.4193,"595,394","10,216","98,688","9,268",0.4757,0.0858,0.0946
99,0.4298,0.4434,"1,366","1,000",0.4227,"596,760","8,850","99,688","8,268",0.4830,0.0766,0.0820
100,0.4435,0.4574,"1,265","1,000",0.4415,"598,025","7,585","100,688","7,268",0.4893,0.0673,0.0703
101,0.4574,0.4726,"1,262","1,000",0.4421,"599,287","6,323","101,688","6,268",0.4978,0.0581,0.0586
102,0.4726,0.4884,"1,143","1,000",0.4666,"600,430","5,180","102,688","5,268",0.5042,0.0488,0.0480
103,0.4884,0.5056,"1,106","1,001",0.4751,"601,536","4,074","103,689","4,267",0.5116,0.0395,0.0377
104,0.5057,0.5257,"1,052","1,000",0.4873,"602,588","3,022","104,689","3,267",0.5195,0.0303,0.0280
105,0.5257,0.5527,"1,000","1,041",0.5100,"603,588","2,022","105,730","2,226",0.5240,0.0206,0.0187
106,0.5527,0.5892,"1,021","1,000",0.4948,"604,609","1,001","106,730","1,226",0.5505,0.0114,0.0093
107,0.5892,0.8255,"1,001","1,226",0.5505,"605,610",0,"107,956",0,nan,0.0000,0.0000
