,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0099,0,1,0,1,605609,0,107956,5.609776205120605,0.1512910526721462
1,0.0118,0,1,0,2,605608,0,107956,5.609766942087517,0.15129126469384666
2,0.012,0,1,0,3,605607,0,107956,5.60975767905443,0.1512914767161414
3,0.0121,1,0,1,3,605607,1,107955,5.60975767905443,0.15129028731911173
4,0.0124,0,1,0,4,605606,1,107955,5.609748416021342,0.151290499340631
5,0.0125,0,1,0,5,605605,1,107955,5.609739152988254,0.15129071136274455
6,0.0127,0,2,0,7,605603,1,107955,5.609720626922079,0.15129113540875444
7,0.0129,0,1,0,8,605602,1,107955,5.609711363888992,0.1512913474326508
8,0.0131,0,1,0,9,605601,1,107955,5.6097021008559045,0.15129155945714143
9,0.0133,0,1,0,10,605600,1,107955,5.609692837822816,0.1512917714822263
10,0.0135,0,2,0,12,605598,1,107955,5.609674311756642,0.15129219553417897
11,0.014,0,1,0,13,605597,1,107955,5.609665048723554,0.1512924075610467
12,0.0141,0,1,0,14,605596,1,107955,5.6096557856904665,0.15129261958850873
13,0.0144,0,2,0,16,605594,1,107955,5.609637259624291,0.15129304364521567
14,0.0145,0,1,0,17,605593,1,107955,5.609627996591204,0.15129325567446059
15,0.0147,0,1,0,18,605592,1,107955,5.609618733558117,0.1512934677042998
16,0.015,0,1,0,19,605591,1,107955,5.609609470525029,0.1512936797347333
17,0.0151,0,3,0,22,605588,1,107955,5.609581681425766,0.15129431582959962
18,0.0152,0,2,0,24,605586,1,107955,5.609563155359591,0.15129473989581538
19,0.0153,0,1,0,25,605585,1,107955,5.609553892326503,0.15129495192981474
20,0.0154,0,4,0,29,605581,1,107955,5.6095168401941535,0.1512958000717553
21,0.0155,0,1,0,30,605580,1,107955,5.609507577161065,0.15129601210872626
22,0.0156,0,5,0,35,605575,1,107955,5.6094612619956274,0.15129707230249603
23,0.0157,0,1,0,36,605574,1,107955,5.60945199896254,0.15129728434303302
24,0.0158,0,2,0,38,605572,1,107955,5.609433472896365,0.15129770842589
25,0.0159,0,2,0,40,605570,1,107955,5.60941494683019,0.15129813251112434
26,0.016,0,2,0,42,605568,1,107955,5.609396420764015,0.15129855659873612
27,0.0161,0,6,0,48,605562,1,107955,5.60934084256549,0.15129982887583618
28,0.0162,0,3,0,51,605559,1,107955,5.609313053466227,0.1513004650224102
29,0.0163,0,1,0,52,605558,1,107955,5.609303790433139,0.15130067707245698
30,0.0164,0,3,0,55,605555,1,107955,5.6092760013338765,0.1513013132261636
31,0.0165,0,5,0,60,605550,1,107955,5.609229686168439,0.1513023734942292
32,0.0166,0,5,0,65,605545,1,107955,5.6091833710030015,0.15130343377715488
33,0.0167,0,9,0,74,605536,1,107955,5.609100003705214,0.15130534232386952
34,0.0168,1,6,1,80,605530,2,107954,5.609044425506688,0.15130542520925486
35,0.0169,0,9,0,89,605521,2,107954,5.6089610582089,0.1513073338238901
36,0.017,0,3,0,92,605518,2,107954,5.608933269109637,0.15130797003946897
37,0.0171,0,4,0,96,605514,2,107954,5.608896216977287,0.15130881833523016
38,0.0172,0,3,0,99,605511,2,107954,5.608868427878025,0.15130945456329323
39,0.0173,0,3,0,102,605508,2,107954,5.608840638778762,0.15131009079670676
40,0.0174,0,5,0,107,605503,2,107954,5.608794323613324,0.15131115119761948
41,0.0175,0,6,0,113,605497,2,107954,5.608738745414799,0.15131242369833386
42,0.0176,0,9,0,122,605488,2,107954,5.60865537811701,0.15131433248953663
43,0.0177,0,7,0,129,605481,2,107954,5.608590536885398,0.1513158171382116
44,0.0178,0,9,0,138,605472,2,107954,5.60850716958761,0.15131772601503168
45,0.0179,0,1,0,139,605471,2,107954,5.608497906554522,0.1513179381154291
46,0.018,0,5,0,144,605466,2,107954,5.608451591389084,0.1513189986263351
47,0.0181,0,9,0,153,605457,2,107954,5.608368224091296,0.15132090758342667
48,0.0182,2,8,2,161,605449,4,107952,5.608294119826596,0.15132022523097108
49,0.0183,0,9,0,170,605440,4,107952,5.608210752528808,0.15132213425437907
50,0.0184,0,5,0,175,605435,4,107952,5.60816443736337,0.1513231948437524
51,0.0185,1,6,1,181,605429,5,107951,5.608108859164845,0.151323277916398
52,0.0186,0,9,0,190,605420,5,107951,5.608025491867057,0.1513251870345164
53,0.0187,0,3,0,193,605417,5,107951,5.607997702767794,0.15132582341792736
54,0.0188,0,6,0,199,605411,5,107951,5.607942124569269,0.1513270962008069
55,0.0189,0,2,0,201,605409,5,107951,5.607923598503094,0.15132752046652462
56,0.019,1,9,1,210,605400,6,107950,5.607840231205306,0.15132823999439265
57,0.0191,1,9,1,219,605391,7,107949,5.607756863907518,0.1513289595424342
58,0.0192,0,13,0,232,605378,7,107949,5.60763644447738,0.15133171743113608
59,0.0193,1,8,1,240,605370,8,107948,5.607562340212679,0.1513322248982922
60,0.0194,0,15,0,255,605355,8,107948,5.607423394716366,0.15133540725329908
61,0.0195,1,17,1,272,605338,9,107947,5.607265923153878,0.15133782429183285
62,0.0196,0,19,0,291,605319,9,107947,5.607089925525214,0.15134185563310182
63,0.0197,0,20,0,311,605299,9,107947,5.606904664863463,0.15134609938226082
64,0.0198,0,15,0,326,605284,9,107947,5.606765719367149,0.15134928235031847
65,0.0199,0,18,0,344,605266,9,107947,5.606598984771574,0.15135310208871683
66,0.02,0,8,0,352,605258,9,107947,5.606524880506873,0.15135479981211572
67,0.0201,0,14,0,366,605244,9,107947,5.606395198043647,0.15135777091971156
68,0.0202,0,11,0,377,605233,9,107947,5.606293304679684,0.15136010544322612
69,0.0203,0,10,0,387,605223,9,107947,5.606200674348809,0.15136222779982333
70,0.0204,0,14,0,401,605209,9,107947,5.606070991885583,0.15136519919905322
71,0.0205,0,18,0,419,605191,9,107947,5.605904257290007,0.1513690197409197
72,0.0206,0,20,0,439,605171,9,107947,5.605718996628256,0.15137326501364431
73,0.0207,0,14,0,453,605157,9,107947,5.60558931416503,0.1513762368462384
74,0.0208,1,16,1,469,605141,10,107946,5.605441105635629,0.15137844330355202
75,0.0209,0,13,0,482,605128,10,107946,5.605320686205491,0.15138120307289285
76,0.021,0,17,0,499,605111,10,107946,5.605163214643003,0.1513848121538671
77,0.0211,0,11,0,510,605100,10,107946,5.60506132127904,0.15138714753325871
78,0.0212,0,21,0,531,605079,10,107946,5.604866797584201,0.15139160618491637
79,0.0213,0,18,0,549,605061,10,107946,5.604700062988625,0.15139542809537634
80,0.0214,0,20,0,569,605041,10,107946,5.604514802326874,0.15139967488888298
81,0.0215,1,18,1,587,605023,11,107945,5.604348067731298,0.15140230697590915
82,0.0216,0,28,0,615,604995,11,107945,5.604088702804846,0.15140825314893258
83,0.0217,1,16,1,631,604979,12,107944,5.603940494275445,0.15141046087726165
84,0.0218,0,25,0,656,604954,12,107944,5.603708918448257,0.1514157705590421
85,0.0219,0,16,0,672,604938,12,107944,5.603560709918856,0.15141916895082216
86,0.022,1,20,1,692,604918,13,107943,5.603375449257105,0.15142222677352246
87,0.0221,0,18,0,710,604900,13,107943,5.603208714661529,0.1514260503364696
88,0.0222,1,17,1,727,604883,14,107942,5.60305124309904,0.15142847122365236
89,0.0223,1,20,1,747,604863,15,107941,5.602865982437289,0.1514315295649295
90,0.0224,0,12,0,759,604851,15,107941,5.602754826040239,0.15143407894589164
91,0.0225,1,25,1,784,604826,16,107940,5.60252325021305,0.15143819991413732
92,0.0226,0,26,0,810,604800,16,107940,5.602282411352773,0.15144372421921037
93,0.0227,0,12,0,822,604788,16,107940,5.6021712549557225,0.15144627403441424
94,0.0228,1,24,1,846,604764,17,107939,5.601948942161622,0.151450183316192
95,0.0229,0,19,0,865,604745,17,107939,5.601772944532958,0.15145422094504718
96,0.023,0,33,0,898,604712,17,107939,5.601467264441069,0.1514612341805456
97,0.0231,1,29,1,927,604683,18,107938,5.60119863648153,0.151466207142366
98,0.0232,0,29,0,956,604654,18,107938,5.60093000852199,0.15147237128679525
99,0.0233,0,27,0,983,604627,18,107938,5.600679906628627,0.15147811076884213
100,0.0234,1,29,1,1012,604598,19,107937,5.600411278669087,0.15148308504143657
101,0.0235,1,36,1,1048,604562,20,107936,5.600077809477935,0.1514895480408366
102,0.0236,1,20,1,1068,604542,21,107935,5.599892548816184,0.15149260958599364
103,0.0237,1,22,1,1090,604520,22,107934,5.599688762088258,0.15149609659009564
104,0.0238,0,17,0,1107,604503,22,107934,5.5995312905257695,0.1514997115534426
105,0.0239,2,31,2,1138,604472,24,107932,5.599244136500055,0.15150392193193749
106,0.024,0,36,0,1174,604436,24,107932,5.598910667308903,0.1515115782853806
107,0.0241,0,34,0,1208,604402,24,107932,5.598595724183927,0.15151880999643424
108,0.0242,0,34,0,1242,604368,24,107932,5.59828078105895,0.15152604239786607
109,0.0243,2,47,2,1289,604321,26,107930,5.597845418503835,0.15153365878040184
110,0.0244,2,31,2,1320,604290,28,107928,5.5975582644781205,0.15153787183137749
111,0.0245,1,44,1,1364,604246,29,107927,5.597150691022268,0.15154604288564716
112,0.0246,1,38,1,1402,604208,30,107926,5.596798695764941,0.15155293807064402
113,0.0247,1,33,1,1435,604175,31,107925,5.596493015673052,0.15155876983569724
114,0.0248,1,29,1,1464,604146,32,107924,5.596224387713513,0.15156375075484152
115,0.0249,0,31,0,1495,604115,32,107924,5.595937233687799,0.1515703493769302
116,0.025,1,36,1,1531,604079,33,107923,5.595603764496647,0.151576821413423
117,0.0251,0,33,0,1564,604046,33,107923,5.5952980844047575,0.1515838470495204
118,0.0252,2,31,2,1595,604015,35,107921,5.595010930379043,0.15158806409564904
119,0.0253,2,41,2,1636,603974,37,107919,5.594631146022453,0.15159441095782653
120,0.0254,1,37,1,1673,603937,38,107918,5.594288413798214,0.15160109853832593
121,0.0255,2,41,2,1714,603896,40,107916,5.593908629441624,0.1516074469101392
122,0.0256,1,52,1,1766,603844,41,107915,5.593426951721072,0.1516173311472001
123,0.0257,1,50,1,1816,603794,42,107914,5.592963800066694,0.1516267907625037
124,0.0258,3,55,3,1871,603739,45,107911,5.592454333246878,0.1516349329024099
125,0.0259,2,40,2,1911,603699,47,107909,5.592083811923376,0.15164107205090444
126,0.026,1,37,1,1948,603662,48,107908,5.591741079699137,0.15164776480177636
127,0.0261,3,52,3,2000,603610,51,107905,5.591259401978584,0.1516552707954154
128,0.0262,1,61,1,2061,603549,52,107904,5.590694356960243,0.1516670813110634
129,0.0263,0,45,0,2106,603504,52,107904,5.590277520471303,0.15167667498819243
130,0.0264,0,55,0,2161,603449,52,107904,5.589768053651488,0.1516884022419249
