,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0171,0.0808,"8,325",80,0.0095,"8,325","597,285",80,"107,876",0.1530,0.9993,5.5327
1,0.0808,0.1248,"23,870",400,0.0165,"32,195","573,415",480,"107,476",0.1578,0.9956,5.3116
2,0.1248,0.1469,"17,349",400,0.0225,"49,544","556,066",880,"107,076",0.1615,0.9918,5.1509
3,0.1469,0.1620,"13,206",400,0.0294,"62,750","542,860","1,280","106,676",0.1642,0.9881,5.0285
4,0.1620,0.1763,"13,589",400,0.0286,"76,339","529,271","1,680","106,276",0.1672,0.9844,4.9027
5,0.1763,0.1885,"12,127",400,0.0319,"88,466","517,144","2,080","105,876",0.1699,0.9807,4.7903
6,0.1885,0.1991,"10,866",400,0.0355,"99,332","506,278","2,480","105,476",0.1724,0.9770,4.6897
7,0.1991,0.2082,"9,450",400,0.0406,"108,782","496,828","2,880","105,076",0.1746,0.9733,4.6021
8,0.2082,0.2170,"9,373",400,0.0409,"118,155","487,455","3,280","104,676",0.1768,0.9696,4.5153
9,0.2170,0.2254,"9,061",400,0.0423,"127,216","478,394","3,680","104,276",0.1790,0.9659,4.4314
10,0.2254,0.2327,"8,105",400,0.0470,"135,321","470,289","4,080","103,876",0.1809,0.9622,4.3563
11,0.2327,0.2400,"8,063",400,0.0473,"143,384","462,226","4,480","103,476",0.1829,0.9585,4.2816
12,0.2400,0.2464,"7,205",400,0.0526,"150,589","455,021","4,880","103,076",0.1847,0.9548,4.2149
13,0.2464,0.2520,"6,344",400,0.0593,"156,933","448,677","5,280","102,676",0.1862,0.9511,4.1561
14,0.2520,0.2585,"7,437",400,0.0510,"164,370","441,240","5,680","102,276",0.1882,0.9474,4.0872
15,0.2585,0.2643,"6,555",400,0.0575,"170,925","434,685","6,080","101,876",0.1899,0.9437,4.0265
16,0.2643,0.2703,"6,874",400,0.0550,"177,799","427,811","6,480","101,476",0.1917,0.9400,3.9628
17,0.2703,0.2763,"6,770",400,0.0558,"184,569","421,041","6,880","101,076",0.1936,0.9363,3.9001
18,0.2763,0.2808,"5,212",400,0.0713,"189,781","415,829","7,280","100,676",0.1949,0.9326,3.8518
19,0.2808,0.2863,"6,475",400,0.0582,"196,256","409,354","7,680","100,276",0.1968,0.9289,3.7919
20,0.2863,0.2914,"5,934",400,0.0632,"202,190","403,420","8,080","99,876",0.1984,0.9252,3.7369
21,0.2914,0.2963,"5,708",400,0.0655,"207,898","397,712","8,480","99,476",0.2001,0.9214,3.6840
22,0.2963,0.3010,"5,306",400,0.0701,"213,204","392,406","8,880","99,076",0.2016,0.9177,3.6349
23,0.3010,0.3057,"5,544",400,0.0673,"218,748","386,862","9,280","98,676",0.2032,0.9140,3.5835
24,0.3057,0.3100,"4,936",400,0.0750,"223,684","381,926","9,680","98,276",0.2047,0.9103,3.5378
25,0.3100,0.3140,"4,711",400,0.0783,"228,395","377,215","10,080","97,876",0.2060,0.9066,3.4942
26,0.3140,0.3184,"4,936",400,0.0750,"233,331","372,279","10,480","97,476",0.2075,0.9029,3.4484
27,0.3184,0.3229,"5,373",400,0.0693,"238,704","366,906","10,880","97,076",0.2092,0.8992,3.3987
28,0.3229,0.3268,"4,394",400,0.0834,"243,098","362,512","11,280","96,676",0.2105,0.8955,3.3580
29,0.3268,0.3307,"4,311",400,0.0849,"247,409","358,201","11,680","96,276",0.2118,0.8918,3.3180
30,0.3307,0.3349,"4,848",400,0.0762,"252,257","353,353","12,080","95,876",0.2134,0.8881,3.2731
31,0.3349,0.3390,"4,520",400,0.0813,"256,777","348,833","12,480","95,476",0.2149,0.8844,3.2313
32,0.3390,0.3426,"4,001",400,0.0909,"260,778","344,832","12,880","95,076",0.2161,0.8807,3.1942
33,0.3426,0.3461,"4,067",400,0.0895,"264,845","340,765","13,280","94,676",0.2174,0.8770,3.1565
34,0.3461,0.3496,"3,920",400,0.0926,"268,765","336,845","13,680","94,276",0.2187,0.8733,3.1202
35,0.3496,0.3538,"4,863",400,0.0760,"273,628","331,982","14,080","93,876",0.2204,0.8696,3.0752
36,0.3538,0.3571,"3,672",400,0.0982,"277,300","328,310","14,480","93,476",0.2216,0.8659,3.0411
37,0.3571,0.3607,"4,049",400,0.0899,"281,349","324,261","14,880","93,076",0.2230,0.8622,3.0036
38,0.3607,0.3641,"3,650",400,0.0988,"284,999","320,611","15,280","92,676",0.2242,0.8585,2.9698
39,0.3641,0.3673,"3,616",400,0.0996,"288,615","316,995","15,680","92,276",0.2255,0.8548,2.9363
40,0.3673,0.3709,"3,874",400,0.0936,"292,489","313,121","16,080","91,876",0.2269,0.8511,2.9005
41,0.3709,0.3743,"3,849",400,0.0941,"296,338","309,272","16,480","91,476",0.2283,0.8473,2.8648
42,0.3743,0.3774,"3,345",400,0.1068,"299,683","305,927","16,880","91,076",0.2294,0.8436,2.8338
43,0.3774,0.3810,"3,991",400,0.0911,"303,674","301,936","17,280","90,676",0.2310,0.8399,2.7968
44,0.3810,0.3841,"3,372",400,0.1060,"307,046","298,564","17,680","90,276",0.2322,0.8362,2.7656
45,0.3841,0.3872,"3,442",400,0.1041,"310,488","295,122","18,080","89,876",0.2334,0.8325,2.7337
46,0.3872,0.3903,"3,324",400,0.1074,"313,812","291,798","18,480","89,476",0.2347,0.8288,2.7029
47,0.3903,0.3931,"2,889",400,0.1216,"316,701","288,909","18,880","89,076",0.2357,0.8251,2.6762
48,0.3931,0.3962,"3,445",400,0.1040,"320,146","285,464","19,280","88,676",0.2370,0.8214,2.6443
49,0.3962,0.3992,"3,091",400,0.1146,"323,237","282,373","19,680","88,276",0.2382,0.8177,2.6156
50,0.3992,0.4022,"3,206",400,0.1109,"326,443","279,167","20,080","87,876",0.2394,0.8140,2.5859
51,0.4022,0.4056,"3,696",400,0.0977,"330,139","275,471","20,480","87,476",0.2410,0.8103,2.5517
52,0.4056,0.4085,"2,903",400,0.1211,"333,042","272,568","20,880","87,076",0.2421,0.8066,2.5248
53,0.4085,0.4114,"3,018",400,0.1170,"336,060","269,550","21,280","86,676",0.2433,0.8029,2.4969
54,0.4114,0.4141,"2,857",400,0.1228,"338,917","266,693","21,680","86,276",0.2444,0.7992,2.4704
55,0.4141,0.4171,"3,101",400,0.1143,"342,018","263,592","22,080","85,876",0.2457,0.7955,2.4417
56,0.4171,0.4200,"2,861",400,0.1227,"344,879","260,731","22,480","85,476",0.2469,0.7918,2.4152
57,0.4200,0.4229,"2,962",400,0.1190,"347,841","257,769","22,880","85,076",0.2481,0.7881,2.3877
58,0.4229,0.4258,"3,028",400,0.1167,"350,869","254,741","23,280","84,676",0.2495,0.7844,2.3597
59,0.4258,0.4284,"2,621",400,0.1324,"353,490","252,120","23,680","84,276",0.2505,0.7807,2.3354
60,0.4284,0.4309,"2,511",400,0.1374,"356,001","249,609","24,080","83,876",0.2515,0.7769,2.3121
61,0.4309,0.4339,"3,037",400,0.1164,"359,038","246,572","24,480","83,476",0.2529,0.7732,2.2840
62,0.4339,0.4364,"2,443",400,0.1407,"361,481","244,129","24,880","83,076",0.2539,0.7695,2.2614
63,0.4364,0.4391,"2,679",400,0.1299,"364,160","241,450","25,280","82,676",0.2551,0.7658,2.2366
64,0.4391,0.4418,"2,599",400,0.1334,"366,759","238,851","25,680","82,276",0.2562,0.7621,2.2125
65,0.4418,0.4446,"2,726",400,0.1280,"369,485","236,125","26,080","81,876",0.2575,0.7584,2.1872
66,0.4446,0.4474,"2,666",400,0.1305,"372,151","233,459","26,480","81,476",0.2587,0.7547,2.1625
67,0.4474,0.4503,"2,916",400,0.1206,"375,067","230,543","26,880","81,076",0.2602,0.7510,2.1355
68,0.4503,0.4530,"2,693",400,0.1293,"377,760","227,850","27,280","80,676",0.2615,0.7473,2.1106
69,0.4530,0.4557,"2,556",400,0.1353,"380,316","225,294","27,680","80,276",0.2627,0.7436,2.0869
70,0.4557,0.4583,"2,524",400,0.1368,"382,840","222,770","28,080","79,876",0.2639,0.7399,2.0635
71,0.4583,0.4610,"2,567",400,0.1348,"385,407","220,203","28,480","79,476",0.2652,0.7362,2.0397
72,0.4610,0.4636,"2,550",400,0.1356,"387,957","217,653","28,880","79,076",0.2665,0.7325,2.0161
73,0.4636,0.4661,"2,331",400,0.1465,"390,288","215,322","29,280","78,676",0.2676,0.7288,1.9945
74,0.4661,0.4685,"2,229",400,0.1521,"392,517","213,093","29,680","78,276",0.2686,0.7251,1.9739
75,0.4685,0.4709,"2,235",400,0.1518,"394,752","210,858","30,080","77,876",0.2697,0.7214,1.9532
76,0.4709,0.4737,"2,626",400,0.1322,"397,378","208,232","30,480","77,476",0.2712,0.7177,1.9289
77,0.4737,0.4762,"2,356",400,0.1451,"399,734","205,876","30,880","77,076",0.2724,0.7140,1.9070
78,0.4762,0.4786,"2,240",400,0.1515,"401,974","203,636","31,280","76,676",0.2735,0.7103,1.8863
79,0.4786,0.4810,"2,211",400,0.1532,"404,185","201,425","31,680","76,276",0.2747,0.7065,1.8658
80,0.4810,0.4837,"2,503",400,0.1378,"406,688","198,922","32,080","75,876",0.2761,0.7028,1.8426
81,0.4837,0.4862,"2,284",400,0.1490,"408,972","196,638","32,480","75,476",0.2774,0.6991,1.8215
82,0.4862,0.4885,"2,136",400,0.1577,"411,108","194,502","32,880","75,076",0.2785,0.6954,1.8017
83,0.4885,0.4912,"2,307",400,0.1478,"413,415","192,195","33,280","74,676",0.2798,0.6917,1.7803
84,0.4912,0.4936,"2,170",400,0.1556,"415,585","190,025","33,680","74,276",0.2810,0.6880,1.7602
85,0.4936,0.4961,"2,190",400,0.1544,"417,775","187,835","34,080","73,876",0.2823,0.6843,1.7399
86,0.4961,0.4986,"2,109",400,0.1594,"419,884","185,726","34,480","73,476",0.2835,0.6806,1.7204
87,0.4986,0.5009,"2,144",400,0.1572,"422,028","183,582","34,880","73,076",0.2847,0.6769,1.7005
88,0.5009,0.5033,"2,160",400,0.1562,"424,188","181,422","35,280","72,676",0.2860,0.6732,1.6805
89,0.5033,0.5057,"2,101",400,0.1599,"426,289","179,321","35,680","72,276",0.2873,0.6695,1.6611
90,0.5057,0.5079,"1,913",400,0.1729,"428,202","177,408","36,080","71,876",0.2883,0.6658,1.6433
91,0.5079,0.5104,"2,071",400,0.1619,"430,273","175,337","36,480","71,476",0.2896,0.6621,1.6242
92,0.5104,0.5127,"1,928",400,0.1718,"432,201","173,409","36,880","71,076",0.2907,0.6584,1.6063
93,0.5127,0.5149,"1,891",400,0.1746,"434,092","171,518","37,280","70,676",0.2918,0.6547,1.5888
94,0.5149,0.5172,"1,991",400,0.1673,"436,083","169,527","37,680","70,276",0.2931,0.6510,1.5703
95,0.5172,0.5197,"2,029",400,0.1647,"438,112","167,498","38,080","69,876",0.2944,0.6473,1.5515
96,0.5197,0.5220,"1,875",400,0.1758,"439,987","165,623","38,480","69,476",0.2955,0.6436,1.5342
97,0.5220,0.5243,"1,879",400,0.1755,"441,866","163,744","38,880","69,076",0.2967,0.6399,1.5168
98,0.5243,0.5268,"1,971",400,0.1687,"443,837","161,773","39,280","68,676",0.2980,0.6361,1.4985
99,0.5268,0.5289,"1,658",400,0.1944,"445,495","160,115","39,680","68,276",0.2989,0.6324,1.4832
100,0.5289,0.5311,"1,804",400,0.1815,"447,299","158,311","40,080","67,876",0.3001,0.6287,1.4664
101,0.5311,0.5333,"1,731",400,0.1877,"449,030","156,580","40,480","67,476",0.3012,0.6250,1.4504
102,0.5333,0.5356,"1,993",400,0.1672,"451,023","154,587","40,880","67,076",0.3026,0.6213,1.4319
103,0.5356,0.5381,"2,049",400,0.1633,"453,072","152,538","41,280","66,676",0.3042,0.6176,1.4130
104,0.5381,0.5405,"1,901",400,0.1738,"454,973","150,637","41,680","66,276",0.3055,0.6139,1.3954
105,0.5405,0.5428,"1,704",400,0.1901,"456,677","148,933","42,080","65,876",0.3067,0.6102,1.3796
106,0.5428,0.5450,"1,714",400,0.1892,"458,391","147,219","42,480","65,476",0.3078,0.6065,1.3637
107,0.5450,0.5472,"1,760",400,0.1852,"460,151","145,459","42,880","65,076",0.3091,0.6028,1.3474
108,0.5472,0.5494,"1,748",400,0.1862,"461,899","143,711","43,280","64,676",0.3104,0.5991,1.3312
109,0.5494,0.5517,"1,637",400,0.1964,"463,536","142,074","43,680","64,276",0.3115,0.5954,1.3160
110,0.5517,0.5537,"1,596",400,0.2004,"465,132","140,478","44,080","63,876",0.3126,0.5917,1.3013
111,0.5537,0.5560,"1,741",400,0.1868,"466,873","138,737","44,480","63,476",0.3139,0.5880,1.2851
112,0.5560,0.5582,"1,626",400,0.1974,"468,499","137,111","44,880","63,076",0.3151,0.5843,1.2701
113,0.5582,0.5605,"1,773",400,0.1841,"470,272","135,338","45,280","62,676",0.3165,0.5806,1.2536
114,0.5605,0.5627,"1,555",400,0.2046,"471,827","133,783","45,680","62,276",0.3176,0.5769,1.2392
115,0.5627,0.5646,"1,380",400,0.2247,"473,207","132,403","46,080","61,876",0.3185,0.5732,1.2265
116,0.5646,0.5668,"1,585",400,0.2015,"474,792","130,818","46,480","61,476",0.3197,0.5695,1.2118
117,0.5668,0.5689,"1,522",400,0.2081,"476,314","129,296","46,880","61,076",0.3208,0.5657,1.1977
118,0.5689,0.5710,"1,496",400,0.2110,"477,810","127,800","47,280","60,676",0.3219,0.5620,1.1838
119,0.5710,0.5732,"1,545",400,0.2057,"479,355","126,255","47,680","60,276",0.3231,0.5583,1.1695
120,0.5732,0.5755,"1,654",400,0.1947,"481,009","124,601","48,080","59,876",0.3246,0.5546,1.1542
121,0.5755,0.5778,"1,536",400,0.2066,"482,545","123,065","48,480","59,476",0.3258,0.5509,1.1400
122,0.5778,0.5800,"1,587",400,0.2013,"484,132","121,478","48,880","59,076",0.3272,0.5472,1.1253
123,0.5800,0.5823,"1,722",400,0.1885,"485,854","119,756","49,280","58,676",0.3288,0.5435,1.1093
124,0.5823,0.5845,"1,454",400,0.2157,"487,308","118,302","49,680","58,276",0.3300,0.5398,1.0958
125,0.5845,0.5868,"1,636",400,0.1965,"488,944","116,666","50,080","57,876",0.3316,0.5361,1.0807
126,0.5868,0.5891,"1,608",400,0.1992,"490,552","115,058","50,480","57,476",0.3331,0.5324,1.0658
127,0.5891,0.5912,"1,409",400,0.2211,"491,961","113,649","50,880","57,076",0.3343,0.5287,1.0527
128,0.5912,0.5932,"1,387",400,0.2238,"493,348","112,262","51,280","56,676",0.3355,0.5250,1.0399
129,0.5932,0.5955,"1,464",400,0.2146,"494,812","110,798","51,680","56,276",0.3368,0.5213,1.0263
130,0.5955,0.5976,"1,414",400,0.2205,"496,226","109,384","52,080","55,876",0.3381,0.5176,1.0132
131,0.5976,0.5996,"1,254",400,0.2418,"497,480","108,130","52,480","55,476",0.3391,0.5139,1.0016
132,0.5996,0.6018,"1,453",400,0.2159,"498,933","106,677","52,880","55,076",0.3405,0.5102,0.9882
133,0.6018,0.6038,"1,257",400,0.2414,"500,190","105,420","53,280","54,676",0.3415,0.5065,0.9765
134,0.6038,0.6059,"1,384",400,0.2242,"501,574","104,036","53,680","54,276",0.3428,0.5028,0.9637
135,0.6059,0.6082,"1,469",400,0.2140,"503,043","102,567","54,080","53,876",0.3444,0.4991,0.9501
136,0.6082,0.6104,"1,412",400,0.2208,"504,455","101,155","54,480","53,476",0.3458,0.4953,0.9370
137,0.6104,0.6128,"1,416",400,0.2203,"505,871","99,739","54,880","53,076",0.3473,0.4916,0.9239
138,0.6128,0.6148,"1,235",400,0.2446,"507,106","98,504","55,280","52,676",0.3484,0.4879,0.9124
139,0.6148,0.6168,"1,169",400,0.2549,"508,275","97,335","55,680","52,276",0.3494,0.4842,0.9016
140,0.6168,0.6190,"1,298",400,0.2356,"509,573","96,037","56,080","51,876",0.3507,0.4805,0.8896
141,0.6190,0.6210,"1,221",400,0.2468,"510,794","94,816","56,480","51,476",0.3519,0.4768,0.8783
142,0.6210,0.6234,"1,420",400,0.2198,"512,214","93,396","56,880","51,076",0.3535,0.4731,0.8651
143,0.6234,0.6254,"1,243",400,0.2435,"513,457","92,153","57,280","50,676",0.3548,0.4694,0.8536
144,0.6254,0.6275,"1,195",400,0.2508,"514,652","90,958","57,680","50,276",0.3560,0.4657,0.8425
145,0.6275,0.6297,"1,281",400,0.2380,"515,933","89,677","58,080","49,876",0.3574,0.4620,0.8307
146,0.6297,0.6319,"1,352",400,0.2283,"517,285","88,325","58,480","49,476",0.3590,0.4583,0.8182
147,0.6319,0.6341,"1,269",400,0.2397,"518,554","87,056","58,880","49,076",0.3605,0.4546,0.8064
148,0.6341,0.6362,"1,211",400,0.2483,"519,765","85,845","59,280","48,676",0.3618,0.4509,0.7952
149,0.6362,0.6384,"1,295",400,0.2360,"521,060","84,550","59,680","48,276",0.3635,0.4472,0.7832
150,0.6384,0.6405,"1,198",400,0.2503,"522,258","83,352","60,080","47,876",0.3648,0.4435,0.7721
151,0.6405,0.6426,"1,205",400,0.2492,"523,463","82,147","60,480","47,476",0.3663,0.4398,0.7609
152,0.6426,0.6451,"1,358",400,0.2275,"524,821","80,789","60,880","47,076",0.3682,0.4361,0.7484
153,0.6451,0.6472,"1,157",400,0.2569,"525,978","79,632","61,280","46,676",0.3695,0.4324,0.7376
154,0.6472,0.6492,"1,037",400,0.2784,"527,015","78,595","61,680","46,276",0.3706,0.4287,0.7280
155,0.6492,0.6514,"1,203",400,0.2495,"528,218","77,392","62,080","45,876",0.3722,0.4250,0.7169
156,0.6514,0.6537,"1,150",400,0.2581,"529,368","76,242","62,480","45,476",0.3736,0.4212,0.7062
157,0.6537,0.6558,"1,138",400,0.2601,"530,506","75,104","62,880","45,076",0.3751,0.4175,0.6957
158,0.6558,0.6578,"1,069",400,0.2723,"531,575","74,035","63,280","44,676",0.3763,0.4138,0.6858
159,0.6578,0.6599,"1,068",400,0.2725,"532,643","72,967","63,680","44,276",0.3776,0.4101,0.6759
160,0.6599,0.6621,"1,221",400,0.2468,"533,864","71,746","64,080","43,876",0.3795,0.4064,0.6646
161,0.6621,0.6641,"1,062",400,0.2736,"534,926","70,684","64,480","43,476",0.3808,0.4027,0.6547
162,0.6641,0.6663,"1,153",400,0.2576,"536,079","69,531","64,880","43,076",0.3825,0.3990,0.6441
163,0.6663,0.6683,969,400,0.2922,"537,048","68,562","65,280","42,676",0.3836,0.3953,0.6351
164,0.6683,0.6704,"1,052",400,0.2755,"538,100","67,510","65,680","42,276",0.3851,0.3916,0.6253
165,0.6704,0.6724,"1,101",400,0.2665,"539,201","66,409","66,080","41,876",0.3867,0.3879,0.6151
166,0.6724,0.6747,"1,120",400,0.2632,"540,321","65,289","66,480","41,476",0.3885,0.3842,0.6048
167,0.6747,0.6769,"1,092",400,0.2681,"541,413","64,197","66,880","41,076",0.3902,0.3805,0.5947
168,0.6769,0.6791,"1,008",400,0.2841,"542,421","63,189","67,280","40,676",0.3916,0.3768,0.5853
169,0.6791,0.6812,984,400,0.2890,"543,405","62,205","67,680","40,276",0.3930,0.3731,0.5762
170,0.6812,0.6833,"1,009",400,0.2839,"544,414","61,196","68,080","39,876",0.3945,0.3694,0.5669
171,0.6833,0.6855,"1,009",400,0.2839,"545,423","60,187","68,480","39,476",0.3961,0.3657,0.5575
172,0.6856,0.6877,992,400,0.2874,"546,415","59,195","68,880","39,076",0.3976,0.3620,0.5483
173,0.6877,0.6898,952,400,0.2959,"547,367","58,243","69,280","38,676",0.3991,0.3583,0.5395
174,0.6898,0.6920,"1,048",400,0.2762,"548,415","57,195","69,680","38,276",0.4009,0.3546,0.5298
175,0.6920,0.6942,999,400,0.2859,"549,414","56,196","70,080","37,876",0.4026,0.3508,0.5205
176,0.6942,0.6963,938,400,0.2990,"550,352","55,258","70,480","37,476",0.4041,0.3471,0.5119
177,0.6963,0.6985,931,400,0.3005,"551,283","54,327","70,880","37,076",0.4056,0.3434,0.5032
178,0.6985,0.7006,919,400,0.3033,"552,202","53,408","71,280","36,676",0.4071,0.3397,0.4947
179,0.7006,0.7029,"1,026",400,0.2805,"553,228","52,382","71,680","36,276",0.4092,0.3360,0.4852
180,0.7029,0.7050,892,400,0.3096,"554,120","51,490","72,080","35,876",0.4106,0.3323,0.4770
181,0.7051,0.7073,911,400,0.3051,"555,031","50,579","72,480","35,476",0.4122,0.3286,0.4685
182,0.7073,0.7095,931,400,0.3005,"555,962","49,648","72,880","35,076",0.4140,0.3249,0.4599
183,0.7095,0.7118,962,400,0.2937,"556,924","48,686","73,280","34,676",0.4160,0.3212,0.4510
184,0.7118,0.7138,849,400,0.3203,"557,773","47,837","73,680","34,276",0.4174,0.3175,0.4431
185,0.7138,0.7162,935,400,0.2996,"558,708","46,902","74,080","33,876",0.4194,0.3138,0.4345
186,0.7162,0.7186,893,400,0.3094,"559,601","46,009","74,480","33,476",0.4212,0.3101,0.4262
187,0.7186,0.7209,858,400,0.3180,"560,459","45,151","74,880","33,076",0.4228,0.3064,0.4182
188,0.7209,0.7230,807,400,0.3314,"561,266","44,344","75,280","32,676",0.4243,0.3027,0.4108
189,0.7230,0.7249,779,400,0.3393,"562,045","43,565","75,680","32,276",0.4256,0.2990,0.4035
190,0.7249,0.7270,777,400,0.3398,"562,822","42,788","76,080","31,876",0.4269,0.2953,0.3963
191,0.7271,0.7291,754,400,0.3466,"563,576","42,034","76,480","31,476",0.4282,0.2916,0.3894
192,0.7291,0.7312,762,400,0.3442,"564,338","41,272","76,880","31,076",0.4295,0.2879,0.3823
193,0.7312,0.7336,811,400,0.3303,"565,149","40,461","77,280","30,676",0.4312,0.2842,0.3748
194,0.7336,0.7357,778,400,0.3396,"565,927","39,683","77,680","30,276",0.4328,0.2804,0.3676
195,0.7357,0.7379,848,400,0.3205,"566,775","38,835","78,080","29,876",0.4348,0.2767,0.3597
196,0.7379,0.7401,752,400,0.3472,"567,527","38,083","78,480","29,476",0.4363,0.2730,0.3528
197,0.7401,0.7424,816,400,0.3289,"568,343","37,267","78,880","29,076",0.4383,0.2693,0.3452
198,0.7424,0.7447,818,400,0.3284,"569,161","36,449","79,280","28,676",0.4403,0.2656,0.3376
199,0.7447,0.7469,686,400,0.3683,"569,847","35,763","79,680","28,276",0.4415,0.2619,0.3313
200,0.7469,0.7491,743,400,0.3500,"570,590","35,020","80,080","27,876",0.4432,0.2582,0.3244
201,0.7491,0.7515,759,400,0.3451,"571,349","34,261","80,480","27,476",0.4450,0.2545,0.3174
202,0.7515,0.7539,745,400,0.3493,"572,094","33,516","80,880","27,076",0.4469,0.2508,0.3105
203,0.7539,0.7562,729,400,0.3543,"572,823","32,787","81,280","26,676",0.4486,0.2471,0.3037
204,0.7563,0.7584,652,400,0.3802,"573,475","32,135","81,680","26,276",0.4498,0.2434,0.2977
205,0.7584,0.7606,729,400,0.3543,"574,204","31,406","82,080","25,876",0.4517,0.2397,0.2909
