,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.053564,0.097231,236,3,0.0126,236,"605,374",3,"107,953",0.1513,1.0000,5.6076
1,0.097232,0.100724,77,5,0.0610,313,"605,297",8,"107,948",0.1513,0.9999,5.6069
2,0.100767,0.108738,284,5,0.0173,597,"605,013",13,"107,943",0.1514,0.9999,5.6043
3,0.108738,0.115165,321,5,0.0153,918,"604,692",18,"107,938",0.1515,0.9998,5.6013
4,0.115169,0.119010,262,5,0.0187,"1,180","604,430",23,"107,933",0.1515,0.9998,5.5989
5,0.119020,0.120316,101,5,0.0472,"1,281","604,329",28,"107,928",0.1515,0.9997,5.5979
6,0.120321,0.122708,185,5,0.0263,"1,466","604,144",33,"107,923",0.1516,0.9997,5.5962
7,0.122728,0.125298,238,5,0.0206,"1,704","603,906",38,"107,918",0.1516,0.9996,5.5940
8,0.125300,0.127249,204,5,0.0239,"1,908","603,702",43,"107,913",0.1516,0.9996,5.5921
9,0.127250,0.128666,167,5,0.0291,"2,075","603,535",48,"107,908",0.1517,0.9996,5.5906
10,0.128676,0.130949,296,5,0.0166,"2,371","603,239",53,"107,903",0.1517,0.9995,5.5878
11,0.130950,0.132485,211,5,0.0231,"2,582","603,028",58,"107,898",0.1518,0.9995,5.5859
12,0.132486,0.133283,130,5,0.0370,"2,712","602,898",63,"107,893",0.1518,0.9994,5.5847
13,0.133293,0.133904,74,5,0.0633,"2,786","602,824",68,"107,888",0.1518,0.9994,5.5840
14,0.133906,0.134807,143,5,0.0338,"2,929","602,681",73,"107,883",0.1518,0.9993,5.5827
15,0.134815,0.136017,183,5,0.0266,"3,112","602,498",78,"107,878",0.1519,0.9993,5.5810
16,0.136022,0.136714,120,5,0.0400,"3,232","602,378",83,"107,873",0.1519,0.9992,5.5798
17,0.136718,0.138168,236,5,0.0207,"3,468","602,142",88,"107,868",0.1519,0.9992,5.5777
18,0.138169,0.138963,167,5,0.0291,"3,635","601,975",93,"107,863",0.1520,0.9991,5.5761
19,0.138971,0.139499,84,5,0.0562,"3,719","601,891",98,"107,858",0.1520,0.9991,5.5753
20,0.139502,0.141267,358,5,0.0138,"4,077","601,533",103,"107,853",0.1520,0.9990,5.5720
21,0.141275,0.142447,239,5,0.0205,"4,316","601,294",108,"107,848",0.1521,0.9990,5.5698
22,0.142452,0.143459,250,5,0.0196,"4,566","601,044",113,"107,843",0.1521,0.9990,5.5675
23,0.143464,0.143854,97,5,0.0490,"4,663","600,947",118,"107,838",0.1521,0.9989,5.5666
24,0.143859,0.144216,61,5,0.0758,"4,724","600,886",123,"107,833",0.1522,0.9989,5.5660
25,0.144216,0.144787,132,5,0.0365,"4,856","600,754",128,"107,828",0.1522,0.9988,5.5648
26,0.144788,0.145853,277,5,0.0177,"5,133","600,477",133,"107,823",0.1522,0.9988,5.5622
27,0.145855,0.146676,212,5,0.0230,"5,345","600,265",138,"107,818",0.1523,0.9987,5.5603
28,0.146676,0.147661,222,5,0.0220,"5,567","600,043",143,"107,813",0.1523,0.9987,5.5582
29,0.147662,0.148556,216,5,0.0226,"5,783","599,827",148,"107,808",0.1523,0.9986,5.5562
30,0.148557,0.149092,156,5,0.0311,"5,939","599,671",153,"107,803",0.1524,0.9986,5.5548
31,0.149098,0.149577,139,5,0.0347,"6,078","599,532",158,"107,798",0.1524,0.9985,5.5535
32,0.149581,0.149768,55,5,0.0833,"6,133","599,477",163,"107,793",0.1524,0.9985,5.5530
33,0.149769,0.150337,152,5,0.0318,"6,285","599,325",168,"107,788",0.1524,0.9984,5.5516
34,0.150353,0.151095,202,5,0.0242,"6,487","599,123",173,"107,783",0.1525,0.9984,5.5497
35,0.151098,0.151692,203,5,0.0240,"6,690","598,920",178,"107,778",0.1525,0.9984,5.5478
36,0.151700,0.152319,200,5,0.0244,"6,890","598,720",183,"107,773",0.1525,0.9983,5.5460
37,0.152319,0.152727,144,5,0.0336,"7,034","598,576",188,"107,768",0.1526,0.9983,5.5446
38,0.152729,0.153508,252,5,0.0195,"7,286","598,324",193,"107,763",0.1526,0.9982,5.5423
39,0.153512,0.154453,314,5,0.0157,"7,600","598,010",198,"107,758",0.1527,0.9982,5.5394
40,0.154466,0.154923,160,5,0.0303,"7,760","597,850",203,"107,753",0.1527,0.9981,5.5379
41,0.154926,0.155489,173,5,0.0281,"7,933","597,677",208,"107,748",0.1527,0.9981,5.5363
42,0.155493,0.155843,114,5,0.0420,"8,047","597,563",213,"107,743",0.1528,0.9980,5.5352
43,0.155843,0.156790,342,5,0.0144,"8,389","597,221",218,"107,738",0.1528,0.9980,5.5321
44,0.156792,0.157062,98,5,0.0485,"8,487","597,123",223,"107,733",0.1528,0.9979,5.5312
45,0.157064,0.157425,135,5,0.0357,"8,622","596,988",228,"107,728",0.1529,0.9979,5.5299
46,0.157432,0.157888,175,5,0.0278,"8,797","596,813",233,"107,723",0.1529,0.9978,5.5283
47,0.157892,0.158401,204,5,0.0239,"9,001","596,609",238,"107,718",0.1529,0.9978,5.5264
48,0.158401,0.158683,121,5,0.0397,"9,122","596,488",243,"107,713",0.1530,0.9977,5.5253
49,0.158684,0.158967,112,5,0.0427,"9,234","596,376",248,"107,708",0.1530,0.9977,5.5243
50,0.158968,0.159480,193,5,0.0253,"9,427","596,183",253,"107,703",0.1530,0.9977,5.5225
51,0.159482,0.159871,154,5,0.0314,"9,581","596,029",258,"107,698",0.1530,0.9976,5.5210
52,0.159873,0.160260,170,5,0.0286,"9,751","595,859",263,"107,693",0.1531,0.9976,5.5195
53,0.160264,0.160511,103,5,0.0463,"9,854","595,756",268,"107,688",0.1531,0.9975,5.5185
54,0.160515,0.160657,52,5,0.0877,"9,906","595,704",273,"107,683",0.1531,0.9975,5.5180
55,0.160664,0.161056,142,5,0.0340,"10,048","595,562",278,"107,678",0.1531,0.9974,5.5167
56,0.161057,0.161318,98,5,0.0485,"10,146","595,464",283,"107,673",0.1531,0.9974,5.5158
57,0.161320,0.161614,143,5,0.0338,"10,289","595,321",288,"107,668",0.1532,0.9973,5.5145
58,0.161615,0.161946,132,5,0.0365,"10,421","595,189",293,"107,663",0.1532,0.9973,5.5133
59,0.161948,0.162793,364,5,0.0136,"10,785","594,825",298,"107,658",0.1533,0.9972,5.5099
60,0.162793,0.163028,102,5,0.0467,"10,887","594,723",303,"107,653",0.1533,0.9972,5.5089
61,0.163029,0.163314,110,5,0.0435,"10,997","594,613",308,"107,648",0.1533,0.9971,5.5079
62,0.163316,0.163908,218,5,0.0224,"11,215","594,395",313,"107,643",0.1533,0.9971,5.5059
63,0.163911,0.164221,133,5,0.0362,"11,348","594,262",318,"107,638",0.1534,0.9971,5.5047
