,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.10381,0.10766,"20,521",889,0.0415,"20,521","585,089",889,"107,067",0.1547,0.9918,5.4197
1,0.10771,0.10936,"29,500","1,661",0.0533,"50,021","555,589","2,550","105,406",0.1595,0.9764,5.1464
2,0.10937,0.11133,"24,436","1,671",0.0640,"74,457","531,153","4,221","103,735",0.1634,0.9609,4.9201
3,0.11136,0.11633,"18,263","1,601",0.0806,"92,720","512,890","5,822","102,134",0.1661,0.9461,4.7509
4,0.11633,0.12357,"17,347","1,618",0.0853,"110,067","495,543","7,440","100,516",0.1686,0.9311,4.5902
5,0.12358,0.12595,"13,780","1,603",0.1042,"123,847","481,763","9,043","98,913",0.1703,0.9162,4.4626
6,0.12596,0.12766,"17,019","1,607",0.0863,"140,866","464,744","10,650","97,306",0.1731,0.9013,4.3049
7,0.12768,0.13045,"15,742","1,634",0.0940,"156,608","449,002","12,284","95,672",0.1757,0.8862,4.1591
8,0.13047,0.13631,"14,170","1,615",0.1023,"170,778","434,832","13,899","94,057",0.1778,0.8713,4.0279
9,0.13631,0.13916,"15,218","1,601",0.0952,"185,996","419,614","15,500","92,456",0.1806,0.8564,3.8869
10,0.13916,0.13990,"13,729","1,609",0.1049,"199,725","405,885","17,109","90,847",0.1829,0.8415,3.7597
11,0.13990,0.14113,"13,549","1,606",0.1060,"213,274","392,336","18,715","89,241",0.1853,0.8266,3.6342
12,0.14114,0.14249,"12,342","1,605",0.1151,"225,616","379,994","20,320","87,636",0.1874,0.8118,3.5199
13,0.14249,0.14372,"12,171","1,619",0.1174,"237,787","367,823","21,939","86,017",0.1895,0.7968,3.4072
14,0.14372,0.14447,"13,088","1,701",0.1150,"250,875","354,735","23,640","84,316",0.1920,0.7810,3.2859
15,0.14448,0.14568,"12,646","1,705",0.1188,"263,521","342,089","25,345","82,611",0.1945,0.7652,3.1688
16,0.14568,0.14612,"11,087","1,609",0.1267,"274,608","331,002","26,954","81,002",0.1966,0.7503,3.0661
17,0.14612,0.14645,"10,343","1,627",0.1359,"284,951","320,659","28,581","79,375",0.1984,0.7353,2.9703
18,0.14645,0.14685,"10,701","1,675",0.1353,"295,652","309,958","30,256","77,700",0.2004,0.7197,2.8712
19,0.14685,0.14715,"11,000","1,689",0.1331,"306,652","298,958","31,945","76,011",0.2027,0.7041,2.7693
20,0.14715,0.14825,"10,100","1,600",0.1368,"316,752","288,858","33,545","74,411",0.2048,0.6893,2.6757
21,0.14825,0.14928,"9,265","1,614",0.1484,"326,017","279,593","35,159","72,797",0.2066,0.6743,2.5899
22,0.14928,0.14995,"9,240","1,603",0.1478,"335,257","270,353","36,762","71,194",0.2084,0.6595,2.5043
23,0.14995,0.15071,"9,496","1,601",0.1443,"344,753","260,857","38,363","69,593",0.2106,0.6446,2.4163
24,0.15071,0.15175,"9,241","1,609",0.1483,"353,994","251,616","39,972","67,984",0.2127,0.6297,2.3307
25,0.15175,0.15243,"8,100","1,601",0.1650,"362,094","243,516","41,573","66,383",0.2142,0.6149,2.2557
26,0.15243,0.15291,"9,170","1,664",0.1536,"371,264","234,346","43,237","64,719",0.2164,0.5995,2.1708
27,0.15291,0.15331,"8,529","1,602",0.1581,"379,793","225,817","44,839","63,117",0.2184,0.5847,2.0918
28,0.15332,0.15386,"8,978","1,604",0.1516,"388,771","216,839","46,443","61,513",0.2210,0.5698,2.0086
29,0.15386,0.15460,"10,255","1,737",0.1448,"399,026","206,584","48,180","59,776",0.2244,0.5537,1.9136
30,0.15460,0.15548,"8,073","1,602",0.1656,"407,099","198,511","49,782","58,174",0.2266,0.5389,1.8388
31,0.15548,0.15591,"7,724","1,600",0.1716,"414,823","190,787","51,382","56,574",0.2287,0.5240,1.7673
32,0.15591,0.15635,"7,857","1,610",0.1701,"422,680","182,930","52,992","54,964",0.2310,0.5091,1.6945
33,0.15636,0.15661,"8,322","1,633",0.1640,"431,002","174,608","54,625","53,331",0.2340,0.4940,1.6174
34,0.15661,0.15728,"7,619","1,627",0.1760,"438,621","166,989","56,252","51,704",0.2364,0.4789,1.5468
35,0.15728,0.15807,"7,957","1,615",0.1687,"446,578","159,032","57,867","50,089",0.2395,0.4640,1.4731
36,0.15807,0.15870,"7,614","1,613",0.1748,"454,192","151,418","59,480","48,476",0.2425,0.4490,1.4026
37,0.15871,0.15978,"7,286","1,601",0.1802,"461,478","144,132","61,081","46,875",0.2454,0.4342,1.3351
38,0.15978,0.16051,"6,601","1,620",0.1971,"468,079","137,531","62,701","45,255",0.2476,0.4192,1.2740
39,0.16051,0.16140,"6,726","1,659",0.1979,"474,805","130,805","64,360","43,596",0.2500,0.4038,1.2117
40,0.16140,0.16225,"6,329","1,602",0.2020,"481,134","124,476","65,962","41,994",0.2523,0.3890,1.1530
41,0.16225,0.16385,"6,041","1,617",0.2112,"487,175","118,435","67,579","40,377",0.2542,0.3740,1.0971
42,0.16386,0.16615,"5,988","1,600",0.2109,"493,163","112,447","69,179","38,777",0.2564,0.3592,1.0416
43,0.16616,0.17146,"5,115","1,604",0.2387,"498,278","107,332","70,783","37,173",0.2572,0.3443,0.9942
44,0.17147,0.17619,"4,454","1,617",0.2663,"502,732","102,878","72,400","35,556",0.2568,0.3294,0.9530
45,0.17619,0.18859,"5,518","1,601",0.2249,"508,250","97,360","74,001","33,955",0.2586,0.3145,0.9018
46,0.18859,0.19068,"5,963","1,644",0.2161,"514,213","91,397","75,645","32,311",0.2612,0.2993,0.8466
47,0.19069,0.19218,"5,512","1,627",0.2279,"519,725","85,885","77,272","30,684",0.2632,0.2842,0.7956
48,0.19219,0.19268,"5,736","1,691",0.2277,"525,461","80,149","78,963","28,993",0.2656,0.2686,0.7424
49,0.19268,0.19353,"4,978","1,604",0.2437,"530,439","75,171","80,567","27,389",0.2671,0.2537,0.6963
50,0.19353,0.19422,"4,650","1,601",0.2561,"535,089","70,521","82,168","25,788",0.2678,0.2389,0.6532
51,0.19422,0.19473,"4,711","1,648",0.2592,"539,800","65,810","83,816","24,140",0.2684,0.2236,0.6096
52,0.19473,0.19590,"4,754","1,603",0.2522,"544,554","61,056","85,419","22,537",0.2696,0.2088,0.5656
53,0.19590,0.19642,"4,865","1,601",0.2476,"549,419","56,191","87,020","20,936",0.2714,0.1939,0.5205
54,0.19642,0.19721,"4,959","1,609",0.2450,"554,378","51,232","88,629","19,327",0.2739,0.1790,0.4746
55,0.19721,0.19785,"4,706","1,615",0.2555,"559,084","46,526","90,244","17,712",0.2757,0.1641,0.4310
56,0.19786,0.19809,"5,548","1,646",0.2288,"564,632","40,978","91,890","16,066",0.2816,0.1488,0.3796
57,0.19809,0.19848,"4,821","1,613",0.2507,"569,453","36,157","93,503","14,453",0.2856,0.1339,0.3349
58,0.19848,0.19909,"4,433","1,609",0.2663,"573,886","31,724","95,112","12,844",0.2882,0.1190,0.2939
59,0.19909,0.19986,"4,451","1,609",0.2655,"578,337","27,273","96,721","11,235",0.2918,0.1041,0.2526
60,0.19987,0.20049,"4,292","1,602",0.2718,"582,629","22,981","98,323","9,633",0.2954,0.0892,0.2129
61,0.20049,0.20202,"4,234","1,614",0.2760,"586,863","18,747","99,937","8,019",0.2996,0.0743,0.1737
62,0.20203,0.20354,"4,336","1,611",0.2709,"591,199","14,411","101,548","6,408",0.3078,0.0594,0.1335
63,0.20354,0.20504,"4,045","1,601",0.2836,"595,244","10,366","103,149","4,807",0.3168,0.0445,0.0960
64,0.20504,0.20803,"3,733","1,600",0.3000,"598,977","6,633","104,749","3,207",0.3259,0.0297,0.0614
