,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.10215,0.12044,"41,954","1,082",0.0251,"41,954","563,656","1,082","106,874",0.1594,0.9900,5.2212
1,0.12044,0.12458,"38,132","1,600",0.0403,"80,086","525,524","2,682","105,274",0.1669,0.9752,4.8679
2,0.12458,0.12721,"30,235","1,600",0.0503,"110,321","495,289","4,282","103,674",0.1731,0.9603,4.5879
3,0.12721,0.12937,"25,544","1,600",0.0589,"135,865","469,745","5,882","102,074",0.1785,0.9455,4.3513
4,0.12937,0.13093,"21,779","1,600",0.0684,"157,644","447,966","7,482","100,474",0.1832,0.9307,4.1495
5,0.13093,0.13230,"20,353","1,601",0.0729,"177,997","427,613","9,083","98,873",0.1878,0.9159,3.9610
6,0.13230,0.13344,"19,063","1,600",0.0774,"197,060","408,550","10,683","97,273",0.1923,0.9010,3.7844
7,0.13344,0.13446,"18,753","1,600",0.0786,"215,813","389,797","12,283","95,673",0.1971,0.8862,3.6107
8,0.13446,0.13530,"16,357","1,600",0.0891,"232,170","373,440","13,883","94,073",0.2012,0.8714,3.4592
9,0.13530,0.13611,"15,619","1,600",0.0929,"247,789","357,821","15,483","92,473",0.2054,0.8566,3.3145
10,0.13611,0.13688,"14,228","1,600",0.1011,"262,017","343,593","17,083","90,873",0.2092,0.8418,3.1827
11,0.13688,0.13759,"13,159","1,601",0.1085,"275,176","330,434","18,684","89,272",0.2127,0.8269,3.0608
12,0.13759,0.13828,"12,895","1,600",0.1104,"288,071","317,539","20,284","87,672",0.2164,0.8121,2.9414
13,0.13828,0.13890,"11,633","1,600",0.1209,"299,704","305,906","21,884","86,072",0.2196,0.7973,2.8336
14,0.13890,0.13955,"11,369","1,600",0.1234,"311,073","294,537","23,484","84,472",0.2229,0.7825,2.7283
15,0.13955,0.14018,"10,412","1,600",0.1332,"321,485","284,125","25,084","82,872",0.2258,0.7676,2.6319
16,0.14018,0.14078,"9,681","1,600",0.1418,"331,166","274,444","26,684","81,272",0.2285,0.7528,2.5422
17,0.14078,0.14135,"8,635","1,602",0.1565,"339,801","265,809","28,286","79,670",0.2306,0.7380,2.4622
18,0.14135,0.14192,"8,564","1,612",0.1584,"348,365","257,245","29,898","78,058",0.2328,0.7231,2.3829
19,0.14192,0.14256,"9,095","1,601",0.1497,"357,460","248,150","31,499","76,457",0.2355,0.7082,2.2986
20,0.14256,0.14321,"8,956","1,600",0.1516,"366,416","239,194","33,099","74,857",0.2384,0.6934,2.2157
21,0.14321,0.14384,"8,265","1,600",0.1622,"374,681","230,929","34,699","73,257",0.2408,0.6786,2.1391
22,0.14384,0.14453,"8,555","1,600",0.1576,"383,236","222,374","36,299","71,657",0.2437,0.6638,2.0599
23,0.14453,0.14521,"8,410","1,600",0.1598,"391,646","213,964","37,899","70,057",0.2467,0.6489,1.9820
