Filename,ROC_AUC
RFC_Hard,0.707787
RFC_Medium,0.679720
RFC_Easy,0.648426
BRFC_alpha_0_5_Hard,0.801522
BRFC_alpha_0_5_Medium,0.729560
BRFC_alpha_0_5_Easy,0.665244
BRFC_alpha_balanced_Hard,0.800318
BRFC_alpha_balanced_Medium,0.727291
BRFC_alpha_balanced_Easy,0.648371
LogReg_alpha_0_5_Hard,0.753162
LogReg_alpha_0_5_Medium,0.701010
LogReg_alpha_0_5_Easy,0.655041
LogReg_alpha_balanced_Hard,0.754017
LogReg_alpha_balanced_Medium,0.701314
LogReg_alpha_balanced_Easy,0.655117
AdaBoost_Hard,0.752597
AdaBoost_Medium,0.701118
AdaBoost_Easy,0.655058
BalBag_Hard,0.763249
BalBag_Medium,0.695188
BalBag_Easy,0.657419
EEC_Hard,0.729998
EEC_Medium,0.688151
EEC_Easy,0.652772
RUSBoost_Hard,0.753532
RUSBoost_Medium,0.562838
RUSBoost_Easy,0.549917
KBFC_alpha_0_5_gamma_0_0_Hard,0.777828
KBFC_alpha_0_5_gamma_0_0_Medium,0.714634
KBFC_alpha_0_5_gamma_0_0_Easy,0.660373
KBFC_alpha_balanced_gamma_0_0_Hard,0.777937
KBFC_alpha_balanced_gamma_0_0_Medium,0.715313
KBFC_alpha_balanced_gamma_0_0_Easy,0.660128
KBFC_alpha_0_5_gamma_1_0_Hard,0.777755
KBFC_alpha_0_5_gamma_1_0_Medium,0.714035
KBFC_alpha_0_5_gamma_1_0_Easy,0.659348
KBFC_alpha_0_5_gamma_2_0_Hard,0.777671
KBFC_alpha_0_5_gamma_2_0_Medium,0.713554
KBFC_alpha_0_5_gamma_2_0_Easy,0.660127
